smoothed;3
(;w;e; ;n;o;t;a;k;y;u;l;i;v;h;c;r;x;s;m;d;f;.;);z;g;p;b;,;q;j;?;!;é;ö;á;í;#
yr;0.000056;0.000056;0.908002;0.000896;0.000392;0.037124;0.000112;0.024581;0.000056;0.000056;0.000504;0.000056;0.025533;0.000056;0.000056;0.000056;0.000280;0.000056;0.000616;0.000056;0.000224;0.000056;0.000168;0.000112;0.000056;0.000056;0.000056;0.000056;0.000112;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056;0.000056
yx;0.016393;0.016393;0.016393;0.295082;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.098361;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
ys;0.000058;0.000874;0.038688;0.532716;0.000058;0.002098;0.270699;0.000408;0.000058;0.000058;0.000058;0.000175;0.035658;0.000058;0.000175;0.000291;0.000058;0.000058;0.001107;0.000117;0.000058;0.001224;0.026918;0.027210;0.000058;0.000117;0.000350;0.000058;0.057857;0.000058;0.000058;0.002156;0.000117;0.000058;0.000058;0.000058;0.000058;0.000058
ym;0.000345;0.000345;0.401792;0.030324;0.002412;0.253274;0.000345;0.033770;0.000345;0.000345;0.000345;0.000345;0.004480;0.000345;0.000345;0.000345;0.000345;0.000345;0.002412;0.001034;0.000345;0.000345;0.001723;0.002412;0.000345;0.000345;0.166092;0.077877;0.013784;0.000345;0.000345;0.000345;0.000345;0.000345;0.000345;0.000345;0.000345;0.000345
yd;0.000789;0.000789;0.108833;0.238959;0.003943;0.005521;0.000789;0.320978;0.000789;0.000789;0.000789;0.000789;0.003943;0.000789;0.000789;0.000789;0.278391;0.000789;0.001577;0.000789;0.000789;0.000789;0.003155;0.010252;0.000789;0.000789;0.000789;0.000789;0.003155;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789;0.000789
yf;0.007752;0.007752;0.023256;0.007752;0.007752;0.015504;0.038760;0.031008;0.007752;0.007752;0.007752;0.007752;0.069767;0.007752;0.007752;0.007752;0.573643;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752
y.;0.000068;0.000068;0.000068;0.317780;0.000136;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.018297;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.003265;0.658142;0.000068;0.000068;0.000068;0.000204;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068
y);0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yz;0.005181;0.005181;0.689119;0.015544;0.005181;0.005181;0.005181;0.031088;0.005181;0.005181;0.005181;0.005181;0.062176;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.020725;0.005181;0.010363;0.005181;0.005181;0.005181;0.010363;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181
yg;0.003067;0.003067;0.631902;0.006135;0.003067;0.018405;0.003067;0.015337;0.003067;0.003067;0.049080;0.003067;0.012270;0.003067;0.003067;0.003067;0.171779;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067
yp;0.000440;0.000440;0.508571;0.000440;0.007912;0.080879;0.201758;0.084835;0.000440;0.000440;0.001319;0.001758;0.064615;0.000440;0.014066;0.000440;0.007473;0.000440;0.011429;0.000440;0.003956;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440;0.000440
yb;0.000180;0.000180;0.237121;0.000180;0.000180;0.735236;0.000180;0.011488;0.000180;0.000359;0.005026;0.000898;0.000359;0.000180;0.000180;0.000180;0.003770;0.000180;0.000359;0.000180;0.000359;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180;0.000180
y,;0.000069;0.000069;0.000069;0.914895;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.082604;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069;0.000069
yq;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yj;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
y?;0.000929;0.000929;0.000929;0.353760;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.612813;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929;0.000929
y!;0.014085;0.014085;0.014085;0.070423;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.422535;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
yé;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yö;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yá;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
yí;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
y#;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
u(;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
uw;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.133333;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
ue;0.000060;0.000418;0.007043;0.401611;0.042495;0.000060;0.000657;0.001194;0.000060;0.000060;0.001791;0.144017;0.000597;0.000239;0.000597;0.000298;0.017786;0.000060;0.250612;0.000060;0.024351;0.000119;0.052641;0.025067;0.000358;0.000358;0.003999;0.000239;0.021128;0.000060;0.000060;0.001552;0.000060;0.000060;0.000060;0.000060;0.000060;0.000060
u ;0.000013;0.073549;0.009616;0.001560;0.035423;0.019796;0.090184;0.091112;0.149666;0.003981;0.007988;0.025458;0.017752;0.002784;0.051870;0.099369;0.017079;0.000067;0.078282;0.021625;0.060853;0.033190;0.000067;0.000067;0.000067;0.056537;0.015560;0.025552;0.000148;0.000417;0.010274;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013
un;0.000020;0.001330;0.045920;0.077799;0.041833;0.000704;0.159861;0.010287;0.008820;0.000078;0.000802;0.009876;0.110870;0.000685;0.006063;0.103751;0.003305;0.000020;0.039858;0.001917;0.309571;0.008155;0.006434;0.004518;0.000098;0.028417;0.003951;0.007158;0.006141;0.001154;0.000235;0.000254;0.000020;0.000020;0.000020;0.000020;0.000020;0.000020
uo;0.000354;0.000354;0.000354;0.006735;0.000354;0.000354;0.308047;0.000354;0.000354;0.002481;0.034385;0.000354;0.000354;0.000354;0.000354;0.000354;0.602978;0.000354;0.001772;0.020560;0.000354;0.000354;0.003899;0.000709;0.000709;0.000354;0.007090;0.000354;0.001063;0.000354;0.000354;0.000709;0.000354;0.000354;0.000354;0.000354;0.000354;0.000354
ut;0.000010;0.000124;0.056084;0.693534;0.000186;0.014240;0.015613;0.003808;0.000021;0.004066;0.022970;0.003106;0.044764;0.000052;0.045817;0.001496;0.016830;0.000010;0.014034;0.000093;0.000795;0.000526;0.020112;0.024033;0.000083;0.000206;0.000361;0.000310;0.015025;0.000010;0.000031;0.001548;0.000052;0.000010;0.000010;0.000010;0.000010;0.000010
ua;0.000077;0.000154;0.000232;0.000695;0.020392;0.000077;0.097405;0.000077;0.001931;0.000850;0.000077;0.733740;0.012127;0.000309;0.000232;0.002086;0.100340;0.000077;0.003785;0.000618;0.008033;0.000077;0.000309;0.000309;0.000154;0.011278;0.000154;0.003321;0.000386;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077
uk;0.001506;0.001506;0.146084;0.393072;0.001506;0.006024;0.001506;0.003012;0.006024;0.003012;0.006024;0.001506;0.052711;0.001506;0.001506;0.001506;0.138554;0.001506;0.010542;0.001506;0.001506;0.001506;0.088855;0.037651;0.001506;0.001506;0.001506;0.004518;0.064759;0.001506;0.001506;0.004518;0.001506;0.001506;0.001506;0.001506;0.001506;0.001506
uy;0.000178;0.000178;0.001427;0.514087;0.000178;0.000535;0.000178;0.000178;0.000178;0.000178;0.000178;0.000357;0.049215;0.000178;0.000178;0.000178;0.000178;0.000178;0.309023;0.000178;0.000178;0.000178;0.052960;0.022825;0.000178;0.000178;0.000178;0.001070;0.038338;0.000178;0.000178;0.005171;0.000357;0.000178;0.000178;0.000178;0.000178;0.000178
uu;0.009346;0.009346;0.009346;0.037383;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.626168;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346
ul;0.000023;0.000023;0.021574;0.117804;0.001679;0.009844;0.147565;0.204352;0.001311;0.021137;0.002024;0.144254;0.013018;0.000207;0.000046;0.000253;0.000023;0.000023;0.005244;0.000276;0.279606;0.002668;0.009016;0.008418;0.000023;0.000828;0.001311;0.000207;0.006785;0.000023;0.000023;0.000276;0.000023;0.000023;0.000023;0.000023;0.000023;0.000023
ui;0.000142;0.000142;0.017026;0.000709;0.081725;0.000568;0.358116;0.000709;0.000284;0.000142;0.000142;0.283768;0.000142;0.006810;0.000142;0.115494;0.046112;0.000284;0.036180;0.000142;0.037883;0.000284;0.000142;0.000284;0.002128;0.001703;0.007236;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142;0.000142
uv;0.000350;0.000350;0.981805;0.001050;0.000350;0.001400;0.000350;0.001400;0.000350;0.000350;0.000350;0.000350;0.001749;0.000350;0.000350;0.000350;0.001050;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000700;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350
uh;0.000193;0.000193;0.000193;0.872353;0.000193;0.003273;0.000193;0.005968;0.000193;0.000193;0.000578;0.002888;0.000193;0.000193;0.001155;0.000193;0.000770;0.000193;0.000193;0.000385;0.000193;0.002310;0.011167;0.033115;0.000193;0.000193;0.000193;0.000193;0.055834;0.000193;0.000193;0.005198;0.000385;0.000193;0.000193;0.000193;0.000193;0.000193
uc;0.000053;0.000053;0.072605;0.000158;0.000053;0.000842;0.388962;0.026674;0.102857;0.000158;0.004104;0.018993;0.046141;0.000053;0.290840;0.038828;0.007418;0.000053;0.000105;0.000053;0.000053;0.000053;0.000053;0.000105;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053;0.000053
ur;0.000010;0.000145;0.238762;0.402847;0.036491;0.012966;0.021283;0.055470;0.005393;0.005496;0.000186;0.000341;0.034208;0.017161;0.000083;0.033670;0.011757;0.000010;0.064954;0.008709;0.009030;0.001105;0.004215;0.016303;0.000103;0.006943;0.007635;0.001839;0.002583;0.000134;0.000021;0.000083;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010
ux;0.006289;0.006289;0.081761;0.188679;0.006289;0.012579;0.081761;0.006289;0.006289;0.006289;0.308176;0.075472;0.037736;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.012579;0.012579;0.006289;0.006289;0.006289;0.006289;0.012579;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289;0.006289
us;0.000011;0.000011;0.286693;0.169155;0.001236;0.000260;0.297006;0.027750;0.001941;0.001800;0.003481;0.023076;0.057864;0.000011;0.024854;0.003470;0.000033;0.000011;0.046456;0.000065;0.000423;0.000033;0.022772;0.010768;0.000011;0.000022;0.003405;0.001562;0.014813;0.000011;0.000022;0.000857;0.000065;0.000011;0.000011;0.000011;0.000011;0.000011
um;0.000041;0.000041;0.074439;0.152843;0.002739;0.006173;0.000123;0.077709;0.000041;0.000041;0.000858;0.001185;0.010547;0.000327;0.000491;0.000123;0.000164;0.000041;0.017864;0.014675;0.000082;0.000123;0.010056;0.010547;0.000041;0.000082;0.491354;0.116748;0.009647;0.000082;0.000041;0.000491;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041
ud;0.000107;0.000428;0.147446;0.141557;0.000535;0.006318;0.000107;0.012421;0.000107;0.048827;0.005675;0.004604;0.392547;0.000107;0.000535;0.000107;0.000428;0.000107;0.008673;0.000321;0.067673;0.000428;0.019381;0.006103;0.000214;0.122069;0.000214;0.000107;0.011136;0.000107;0.000321;0.000642;0.000107;0.000107;0.000107;0.000107;0.000107;0.000107
uf;0.000264;0.000264;0.000264;0.000792;0.000264;0.004753;0.000792;0.081859;0.000264;0.000264;0.000264;0.003697;0.006866;0.000528;0.000264;0.001584;0.000264;0.000264;0.000264;0.000528;0.000264;0.891207;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264;0.000264
u.;0.000276;0.000276;0.000276;0.216971;0.010227;0.000276;0.000276;0.000276;0.007739;0.000276;0.000276;0.000276;0.000276;0.000276;0.000276;0.000276;0.000829;0.000276;0.228856;0.000276;0.000276;0.000276;0.001382;0.525152;0.000276;0.000276;0.000276;0.000276;0.000553;0.000276;0.000276;0.000276;0.000276;0.000276;0.000276;0.000276;0.000276;0.000276
u);0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
uz;0.002045;0.002045;0.012270;0.263804;0.002045;0.002045;0.002045;0.032720;0.002045;0.012270;0.008180;0.002045;0.010225;0.002045;0.002045;0.002045;0.002045;0.002045;0.024540;0.010225;0.002045;0.002045;0.059305;0.014315;0.421268;0.002045;0.002045;0.002045;0.069530;0.002045;0.002045;0.002045;0.010225;0.002045;0.002045;0.002045;0.002045;0.002045
ug;0.000070;0.000070;0.094578;0.057028;0.000633;0.001688;0.000070;0.012587;0.000070;0.000070;0.012587;0.011181;0.000563;0.000070;0.721328;0.000070;0.000492;0.000070;0.030659;0.001266;0.000141;0.000070;0.002953;0.002039;0.000070;0.045848;0.000070;0.000070;0.002602;0.000070;0.000070;0.000422;0.000070;0.000070;0.000070;0.000070;0.000070;0.000070
up;0.000026;0.000671;0.117142;0.389965;0.000026;0.007042;0.031652;0.000593;0.000052;0.000954;0.000825;0.026183;0.012821;0.000026;0.000722;0.000903;0.011866;0.000026;0.033897;0.000026;0.002863;0.000206;0.039159;0.018290;0.000026;0.000851;0.265007;0.000516;0.035444;0.000026;0.000026;0.001832;0.000206;0.000026;0.000026;0.000026;0.000026;0.000026
ub;0.000117;0.001166;0.166453;0.023212;0.000117;0.002216;0.024146;0.018897;0.000117;0.000817;0.003033;0.550449;0.012364;0.004316;0.002100;0.002566;0.005832;0.000117;0.064505;0.017497;0.000700;0.000117;0.002916;0.002216;0.000233;0.001983;0.007699;0.048408;0.003266;0.000117;0.031261;0.000350;0.000117;0.000117;0.000117;0.000117;0.000117;0.000117
u,;0.000471;0.000471;0.000471;0.921412;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.061647;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471;0.000471
uq;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
uj;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.088889;0.022222;0.022222;0.022222;0.022222;0.111111;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
u?;0.003610;0.003610;0.003610;0.238267;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.631769;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610;0.003610
u!;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.240000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
ué;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
uö;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
uá;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
uí;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
u#;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
l(;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
lw;0.000527;0.000527;0.024262;0.000527;0.000527;0.011076;0.000527;0.940928;0.000527;0.000527;0.000527;0.000527;0.004747;0.000527;0.001055;0.000527;0.001055;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527;0.000527
le;0.000008;0.002318;0.014770;0.333789;0.042514;0.001228;0.079371;0.089712;0.000023;0.004261;0.000092;0.000645;0.000983;0.026831;0.000284;0.029871;0.032189;0.070719;0.060877;0.036833;0.048464;0.028842;0.025971;0.020973;0.000100;0.022670;0.001359;0.004391;0.018739;0.000008;0.000008;0.001021;0.000100;0.000008;0.000008;0.000008;0.000008;0.000008
l ;0.000008;0.041773;0.016950;0.006685;0.023292;0.082400;0.154124;0.079229;0.006802;0.036711;0.011328;0.023066;0.060187;0.010600;0.036720;0.045496;0.035666;0.000167;0.071139;0.033105;0.033808;0.042434;0.002886;0.000895;0.002000;0.025350;0.048349;0.056096;0.000552;0.002351;0.009763;0.000017;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008
ln;0.001572;0.001572;0.671384;0.055031;0.001572;0.006289;0.001572;0.022013;0.001572;0.001572;0.004717;0.001572;0.009434;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572;0.166667;0.001572;0.001572;0.001572;0.001572;0.001572;0.015723;0.001572;0.001572;0.003145;0.001572;0.001572;0.001572;0.001572;0.001572;0.001572
lo;0.000021;0.120433;0.000247;0.003744;0.095067;0.183283;0.099984;0.025346;0.000062;0.015656;0.018413;0.000597;0.017096;0.053201;0.000144;0.063097;0.035694;0.000041;0.071840;0.003497;0.004896;0.000082;0.000843;0.000247;0.000021;0.053139;0.022136;0.108624;0.001728;0.000473;0.000021;0.000206;0.000021;0.000021;0.000021;0.000021;0.000021;0.000021
lt;0.000061;0.000550;0.119096;0.129239;0.000061;0.005622;0.000611;0.008677;0.000061;0.023098;0.081699;0.000550;0.129728;0.000061;0.302169;0.000061;0.112985;0.000061;0.039230;0.000061;0.001344;0.000122;0.019493;0.007577;0.003666;0.000061;0.000061;0.000061;0.011732;0.000122;0.000061;0.001650;0.000061;0.000061;0.000061;0.000061;0.000061;0.000061
la;0.000017;0.053787;0.003211;0.061354;0.119897;0.000035;0.125642;0.000052;0.001805;0.045647;0.026468;0.000191;0.034244;0.018554;0.006370;0.076645;0.119515;0.008227;0.119967;0.040770;0.039451;0.000069;0.007428;0.004860;0.002794;0.016072;0.013954;0.047730;0.004894;0.000087;0.000017;0.000139;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017
lk;0.000095;0.000095;0.095688;0.300992;0.003721;0.001240;0.000095;0.026426;0.000095;0.000859;0.000382;0.000191;0.272658;0.000095;0.000191;0.000095;0.000095;0.000095;0.267315;0.000095;0.000095;0.000382;0.008491;0.013356;0.000095;0.000095;0.000095;0.000286;0.005247;0.000095;0.000095;0.000572;0.000095;0.000095;0.000095;0.000095;0.000095;0.000095
ly;0.000018;0.015993;0.000389;0.794657;0.004175;0.000619;0.000938;0.000212;0.000018;0.000018;0.000018;0.000071;0.019673;0.000018;0.000018;0.002972;0.000283;0.000018;0.006015;0.001698;0.001132;0.000142;0.041486;0.049005;0.002494;0.000796;0.000619;0.000071;0.053233;0.000018;0.000018;0.003043;0.000035;0.000018;0.000018;0.000018;0.000018;0.000018
lu;0.000059;0.000059;0.181356;0.004552;0.030620;0.099308;0.225395;0.003724;0.000591;0.000059;0.000059;0.016492;0.001478;0.000355;0.000059;0.021517;0.013714;0.004197;0.236449;0.024000;0.090737;0.001596;0.000414;0.000296;0.000118;0.017024;0.003724;0.020689;0.000473;0.000059;0.000118;0.000355;0.000059;0.000059;0.000059;0.000059;0.000059;0.000059
ll;0.000008;0.001322;0.082143;0.458676;0.002674;0.033218;0.000336;0.037206;0.000298;0.188252;0.008939;0.000015;0.087407;0.000031;0.000336;0.000206;0.000160;0.000008;0.021407;0.000244;0.000138;0.000596;0.016815;0.017067;0.000008;0.000092;0.000191;0.000848;0.040582;0.000008;0.000023;0.000649;0.000061;0.000008;0.000008;0.000008;0.000008;0.000008
