smoothed;3
(;w;e; ;n;o;t;a;k;y;u;l;i;v;h;c;r;x;s;m;d;f;.;);z;g;p;b;,;q;j;?;!;é;ö;á;í;#
(r;0.000191;0.000191;0.555216;0.000191;0.000191;0.103376;0.000763;0.086782;0.000191;0.001144;0.069807;0.000191;0.174137;0.000191;0.001907;0.000191;0.000191;0.000191;0.000191;0.000191;0.000572;0.000763;0.000381;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191;0.000191
(x;0.005291;0.005291;0.015873;0.195767;0.005291;0.005291;0.005291;0.005291;0.005291;0.259259;0.005291;0.005291;0.021164;0.005291;0.005291;0.010582;0.005291;0.005291;0.005291;0.010582;0.005291;0.010582;0.026455;0.015873;0.005291;0.005291;0.005291;0.010582;0.280423;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291;0.005291
(s;0.000046;0.003839;0.089370;0.000786;0.001665;0.446295;0.104635;0.066565;0.001665;0.014062;0.088584;0.010639;0.038255;0.000046;0.084374;0.015404;0.000093;0.000046;0.000139;0.003886;0.000046;0.000093;0.000139;0.000093;0.000046;0.000093;0.027385;0.000046;0.000139;0.000786;0.000416;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046
(m;0.000133;0.004525;0.178334;0.000399;0.000133;0.176204;0.000266;0.263907;0.000133;0.117647;0.060953;0.000133;0.150918;0.000133;0.000133;0.006521;0.018765;0.000133;0.016503;0.000532;0.000266;0.001065;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000133;0.000266;0.000133;0.000133;0.000133;0.000133
(d;0.000137;0.000410;0.215593;0.006144;0.008875;0.428454;0.000137;0.067996;0.000137;0.003687;0.020071;0.000137;0.192791;0.000273;0.001229;0.001365;0.048744;0.000137;0.000273;0.000137;0.000273;0.000137;0.000410;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000546;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137;0.000137
(f;0.000120;0.000120;0.050324;0.001802;0.000240;0.354072;0.000120;0.102330;0.000120;0.000120;0.066178;0.049243;0.144127;0.000120;0.000120;0.000120;0.221355;0.000120;0.000120;0.000360;0.000480;0.000120;0.000240;0.000120;0.000120;0.000240;0.000120;0.006005;0.000120;0.000120;0.000240;0.000120;0.000120;0.000120;0.000120;0.000120;0.000120;0.000120
(.;0.005208;0.005208;0.005208;0.500000;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.010417;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.093750;0.213542;0.005208;0.005208;0.005208;0.005208;0.010417;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208;0.005208
();0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(z;0.006410;0.006410;0.275641;0.057692;0.006410;0.108974;0.006410;0.134615;0.006410;0.006410;0.096154;0.006410;0.064103;0.006410;0.012821;0.006410;0.006410;0.038462;0.019231;0.006410;0.006410;0.006410;0.012821;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410
(g;0.000158;0.000158;0.261679;0.000631;0.000316;0.447128;0.000158;0.034091;0.000158;0.000316;0.062658;0.041035;0.056660;0.000158;0.000789;0.002841;0.086332;0.000158;0.000316;0.000473;0.000473;0.000158;0.000158;0.000158;0.000473;0.000158;0.000473;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158;0.000158
