smoothed;3
(;h;i; ;e;v;r;y;b;o;d;w;l;c;m;t;j;s;);a;p;g;u;f;n;x;k;.;z;q;,;#
((;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
(h;0.000169;0.000169;0.129956;0.000169;0.350220;0.000169;0.000169;0.003050;0.000169;0.129278;0.000169;0.000169;0.000169;0.000169;0.002033;0.000169;0.000169;0.000169;0.000169;0.337174;0.000169;0.000169;0.044053;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169;0.000169
(i;0.000127;0.000127;0.001652;0.126159;0.000127;0.008258;0.009910;0.000127;0.000127;0.001016;0.014229;0.000127;0.013213;0.001143;0.077754;0.227544;0.000127;0.142422;0.000127;0.000381;0.000635;0.002922;0.000127;0.037479;0.333122;0.000127;0.000127;0.000127;0.000254;0.000127;0.000127;0.000127
( ;0.001502;0.031532;0.060060;0.013514;0.028529;0.007508;0.012012;0.039039;0.070571;0.072072;0.037538;0.063063;0.015015;0.040541;0.051051;0.135135;0.004505;0.052553;0.004505;0.103604;0.060060;0.016517;0.016517;0.027027;0.018018;0.001502;0.009009;0.001502;0.001502;0.001502;0.001502;0.001502
(e;0.000321;0.000321;0.025386;0.000321;0.000321;0.308162;0.003856;0.004820;0.000964;0.000321;0.017352;0.000321;0.125643;0.039846;0.049486;0.005784;0.000321;0.066195;0.000321;0.034062;0.002249;0.001928;0.007391;0.013496;0.119859;0.162596;0.000321;0.000321;0.000321;0.006748;0.000321;0.000321
(v;0.001122;0.001122;0.309764;0.002245;0.185185;0.001122;0.001122;0.001122;0.001122;0.369248;0.001122;0.001122;0.010101;0.001122;0.001122;0.001122;0.001122;0.001122;0.001122;0.074074;0.001122;0.001122;0.020202;0.001122;0.002245;0.001122;0.001122;0.001122;0.001122;0.001122;0.001122;0.001122
(r;0.000234;0.002812;0.226570;0.000469;0.514058;0.000234;0.000234;0.001640;0.000469;0.055061;0.001172;0.000234;0.000234;0.000234;0.000234;0.000937;0.000469;0.000234;0.000234;0.076382;0.000234;0.000234;0.115276;0.000234;0.000234;0.000234;0.000234;0.000234;0.000234;0.000234;0.000234;0.000234
(y;0.000260;0.000260;0.000260;0.000260;0.217752;0.000260;0.000260;0.000260;0.000260;0.767713;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.005450;0.000260;0.000260;0.001557;0.000260;0.000260;0.000260;0.000519;0.000260;0.000260;0.000260;0.000260;0.000260
(b;0.000196;0.000393;0.077723;0.000785;0.439843;0.000196;0.060059;0.034151;0.000589;0.061629;0.000196;0.000196;0.038469;0.000196;0.000196;0.000196;0.000196;0.000589;0.000393;0.119921;0.000196;0.000196;0.161727;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196
(o;0.000211;0.041790;0.002322;0.000422;0.000211;0.051287;0.077037;0.000211;0.038835;0.000844;0.002111;0.020051;0.010975;0.009498;0.001688;0.036724;0.000211;0.000844;0.000211;0.000422;0.046011;0.000211;0.128535;0.299282;0.184677;0.000844;0.043267;0.000211;0.000422;0.000211;0.000211;0.000211
(d;0.000187;0.000750;0.202850;0.000562;0.305774;0.000187;0.023060;0.002062;0.000187;0.392763;0.000187;0.000562;0.000187;0.000937;0.000187;0.004874;0.000375;0.000750;0.000187;0.042932;0.000187;0.000187;0.013498;0.000187;0.005062;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187
(w;0.000105;0.315812;0.105551;0.000421;0.241064;0.000105;0.015139;0.000105;0.000105;0.120479;0.000105;0.000105;0.000105;0.000105;0.000210;0.000105;0.000105;0.000210;0.000105;0.198696;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105
(l;0.000307;0.000307;0.446352;0.000613;0.213059;0.000307;0.000307;0.013795;0.000613;0.199877;0.000307;0.000307;0.000307;0.000307;0.000613;0.000307;0.000307;0.000307;0.000307;0.105457;0.000307;0.000920;0.011956;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307;0.000307
(c;0.000148;0.101064;0.022459;0.000443;0.024823;0.000148;0.054374;0.002807;0.001478;0.494533;0.000148;0.000296;0.056294;0.000148;0.000296;0.000296;0.000148;0.000296;0.000148;0.206708;0.000148;0.000148;0.025414;0.000148;0.006058;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148
(m;0.000230;0.000230;0.161112;0.000230;0.216042;0.000230;0.002988;0.035624;0.000230;0.201563;0.000230;0.000230;0.000689;0.011492;0.011951;0.000689;0.000230;0.007814;0.000230;0.262698;0.000230;0.000230;0.082740;0.000230;0.000230;0.000230;0.000230;0.000230;0.000230;0.000230;0.000230;0.000230
(t;0.000049;0.756245;0.013461;0.000049;0.023034;0.000389;0.045534;0.001118;0.000049;0.109194;0.000049;0.011712;0.000049;0.000049;0.000049;0.000049;0.000049;0.000389;0.000049;0.031587;0.000194;0.000049;0.006172;0.000049;0.000049;0.000049;0.000049;0.000049;0.000049;0.000049;0.000049;0.000049
(j;0.000758;0.000758;0.078788;0.000758;0.063636;0.000758;0.002273;0.000758;0.000758;0.213636;0.000758;0.000758;0.000758;0.001515;0.000758;0.000758;0.000758;0.000758;0.000758;0.068939;0.001515;0.000758;0.550758;0.001515;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758;0.000758
(s;0.000104;0.123491;0.042031;0.001457;0.104453;0.000104;0.000208;0.018519;0.000104;0.240637;0.000104;0.003641;0.004994;0.031107;0.009675;0.154390;0.000104;0.000104;0.000104;0.132439;0.036621;0.000104;0.089471;0.000104;0.001873;0.000104;0.002393;0.000104;0.000104;0.001144;0.000104;0.000104
();0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
(a;0.000091;0.004011;0.004376;0.087519;0.000182;0.002644;0.078038;0.000273;0.081229;0.000091;0.025253;0.007020;0.095542;0.055338;0.035737;0.034825;0.000091;0.045036;0.000182;0.000365;0.021515;0.043304;0.009481;0.024432;0.342602;0.000182;0.000091;0.000182;0.000091;0.000091;0.000091;0.000091
(p;0.000158;0.014543;0.019918;0.000158;0.244230;0.000158;0.295605;0.000158;0.000158;0.156971;0.000316;0.000158;0.050269;0.000158;0.000316;0.000316;0.000158;0.001897;0.000158;0.143693;0.000316;0.000158;0.064021;0.000316;0.000316;0.000158;0.000158;0.004268;0.000158;0.000158;0.000158;0.000316
(g;0.000298;0.000894;0.058736;0.000298;0.194991;0.000298;0.102564;0.001491;0.000596;0.464222;0.001491;0.000298;0.012522;0.000894;0.000894;0.000298;0.000298;0.000596;0.000298;0.047108;0.000298;0.000298;0.107633;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298;0.000298
(u;0.000758;0.039424;0.000758;0.000758;0.000758;0.000758;0.006065;0.000758;0.005307;0.000758;0.000758;0.000758;0.009098;0.000758;0.017437;0.006823;0.000758;0.200910;0.000758;0.000758;0.167551;0.004549;0.000758;0.000758;0.510993;0.000758;0.011372;0.005307;0.000758;0.000758;0.000758;0.000758
(f;0.000294;0.000294;0.165391;0.000883;0.054738;0.000294;0.173632;0.000294;0.005886;0.347263;0.001177;0.000294;0.027369;0.000883;0.000294;0.000294;0.000294;0.000294;0.000589;0.162154;0.000294;0.000294;0.054149;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294;0.000294
(n;0.000352;0.000352;0.044734;0.001409;0.263121;0.000352;0.000704;0.000704;0.003170;0.544558;0.001409;0.000352;0.000352;0.001409;0.000352;0.000352;0.000352;0.002466;0.000352;0.089116;0.000704;0.000352;0.038042;0.002113;0.000352;0.000352;0.000352;0.000352;0.000352;0.000352;0.000352;0.000352
(x;0.029412;0.029412;0.029412;0.058824;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(k;0.000660;0.001320;0.191419;0.000660;0.095710;0.000660;0.011881;0.005281;0.000660;0.015842;0.000660;0.000660;0.001980;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660;0.035644;0.000660;0.000660;0.009901;0.000660;0.616502;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660;0.000660
