smoothed;3
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
((;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
(i;0.000327;0.000653;0.201829;0.113651;0.150555;0.003266;0.003919;0.000327;0.000327;0.000653;0.000327;0.000327;0.332136;0.033312;0.000327;0.000653;0.000980;0.086545;0.000327;0.000327;0.000327;0.000327;0.010451;0.038210;0.015349;0.000327;0.000327;0.000327;0.002939;0.000327;0.000327
(t;0.000150;0.016170;0.000150;0.000150;0.000299;0.000150;0.083695;0.025603;0.040874;0.123072;0.000150;0.000150;0.000150;0.000150;0.001946;0.000150;0.000150;0.000150;0.000150;0.686480;0.013775;0.000150;0.000150;0.000150;0.000749;0.004192;0.000150;0.000150;0.000150;0.000299;0.000150
( ;0.007299;0.043796;0.065693;0.021898;0.036496;0.036496;0.029197;0.036496;0.102190;0.051095;0.043796;0.021898;0.007299;0.014599;0.065693;0.007299;0.051095;0.087591;0.007299;0.051095;0.043796;0.065693;0.014599;0.029197;0.014599;0.007299;0.007299;0.007299;0.007299;0.007299;0.007299
(s;0.000316;0.054293;0.152146;0.001263;0.000316;0.000316;0.000316;0.113005;0.126578;0.231692;0.000316;0.000316;0.002210;0.000316;0.010417;0.000631;0.036301;0.006629;0.006629;0.089015;0.008523;0.057449;0.007576;0.000316;0.000316;0.090593;0.000316;0.000316;0.000947;0.000316;0.000316
(g;0.001122;0.061728;0.001122;0.002245;0.001122;0.001122;0.120090;0.216611;0.054994;0.444444;0.001122;0.001122;0.001122;0.002245;0.001122;0.001122;0.001122;0.001122;0.001122;0.001122;0.001122;0.001122;0.006734;0.001122;0.001122;0.066218;0.001122;0.001122;0.001122;0.001122;0.001122
(r;0.000652;0.160365;0.001304;0.000652;0.000652;0.000652;0.000652;0.610821;0.069100;0.054107;0.000652;0.000652;0.000652;0.001304;0.002608;0.000652;0.000652;0.000652;0.000652;0.006519;0.000652;0.000652;0.000652;0.000652;0.000652;0.079531;0.000652;0.000652;0.000652;0.000652;0.000652
(e;0.000915;0.024703;0.006404;0.000915;0.029277;0.002745;0.009149;0.000915;0.053065;0.000915;0.000915;0.000915;0.130833;0.016468;0.001830;0.000915;0.043916;0.051235;0.000915;0.000915;0.000915;0.005489;0.085087;0.027447;0.239707;0.007319;0.241537;0.000915;0.011894;0.000915;0.000915
(a;0.000253;0.003035;0.046282;0.085483;0.051340;0.033637;0.067527;0.000253;0.000253;0.000253;0.095094;0.000253;0.325240;0.033637;0.000253;0.000506;0.070056;0.029590;0.000253;0.000759;0.006323;0.028073;0.085989;0.017198;0.005817;0.011128;0.000506;0.000253;0.000253;0.000253;0.000253
(o;0.000590;0.000590;0.054309;0.000590;0.000590;0.000590;0.095041;0.000590;0.001771;0.000590;0.043684;0.000590;0.195396;0.001771;0.000590;0.000590;0.005903;0.003542;0.040142;0.016529;0.015348;0.038371;0.007084;0.352420;0.036600;0.083235;0.000590;0.000590;0.000590;0.000590;0.000590
(b;0.000554;0.047091;0.000554;0.000554;0.000554;0.000554;0.053740;0.473684;0.113573;0.055402;0.000554;0.000554;0.000554;0.000554;0.043213;0.000554;0.000554;0.001662;0.000554;0.001108;0.000554;0.000554;0.027701;0.000554;0.000554;0.171191;0.000554;0.000554;0.000554;0.000554;0.000554
(j;0.002299;0.020690;0.002299;0.006897;0.002299;0.002299;0.022989;0.068966;0.075862;0.197701;0.002299;0.002299;0.002299;0.004598;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.002299;0.549425;0.002299;0.002299;0.002299;0.002299;0.002299
(n;0.001050;0.046218;0.001050;0.001050;0.001050;0.001050;0.001050;0.244748;0.076681;0.532563;0.004202;0.001050;0.001050;0.001050;0.001050;0.001050;0.001050;0.001050;0.001050;0.001050;0.005252;0.002101;0.001050;0.002101;0.001050;0.063025;0.001050;0.001050;0.001050;0.001050;0.001050
(d;0.000533;0.263859;0.001066;0.002132;0.001066;0.000533;0.020789;0.258529;0.077825;0.334755;0.000533;0.000533;0.002132;0.000533;0.002665;0.000533;0.001599;0.001066;0.000533;0.000533;0.000533;0.000533;0.000533;0.000533;0.000533;0.022921;0.000533;0.000533;0.000533;0.000533;0.000533
(y;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.209346;0.003738;0.758879;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.000935;0.002804;0.000935;0.000935;0.000935;0.000935;0.000935
();0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
(c;0.000428;0.019667;0.000428;0.000428;0.000428;0.000428;0.063275;0.024797;0.206926;0.481402;0.000428;0.000428;0.002993;0.000428;0.003420;0.000428;0.000428;0.000428;0.000428;0.098333;0.000428;0.000428;0.070543;0.000428;0.000428;0.019667;0.000428;0.000428;0.000428;0.000428;0.000428
(m;0.000604;0.143202;0.000604;0.000604;0.001208;0.000604;0.004230;0.238066;0.257402;0.192145;0.000604;0.000604;0.001813;0.000604;0.037462;0.000604;0.011480;0.001813;0.000604;0.000604;0.000604;0.000604;0.000604;0.000604;0.001813;0.097885;0.000604;0.000604;0.000604;0.000604;0.000604
(k;0.002037;0.156823;0.002037;0.002037;0.002037;0.002037;0.006110;0.071283;0.046843;0.042770;0.002037;0.002037;0.598778;0.002037;0.008147;0.002037;0.004073;0.002037;0.002037;0.012220;0.002037;0.002037;0.006110;0.002037;0.002037;0.006110;0.002037;0.002037;0.002037;0.002037;0.002037
(h;0.000664;0.134041;0.000664;0.000664;0.000664;0.000664;0.001327;0.259456;0.406768;0.124751;0.000664;0.000664;0.000664;0.000664;0.012608;0.000664;0.000664;0.001327;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.000664;0.044459;0.000664;0.000664;0.000664;0.000664;0.000664
(w;0.000347;0.134328;0.000347;0.000347;0.000347;0.000347;0.016314;0.203749;0.183270;0.132593;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.320375;0.001041;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347;0.000347
