smoothed;2
(;t;h;i;s; ;d;e;m;o;c;r;a;y;n;w;g;);j;u;z;l;v;f;k;p;b;.;q;x;,;á;ö;ã;!;?;í;ó;ñ;é;à;¡;ú;#
(;0.000006;0.154646;0.041528;0.076074;0.068698;0.003218;0.031817;0.021972;0.035296;0.044728;0.049828;0.028796;0.129015;0.020967;0.021078;0.073629;0.016716;0.000122;0.012133;0.011494;0.000610;0.020677;0.007643;0.029865;0.010089;0.042213;0.043979;0.000221;0.001998;0.000093;0.000674;0.000093;0.000006;0.000006;0.000006;0.000012;0.000006;0.000006;0.000006;0.000006;0.000006;0.000017;0.000006;0.000006
t;0.000002;0.012267;0.314744;0.081313;0.037474;0.213142;0.000077;0.083489;0.001729;0.094704;0.001462;0.032773;0.043471;0.013662;0.001189;0.005218;0.000234;0.030836;0.000014;0.014165;0.000297;0.005521;0.000240;0.000289;0.000028;0.000145;0.000277;0.004804;0.000028;0.000002;0.005478;0.000024;0.000002;0.000002;0.000008;0.000846;0.000014;0.000004;0.000002;0.000014;0.000002;0.000002;0.000002;0.000006
h;0.000004;0.022881;0.000119;0.130912;0.002580;0.066861;0.000404;0.430057;0.001609;0.079108;0.000397;0.010569;0.218063;0.005665;0.002670;0.000411;0.000011;0.010544;0.000007;0.009826;0.000004;0.001028;0.000032;0.000108;0.000022;0.000076;0.000758;0.001988;0.000094;0.000004;0.002955;0.000018;0.000004;0.000004;0.000018;0.000159;0.000004;0.000004;0.000004;0.000004;0.000004;0.000004;0.000004;0.000004
i;0.000003;0.119441;0.000181;0.000503;0.129032;0.042203;0.038804;0.030739;0.036082;0.061612;0.063431;0.028265;0.027421;0.000120;0.263881;0.000490;0.030441;0.005047;0.000240;0.000541;0.007258;0.046243;0.022845;0.018002;0.011554;0.006366;0.006792;0.000221;0.000362;0.001191;0.000514;0.000003;0.000003;0.000003;0.000003;0.000029;0.000003;0.000019;0.000005;0.000099;0.000003;0.000003;0.000003;0.000003
s;0.000003;0.130757;0.034484;0.056622;0.040772;0.353591;0.001738;0.099845;0.005185;0.067522;0.012096;0.003008;0.040267;0.005820;0.004110;0.001741;0.000248;0.054838;0.000009;0.023504;0.000015;0.006046;0.000393;0.000731;0.004879;0.019229;0.001323;0.014961;0.000437;0.000006;0.014797;0.000006;0.000003;0.000012;0.000053;0.000870;0.000006;0.000003;0.000003;0.000043;0.000012;0.000003;0.000003;0.000003
 ;0.000001;0.176515;0.044539;0.080927;0.059258;0.004004;0.030148;0.016920;0.034335;0.058767;0.041866;0.024266;0.114056;0.021827;0.022052;0.077837;0.020059;0.000688;0.008911;0.012615;0.000397;0.020943;0.007326;0.031235;0.011792;0.035638;0.040312;0.000360;0.001596;0.000076;0.000703;0.000009;0.000001;0.000001;0.000001;0.000012;0.000001;0.000001;0.000001;0.000001;0.000001;0.000003;0.000001;0.000001
d;0.000005;0.000555;0.000997;0.081864;0.019503;0.459804;0.005552;0.145270;0.016821;0.065705;0.001717;0.019535;0.040244;0.011781;0.009498;0.001328;0.005195;0.066302;0.000267;0.015738;0.000011;0.006325;0.002555;0.000773;0.000037;0.000320;0.000539;0.008298;0.000245;0.000005;0.012181;0.000043;0.000016;0.000005;0.000075;0.000779;0.000011;0.000011;0.000005;0.000064;0.000005;0.000005;0.000005;0.000005
e;0.000002;0.023979;0.001598;0.011847;0.076776;0.293633;0.063496;0.026685;0.024202;0.011643;0.026129;0.124567;0.050114;0.019046;0.087948;0.007691;0.006998;0.046642;0.000193;0.001130;0.001592;0.032072;0.015065;0.007905;0.001964;0.010703;0.002315;0.005272;0.001076;0.010127;0.007012;0.000002;0.000002;0.000002;0.000029;0.000529;0.000002;0.000002;0.000007;0.000002;0.000002;0.000002;0.000002;0.000002
m;0.000008;0.000101;0.000341;0.097651;0.019293;0.105185;0.000062;0.275635;0.030346;0.107146;0.002403;0.002101;0.156607;0.044624;0.001620;0.000279;0.000023;0.016549;0.000016;0.031990;0.000202;0.000450;0.000085;0.000961;0.000016;0.069606;0.026044;0.005046;0.000016;0.000008;0.004938;0.000016;0.000016;0.000008;0.000016;0.000326;0.000016;0.000116;0.000008;0.000085;0.000008;0.000008;0.000023;0.000008
o;0.000002;0.045156;0.002927;0.014289;0.023717;0.131817;0.017095;0.004339;0.053421;0.025189;0.016240;0.118833;0.004044;0.002176;0.146483;0.049661;0.005846;0.016797;0.000506;0.136372;0.000397;0.033213;0.016976;0.081806;0.009603;0.026884;0.008607;0.001167;0.000032;0.001199;0.005028;0.000002;0.000002;0.000002;0.000007;0.000144;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002;0.000002
c;0.000007;0.088122;0.108049;0.061444;0.004666;0.022112;0.000269;0.135668;0.000156;0.190417;0.014845;0.052042;0.172052;0.020458;0.000594;0.000120;0.000233;0.006793;0.000007;0.033429;0.000085;0.038971;0.000007;0.000021;0.046033;0.000240;0.000368;0.001237;0.000318;0.000007;0.000834;0.000219;0.000007;0.000007;0.000007;0.000064;0.000021;0.000007;0.000007;0.000021;0.000007;0.000007;0.000007;0.000014
r;0.000003;0.049547;0.001201;0.088871;0.053114;0.155650;0.020915;0.255805;0.015469;0.078229;0.011185;0.013196;0.075000;0.041844;0.022089;0.002096;0.013393;0.026193;0.000132;0.025243;0.000085;0.010242;0.005867;0.002072;0.014214;0.003130;0.002561;0.006644;0.000058;0.000149;0.005247;0.000007;0.000007;0.000003;0.000044;0.000248;0.000207;0.000010;0.000003;0.000010;0.000003;0.000003;0.000003;0.000007
