smoothed;3
(;h;i; ;e;v;r;y;o;n;w;l;c;m;t;b;);s;f;q;a;p;u;g;k;z;d;x;j;,;.;?;#
om;0.000239;0.000239;0.047062;0.165313;0.516245;0.000239;0.000239;0.003822;0.009556;0.003822;0.000239;0.000478;0.000239;0.069517;0.000239;0.009317;0.017917;0.007406;0.002867;0.000239;0.041567;0.096990;0.001672;0.000239;0.000239;0.000239;0.000239;0.000239;0.000239;0.000717;0.001194;0.000956;0.000239
ot;0.000291;0.279651;0.073547;0.439826;0.087209;0.000291;0.000291;0.001453;0.007849;0.000291;0.000291;0.001163;0.000291;0.000291;0.020930;0.000581;0.043895;0.014244;0.000581;0.000291;0.020640;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.000291;0.001163;0.001453;0.000872;0.000291
ob;0.001105;0.001105;0.029834;0.088398;0.028729;0.150276;0.001105;0.001105;0.022099;0.001105;0.001105;0.346961;0.001105;0.001105;0.006630;0.008840;0.015470;0.110497;0.002210;0.001105;0.112707;0.001105;0.004420;0.001105;0.001105;0.001105;0.001105;0.001105;0.048619;0.002210;0.002210;0.002210;0.001105
o);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
os;0.000485;0.001940;0.123181;0.070805;0.341416;0.000485;0.000485;0.001455;0.032493;0.000485;0.000485;0.001940;0.009699;0.014064;0.223569;0.000485;0.014064;0.137730;0.000485;0.000970;0.001455;0.008729;0.005820;0.000485;0.000485;0.000485;0.000485;0.000485;0.000485;0.000970;0.002425;0.000485;0.000485
of;0.000144;0.000144;0.001155;0.825899;0.014292;0.000144;0.000144;0.000144;0.002887;0.000144;0.000144;0.000144;0.000144;0.000144;0.014292;0.000289;0.113902;0.000289;0.021366;0.000144;0.001011;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.000144;0.001011;0.000144;0.000577;0.000144
oq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
oa;0.003367;0.033670;0.003367;0.006734;0.003367;0.003367;0.111111;0.003367;0.003367;0.040404;0.003367;0.168350;0.127946;0.010101;0.067340;0.003367;0.006734;0.010101;0.003367;0.003367;0.003367;0.003367;0.013468;0.010101;0.013468;0.003367;0.316498;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367
op;0.000407;0.058967;0.038634;0.059780;0.173648;0.000407;0.013420;0.008133;0.031720;0.000407;0.000813;0.453436;0.000407;0.011793;0.023993;0.000407;0.009760;0.008133;0.000407;0.000407;0.008133;0.070354;0.020333;0.000407;0.000407;0.000407;0.000813;0.000407;0.000407;0.001220;0.001220;0.000407;0.000407
ou;0.000068;0.000068;0.000410;0.317600;0.000068;0.008414;0.186196;0.000205;0.000068;0.051714;0.000068;0.098434;0.002805;0.000068;0.157877;0.003078;0.035160;0.064163;0.000410;0.000068;0.000068;0.015117;0.000068;0.050824;0.000137;0.000068;0.003078;0.000068;0.000068;0.000889;0.001710;0.000889;0.000068
og;0.000981;0.005888;0.339549;0.017664;0.120707;0.000981;0.142296;0.184495;0.017664;0.052993;0.000981;0.002944;0.000981;0.032385;0.000981;0.001963;0.005888;0.007851;0.000981;0.000981;0.020608;0.000981;0.025515;0.003925;0.000981;0.000981;0.000981;0.000981;0.000981;0.000981;0.001963;0.000981;0.000981
ok;0.000955;0.000955;0.061127;0.401146;0.083095;0.000955;0.000955;0.000955;0.001910;0.000955;0.000955;0.001910;0.000955;0.000955;0.000955;0.000955;0.040115;0.086915;0.000955;0.000955;0.278892;0.000955;0.000955;0.000955;0.000955;0.000955;0.000955;0.000955;0.000955;0.009551;0.009551;0.004776;0.000955
oz;0.019608;0.019608;0.058824;0.058824;0.274510;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
od;0.000638;0.000638;0.024250;0.370134;0.135290;0.000638;0.001276;0.104020;0.010211;0.003829;0.002553;0.001276;0.014040;0.000638;0.000638;0.002553;0.067645;0.031908;0.000638;0.000638;0.056158;0.000638;0.132738;0.001276;0.001276;0.000638;0.012763;0.000638;0.000638;0.007020;0.010211;0.001914;0.000638
ox;0.010101;0.010101;0.484848;0.070707;0.020202;0.010101;0.010101;0.080808;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.040404;0.010101;0.030303;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101
oj;0.015625;0.015625;0.015625;0.015625;0.500000;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
o,;0.009259;0.009259;0.009259;0.638889;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.074074;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259;0.009259
o.;0.015385;0.015385;0.015385;0.230769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.261538;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.046154;0.015385;0.015385
o?;0.022727;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.250000;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
o#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
n(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
nh;0.010204;0.010204;0.244898;0.020408;0.102041;0.010204;0.010204;0.010204;0.040816;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.285714;0.010204;0.030612;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204;0.010204
ni;0.000438;0.010083;0.000438;0.001315;0.017098;0.109601;0.000438;0.000438;0.027619;0.245068;0.000438;0.001754;0.097326;0.047348;0.156072;0.000438;0.000877;0.113108;0.036826;0.009206;0.012714;0.009645;0.003507;0.041210;0.000438;0.051732;0.002192;0.000438;0.000438;0.000438;0.000438;0.000438;0.000438
n ;0.000070;0.026406;0.103950;0.003902;0.027451;0.004320;0.016721;0.044938;0.063471;0.010102;0.053996;0.014770;0.025082;0.030377;0.246360;0.035672;0.000697;0.048143;0.028635;0.001463;0.134745;0.027520;0.010102;0.014492;0.003135;0.000070;0.018184;0.000139;0.004111;0.000488;0.000279;0.000139;0.000070
ne;0.000225;0.000451;0.004508;0.323417;0.056570;0.029750;0.082037;0.008114;0.014424;0.011043;0.064458;0.008790;0.036060;0.003606;0.015326;0.000225;0.042146;0.110210;0.006085;0.006987;0.009691;0.000225;0.020059;0.013297;0.000225;0.000225;0.100068;0.022312;0.000225;0.003831;0.004282;0.000902;0.000225
nv;0.002849;0.002849;0.287749;0.002849;0.452991;0.002849;0.002849;0.008547;0.136752;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.034188;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849;0.002849
nr;0.017857;0.017857;0.035714;0.017857;0.285714;0.017857;0.017857;0.053571;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.089286;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
ny;0.001250;0.001250;0.006250;0.541250;0.001250;0.001250;0.001250;0.001250;0.055000;0.001250;0.105000;0.001250;0.001250;0.018750;0.127500;0.023750;0.075000;0.001250;0.001250;0.001250;0.003750;0.002500;0.005000;0.001250;0.001250;0.001250;0.001250;0.001250;0.001250;0.006250;0.003750;0.002500;0.001250
no;0.000218;0.000218;0.002617;0.088530;0.000654;0.005887;0.029437;0.001962;0.001090;0.018317;0.413868;0.013956;0.005887;0.021369;0.326428;0.007414;0.010249;0.003707;0.000872;0.000218;0.001962;0.001090;0.035107;0.001308;0.000218;0.000218;0.000218;0.000436;0.000218;0.004797;0.001090;0.000218;0.000218
nn;0.001751;0.001751;0.168126;0.010508;0.322242;0.001751;0.001751;0.068301;0.119089;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.259194;0.001751;0.007005;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751
nw;0.022727;0.045455;0.068182;0.022727;0.113636;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
nl;0.002309;0.002309;0.136259;0.002309;0.064665;0.002309;0.002309;0.718245;0.013857;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309;0.002309
nc;0.000462;0.032810;0.068392;0.000462;0.645564;0.000462;0.042976;0.016174;0.056839;0.000462;0.000462;0.057301;0.000462;0.000462;0.054067;0.000462;0.000462;0.000462;0.000462;0.000462;0.010628;0.000462;0.004621;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462
nm;0.006494;0.006494;0.045455;0.006494;0.662338;0.006494;0.006494;0.006494;0.012987;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.064935;0.006494;0.032468;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
nt;0.000122;0.009862;0.109217;0.437842;0.120662;0.000122;0.035919;0.006453;0.056131;0.000122;0.000122;0.018142;0.000365;0.003166;0.000244;0.000122;0.056739;0.055156;0.002679;0.000122;0.064167;0.000122;0.011445;0.000609;0.000122;0.000122;0.000365;0.000122;0.000122;0.004627;0.003896;0.000852;0.000122
nb;0.009709;0.009709;0.029126;0.009709;0.533981;0.009709;0.019417;0.009709;0.048544;0.009709;0.009709;0.009709;0.038835;0.009709;0.009709;0.009709;0.019417;0.009709;0.009709;0.009709;0.029126;0.009709;0.038835;0.009709;0.009709;0.009709;0.009709;0.009709;0.009709;0.009709;0.009709;0.009709;0.009709
n);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ns;0.000301;0.041579;0.132269;0.339861;0.153962;0.000301;0.000603;0.000301;0.008738;0.000301;0.019584;0.002109;0.049111;0.001506;0.136186;0.000301;0.048509;0.000603;0.015667;0.000301;0.006629;0.006026;0.012956;0.003013;0.001205;0.000301;0.000301;0.000301;0.000301;0.006930;0.006930;0.002712;0.000301
nf;0.002967;0.002967;0.175074;0.002967;0.038576;0.002967;0.112760;0.002967;0.213650;0.002967;0.002967;0.243323;0.002967;0.002967;0.002967;0.002967;0.002967;0.002967;0.002967;0.002967;0.068249;0.002967;0.071217;0.002967;0.002967;0.002967;0.002967;0.002967;0.002967;0.002967;0.002967;0.002967;0.002967
nq;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.448276;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
na;0.000537;0.002684;0.010735;0.115405;0.000537;0.004831;0.079442;0.000537;0.000537;0.032743;0.001610;0.294686;0.006441;0.045089;0.203435;0.069243;0.011272;0.007515;0.000537;0.000537;0.001610;0.006441;0.002147;0.032206;0.008588;0.011809;0.041868;0.000537;0.000537;0.002684;0.002147;0.000537;0.000537
np;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.166667;0.016667;0.066667;0.016667;0.016667;0.150000;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.116667;0.016667;0.033333;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667;0.016667
nu;0.002890;0.002890;0.104046;0.005780;0.127168;0.002890;0.026012;0.002890;0.002890;0.014451;0.002890;0.005780;0.040462;0.329480;0.147399;0.002890;0.002890;0.023121;0.002890;0.002890;0.104046;0.002890;0.008671;0.002890;0.005780;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890
ng;0.000113;0.000565;0.006780;0.706893;0.039096;0.000113;0.004181;0.000226;0.001243;0.000791;0.000113;0.014802;0.000791;0.000113;0.004068;0.000113;0.089379;0.092316;0.004068;0.000113;0.006102;0.000113;0.010282;0.000113;0.000113;0.000113;0.000113;0.000113;0.000113;0.006554;0.008588;0.001582;0.000226
nk;0.000679;0.000679;0.114130;0.707880;0.019701;0.001359;0.003397;0.000679;0.001359;0.020380;0.000679;0.002717;0.000679;0.000679;0.000679;0.000679;0.078804;0.025136;0.000679;0.000679;0.002038;0.000679;0.000679;0.000679;0.000679;0.000679;0.000679;0.000679;0.000679;0.004076;0.004076;0.002038;0.000679
nz;0.020408;0.020408;0.020408;0.020408;0.265306;0.020408;0.081633;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
nd;0.000076;0.000152;0.033026;0.741724;0.055856;0.000076;0.004566;0.000533;0.005783;0.000609;0.000533;0.002892;0.000152;0.000533;0.000609;0.000457;0.099536;0.021460;0.000076;0.000076;0.021916;0.000228;0.005403;0.000152;0.000076;0.000076;0.000304;0.000076;0.000076;0.001370;0.001294;0.000228;0.000076
nx;0.012195;0.012195;0.609756;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
nj;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.240506;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.050633;0.012658;0.329114;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
n,;0.005495;0.005495;0.005495;0.763736;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.065934;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495
n.;0.007042;0.007042;0.007042;0.415493;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.021127;0.007042;0.007042;0.007042;0.345070;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.007042;0.014085;0.007042;0.007042
n?;0.013514;0.013514;0.013514;0.108108;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.472973;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514
n#;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
w(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wh;0.000210;0.000210;0.168485;0.000210;0.219052;0.000210;0.000210;0.057700;0.178556;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.370332;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210;0.000210
wi;0.000401;0.000401;0.000401;0.000401;0.000803;0.001204;0.004817;0.000401;0.000401;0.066640;0.000401;0.155761;0.002007;0.000401;0.690084;0.000401;0.000401;0.040546;0.014051;0.000401;0.000401;0.002810;0.000401;0.000401;0.000803;0.000803;0.011642;0.000401;0.000401;0.000401;0.000401;0.000401;0.000401
w ;0.000386;0.036694;0.143685;0.001545;0.016222;0.001931;0.011974;0.069139;0.037466;0.006180;0.096176;0.018926;0.022402;0.038625;0.200463;0.037852;0.000386;0.048281;0.019312;0.000772;0.105060;0.018540;0.013905;0.008884;0.002704;0.000772;0.034376;0.000386;0.005021;0.000772;0.000386;0.000386;0.000386
we;0.000235;0.000235;0.009882;0.284706;0.062824;0.027765;0.248471;0.000235;0.000235;0.013647;0.000235;0.245176;0.000235;0.000235;0.000471;0.004941;0.029412;0.034118;0.000235;0.000235;0.012000;0.000235;0.000235;0.000706;0.000235;0.000235;0.021176;0.000235;0.000235;0.000471;0.000235;0.000235;0.000235
wv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wr;0.002398;0.002398;0.472422;0.002398;0.043165;0.002398;0.002398;0.002398;0.398082;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.016787;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398;0.002398
wy;0.012500;0.012500;0.012500;0.037500;0.562500;0.012500;0.012500;0.012500;0.012500;0.025000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
wo;0.000425;0.000425;0.000425;0.081207;0.001276;0.000425;0.416667;0.005952;0.005952;0.032313;0.006378;0.010204;0.000425;0.093537;0.000425;0.000425;0.011905;0.000425;0.001701;0.000425;0.000850;0.001276;0.318452;0.000425;0.002551;0.000425;0.000425;0.000425;0.000425;0.001701;0.001276;0.000425;0.000425
wn;0.002058;0.008230;0.006173;0.740741;0.014403;0.002058;0.002058;0.002058;0.004115;0.002058;0.004115;0.010288;0.002058;0.002058;0.012346;0.002058;0.109053;0.020576;0.002058;0.002058;0.002058;0.002058;0.002058;0.002058;0.002058;0.002058;0.002058;0.002058;0.002058;0.012346;0.010288;0.006173;0.002058
ww;0.027027;0.054054;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027
wl;0.011111;0.011111;0.033333;0.044444;0.544444;0.011111;0.011111;0.033333;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.022222;0.022222;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111;0.011111
wc;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
wm;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.320000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
wt;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
wb;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
w);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ws;0.004425;0.013274;0.008850;0.685841;0.004425;0.004425;0.008850;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.004425;0.110619;0.004425;0.004425;0.004425;0.004425;0.030973;0.013274;0.004425;0.008850;0.004425;0.004425;0.004425;0.004425;0.008850;0.008850;0.004425;0.004425
wf;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
wq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wa;0.000272;0.001358;0.009506;0.002988;0.000272;0.002716;0.102662;0.226236;0.000272;0.137154;0.000272;0.018740;0.000272;0.001358;0.028517;0.000815;0.002444;0.452200;0.000272;0.000272;0.000272;0.000543;0.000815;0.002444;0.004889;0.000272;0.000272;0.000272;0.000272;0.000272;0.000543;0.000272;0.000272
wp;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.457627;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949
wu;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
wg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wk;0.025641;0.025641;0.102564;0.051282;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
wz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wd;0.020000;0.020000;0.020000;0.120000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.040000;0.180000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
wx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
