smoothed;3
(;s;t;a;e; ;o;r;n;y;g;l;d;h;i;);c;p;u;f;k;w;m;b;v;z;j;x;,;q;.;#
((;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
(s;0.000971;0.000971;0.141748;0.099029;0.133010;0.008738;0.222330;0.000971;0.005825;0.012621;0.000971;0.014563;0.000971;0.118447;0.051456;0.000971;0.029126;0.046602;0.072816;0.000971;0.008738;0.008738;0.009709;0.000971;0.000971;0.000971;0.000971;0.000971;0.000971;0.001942;0.000971;0.000971
(t;0.000426;0.000852;0.000426;0.032794;0.040460;0.000426;0.147359;0.059625;0.000426;0.001704;0.000426;0.000426;0.000426;0.677598;0.014480;0.000426;0.000426;0.000426;0.006388;0.000426;0.000426;0.008518;0.000426;0.000426;0.001278;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426;0.000426
(a;0.000499;0.047405;0.039421;0.000499;0.000998;0.099301;0.000499;0.042914;0.358782;0.000499;0.021956;0.074351;0.023453;0.001996;0.003493;0.000499;0.040918;0.031936;0.092315;0.017465;0.000499;0.008483;0.023952;0.059381;0.004990;0.000499;0.000499;0.000499;0.000499;0.000499;0.000499;0.000499
(e;0.002353;0.032941;0.009412;0.056471;0.002353;0.002353;0.002353;0.016471;0.117647;0.004706;0.007059;0.056471;0.011765;0.002353;0.016471;0.002353;0.021176;0.018824;0.014118;0.021176;0.002353;0.002353;0.044706;0.002353;0.242353;0.002353;0.002353;0.247059;0.002353;0.028235;0.002353;0.002353
( ;0.002770;0.038781;0.144044;0.113573;0.013850;0.016620;0.060942;0.027701;0.030471;0.022161;0.016620;0.013850;0.030471;0.066482;0.080332;0.002770;0.036011;0.011080;0.011080;0.055402;0.008310;0.063712;0.047091;0.052632;0.005540;0.002770;0.011080;0.002770;0.002770;0.002770;0.002770;0.002770
(o;0.001272;0.001272;0.020356;0.002545;0.001272;0.001272;0.003817;0.086514;0.206107;0.001272;0.001272;0.005089;0.001272;0.047074;0.002545;0.001272;0.006361;0.021628;0.069975;0.395674;0.034351;0.012723;0.002545;0.022901;0.039440;0.001272;0.002545;0.001272;0.001272;0.001272;0.001272;0.001272
(r;0.002410;0.002410;0.002410;0.079518;0.590361;0.002410;0.055422;0.004819;0.002410;0.002410;0.002410;0.002410;0.002410;0.007229;0.134940;0.002410;0.002410;0.002410;0.067470;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410
(n;0.002439;0.002439;0.002439;0.102439;0.187805;0.002439;0.560976;0.012195;0.002439;0.002439;0.002439;0.002439;0.004878;0.002439;0.031707;0.002439;0.002439;0.002439;0.039024;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439;0.002439
(y;0.002183;0.002183;0.002183;0.004367;0.172489;0.002183;0.757642;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.004367;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183;0.002183
(g;0.002907;0.002907;0.002907;0.087209;0.215116;0.002907;0.319767;0.104651;0.002907;0.002907;0.002907;0.023256;0.002907;0.002907;0.072674;0.002907;0.002907;0.005814;0.101744;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907
(l;0.002381;0.002381;0.002381;0.164286;0.192857;0.002381;0.223810;0.002381;0.002381;0.007143;0.004762;0.002381;0.002381;0.002381;0.333333;0.002381;0.002381;0.002381;0.014286;0.002381;0.002381;0.002381;0.002381;0.002381;0.002381;0.002381;0.002381;0.002381;0.002381;0.002381;0.002381;0.002381
(d;0.001890;0.001890;0.001890;0.068053;0.234405;0.003781;0.330813;0.062382;0.007561;0.011342;0.001890;0.001890;0.001890;0.001890;0.209830;0.001890;0.001890;0.001890;0.024575;0.001890;0.001890;0.003781;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.001890;0.003781;0.001890
(h;0.001445;0.001445;0.001445;0.302023;0.281792;0.001445;0.182081;0.002890;0.001445;0.004335;0.001445;0.001445;0.001445;0.001445;0.143064;0.001445;0.001445;0.001445;0.047688;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445;0.001445
(i;0.000867;0.181109;0.200173;0.000867;0.000867;0.116984;0.000867;0.012132;0.316291;0.000867;0.001733;0.015598;0.012132;0.000867;0.000867;0.001733;0.000867;0.000867;0.000867;0.040728;0.000867;0.000867;0.072790;0.000867;0.011265;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867
();0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
(c;0.001211;0.001211;0.001211;0.205811;0.035109;0.001211;0.437046;0.073850;0.001211;0.004843;0.001211;0.055690;0.001211;0.106538;0.018160;0.001211;0.001211;0.004843;0.029056;0.001211;0.001211;0.001211;0.001211;0.002421;0.001211;0.002421;0.001211;0.001211;0.001211;0.001211;0.001211;0.001211
(p;0.001577;0.001577;0.003155;0.115142;0.181388;0.001577;0.151420;0.328076;0.001577;0.001577;0.001577;0.059937;0.001577;0.020505;0.041009;0.001577;0.001577;0.001577;0.061514;0.001577;0.001577;0.001577;0.001577;0.003155;0.001577;0.001577;0.001577;0.001577;0.001577;0.001577;0.001577;0.001577
(u;0.005051;0.136364;0.005051;0.005051;0.005051;0.005051;0.005051;0.030303;0.510101;0.005051;0.010101;0.025253;0.010101;0.055556;0.005051;0.005051;0.005051;0.090909;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.015152;0.005051
(f;0.001751;0.001751;0.001751;0.157618;0.059545;0.001751;0.283713;0.178634;0.001751;0.001751;0.001751;0.045534;0.001751;0.001751;0.152364;0.001751;0.001751;0.001751;0.071804;0.001751;0.001751;0.001751;0.001751;0.008757;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751;0.001751
(k;0.008000;0.008000;0.008000;0.048000;0.088000;0.008000;0.008000;0.008000;0.360000;0.008000;0.008000;0.016000;0.008000;0.024000;0.240000;0.008000;0.008000;0.008000;0.024000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000
(w;0.000850;0.000850;0.000850;0.136905;0.209184;0.000850;0.122449;0.011054;0.000850;0.000850;0.000850;0.000850;0.000850;0.345238;0.152211;0.000850;0.000850;0.000850;0.000850;0.000850;0.000850;0.001701;0.000850;0.000850;0.000850;0.000850;0.000850;0.000850;0.000850;0.000850;0.000850;0.000850
(m;0.001770;0.001770;0.001770;0.283186;0.141593;0.001770;0.176991;0.007080;0.001770;0.049558;0.001770;0.001770;0.001770;0.001770;0.125664;0.001770;0.007080;0.001770;0.161062;0.001770;0.001770;0.001770;0.003540;0.005310;0.001770;0.001770;0.001770;0.001770;0.001770;0.001770;0.001770;0.001770
(b;0.001142;0.001142;0.001142;0.107306;0.371005;0.001142;0.045662;0.065068;0.001142;0.065068;0.001142;0.019406;0.001142;0.001142;0.049087;0.001142;0.001142;0.001142;0.250000;0.001142;0.001142;0.001142;0.001142;0.001142;0.001142;0.001142;0.001142;0.001142;0.001142;0.001142;0.001142;0.001142
(v;0.009091;0.009091;0.009091;0.118182;0.390909;0.009091;0.063636;0.009091;0.009091;0.009091;0.009091;0.018182;0.009091;0.009091;0.163636;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091;0.009091
(z;0.025000;0.025000;0.025000;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(j;0.004975;0.004975;0.004975;0.054726;0.064677;0.004975;0.159204;0.014925;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.054726;0.004975;0.004975;0.009950;0.517413;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
