smoothed;3
(;s;t;a;e; ;o;r;n;y;g;l;d;h;i;);c;p;u;f;k;w;m;b;v;z;j;x;,;q;.;#
(x;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(,;0.025641;0.025641;0.025641;0.025641;0.025641;0.179487;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
(q;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.491803;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
(.;0.023810;0.023810;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.190476;0.023810
(#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
s(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ss;0.001038;0.002077;0.002077;0.072690;0.143302;0.280374;0.031153;0.002077;0.002077;0.006231;0.001038;0.008307;0.001038;0.004154;0.252336;0.051921;0.001038;0.003115;0.062305;0.009346;0.001038;0.001038;0.037383;0.001038;0.001038;0.001038;0.001038;0.001038;0.004154;0.001038;0.009346;0.003115
st;0.000287;0.020935;0.000287;0.164038;0.098365;0.326068;0.080011;0.068540;0.000574;0.004302;0.000287;0.014052;0.000574;0.001147;0.114999;0.061658;0.000574;0.000287;0.026670;0.000287;0.000287;0.002581;0.004588;0.000860;0.000287;0.000287;0.000287;0.000287;0.004588;0.000287;0.001434;0.000287
sa;0.001098;0.028540;0.026345;0.001098;0.001098;0.015368;0.002195;0.020856;0.105379;0.335895;0.037322;0.047201;0.029638;0.001098;0.105379;0.001098;0.008782;0.009879;0.077936;0.017563;0.003293;0.031833;0.057080;0.007684;0.018661;0.001098;0.001098;0.001098;0.001098;0.001098;0.001098;0.001098
se;0.000326;0.054125;0.017607;0.028693;0.080209;0.348223;0.000326;0.053146;0.063580;0.005543;0.000326;0.067167;0.072709;0.000326;0.000978;0.086078;0.050212;0.003261;0.001630;0.001956;0.000326;0.000978;0.004891;0.000652;0.009455;0.000326;0.000326;0.025432;0.006847;0.005217;0.007825;0.001304
s ;0.000101;0.051916;0.140134;0.162746;0.018252;0.002636;0.067228;0.021294;0.038126;0.016122;0.021091;0.033462;0.022713;0.044514;0.079193;0.001115;0.036200;0.026871;0.009227;0.038532;0.004664;0.068140;0.026871;0.047252;0.006084;0.000608;0.012979;0.000203;0.000406;0.001014;0.000203;0.000101
so;0.000552;0.000552;0.001104;0.002761;0.002761;0.273882;0.006626;0.045279;0.150745;0.000552;0.002209;0.059636;0.011044;0.000552;0.001657;0.034787;0.034787;0.002209;0.059083;0.009939;0.000552;0.001104;0.268912;0.005522;0.002209;0.000552;0.000552;0.000552;0.016565;0.000552;0.001657;0.000552
sr;0.021739;0.021739;0.021739;0.065217;0.173913;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
sn;0.004651;0.004651;0.748837;0.046512;0.023256;0.004651;0.018605;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.032558;0.004651;0.004651;0.004651;0.009302;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651;0.004651
sy;0.005988;0.281437;0.005988;0.005988;0.005988;0.293413;0.005988;0.029940;0.023952;0.005988;0.005988;0.071856;0.005988;0.005988;0.005988;0.041916;0.035928;0.011976;0.005988;0.005988;0.005988;0.005988;0.065868;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.005988;0.011976;0.005988
sg;0.020000;0.020000;0.020000;0.020000;0.080000;0.020000;0.020000;0.060000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.260000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
sl;0.003984;0.003984;0.003984;0.250996;0.135458;0.003984;0.091633;0.003984;0.003984;0.258964;0.003984;0.003984;0.003984;0.003984;0.143426;0.003984;0.003984;0.003984;0.015936;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984;0.003984
sd;0.021739;0.021739;0.021739;0.239130;0.043478;0.043478;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
sh;0.001028;0.001028;0.010277;0.055498;0.213772;0.099692;0.390545;0.007194;0.005139;0.004111;0.001028;0.004111;0.001028;0.002055;0.135663;0.015416;0.003083;0.001028;0.017472;0.003083;0.002055;0.001028;0.014388;0.001028;0.001028;0.001028;0.001028;0.001028;0.001028;0.001028;0.002055;0.001028
si;0.000709;0.051064;0.078014;0.031915;0.012766;0.005674;0.099291;0.007092;0.183688;0.000709;0.055319;0.020567;0.153901;0.000709;0.000709;0.001418;0.114894;0.002837;0.000709;0.001418;0.000709;0.000709;0.036170;0.058865;0.051064;0.007801;0.000709;0.016312;0.002128;0.000709;0.000709;0.000709
s);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
sc;0.002415;0.002415;0.002415;0.132850;0.050725;0.002415;0.200483;0.205314;0.002415;0.002415;0.002415;0.014493;0.002415;0.099034;0.195652;0.002415;0.004831;0.002415;0.041063;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415
sp;0.002049;0.004098;0.002049;0.092213;0.387295;0.002049;0.176230;0.088115;0.002049;0.008197;0.002049;0.010246;0.002049;0.004098;0.168033;0.002049;0.002049;0.002049;0.016393;0.002049;0.002049;0.002049;0.002049;0.002049;0.002049;0.002049;0.002049;0.002049;0.002049;0.002049;0.002049;0.002049
su;0.001560;0.067083;0.001560;0.032761;0.078003;0.001560;0.003120;0.257410;0.039002;0.001560;0.024961;0.068643;0.012480;0.001560;0.037441;0.001560;0.071763;0.117005;0.001560;0.024961;0.001560;0.001560;0.084243;0.051482;0.003120;0.003120;0.001560;0.001560;0.001560;0.001560;0.001560;0.001560
sf;0.020833;0.020833;0.020833;0.083333;0.020833;0.020833;0.041667;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.104167;0.020833;0.020833;0.020833;0.166667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
sk;0.006098;0.054878;0.006098;0.048780;0.262195;0.225610;0.006098;0.006098;0.006098;0.079268;0.006098;0.006098;0.006098;0.006098;0.115854;0.030488;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.006098;0.024390;0.006098;0.018293;0.006098
sw;0.008772;0.008772;0.008772;0.096491;0.421053;0.008772;0.061404;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.175439;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772
sm;0.005650;0.033898;0.005650;0.225989;0.197740;0.169492;0.062147;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.101695;0.050847;0.005650;0.005650;0.011299;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.011299;0.005650;0.011299;0.005650
sb;0.018868;0.018868;0.018868;0.113208;0.075472;0.037736;0.018868;0.018868;0.018868;0.075472;0.018868;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.169811;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
sv;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.138889;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
sz;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
sj;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
sx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
s,;0.004975;0.004975;0.004975;0.004975;0.004975;0.149254;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.701493;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975;0.004975
sq;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.392157;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
s.;0.004484;0.004484;0.004484;0.004484;0.004484;0.103139;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.008969;0.721973;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.040359;0.004484
s#;0.014925;0.014925;0.014925;0.014925;0.014925;0.059701;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.492537;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925;0.014925
t(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ts;0.000571;0.000571;0.001142;0.000571;0.010280;0.796688;0.003998;0.000571;0.000571;0.001713;0.000571;0.001142;0.001142;0.002856;0.007995;0.139349;0.001142;0.001142;0.003427;0.000571;0.000571;0.000571;0.001142;0.001142;0.000571;0.000571;0.000571;0.000571;0.007424;0.000571;0.009138;0.001142
tt;0.001597;0.009585;0.001597;0.065495;0.316294;0.033546;0.071885;0.022364;0.001597;0.137380;0.001597;0.130990;0.001597;0.003195;0.167732;0.007987;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597;0.001597
ta;0.000604;0.022961;0.141994;0.000604;0.001208;0.035045;0.000604;0.112991;0.130514;0.015710;0.030816;0.154079;0.001208;0.000604;0.062236;0.007251;0.031420;0.013897;0.007251;0.005438;0.109366;0.001208;0.007855;0.043505;0.000604;0.000604;0.000604;0.056798;0.001208;0.000604;0.000604;0.000604
te;0.000309;0.071649;0.000309;0.025942;0.014206;0.163990;0.001544;0.247066;0.096973;0.000309;0.004015;0.090797;0.154725;0.001235;0.001853;0.031501;0.025015;0.007412;0.000309;0.001544;0.000309;0.000618;0.031192;0.001544;0.008338;0.000309;0.000309;0.010500;0.002779;0.000309;0.002471;0.000618
t ;0.000101;0.051743;0.164629;0.100152;0.022941;0.003739;0.063972;0.021324;0.019909;0.028297;0.019202;0.026478;0.024861;0.058717;0.118140;0.001011;0.036786;0.024659;0.008287;0.026882;0.008590;0.072966;0.037089;0.043861;0.002527;0.000606;0.009702;0.000303;0.000404;0.001819;0.000202;0.000101
to;0.000272;0.011694;0.006799;0.002448;0.001904;0.598042;0.033451;0.100897;0.048953;0.002448;0.006255;0.016590;0.009791;0.000272;0.001904;0.089747;0.005983;0.022845;0.010606;0.000272;0.001904;0.008975;0.010335;0.003264;0.000544;0.000272;0.000272;0.001360;0.000816;0.000272;0.000272;0.000544
tr;0.000731;0.000731;0.000731;0.225877;0.080409;0.001462;0.097953;0.000731;0.000731;0.130117;0.000731;0.000731;0.000731;0.000731;0.127924;0.000731;0.000731;0.000731;0.317982;0.000731;0.000731;0.000731;0.000731;0.000731;0.000731;0.000731;0.000731;0.000731;0.000731;0.000731;0.000731;0.000731
tn;0.017857;0.017857;0.035714;0.035714;0.392857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.035714;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
ty;0.001792;0.025090;0.003584;0.001792;0.003584;0.663082;0.001792;0.003584;0.001792;0.001792;0.001792;0.021505;0.001792;0.001792;0.001792;0.159498;0.001792;0.035842;0.001792;0.007168;0.001792;0.001792;0.003584;0.001792;0.001792;0.001792;0.001792;0.001792;0.017921;0.001792;0.016129;0.005376
tg;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
tl;0.002336;0.002336;0.002336;0.021028;0.301402;0.002336;0.007009;0.002336;0.002336;0.549065;0.002336;0.021028;0.002336;0.002336;0.039720;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336;0.002336
td;0.027027;0.027027;0.027027;0.027027;0.027027;0.135135;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
th;0.000089;0.002684;0.000268;0.225691;0.505591;0.064585;0.034440;0.014849;0.000268;0.001431;0.000179;0.000537;0.000716;0.000358;0.132749;0.010287;0.000268;0.000268;0.001342;0.000089;0.000089;0.000179;0.000447;0.000089;0.000089;0.000089;0.000089;0.000089;0.000805;0.000179;0.000805;0.000358
ti;0.000365;0.021509;0.025155;0.028801;0.032082;0.002552;0.317536;0.010937;0.175720;0.000365;0.017864;0.044477;0.002917;0.000365;0.000729;0.001094;0.116661;0.008750;0.000365;0.021509;0.000365;0.000365;0.104995;0.002187;0.051404;0.008385;0.000365;0.000365;0.000365;0.000729;0.000365;0.000365
t);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
tc;0.004762;0.004762;0.004762;0.019048;0.004762;0.004762;0.138095;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.700000;0.004762;0.009524;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762;0.004762
tp;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
tu;0.001439;0.008633;0.024460;0.317986;0.050360;0.004317;0.001439;0.348201;0.066187;0.001439;0.002878;0.011511;0.030216;0.001439;0.007194;0.001439;0.023022;0.037410;0.001439;0.025899;0.001439;0.001439;0.012950;0.005755;0.001439;0.001439;0.001439;0.001439;0.001439;0.001439;0.001439;0.001439
tf;0.019608;0.019608;0.019608;0.019608;0.039216;0.019608;0.137255;0.019608;0.019608;0.019608;0.019608;0.058824;0.019608;0.019608;0.078431;0.019608;0.019608;0.019608;0.156863;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
tk;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
