smoothed;3
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
hf;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
hr;0.000857;0.000857;0.475578;0.005141;0.000857;0.149957;0.000857;0.000857;0.044559;0.000857;0.281919;0.000857;0.000857;0.000857;0.018852;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.000857;0.001714
hk;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.288889;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
hy;0.000910;0.080073;0.000910;0.745223;0.000910;0.000910;0.004550;0.000910;0.001820;0.001820;0.000910;0.001820;0.000910;0.007279;0.000910;0.103731;0.000910;0.000910;0.003640;0.027298;0.000910;0.002730;0.000910;0.000910;0.000910;0.000910;0.000910;0.000910;0.000910;0.000910;0.000910;0.000910;0.000910
hv;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
hj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
a(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
as;0.000074;0.058654;0.026365;0.580538;0.000074;0.048063;0.071392;0.014071;0.001259;0.000074;0.044805;0.019996;0.000148;0.000074;0.003999;0.084796;0.006517;0.000074;0.000518;0.003481;0.000074;0.000074;0.026883;0.007110;0.000074;0.000074;0.000074;0.000074;0.000296;0.000074;0.000074;0.000074;0.000074
ao;0.012658;0.227848;0.012658;0.075949;0.012658;0.037975;0.025316;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.265823;0.025316;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
a ;0.000076;0.081970;0.011928;0.002447;0.055895;0.027145;0.062777;0.037926;0.028368;0.072718;0.004206;0.021410;0.059642;0.039838;0.004817;0.000765;0.080823;0.152011;0.044655;0.064383;0.039914;0.037773;0.011240;0.019498;0.023322;0.010170;0.000612;0.000076;0.002982;0.000076;0.000382;0.000076;0.000076
aw;0.001005;0.090452;0.001005;0.318593;0.001005;0.006030;0.001005;0.003015;0.277387;0.001005;0.049246;0.016080;0.001005;0.001005;0.001005;0.055276;0.002010;0.011055;0.003015;0.001005;0.038191;0.004020;0.026131;0.081407;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005;0.001005
ai;0.000256;0.034254;0.000256;0.002301;0.000256;0.000767;0.054448;0.000256;0.000256;0.000256;0.000256;0.396984;0.026329;0.288344;0.000256;0.001022;0.002556;0.074131;0.018405;0.000256;0.000511;0.087423;0.001534;0.000511;0.004857;0.000256;0.001278;0.000511;0.000256;0.000256;0.000256;0.000256;0.000256
at;0.000030;0.089547;0.005787;0.552571;0.000152;0.098471;0.017818;0.016996;0.002619;0.000030;0.106238;0.000244;0.000152;0.000183;0.007005;0.084613;0.009777;0.001462;0.001218;0.000030;0.001188;0.003350;0.000061;0.000152;0.000061;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030;0.000030
ah;0.000259;0.002072;0.003367;0.841751;0.000259;0.000259;0.000259;0.000518;0.005698;0.001813;0.009842;0.000518;0.000259;0.000518;0.000518;0.126651;0.000259;0.000259;0.001295;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259;0.000259
aa;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.163265;0.020408;0.020408;0.020408;0.040816;0.020408;0.020408;0.061224;0.020408;0.020408;0.081633;0.020408;0.020408;0.020408;0.061224;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
ab;0.000189;0.033025;0.679185;0.005095;0.000189;0.030572;0.000189;0.000566;0.004718;0.008681;0.012644;0.000566;0.000189;0.000566;0.010945;0.001698;0.000566;0.200038;0.000189;0.000189;0.000189;0.002642;0.000189;0.004907;0.000189;0.000566;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189;0.000189
ae;0.008772;0.026316;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.017544;0.008772;0.008772;0.035088;0.017544;0.008772;0.008772;0.622807;0.008772;0.008772;0.008772;0.043860;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772
an;0.000028;0.027004;0.006243;0.164702;0.000251;0.013544;0.087005;0.000418;0.009336;0.000111;0.005769;0.006577;0.020846;0.544408;0.000780;0.030349;0.016554;0.000111;0.000167;0.000084;0.000752;0.000028;0.010562;0.053870;0.000028;0.000028;0.000028;0.000279;0.000028;0.000028;0.000028;0.000028;0.000028
ag;0.000407;0.006507;0.130948;0.018300;0.000407;0.068727;0.000407;0.003253;0.244408;0.000813;0.331029;0.016267;0.020740;0.000407;0.014233;0.005287;0.000407;0.002033;0.002440;0.000813;0.000407;0.127288;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407
ad;0.000210;0.014672;0.010480;0.439740;0.001677;0.094949;0.000419;0.001677;0.028925;0.000419;0.142109;0.006498;0.001048;0.034794;0.022218;0.069168;0.007755;0.015930;0.024314;0.000210;0.000419;0.001886;0.000210;0.041710;0.033955;0.002934;0.000210;0.000210;0.000419;0.000210;0.000210;0.000210;0.000210
au;0.000268;0.756967;0.000268;0.002947;0.000268;0.000268;0.081458;0.000268;0.000268;0.000804;0.000536;0.008574;0.053055;0.048232;0.000268;0.000268;0.008842;0.019025;0.001340;0.000268;0.000268;0.011254;0.000268;0.000268;0.000268;0.000268;0.000268;0.001608;0.000268;0.000268;0.000268;0.000268;0.000268
a);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ac;0.000153;0.000459;0.003827;0.001684;0.000153;0.052043;0.348691;0.112353;0.019593;0.000153;0.126588;0.000153;0.000153;0.000153;0.004592;0.000459;0.048829;0.006888;0.000153;0.000765;0.000153;0.020664;0.234808;0.012858;0.000153;0.000153;0.000153;0.000153;0.002449;0.000153;0.000153;0.000153;0.000153
al;0.000054;0.043221;0.010053;0.180142;0.027578;0.067573;0.024836;0.000054;0.005430;0.001021;0.014730;0.000376;0.000806;0.004086;0.009569;0.043329;0.001828;0.443877;0.013171;0.000161;0.008010;0.012042;0.083163;0.002742;0.000645;0.000054;0.001021;0.000054;0.000161;0.000054;0.000054;0.000054;0.000054
am;0.000243;0.026712;0.064352;0.135503;0.000243;0.107576;0.000729;0.000243;0.062166;0.015299;0.422292;0.004614;0.000243;0.000243;0.000971;0.021370;0.000243;0.000971;0.014327;0.117776;0.000243;0.000243;0.000243;0.000971;0.000243;0.000243;0.000243;0.000243;0.000243;0.000243;0.000243;0.000243;0.000243
ap;0.000472;0.056132;0.038679;0.049057;0.000472;0.071226;0.030189;0.040094;0.040094;0.000472;0.059434;0.000472;0.000472;0.000472;0.000472;0.008491;0.006604;0.001415;0.001887;0.577358;0.000472;0.007075;0.000472;0.003774;0.000472;0.000472;0.000472;0.000472;0.000472;0.000472;0.000472;0.000472;0.000472
af;0.001368;0.001368;0.002736;0.002736;0.001368;0.008208;0.533516;0.001368;0.010944;0.001368;0.083447;0.001368;0.013680;0.001368;0.002736;0.001368;0.001368;0.004104;0.001368;0.001368;0.198358;0.108071;0.001368;0.002736;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368;0.001368
ar;0.000070;0.063347;0.025311;0.097073;0.000487;0.049579;0.146304;0.000070;0.019192;0.002990;0.299353;0.023225;0.036437;0.069189;0.000139;0.015646;0.019679;0.029275;0.009248;0.001877;0.000695;0.030665;0.020861;0.030040;0.005146;0.000070;0.000278;0.003199;0.000278;0.000070;0.000070;0.000070;0.000070
ak;0.000423;0.013965;0.002539;0.081676;0.000423;0.195091;0.002116;0.000846;0.002116;0.000423;0.659331;0.002116;0.000423;0.001270;0.000423;0.017351;0.000423;0.003386;0.000423;0.000423;0.007194;0.000423;0.001693;0.001270;0.000423;0.000423;0.000423;0.000423;0.000423;0.000423;0.000423;0.000423;0.000846
ay;0.000139;0.159838;0.002090;0.568144;0.000418;0.082358;0.001394;0.000557;0.001533;0.069119;0.014075;0.001254;0.000139;0.000697;0.000139;0.087235;0.000418;0.001533;0.002787;0.003902;0.000279;0.000139;0.000418;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139
av;0.000199;0.000199;0.016726;0.000398;0.000199;0.096376;0.000199;0.000199;0.009160;0.000199;0.869574;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.002190;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000199;0.000398;0.000199
aj;0.006329;0.025316;0.683544;0.012658;0.006329;0.031646;0.006329;0.006329;0.018987;0.006329;0.044304;0.012658;0.006329;0.006329;0.012658;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329;0.006329
az;0.002165;0.002165;0.025974;0.004329;0.002165;0.445887;0.002165;0.002165;0.015152;0.002165;0.060606;0.002165;0.002165;0.002165;0.002165;0.002165;0.002165;0.002165;0.002165;0.002165;0.002165;0.006494;0.002165;0.365801;0.002165;0.002165;0.021645;0.002165;0.002165;0.002165;0.002165;0.002165;0.002165
ax;0.004717;0.004717;0.004717;0.330189;0.004717;0.108491;0.033019;0.004717;0.023585;0.004717;0.278302;0.004717;0.004717;0.004717;0.004717;0.070755;0.004717;0.004717;0.018868;0.009434;0.004717;0.004717;0.004717;0.014151;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717;0.004717
aq;0.015625;0.015625;0.015625;0.296875;0.015625;0.125000;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.046875;0.078125;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
a.;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.238095;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
a,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
aé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
a#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bs;0.001876;0.001876;0.272045;0.258912;0.001876;0.084428;0.075047;0.001876;0.005629;0.001876;0.114447;0.001876;0.001876;0.001876;0.016886;0.060038;0.065666;0.001876;0.001876;0.001876;0.001876;0.001876;0.003752;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876;0.001876
bo;0.000172;0.004293;0.100120;0.001717;0.003091;0.000859;0.048944;0.000343;0.011850;0.003263;0.000172;0.005839;0.001030;0.128971;0.605530;0.000343;0.000172;0.007556;0.003778;0.000172;0.000172;0.043620;0.000172;0.015284;0.006011;0.000172;0.000172;0.005324;0.000172;0.000172;0.000172;0.000172;0.000172
b ;0.002604;0.083333;0.130208;0.002604;0.067708;0.122396;0.098958;0.023438;0.130208;0.052083;0.013021;0.013021;0.018229;0.018229;0.010417;0.002604;0.020833;0.018229;0.033854;0.007812;0.015625;0.028646;0.002604;0.054688;0.002604;0.002604;0.002604;0.002604;0.007812;0.002604;0.002604;0.002604;0.002604
bw;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.238095;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
bi;0.000502;0.003014;0.036163;0.009543;0.001005;0.000502;0.342541;0.000502;0.037670;0.012557;0.011050;0.108488;0.232044;0.008538;0.000502;0.001507;0.009543;0.145655;0.000502;0.002009;0.001005;0.016575;0.002511;0.000502;0.001005;0.000502;0.011050;0.000502;0.000502;0.000502;0.000502;0.000502;0.000502
bt;0.010870;0.032609;0.010870;0.326087;0.010870;0.097826;0.010870;0.010870;0.032609;0.010870;0.054348;0.010870;0.010870;0.010870;0.010870;0.043478;0.010870;0.086957;0.010870;0.010870;0.032609;0.021739;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.021739;0.010870;0.010870;0.010870;0.010870
bh;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ba;0.000339;0.191057;0.000339;0.002710;0.000339;0.006098;0.085027;0.003726;0.000339;0.149729;0.000339;0.066734;0.011179;0.088076;0.001016;0.002033;0.256436;0.045393;0.031165;0.000678;0.003049;0.040312;0.005081;0.003388;0.000339;0.000339;0.000678;0.002371;0.000339;0.000339;0.000339;0.000339;0.000339
bb;0.005155;0.005155;0.036082;0.025773;0.005155;0.211340;0.005155;0.005155;0.046392;0.005155;0.195876;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.273196;0.005155;0.005155;0.005155;0.010309;0.005155;0.072165;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155
be;0.000081;0.020572;0.000081;0.242974;0.000243;0.051591;0.040253;0.009800;0.016198;0.000081;0.080748;0.019114;0.013283;0.006317;0.000081;0.042196;0.237305;0.063335;0.000081;0.000081;0.046570;0.104074;0.000081;0.003969;0.000243;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081;0.000081
bn;0.022727;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.045455;0.022727;0.181818;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.068182;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
bg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bd;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
bu;0.000186;0.051946;0.000559;0.000186;0.000186;0.029417;0.811767;0.000186;0.000186;0.006703;0.000186;0.024390;0.001117;0.006516;0.000186;0.000186;0.006144;0.005027;0.004655;0.000186;0.001303;0.030721;0.000186;0.012847;0.000186;0.000186;0.003538;0.000186;0.000186;0.000186;0.000186;0.000186;0.000186
b);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bc;0.013889;0.013889;0.041667;0.333333;0.013889;0.013889;0.013889;0.013889;0.027778;0.013889;0.013889;0.013889;0.013889;0.013889;0.180556;0.027778;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889;0.013889
bl;0.000293;0.000293;0.055425;0.000293;0.000293;0.170674;0.000293;0.000293;0.160411;0.000293;0.434604;0.000293;0.000293;0.000293;0.014663;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.156305;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293;0.000293
bm;0.020833;0.020833;0.020833;0.020833;0.020833;0.250000;0.020833;0.020833;0.020833;0.020833;0.104167;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
bp;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
bf;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
br;0.000705;0.000705;0.289641;0.000705;0.000705;0.267794;0.000705;0.000705;0.224806;0.000705;0.176885;0.000705;0.000705;0.000705;0.019027;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.002819;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705;0.000705
bk;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
by;0.001001;0.005005;0.001001;0.807808;0.001001;0.008008;0.001001;0.001001;0.002002;0.001001;0.003003;0.001001;0.003003;0.001001;0.001001;0.130130;0.005005;0.010010;0.002002;0.001001;0.001001;0.001001;0.001001;0.001001;0.001001;0.001001;0.002002;0.001001;0.001001;0.001001;0.001001;0.001001;0.001001
bv;0.003268;0.003268;0.003268;0.003268;0.003268;0.875817;0.003268;0.003268;0.003268;0.003268;0.022876;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268;0.003268
bj;0.007246;0.014493;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.724638;0.007246;0.007246;0.007246;0.036232;0.014493;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246
bz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b.;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
b,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bé;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
b#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
e(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
es;0.000059;0.132493;0.005300;0.470380;0.000059;0.020316;0.133553;0.002591;0.000707;0.001060;0.096514;0.019668;0.000059;0.001001;0.007125;0.071134;0.006654;0.000118;0.000412;0.028736;0.000059;0.000059;0.001119;0.000118;0.000118;0.000059;0.000059;0.000059;0.000177;0.000059;0.000059;0.000059;0.000059
eo;0.000213;0.013017;0.000213;0.025822;0.000213;0.000213;0.003841;0.000213;0.000213;0.000213;0.000213;0.081306;0.001494;0.000854;0.007256;0.003201;0.004268;0.024968;0.000427;0.797268;0.002134;0.027956;0.000213;0.000213;0.001707;0.000213;0.000640;0.000213;0.000213;0.000427;0.000213;0.000213;0.000213
