smoothed;3
(;);n;o;r;d;s;t;m; ;h;a;p;e;c;i;l;y;f;u;g;w;b;k;v;#
((;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
();0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
(n;0.004292;0.004292;0.004292;0.639485;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.047210;0.004292;0.141631;0.004292;0.077253;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292
(o;0.002506;0.002506;0.275689;0.005013;0.115288;0.002506;0.002506;0.030075;0.002506;0.005013;0.167920;0.002506;0.012531;0.002506;0.010025;0.002506;0.010025;0.002506;0.102757;0.112782;0.002506;0.010025;0.037594;0.050125;0.027569;0.002506
(r;0.005682;0.005682;0.005682;0.034091;0.005682;0.005682;0.005682;0.005682;0.005682;0.005682;0.005682;0.107955;0.005682;0.454545;0.005682;0.215909;0.005682;0.005682;0.005682;0.068182;0.005682;0.005682;0.005682;0.005682;0.005682;0.005682
(d;0.004255;0.004255;0.004255;0.378723;0.029787;0.004255;0.004255;0.004255;0.004255;0.008511;0.004255;0.131915;0.004255;0.131915;0.004255;0.191489;0.004255;0.008511;0.004255;0.042553;0.004255;0.004255;0.004255;0.004255;0.004255;0.004255
(s;0.001916;0.001916;0.001916;0.411877;0.001916;0.001916;0.001916;0.097701;0.007663;0.001916;0.078544;0.047893;0.032567;0.124521;0.013410;0.059387;0.028736;0.005747;0.001916;0.061303;0.001916;0.001916;0.001916;0.005747;0.001916;0.001916
(t;0.000802;0.000802;0.000802;0.072975;0.032077;0.000802;0.000802;0.000802;0.000802;0.001604;0.811548;0.018444;0.000802;0.013633;0.000802;0.011227;0.000802;0.000802;0.000802;0.005613;0.000802;0.019246;0.000802;0.000802;0.000802;0.000802
(m;0.003731;0.003731;0.003731;0.123134;0.029851;0.003731;0.003731;0.007463;0.003731;0.003731;0.003731;0.376866;0.003731;0.134328;0.011194;0.082090;0.003731;0.119403;0.003731;0.052239;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731
( ;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
