smoothed;2
(;s;t;a;e; ;o;r;n;y;g;l;d;h;i;);c;p;u;f;k;w;m;b;v;z;j;x;,;q;.;#
f;0.000124;0.006186;0.027836;0.084622;0.077199;0.276506;0.171100;0.068539;0.000371;0.005072;0.000247;0.023754;0.000371;0.000124;0.111716;0.044538;0.000371;0.000124;0.040579;0.053322;0.000247;0.000124;0.000124;0.003464;0.000124;0.000247;0.000124;0.000124;0.001608;0.000124;0.000866;0.000124
k;0.000237;0.056068;0.001419;0.035959;0.317719;0.244618;0.006151;0.001419;0.098888;0.008044;0.000946;0.013958;0.002366;0.002129;0.125858;0.045895;0.003312;0.003075;0.003785;0.001893;0.001893;0.001419;0.000710;0.003312;0.000237;0.000237;0.000237;0.000237;0.008517;0.000237;0.007807;0.001419
w;0.000113;0.022064;0.000679;0.156936;0.160896;0.124236;0.117108;0.010070;0.026703;0.002489;0.000113;0.002489;0.002037;0.221996;0.115863;0.023648;0.000226;0.000113;0.000113;0.001245;0.000792;0.000453;0.000453;0.000566;0.000113;0.000113;0.000113;0.000113;0.004639;0.000113;0.002263;0.001131
m;0.000101;0.023178;0.000101;0.162247;0.274089;0.121964;0.098381;0.001316;0.001518;0.024595;0.000101;0.001518;0.000101;0.000304;0.091296;0.021457;0.001316;0.084919;0.034818;0.001518;0.000101;0.000709;0.019130;0.029150;0.000101;0.000101;0.000101;0.000101;0.002024;0.000101;0.002227;0.001316
b;0.000137;0.023549;0.002464;0.093784;0.315991;0.012596;0.141156;0.042032;0.000137;0.047097;0.000137;0.099808;0.000274;0.000137;0.063527;0.002191;0.001232;0.000137;0.133625;0.000137;0.000137;0.000137;0.001506;0.008078;0.004244;0.000137;0.004107;0.000137;0.000411;0.000137;0.000548;0.000274
v;0.000246;0.001230;0.000246;0.059793;0.717274;0.008366;0.043553;0.000492;0.000246;0.001722;0.000246;0.000492;0.000246;0.000246;0.158957;0.001969;0.000492;0.000246;0.000492;0.000246;0.000246;0.000246;0.000246;0.000246;0.000246;0.000246;0.000492;0.000246;0.000246;0.000246;0.000246;0.000246
z;0.002364;0.002364;0.002364;0.104019;0.312057;0.068558;0.052009;0.002364;0.002364;0.040189;0.002364;0.018913;0.002364;0.004728;0.210402;0.023641;0.004728;0.002364;0.018913;0.007092;0.002364;0.007092;0.002364;0.004728;0.002364;0.082742;0.002364;0.002364;0.002364;0.002364;0.002364;0.002364
j;0.000912;0.001823;0.001823;0.059253;0.086600;0.009116;0.164995;0.007293;0.000912;0.000912;0.000912;0.000912;0.001823;0.000912;0.032817;0.001823;0.001823;0.002735;0.609845;0.001823;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912;0.000912
x;0.001009;0.004036;0.130172;0.128153;0.065590;0.176589;0.015136;0.001009;0.001009;0.006054;0.001009;0.002018;0.001009;0.008073;0.089808;0.037336;0.067608;0.181635;0.049445;0.002018;0.001009;0.001009;0.001009;0.001009;0.002018;0.001009;0.001009;0.002018;0.006054;0.001009;0.010091;0.004036
,;0.000816;0.000816;0.000816;0.000816;0.000816;0.367047;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.607667;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.000816;0.001631;0.000816;0.000816;0.000816
q;0.002786;0.002786;0.002786;0.011142;0.002786;0.008357;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.896936;0.002786;0.002786;0.002786;0.002786;0.002786;0.005571;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786;0.002786
.;0.000791;0.017405;0.003165;0.004747;0.000791;0.073576;0.002373;0.000791;0.000791;0.000791;0.000791;0.000791;0.000791;0.000791;0.002373;0.758703;0.002373;0.000791;0.000791;0.000791;0.000791;0.001582;0.000791;0.000791;0.000791;0.000791;0.000791;0.000791;0.000791;0.000791;0.116297;0.000791
#;0.003731;0.003731;0.003731;0.003731;0.003731;0.123134;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.753731;0.007463;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.003731;0.011194
