smoothed;3
(;s;o; ;w;h;y;a;r;e;n;t;f;l;i;g;c;u;j;);m;p;d;b;k;v;x;#
(g;0.005747;0.005747;0.362069;0.005747;0.005747;0.005747;0.005747;0.034483;0.114943;0.224138;0.005747;0.005747;0.005747;0.022989;0.051724;0.005747;0.005747;0.068966;0.005747;0.005747;0.005747;0.005747;0.005747;0.005747;0.005747;0.005747;0.005747;0.005747
(c;0.004049;0.004049;0.384615;0.004049;0.004049;0.113360;0.004049;0.222672;0.068826;0.024291;0.004049;0.004049;0.004049;0.036437;0.024291;0.004049;0.004049;0.044534;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049
(u;0.011364;0.147727;0.011364;0.011364;0.011364;0.045455;0.011364;0.011364;0.011364;0.011364;0.295455;0.011364;0.011364;0.056818;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.045455;0.125000;0.011364;0.022727;0.034091;0.011364;0.011364;0.011364
(j;0.011628;0.011628;0.174419;0.011628;0.011628;0.011628;0.011628;0.069767;0.011628;0.069767;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.406977;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628;0.011628
();0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
(m;0.004000;0.004000;0.176000;0.004000;0.004000;0.004000;0.128000;0.236000;0.004000;0.112000;0.004000;0.004000;0.004000;0.004000;0.176000;0.004000;0.008000;0.068000;0.004000;0.004000;0.016000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000;0.004000
(p;0.004444;0.031111;0.106667;0.004444;0.004444;0.040000;0.004444;0.142222;0.151111;0.293333;0.004444;0.004444;0.004444;0.071111;0.031111;0.004444;0.008889;0.044444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444
(d;0.004016;0.004016;0.365462;0.004016;0.004016;0.004016;0.004016;0.064257;0.108434;0.116466;0.004016;0.004016;0.004016;0.004016;0.232932;0.004016;0.004016;0.024096;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016;0.004016
(b;0.003311;0.003311;0.046358;0.003311;0.003311;0.003311;0.026490;0.109272;0.092715;0.344371;0.003311;0.003311;0.003311;0.019868;0.079470;0.003311;0.003311;0.215232;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311
(k;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.066667;0.533333;0.008333;0.008333;0.008333;0.191667;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333;0.008333
(v;0.019231;0.019231;0.076923;0.019231;0.019231;0.019231;0.019231;0.038462;0.019231;0.173077;0.019231;0.019231;0.019231;0.019231;0.250000;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
(x;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
(#;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.194444;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
s(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ss;0.003049;0.003049;0.036585;0.317073;0.003049;0.003049;0.003049;0.027439;0.003049;0.106707;0.003049;0.003049;0.006098;0.009146;0.298780;0.003049;0.006098;0.057927;0.003049;0.076220;0.006098;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049;0.003049
so;0.000997;0.000997;0.004985;0.427717;0.000997;0.001994;0.000997;0.001994;0.063809;0.003988;0.073779;0.000997;0.001994;0.012961;0.009970;0.000997;0.016949;0.020937;0.000997;0.064806;0.274177;0.002991;0.000997;0.004985;0.000997;0.000997;0.000997;0.000997
s ;0.000236;0.053116;0.059962;0.008735;0.063975;0.026440;0.029509;0.178470;0.016525;0.011804;0.030217;0.155099;0.025968;0.048159;0.109065;0.025260;0.022663;0.010387;0.015581;0.002361;0.023371;0.014400;0.019358;0.035647;0.005430;0.006846;0.000236;0.001180
sw;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.186047;0.023256;0.023256;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
sh;0.002660;0.002660;0.313830;0.085106;0.002660;0.002660;0.002660;0.077128;0.082447;0.239362;0.002660;0.002660;0.002660;0.002660;0.095745;0.002660;0.002660;0.039894;0.002660;0.007979;0.005319;0.002660;0.002660;0.005319;0.002660;0.002660;0.002660;0.002660
sy;0.012195;0.292683;0.012195;0.121951;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.024390;0.012195;0.012195;0.036585;0.012195;0.012195;0.219512;0.012195;0.012195;0.024390;0.024390;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195;0.012195
sa;0.002849;0.005698;0.002849;0.008547;0.042735;0.002849;0.324786;0.002849;0.017094;0.002849;0.034188;0.079772;0.019943;0.019943;0.179487;0.017094;0.008547;0.005698;0.002849;0.002849;0.145299;0.025641;0.008547;0.014245;0.002849;0.014245;0.002849;0.002849
sr;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
se;0.000993;0.034757;0.000993;0.445879;0.000993;0.000993;0.000993;0.009930;0.035750;0.092354;0.047666;0.014896;0.001986;0.053625;0.001986;0.002979;0.027805;0.000993;0.000993;0.096326;0.001986;0.005958;0.080437;0.001986;0.000993;0.021847;0.007944;0.005958
sn;0.009434;0.009434;0.056604;0.009434;0.009434;0.009434;0.009434;0.047170;0.009434;0.075472;0.009434;0.575472;0.009434;0.009434;0.028302;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434
st;0.000768;0.026114;0.045315;0.404762;0.001536;0.001536;0.004608;0.142857;0.077573;0.069892;0.001536;0.000768;0.001536;0.009985;0.076805;0.000768;0.000768;0.058372;0.000768;0.065284;0.002304;0.001536;0.000768;0.000768;0.000768;0.000768;0.000768;0.000768
sf;0.031250;0.031250;0.093750;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
sl;0.006173;0.006173;0.030864;0.006173;0.006173;0.006173;0.098765;0.092593;0.006173;0.586420;0.006173;0.006173;0.006173;0.006173;0.049383;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173
si;0.002304;0.034562;0.142857;0.004608;0.002304;0.002304;0.002304;0.048387;0.006912;0.006912;0.131336;0.147465;0.004608;0.027650;0.002304;0.041475;0.089862;0.002304;0.002304;0.002304;0.039171;0.002304;0.076037;0.062212;0.002304;0.036866;0.057604;0.018433
sg;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
sc;0.003968;0.007937;0.079365;0.007937;0.003968;0.142857;0.003968;0.103175;0.111111;0.051587;0.003968;0.003968;0.003968;0.031746;0.261905;0.003968;0.003968;0.123016;0.003968;0.011905;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968
su;0.004717;0.099057;0.004717;0.014151;0.004717;0.004717;0.004717;0.047170;0.179245;0.056604;0.037736;0.004717;0.033019;0.037736;0.023585;0.009434;0.103774;0.004717;0.004717;0.004717;0.042453;0.146226;0.037736;0.070755;0.004717;0.004717;0.004717;0.004717
sj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
s);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
sm;0.008850;0.053097;0.283186;0.194690;0.008850;0.008850;0.008850;0.185841;0.008850;0.026549;0.008850;0.008850;0.008850;0.008850;0.035398;0.008850;0.008850;0.008850;0.008850;0.035398;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850
sp;0.005495;0.010989;0.137363;0.016484;0.005495;0.010989;0.005495;0.120879;0.038462;0.390110;0.005495;0.005495;0.005495;0.016484;0.153846;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495
sd;0.031250;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.125000;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
sb;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
sk;0.015385;0.061538;0.015385;0.107692;0.015385;0.015385;0.046154;0.123077;0.015385;0.184615;0.015385;0.015385;0.015385;0.015385;0.123077;0.015385;0.015385;0.015385;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
sv;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
sx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
s#;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
o(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
os;0.002762;0.091160;0.008287;0.104972;0.002762;0.008287;0.024862;0.002762;0.002762;0.325967;0.002762;0.240331;0.002762;0.002762;0.063536;0.002762;0.013812;0.008287;0.002762;0.019337;0.041436;0.008287;0.002762;0.002762;0.002762;0.002762;0.002762;0.002762
oo;0.001996;0.005988;0.001996;0.069860;0.001996;0.001996;0.001996;0.001996;0.031936;0.001996;0.023952;0.041916;0.003992;0.081836;0.001996;0.005988;0.001996;0.001996;0.001996;0.019960;0.111776;0.005988;0.209581;0.001996;0.355289;0.001996;0.001996;0.003992
o ;0.000518;0.053858;0.031072;0.010875;0.062144;0.040911;0.048162;0.068876;0.018125;0.025893;0.023822;0.161056;0.030554;0.029001;0.103055;0.049197;0.031072;0.007250;0.006214;0.001554;0.049715;0.022268;0.049197;0.056447;0.010875;0.004143;0.001036;0.003107
ow;0.001100;0.038504;0.001100;0.628163;0.001100;0.001100;0.002200;0.007701;0.002200;0.042904;0.094609;0.002200;0.001100;0.009901;0.018702;0.001100;0.001100;0.001100;0.001100;0.121012;0.001100;0.001100;0.008801;0.004400;0.003300;0.001100;0.001100;0.001100
oh;0.007752;0.007752;0.131783;0.550388;0.007752;0.007752;0.007752;0.015504;0.007752;0.023256;0.031008;0.007752;0.007752;0.007752;0.031008;0.007752;0.007752;0.007752;0.007752;0.054264;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752;0.007752
oy;0.025000;0.050000;0.025000;0.075000;0.025000;0.025000;0.025000;0.100000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.100000;0.025000;0.025000;0.025000;0.025000;0.100000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
oa;0.014493;0.043478;0.014493;0.072464;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.028986;0.014493;0.086957;0.014493;0.014493;0.130435;0.014493;0.014493;0.101449;0.028986;0.014493;0.173913;0.043478;0.028986;0.014493;0.014493;0.014493
or;0.000810;0.017828;0.000810;0.324149;0.004862;0.005673;0.029173;0.013776;0.014587;0.128039;0.024311;0.100486;0.000810;0.030794;0.024311;0.022690;0.014587;0.001621;0.000810;0.060778;0.047002;0.006483;0.042950;0.001621;0.078606;0.000810;0.000810;0.000810
oe;0.007463;0.597015;0.007463;0.111940;0.007463;0.007463;0.022388;0.007463;0.007463;0.007463;0.007463;0.014925;0.007463;0.014925;0.014925;0.007463;0.007463;0.007463;0.007463;0.044776;0.007463;0.007463;0.007463;0.007463;0.007463;0.029851;0.007463;0.007463
on;0.000616;0.070197;0.005542;0.281404;0.000616;0.000616;0.001847;0.020320;0.002463;0.221675;0.052956;0.133005;0.006158;0.031404;0.006773;0.040640;0.027094;0.002463;0.000616;0.049261;0.005542;0.001232;0.024015;0.000616;0.001232;0.008621;0.000616;0.002463
ot;0.001468;0.008811;0.013216;0.584435;0.001468;0.182085;0.001468;0.011747;0.002937;0.029369;0.001468;0.029369;0.001468;0.001468;0.033774;0.001468;0.001468;0.001468;0.001468;0.073421;0.001468;0.002937;0.001468;0.004405;0.001468;0.001468;0.001468;0.001468
of;0.001016;0.001016;0.002033;0.768293;0.001016;0.001016;0.001016;0.001016;0.001016;0.010163;0.001016;0.009146;0.055894;0.001016;0.003049;0.001016;0.001016;0.001016;0.001016;0.130081;0.001016;0.001016;0.001016;0.001016;0.001016;0.001016;0.001016;0.001016
ol;0.002941;0.011765;0.126471;0.164706;0.002941;0.002941;0.014706;0.038235;0.002941;0.120588;0.002941;0.005882;0.026471;0.132353;0.079412;0.002941;0.002941;0.067647;0.002941;0.026471;0.002941;0.005882;0.123529;0.002941;0.002941;0.017647;0.002941;0.002941
oi;0.004065;0.016260;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.703252;0.004065;0.004065;0.044715;0.004065;0.004065;0.044715;0.004065;0.004065;0.004065;0.004065;0.004065;0.097561;0.004065;0.004065;0.004065;0.004065;0.004065
og;0.006757;0.033784;0.006757;0.081081;0.006757;0.006757;0.067568;0.114865;0.101351;0.155405;0.033784;0.006757;0.006757;0.020270;0.229730;0.020270;0.006757;0.027027;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757;0.006757
oc;0.006667;0.006667;0.053333;0.006667;0.006667;0.006667;0.020000;0.040000;0.013333;0.066667;0.006667;0.106667;0.006667;0.080000;0.100000;0.006667;0.060000;0.046667;0.006667;0.006667;0.006667;0.006667;0.006667;0.006667;0.300000;0.006667;0.006667;0.006667
ou;0.000384;0.041443;0.000384;0.363392;0.000384;0.000384;0.000384;0.000384;0.176516;0.000384;0.035303;0.148120;0.000384;0.089025;0.000384;0.046815;0.003837;0.000384;0.000384;0.062932;0.000384;0.010361;0.008826;0.001535;0.000384;0.006140;0.000384;0.000384
oj;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
o);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
om;0.001279;0.026854;0.006394;0.221228;0.001279;0.001279;0.002558;0.025575;0.001279;0.523018;0.001279;0.001279;0.008951;0.002558;0.040921;0.001279;0.001279;0.002558;0.001279;0.035806;0.024297;0.052430;0.001279;0.008951;0.001279;0.001279;0.001279;0.001279
op;0.002232;0.017857;0.013393;0.053571;0.002232;0.035714;0.020089;0.004464;0.002232;0.089286;0.002232;0.015625;0.002232;0.537946;0.084821;0.002232;0.002232;0.011161;0.002232;0.015625;0.004464;0.064732;0.002232;0.002232;0.002232;0.002232;0.002232;0.002232
od;0.003610;0.014440;0.003610;0.332130;0.003610;0.003610;0.216606;0.032491;0.003610;0.064982;0.003610;0.003610;0.010830;0.003610;0.032491;0.003610;0.097473;0.039711;0.003610;0.075812;0.003610;0.003610;0.018051;0.007220;0.003610;0.003610;0.003610;0.003610
ob;0.007092;0.049645;0.063830;0.141844;0.007092;0.007092;0.007092;0.156028;0.007092;0.070922;0.007092;0.007092;0.007092;0.163121;0.063830;0.007092;0.007092;0.014184;0.014184;0.042553;0.007092;0.007092;0.007092;0.014184;0.007092;0.092199;0.007092;0.007092
ok;0.003460;0.048443;0.006920;0.435986;0.003460;0.003460;0.003460;0.114187;0.003460;0.190311;0.003460;0.003460;0.003460;0.003460;0.089965;0.003460;0.003460;0.003460;0.003460;0.041522;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460;0.003460
ov;0.005155;0.005155;0.005155;0.010309;0.005155;0.005155;0.005155;0.010309;0.005155;0.670103;0.005155;0.005155;0.005155;0.005155;0.180412;0.005155;0.005155;0.005155;0.005155;0.010309;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155
ox;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.155556;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.155556;0.022222;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
o#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.064516;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
 (;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
 s;0.000463;0.000463;0.320999;0.005088;0.004625;0.093432;0.007401;0.116096;0.000463;0.085569;0.005088;0.129972;0.000463;0.039315;0.039778;0.000463;0.042091;0.044866;0.000463;0.001388;0.013876;0.037928;0.000463;0.000463;0.006475;0.000463;0.000463;0.001388
 o;0.000486;0.000972;0.000486;0.000486;0.005834;0.033058;0.000486;0.000486;0.082645;0.000486;0.224113;0.023335;0.425863;0.009723;0.000486;0.000486;0.008751;0.098687;0.000486;0.000486;0.000486;0.025766;0.001458;0.007292;0.013612;0.029169;0.002917;0.001458
  ;0.003125;0.031250;0.046875;0.031250;0.059375;0.046875;0.081250;0.103125;0.021875;0.015625;0.021875;0.090625;0.025000;0.018750;0.084375;0.012500;0.031250;0.021875;0.009375;0.009375;0.078125;0.050000;0.040625;0.040625;0.009375;0.006250;0.003125;0.006250
 w;0.000386;0.000386;0.101236;0.000386;0.000386;0.278980;0.000386;0.274730;0.009274;0.241886;0.000386;0.000386;0.000386;0.000386;0.085394;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386
 h;0.000751;0.000751;0.148009;0.000751;0.000751;0.000751;0.003757;0.417731;0.000751;0.250188;0.000751;0.000751;0.000751;0.000751;0.108189;0.000751;0.000751;0.048835;0.000751;0.000751;0.006762;0.000751;0.000751;0.001503;0.000751;0.000751;0.000751;0.000751
 y;0.000583;0.000583;0.746356;0.000583;0.000583;0.000583;0.000583;0.002915;0.000583;0.235569;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.001166;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583;0.000583
 a;0.000262;0.045609;0.000262;0.206815;0.005242;0.001573;0.000262;0.000262;0.063172;0.000262;0.373001;0.044561;0.013368;0.080210;0.004718;0.015990;0.020708;0.004456;0.000262;0.044037;0.013893;0.007602;0.008650;0.041153;0.000262;0.002621;0.000262;0.000524
 r;0.001420;0.001420;0.083807;0.001420;0.001420;0.002841;0.002841;0.078125;0.001420;0.534091;0.001420;0.001420;0.001420;0.001420;0.227273;0.001420;0.001420;0.041193;0.001420;0.001420;0.001420;0.001420;0.001420;0.001420;0.001420;0.001420;0.001420;0.001420
 e;0.001541;0.033898;0.001541;0.001541;0.001541;0.001541;0.010786;0.163328;0.004622;0.001541;0.120185;0.003082;0.016949;0.038521;0.030817;0.003082;0.021572;0.007704;0.001541;0.001541;0.029276;0.006163;0.021572;0.001541;0.001541;0.295840;0.163328;0.013867
 n;0.001235;0.001235;0.534568;0.002469;0.002469;0.001235;0.001235;0.071605;0.001235;0.245679;0.001235;0.001235;0.001235;0.001235;0.076543;0.001235;0.001235;0.039506;0.001235;0.001235;0.001235;0.002469;0.001235;0.001235;0.001235;0.001235;0.001235;0.001235
 t;0.000165;0.000494;0.167298;0.000165;0.009550;0.727318;0.002141;0.018113;0.024041;0.018607;0.000165;0.000165;0.000165;0.000165;0.022559;0.000165;0.000165;0.004775;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.002305;0.000165;0.000165
 f;0.000951;0.000951;0.338403;0.000951;0.000951;0.000951;0.000951;0.112167;0.144487;0.104563;0.000951;0.000951;0.000951;0.022814;0.190114;0.000951;0.000951;0.067490;0.000951;0.000951;0.000951;0.000951;0.000951;0.000951;0.000951;0.000951;0.000951;0.000951
