smoothed;3
(;s;t;a;i;c;);v;.;o; ;n;l;r;h;e;y;,;f;u;d;g;m;p;j;w;!;k;b;x;?;q;z;#
((;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(s;0.003311;0.003311;0.089404;0.046358;0.036424;0.029801;0.003311;0.003311;0.003311;0.447020;0.006623;0.013245;0.009934;0.003311;0.072848;0.082781;0.006623;0.003311;0.003311;0.043046;0.003311;0.003311;0.023179;0.016556;0.003311;0.009934;0.003311;0.006623;0.003311;0.003311;0.003311;0.003311;0.003311;0.003311
(t;0.001786;0.001786;0.003571;0.033929;0.012500;0.001786;0.001786;0.003571;0.001786;0.171429;0.001786;0.001786;0.001786;0.042857;0.666071;0.010714;0.001786;0.001786;0.001786;0.005357;0.001786;0.001786;0.001786;0.001786;0.001786;0.007143;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786;0.001786
(a;0.001799;0.064748;0.026978;0.003597;0.001799;0.023381;0.001799;0.003597;0.001799;0.001799;0.098921;0.500000;0.053957;0.064748;0.003597;0.005396;0.001799;0.001799;0.005396;0.001799;0.016187;0.017986;0.012590;0.012590;0.001799;0.010791;0.001799;0.003597;0.044964;0.001799;0.001799;0.001799;0.001799;0.001799
(i;0.001779;0.108541;0.147687;0.001779;0.003559;0.005338;0.001779;0.017794;0.003559;0.001779;0.282918;0.170819;0.008897;0.003559;0.001779;0.001779;0.001779;0.001779;0.065836;0.001779;0.017794;0.001779;0.126335;0.001779;0.001779;0.001779;0.001779;0.001779;0.001779;0.001779;0.001779;0.001779;0.001779;0.001779
(c;0.006024;0.006024;0.006024;0.192771;0.030120;0.006024;0.006024;0.006024;0.006024;0.325301;0.006024;0.006024;0.078313;0.036145;0.090361;0.042169;0.006024;0.006024;0.006024;0.048193;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024;0.006024
();0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(v;0.015873;0.015873;0.015873;0.063492;0.174603;0.015873;0.015873;0.015873;0.126984;0.095238;0.015873;0.015873;0.015873;0.015873;0.015873;0.063492;0.015873;0.015873;0.015873;0.031746;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873;0.015873
(.;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.139535;0.023256;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
(o;0.005076;0.005076;0.020305;0.005076;0.005076;0.010152;0.005076;0.005076;0.005076;0.015228;0.005076;0.126904;0.010152;0.106599;0.081218;0.005076;0.005076;0.005076;0.360406;0.050761;0.005076;0.005076;0.020305;0.025381;0.005076;0.020305;0.005076;0.040609;0.010152;0.005076;0.005076;0.005076;0.005076;0.005076
