smoothed;3
(;b;u;t; ;o;c;h;a;n;g;e;p;i;s;j;y;w;r;);l;k;v;m;f;d;x;#
(l;0.001949;0.001949;0.023392;0.003899;0.003899;0.181287;0.001949;0.001949;0.113060;0.001949;0.001949;0.130604;0.001949;0.499025;0.001949;0.001949;0.003899;0.001949;0.001949;0.001949;0.003899;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949;0.001949
(k;0.008403;0.008403;0.025210;0.008403;0.025210;0.033613;0.008403;0.016807;0.050420;0.268908;0.008403;0.151261;0.008403;0.235294;0.008403;0.008403;0.008403;0.008403;0.016807;0.008403;0.016807;0.008403;0.008403;0.016807;0.008403;0.008403;0.008403;0.008403
(v;0.009524;0.009524;0.009524;0.009524;0.009524;0.190476;0.009524;0.009524;0.104762;0.009524;0.009524;0.304762;0.009524;0.161905;0.019048;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524
(m;0.002203;0.002203;0.070485;0.002203;0.002203;0.158590;0.008811;0.002203;0.284141;0.002203;0.002203;0.147577;0.002203;0.079295;0.002203;0.002203;0.180617;0.002203;0.022026;0.002203;0.002203;0.002203;0.002203;0.006608;0.002203;0.002203;0.002203;0.002203
(f;0.002584;0.002584;0.149871;0.002584;0.012920;0.302326;0.002584;0.002584;0.090439;0.002584;0.002584;0.067183;0.002584;0.162791;0.002584;0.002584;0.002584;0.002584;0.131783;0.002584;0.028424;0.002584;0.002584;0.002584;0.002584;0.005168;0.002584;0.002584
(d;0.002545;0.002545;0.061069;0.002545;0.005089;0.353690;0.005089;0.002545;0.106870;0.002545;0.002545;0.170483;0.002545;0.193384;0.002545;0.002545;0.005089;0.002545;0.050891;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545;0.002545
(x;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
(#;0.019231;0.019231;0.307692;0.019231;0.057692;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.076923;0.019231;0.096154;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231;0.019231
b(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bb;0.005025;0.005025;0.005025;0.005025;0.035176;0.025126;0.015075;0.005025;0.020101;0.005025;0.005025;0.195980;0.005025;0.195980;0.005025;0.005025;0.195980;0.005025;0.005025;0.005025;0.211055;0.005025;0.005025;0.005025;0.005025;0.005025;0.005025;0.010050
bu;0.000292;0.006717;0.000292;0.660631;0.000584;0.000584;0.009638;0.000292;0.000292;0.032710;0.007301;0.001168;0.000292;0.047313;0.078271;0.000292;0.030082;0.000292;0.050234;0.000584;0.032710;0.001168;0.000292;0.011974;0.003797;0.019568;0.000292;0.002336
bt;0.010989;0.010989;0.010989;0.010989;0.439560;0.021978;0.010989;0.010989;0.032967;0.010989;0.010989;0.032967;0.010989;0.021978;0.065934;0.010989;0.010989;0.010989;0.032967;0.065934;0.076923;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989;0.010989
b ;0.001938;0.048450;0.009690;0.083333;0.003876;0.067829;0.063953;0.027132;0.149225;0.009690;0.025194;0.013566;0.011628;0.122093;0.096899;0.007752;0.040698;0.067829;0.023256;0.001938;0.021318;0.005814;0.001938;0.021318;0.034884;0.034884;0.001938;0.001938
bo;0.000240;0.006492;0.516230;0.054580;0.003607;0.086559;0.000721;0.000721;0.025246;0.017552;0.003126;0.001924;0.000240;0.004328;0.015388;0.000240;0.037269;0.011541;0.070690;0.001202;0.009377;0.000240;0.008175;0.014667;0.000240;0.093532;0.015388;0.000481
bc;0.027778;0.027778;0.055556;0.027778;0.166667;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
bh;0.031250;0.031250;0.093750;0.031250;0.031250;0.062500;0.031250;0.031250;0.062500;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ba;0.000358;0.109638;0.002508;0.053386;0.001791;0.000358;0.197062;0.000717;0.000358;0.096023;0.025797;0.000358;0.000358;0.005016;0.166965;0.000358;0.004300;0.000358;0.073809;0.000358;0.089215;0.003225;0.000717;0.059119;0.002508;0.104264;0.000358;0.000717
bn;0.032258;0.032258;0.032258;0.032258;0.032258;0.129032;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
bg;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
be;0.000122;0.000243;0.000122;0.049878;0.281387;0.000122;0.212895;0.009976;0.023844;0.013139;0.015207;0.094282;0.000122;0.057178;0.023479;0.000122;0.003406;0.000122;0.117153;0.005474;0.046959;0.000122;0.000487;0.000365;0.033942;0.009611;0.000122;0.000122
bp;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
bi;0.000628;0.003139;0.000628;0.166353;0.003139;0.021343;0.008161;0.000628;0.040176;0.079096;0.254237;0.026993;0.013183;0.000628;0.006905;0.000628;0.000628;0.000628;0.060264;0.000628;0.249215;0.025738;0.000628;0.000628;0.000628;0.026993;0.000628;0.007533
bs;0.002075;0.008299;0.033195;0.095436;0.267635;0.336100;0.033195;0.002075;0.002075;0.002075;0.002075;0.091286;0.002075;0.070539;0.002075;0.002075;0.002075;0.002075;0.002075;0.024896;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075;0.002075
bj;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.619718;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
by;0.000777;0.000777;0.000777;0.001554;0.917638;0.000777;0.000777;0.000777;0.004662;0.003885;0.000777;0.006993;0.001554;0.008547;0.003885;0.000777;0.000777;0.001554;0.003108;0.031080;0.000777;0.000777;0.000777;0.000777;0.000777;0.000777;0.000777;0.003108
bw;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.448980;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
br;0.000885;0.000885;0.039823;0.000885;0.000885;0.251327;0.000885;0.000885;0.238938;0.000885;0.000885;0.175221;0.000885;0.269027;0.000885;0.000885;0.006195;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885
b);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bl;0.000412;0.000412;0.025546;0.000412;0.000412;0.071281;0.000412;0.000412;0.080758;0.000412;0.000412;0.458591;0.000412;0.218377;0.000412;0.000412;0.136382;0.000412;0.000412;0.000412;0.000412;0.000412;0.000412;0.000412;0.000412;0.000412;0.000412;0.000412
bk;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
bv;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.024242;0.006061;0.818182;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061
bm;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.210526;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
bf;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
bd;0.030303;0.030303;0.121212;0.030303;0.030303;0.090909;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
bx;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
b#;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
u(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ub;0.001088;0.046790;0.043526;0.041349;0.076170;0.001088;0.004353;0.002176;0.010881;0.001088;0.001088;0.044614;0.003264;0.016322;0.044614;0.023939;0.004353;0.023939;0.009793;0.011970;0.565832;0.001088;0.004353;0.011970;0.001088;0.001088;0.001088;0.001088
uu;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.100000;0.033333;0.033333;0.033333;0.033333
ut;0.000133;0.000799;0.014390;0.019320;0.781479;0.008661;0.002532;0.025849;0.004664;0.000400;0.000400;0.046502;0.000799;0.039307;0.014790;0.000133;0.002665;0.000133;0.004397;0.026382;0.003464;0.000133;0.000133;0.000133;0.000799;0.001332;0.000133;0.000133
u ;0.000162;0.020236;0.003076;0.072041;0.000162;0.014408;0.095354;0.064756;0.064756;0.014894;0.061195;0.012304;0.015056;0.026226;0.072365;0.015703;0.009390;0.083050;0.020398;0.000162;0.026874;0.196697;0.002105;0.026226;0.023960;0.057633;0.000162;0.000648
uo;0.006410;0.006410;0.115385;0.487179;0.128205;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.006410;0.012821;0.006410;0.083333;0.025641;0.006410;0.006410;0.006410;0.012821;0.006410;0.006410;0.006410;0.006410
uc;0.000413;0.000413;0.007845;0.059042;0.000413;0.001239;0.029727;0.213047;0.023121;0.000413;0.000413;0.042527;0.000413;0.015277;0.000826;0.000413;0.001239;0.000413;0.002477;0.000413;0.004129;0.593311;0.000413;0.000413;0.000413;0.000413;0.000413;0.000413
uh;0.020833;0.020833;0.020833;0.020833;0.125000;0.020833;0.020833;0.020833;0.312500;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ua;0.000741;0.005930;0.000741;0.055597;0.002224;0.000741;0.000741;0.000741;0.000741;0.019274;0.022980;0.000741;0.000741;0.001483;0.002965;0.000741;0.000741;0.000741;0.110452;0.000741;0.744255;0.002224;0.002965;0.001483;0.000741;0.017050;0.000741;0.000741
un;0.000239;0.001908;0.001431;0.168655;0.064647;0.000954;0.056775;0.003817;0.017414;0.063931;0.043177;0.020038;0.006918;0.128817;0.018845;0.001670;0.000477;0.002385;0.003817;0.007156;0.015744;0.019084;0.000716;0.001193;0.010019;0.337071;0.000239;0.002863
ug;0.000576;0.000576;0.008641;0.000576;0.053571;0.001728;0.000576;0.785714;0.008065;0.001728;0.041475;0.059908;0.000576;0.001152;0.017281;0.000576;0.000576;0.000576;0.000576;0.006912;0.003456;0.000576;0.000576;0.001728;0.000576;0.000576;0.000576;0.000576
ue;0.000831;0.001663;0.008313;0.004988;0.385702;0.000831;0.002494;0.000831;0.002494;0.066500;0.000831;0.029094;0.002494;0.000831;0.354115;0.000831;0.000831;0.000831;0.018288;0.036575;0.048213;0.000831;0.000831;0.001663;0.002494;0.023275;0.000831;0.002494
up;0.000503;0.004024;0.001006;0.034708;0.530684;0.008551;0.002012;0.002012;0.002515;0.000503;0.001509;0.050805;0.146881;0.061871;0.028169;0.000503;0.004024;0.002515;0.036217;0.037726;0.035211;0.000503;0.000503;0.000503;0.001006;0.004527;0.000503;0.000503
ui;0.001318;0.002635;0.001318;0.255599;0.002635;0.001318;0.109354;0.001318;0.001318;0.146245;0.003953;0.013175;0.014493;0.001318;0.073781;0.001318;0.001318;0.001318;0.069829;0.001318;0.233202;0.001318;0.015810;0.003953;0.001318;0.034256;0.001318;0.003953
us;0.000124;0.001978;0.006058;0.387316;0.140438;0.000494;0.001854;0.024478;0.043021;0.000865;0.000124;0.290765;0.002472;0.041785;0.016442;0.000124;0.002102;0.000124;0.000124;0.012239;0.024725;0.001607;0.000124;0.000124;0.000124;0.000124;0.000124;0.000124
uj;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
uy;0.000988;0.000988;0.000988;0.000988;0.538538;0.000988;0.000988;0.000988;0.002964;0.000988;0.000988;0.003953;0.000988;0.020751;0.390316;0.000988;0.000988;0.000988;0.000988;0.021739;0.000988;0.000988;0.000988;0.000988;0.000988;0.000988;0.000988;0.000988
uw;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ur;0.000165;0.011249;0.000165;0.038710;0.342101;0.010918;0.018693;0.000165;0.047312;0.056079;0.014227;0.258726;0.010918;0.034739;0.076096;0.000165;0.012242;0.000165;0.022333;0.010918;0.003805;0.004301;0.009098;0.000331;0.002812;0.013234;0.000165;0.000165
u);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
ul;0.000257;0.000770;0.002566;0.102643;0.087760;0.006415;0.001283;0.000257;0.084937;0.002823;0.002823;0.036952;0.000513;0.013857;0.010778;0.000257;0.005902;0.000513;0.000257;0.005389;0.086477;0.001026;0.000513;0.001283;0.002566;0.540672;0.000257;0.000257
uk;0.017544;0.017544;0.052632;0.017544;0.035088;0.035088;0.017544;0.017544;0.035088;0.017544;0.017544;0.228070;0.017544;0.052632;0.017544;0.017544;0.017544;0.017544;0.157895;0.035088;0.035088;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
uv;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.773438;0.007812;0.023438;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812;0.007812
um;0.000652;0.175359;0.003911;0.000652;0.086701;0.018253;0.001956;0.000652;0.099739;0.018253;0.000652;0.118644;0.377445;0.014342;0.022816;0.000652;0.000652;0.000652;0.000652;0.013690;0.000652;0.000652;0.001304;0.037158;0.001956;0.000652;0.000652;0.000652
uf;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.039683;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.003968;0.007937;0.853175;0.003968;0.003968;0.003968
ud;0.001188;0.001188;0.004751;0.001188;0.140143;0.011876;0.001188;0.001188;0.030879;0.001188;0.134204;0.255344;0.001188;0.257720;0.011876;0.001188;0.032067;0.003563;0.001188;0.009501;0.022565;0.001188;0.001188;0.001188;0.002375;0.066508;0.001188;0.001188
ux;0.024390;0.024390;0.146341;0.024390;0.146341;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
u#;0.017544;0.017544;0.017544;0.017544;0.087719;0.017544;0.017544;0.017544;0.052632;0.017544;0.017544;0.052632;0.017544;0.017544;0.035088;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.350877
t(;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
tb;0.012987;0.012987;0.038961;0.012987;0.012987;0.077922;0.012987;0.012987;0.467532;0.012987;0.012987;0.025974;0.012987;0.025974;0.012987;0.012987;0.012987;0.012987;0.077922;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987;0.012987
tu;0.000389;0.013608;0.000389;0.042768;0.000778;0.001555;0.017107;0.000389;0.319596;0.039658;0.001166;0.017107;0.043546;0.003499;0.017496;0.000389;0.000389;0.000389;0.340980;0.000389;0.011275;0.000389;0.000389;0.009331;0.061820;0.053655;0.001166;0.000389
tt;0.000407;0.000407;0.000407;0.000407;0.030488;0.030081;0.000407;0.003659;0.068293;0.000407;0.000407;0.351626;0.000407;0.196748;0.010976;0.000407;0.092276;0.000407;0.007724;0.004065;0.197154;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407;0.000407
t ;0.000023;0.041038;0.008778;0.175916;0.000294;0.078660;0.026514;0.052598;0.100627;0.016877;0.023053;0.019569;0.023980;0.101599;0.050019;0.009592;0.030088;0.085492;0.020858;0.000113;0.036559;0.011447;0.004887;0.028505;0.025677;0.025745;0.000068;0.001425
to;0.000077;0.001389;0.008720;0.009184;0.775969;0.024850;0.003164;0.000077;0.000540;0.023306;0.008566;0.001543;0.018521;0.001235;0.002315;0.000077;0.000617;0.008720;0.067680;0.010495;0.010804;0.001003;0.000154;0.011422;0.000463;0.008335;0.000695;0.000077
tc;0.002004;0.002004;0.002004;0.002004;0.026052;0.036072;0.002004;0.865731;0.004008;0.002004;0.002004;0.002004;0.002004;0.002004;0.002004;0.002004;0.006012;0.002004;0.004008;0.014028;0.004008;0.002004;0.002004;0.002004;0.002004;0.002004;0.002004;0.002004
th;0.000019;0.000097;0.000682;0.000097;0.055976;0.031438;0.001384;0.000097;0.187359;0.000214;0.000019;0.548686;0.000078;0.152959;0.001520;0.000019;0.001150;0.000136;0.014286;0.002358;0.000663;0.000019;0.000019;0.000175;0.000097;0.000390;0.000019;0.000039
ta;0.000194;0.040979;0.014760;0.115168;0.031851;0.000194;0.030686;0.000388;0.000388;0.126627;0.026801;0.000194;0.011847;0.053214;0.022529;0.000194;0.014372;0.000583;0.126238;0.002331;0.240823;0.101962;0.001165;0.002719;0.004078;0.001359;0.028161;0.000194
tn;0.008621;0.008621;0.034483;0.017241;0.008621;0.025862;0.008621;0.008621;0.206897;0.008621;0.008621;0.379310;0.008621;0.146552;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621;0.008621
tg;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.225000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
te;0.000092;0.000276;0.000827;0.000643;0.182829;0.000643;0.010019;0.001011;0.028403;0.070319;0.006067;0.034838;0.005791;0.001379;0.060484;0.000092;0.000092;0.000919;0.309955;0.011858;0.065539;0.000092;0.023991;0.026197;0.001103;0.148175;0.006067;0.002298
tp;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.050000;0.050000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
