smoothed;2
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
h;0.000015;0.134706;0.030319;0.081473;0.001870;0.000030;0.008875;0.388119;0.246364;0.074291;0.000297;0.000015;0.002493;0.000134;0.007138;0.012852;0.000252;0.000831;0.000015;0.000237;0.000237;0.000074;0.000712;0.000030;0.000015;0.008518;0.000015;0.000015;0.000030;0.000015;0.000015
w;0.000034;0.111885;0.000483;0.146388;0.017855;0.000034;0.011340;0.185544;0.163898;0.094375;0.000138;0.000241;0.018268;0.001069;0.004205;0.023025;0.000034;0.000172;0.000379;0.216634;0.000448;0.000207;0.002206;0.000483;0.000034;0.000448;0.000034;0.000034;0.000034;0.000034;0.000034
p;0.000040;0.034671;0.018448;0.104377;0.025083;0.000081;0.128570;0.189619;0.108706;0.127437;0.000121;0.000040;0.000202;0.000283;0.001780;0.018448;0.000364;0.000850;0.000081;0.014686;0.000162;0.053079;0.125455;0.000283;0.000040;0.046606;0.000040;0.000040;0.000040;0.000283;0.000081
l;0.000020;0.139353;0.015578;0.119966;0.022911;0.000527;0.003079;0.157058;0.071246;0.055000;0.000425;0.000020;0.000284;0.063994;0.116421;0.020886;0.001195;0.003079;0.017381;0.000020;0.002573;0.002958;0.157666;0.007718;0.004821;0.015538;0.000020;0.000041;0.000061;0.000142;0.000020
f;0.000044;0.088810;0.026767;0.349967;0.005052;0.000133;0.066475;0.069267;0.053623;0.165389;0.003811;0.000044;0.000089;0.000355;0.003102;0.065101;0.000310;0.000133;0.000044;0.000487;0.000089;0.000487;0.014137;0.060004;0.000044;0.026014;0.000044;0.000044;0.000044;0.000044;0.000044
v;0.000075;0.172546;0.000075;0.003310;0.000376;0.000075;0.000075;0.715081;0.059045;0.042873;0.000075;0.000150;0.000075;0.000075;0.001053;0.000602;0.000075;0.000301;0.000075;0.000075;0.000075;0.000075;0.001128;0.000075;0.000451;0.001730;0.000075;0.000075;0.000075;0.000075;0.000075
u;0.000025;0.013169;0.156405;0.108545;0.144145;0.027517;0.106408;0.037222;0.032849;0.003784;0.019262;0.000025;0.074468;0.018893;0.006707;0.016166;0.025380;0.071176;0.000762;0.005995;0.000025;0.035748;0.083264;0.006191;0.003022;0.000098;0.000393;0.001523;0.000025;0.000786;0.000025
x;0.000473;0.098345;0.138061;0.180615;0.001891;0.000473;0.000946;0.049645;0.174468;0.021277;0.000473;0.000473;0.002364;0.000946;0.004255;0.037825;0.060993;0.000473;0.000473;0.001891;0.000473;0.195272;0.001418;0.000946;0.000473;0.021749;0.001418;0.000473;0.000473;0.000473;0.000473
z;0.001053;0.108421;0.002105;0.100000;0.006316;0.001053;0.001053;0.405263;0.184211;0.071579;0.001053;0.001053;0.001053;0.001053;0.035789;0.015789;0.001053;0.001053;0.001053;0.002105;0.001053;0.001053;0.007368;0.005263;0.001053;0.012632;0.001053;0.025263;0.001053;0.001053;0.001053
q;0.000898;0.000898;0.000898;0.045781;0.003591;0.000898;0.000898;0.000898;0.003591;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.012567;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.000898;0.911131;0.000898;0.000898;0.000898;0.000898;0.000898
.;0.003058;0.003058;0.006116;0.339450;0.097859;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.073394;0.370031;0.036697;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058;0.003058
#;0.013514;0.013514;0.013514;0.486486;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.027027;0.013514;0.013514;0.013514;0.013514;0.094595;0.013514;0.027027;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514;0.013514
