smoothed;3
(;w;h;o;s; ;l;i;b;e;r;a;c;);y;u;m;n;k;p;d;t;g;x;v;f;j;q;z;.;,;#
((;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
(w;0.000333;0.000333;0.291611;0.132490;0.000333;0.000333;0.000333;0.114181;0.000333;0.252663;0.015313;0.185087;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333;0.000333
(h;0.000584;0.000584;0.000584;0.147282;0.000584;0.000584;0.000584;0.099357;0.000584;0.296902;0.001753;0.388662;0.000584;0.000584;0.005260;0.045587;0.001169;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584;0.000584
(o;0.000569;0.016496;0.051195;0.001138;0.003413;0.000569;0.010239;0.001138;0.039818;0.000569;0.076223;0.001138;0.011377;0.000569;0.000569;0.093288;0.001138;0.188282;0.119454;0.033561;0.005119;0.035836;0.000569;0.001138;0.035267;0.267918;0.000569;0.000569;0.000569;0.000569;0.000569;0.000569
(s;0.000323;0.009696;0.109890;0.249192;0.000323;0.000970;0.008080;0.047188;0.000323;0.118617;0.000323;0.102780;0.031997;0.000323;0.008727;0.089205;0.009373;0.001616;0.005818;0.055268;0.000323;0.144473;0.000323;0.000323;0.000323;0.000323;0.000323;0.002262;0.000323;0.000323;0.000323;0.000323
( ;0.007519;0.045113;0.052632;0.075188;0.037594;0.037594;0.015038;0.045113;0.030075;0.022556;0.007519;0.105263;0.022556;0.007519;0.067669;0.015038;0.052632;0.015038;0.007519;0.067669;0.045113;0.097744;0.015038;0.007519;0.007519;0.045113;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
(l;0.000771;0.000771;0.000771;0.217425;0.000771;0.000771;0.000771;0.420971;0.000771;0.202005;0.000771;0.121820;0.000771;0.000771;0.005397;0.009252;0.000771;0.000771;0.000771;0.000771;0.000771;0.000771;0.003855;0.000771;0.000771;0.000771;0.000771;0.000771;0.000771;0.000771;0.000771;0.000771
(i;0.000351;0.000351;0.000351;0.000351;0.111228;0.208772;0.011228;0.001754;0.000351;0.000351;0.002807;0.000702;0.001053;0.000351;0.000351;0.000351;0.102105;0.222807;0.000351;0.001404;0.018947;0.252982;0.001404;0.000351;0.016842;0.039298;0.000351;0.000702;0.000702;0.000351;0.000351;0.000351
(b;0.000553;0.000553;0.000553;0.057001;0.001107;0.000553;0.031544;0.048700;0.001660;0.456558;0.069175;0.101826;0.000553;0.000553;0.034864;0.185390;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553;0.000553
(e;0.001111;0.001111;0.001111;0.001111;0.031111;0.002222;0.048889;0.031111;0.002222;0.001111;0.006667;0.050000;0.024444;0.001111;0.010000;0.007778;0.036667;0.132222;0.001111;0.006667;0.020000;0.005556;0.006667;0.255556;0.274444;0.013333;0.001111;0.021111;0.001111;0.001111;0.001111;0.001111
(r;0.000827;0.000827;0.002481;0.039702;0.000827;0.000827;0.000827;0.234905;0.000827;0.554177;0.000827;0.107527;0.000827;0.000827;0.000827;0.039702;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827;0.000827
(a;0.000281;0.006452;0.002525;0.000281;0.051332;0.095372;0.092286;0.004208;0.081907;0.000281;0.080505;0.000281;0.070687;0.000842;0.000281;0.013464;0.028892;0.318934;0.000561;0.041795;0.014306;0.037588;0.030295;0.000561;0.005330;0.018513;0.000561;0.000281;0.000561;0.000281;0.000281;0.000281
(c;0.000475;0.000949;0.120551;0.459896;0.000475;0.000475;0.061224;0.026103;0.000475;0.025154;0.056478;0.205031;0.000475;0.000475;0.002848;0.026103;0.000475;0.004271;0.000475;0.001424;0.000949;0.000475;0.000475;0.000475;0.000475;0.000475;0.000475;0.000475;0.000475;0.000475;0.000475;0.000475
();0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
(y;0.000538;0.000538;0.000538;0.740860;0.000538;0.000538;0.000538;0.000538;0.000538;0.238710;0.000538;0.004301;0.000538;0.000538;0.000538;0.001075;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538;0.000538
(u;0.001934;0.001934;0.135397;0.001934;0.133462;0.003868;0.005803;0.001934;0.001934;0.001934;0.011605;0.001934;0.001934;0.001934;0.001934;0.001934;0.123791;0.398453;0.003868;0.133462;0.001934;0.007737;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934;0.001934
