smoothed;2
(;a;n;d; ;w;e;r;b;c;k;g;l;s;o;m;p;u;t;j;);i;h;y;f;x;q;v;z;.;,;ö;#
t;0.000004;0.034015;0.000420;0.000277;0.269923;0.006354;0.061588;0.027352;0.000301;0.002024;0.000036;0.000107;0.007847;0.056114;0.072189;0.000689;0.000234;0.013797;0.013476;0.000075;0.042884;0.060040;0.318764;0.010061;0.000765;0.000004;0.000059;0.000265;0.000309;0.000012;0.000004;0.000004;0.000008
j;0.000155;0.038426;0.000155;0.000775;0.004493;0.001240;0.078711;0.002789;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155;0.204369;0.000155;0.000775;0.636659;0.000310;0.000620;0.001085;0.026030;0.000155;0.000310;0.000465;0.000155;0.000155;0.000155;0.000155;0.000310;0.000155;0.000155;0.000155
);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
i;0.000005;0.021812;0.236669;0.041191;0.062992;0.000077;0.021862;0.022892;0.005515;0.052336;0.063826;0.031318;0.033357;0.121287;0.043866;0.041575;0.005454;0.000504;0.131461;0.000285;0.009917;0.000340;0.000219;0.000027;0.021982;0.001623;0.000274;0.022920;0.004391;0.000005;0.000005;0.000005;0.000005
h;0.000007;0.226607;0.001547;0.000098;0.079106;0.000070;0.422023;0.008742;0.000316;0.000253;0.000014;0.000028;0.000478;0.001266;0.073529;0.003622;0.000113;0.007251;0.027281;0.000007;0.012490;0.125200;0.000190;0.009614;0.000028;0.000007;0.000070;0.000007;0.000007;0.000007;0.000007;0.000007;0.000007
y;0.000015;0.003216;0.001871;0.001316;0.458137;0.003933;0.056183;0.030584;0.019239;0.001023;0.000029;0.000044;0.005570;0.035599;0.258447;0.003202;0.003772;0.000117;0.010555;0.000015;0.080087;0.024751;0.000029;0.000029;0.000219;0.000015;0.000015;0.001784;0.000132;0.000029;0.000015;0.000015;0.000015
f;0.000026;0.070913;0.000026;0.000928;0.322189;0.000387;0.070655;0.072434;0.001031;0.000335;0.000077;0.001340;0.017219;0.001444;0.171160;0.000722;0.000232;0.030340;0.036552;0.000026;0.055369;0.085786;0.000180;0.001933;0.058437;0.000077;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026;0.000026
x;0.000256;0.198821;0.001537;0.000256;0.238534;0.000512;0.084807;0.000256;0.000769;0.049962;0.000256;0.000512;0.001793;0.000512;0.008199;0.001025;0.113759;0.013067;0.158852;0.000256;0.043044;0.068153;0.000256;0.005893;0.001793;0.004868;0.000512;0.000256;0.000256;0.000256;0.000256;0.000256;0.000256
q;0.000740;0.028846;0.000740;0.000740;0.094675;0.000740;0.000740;0.000740;0.000740;0.000740;0.000740;0.000740;0.000740;0.008136;0.000740;0.000740;0.000740;0.823225;0.001479;0.000740;0.017012;0.005917;0.000740;0.001479;0.000740;0.000740;0.000740;0.000740;0.000740;0.001479;0.000740;0.000740;0.000740
v;0.000042;0.038479;0.000042;0.000085;0.003002;0.000042;0.768235;0.000085;0.000042;0.000042;0.000042;0.000042;0.001353;0.000888;0.055774;0.000042;0.000211;0.000507;0.000042;0.000042;0.000296;0.128504;0.000042;0.001565;0.000042;0.000042;0.000042;0.000211;0.000042;0.000042;0.000042;0.000042;0.000042
z;0.000443;0.097118;0.000443;0.000887;0.207539;0.000443;0.296674;0.002217;0.001330;0.000443;0.000887;0.000443;0.003991;0.003991;0.046563;0.000443;0.000443;0.014634;0.000443;0.000443;0.035033;0.152993;0.001774;0.099335;0.001330;0.000443;0.000443;0.001330;0.023060;0.000443;0.000443;0.003104;0.000443
.;0.002070;0.004141;0.002070;0.002070;0.482402;0.004141;0.004141;0.002070;0.002070;0.026915;0.031056;0.002070;0.004141;0.250518;0.006211;0.053830;0.002070;0.002070;0.002070;0.002070;0.084886;0.004141;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070;0.002070
,;0.004878;0.004878;0.004878;0.004878;0.731707;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.112195;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.004878;0.009756;0.004878;0.004878
ö;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.175000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
#;0.025641;0.051282;0.051282;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
