smoothed;2
(;w;e;l;c;o;m; ;t;p;d;s;a;v;r;i;j;h;n;);f;u;y;k;g;b;z;x;q;.;,;é;#
n;0.000012;0.000260;0.068407;0.004353;0.025251;0.086770;0.002622;0.208263;0.115570;0.000470;0.141871;0.041338;0.037579;0.006752;0.001249;0.028144;0.000346;0.000297;0.017213;0.035811;0.005132;0.005936;0.014258;0.023074;0.128170;0.000383;0.000049;0.000087;0.000272;0.000025;0.000012;0.000012;0.000012
);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
f;0.000052;0.000105;0.069910;0.016533;0.000105;0.190784;0.000105;0.322889;0.024091;0.000105;0.000210;0.001680;0.055057;0.000052;0.072377;0.089277;0.000052;0.000052;0.000052;0.055739;0.058678;0.031229;0.004409;0.000052;0.001522;0.004514;0.000052;0.000052;0.000052;0.000052;0.000052;0.000052;0.000052
u;0.000027;0.000027;0.031767;0.086696;0.025217;0.004084;0.060602;0.114516;0.162948;0.038620;0.015925;0.146256;0.019707;0.002357;0.099276;0.011841;0.000027;0.002988;0.083352;0.017789;0.003399;0.000082;0.010032;0.000877;0.034426;0.024614;0.001206;0.000137;0.000055;0.001069;0.000027;0.000027;0.000027
y;0.000037;0.003570;0.070151;0.003644;0.001362;0.230328;0.004269;0.478506;0.010747;0.002944;0.001178;0.033346;0.011778;0.003092;0.018660;0.026353;0.000037;0.000074;0.002871;0.084100;0.000221;0.000184;0.000037;0.000110;0.000331;0.011704;0.000110;0.000037;0.000037;0.000074;0.000037;0.000037;0.000037
k;0.000068;0.000477;0.321480;0.008175;0.000136;0.016895;0.000272;0.235302;0.000681;0.000272;0.000477;0.034607;0.030997;0.000068;0.001771;0.115539;0.000068;0.000681;0.186389;0.034948;0.000477;0.001839;0.002861;0.001022;0.003542;0.000477;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068;0.000068
g;0.000041;0.000124;0.121711;0.010077;0.000248;0.118820;0.001280;0.322884;0.004873;0.000165;0.000413;0.025234;0.055590;0.000041;0.048445;0.037996;0.000041;0.116879;0.022591;0.052327;0.000496;0.045884;0.004626;0.000041;0.008673;0.000207;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041;0.000041
b;0.000055;0.000494;0.317850;0.113710;0.000824;0.156756;0.001043;0.014715;0.002855;0.001373;0.000165;0.013122;0.101741;0.005491;0.040246;0.053643;0.001812;0.000220;0.000275;0.002855;0.000055;0.129248;0.035414;0.000055;0.000439;0.005106;0.000055;0.000055;0.000055;0.000055;0.000055;0.000110;0.000055
z;0.001167;0.001167;0.352392;0.007001;0.001167;0.050175;0.001167;0.091015;0.005834;0.001167;0.001167;0.007001;0.134189;0.001167;0.002334;0.151692;0.001167;0.003501;0.001167;0.018670;0.002334;0.021004;0.110852;0.001167;0.001167;0.002334;0.019837;0.001167;0.001167;0.001167;0.001167;0.001167;0.001167
x;0.000695;0.000695;0.058414;0.000695;0.093185;0.011822;0.001391;0.160640;0.179416;0.166203;0.000695;0.000695;0.133519;0.000695;0.000695;0.100139;0.000695;0.004172;0.001391;0.025730;0.000695;0.043811;0.002782;0.000695;0.001391;0.001391;0.000695;0.000695;0.003477;0.000695;0.000695;0.000695;0.000695
q;0.001211;0.001211;0.001211;0.001211;0.001211;0.001211;0.001211;0.039952;0.001211;0.001211;0.001211;0.001211;0.021792;0.001211;0.001211;0.001211;0.001211;0.001211;0.001211;0.006053;0.001211;0.895884;0.001211;0.001211;0.001211;0.002421;0.001211;0.001211;0.001211;0.001211;0.001211;0.001211;0.001211
.;0.003831;0.003831;0.003831;0.003831;0.030651;0.007663;0.045977;0.536398;0.003831;0.003831;0.003831;0.149425;0.003831;0.003831;0.003831;0.003831;0.003831;0.003831;0.003831;0.122605;0.007663;0.003831;0.003831;0.003831;0.003831;0.003831;0.003831;0.003831;0.003831;0.003831;0.003831;0.003831;0.003831
,;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.485294;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.058824;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
é;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
#;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
