smoothed;3
(;w;e;l;c;o;m; ;t;p;d;s;a;v;r;i;j;h;n;);f;u;y;k;g;b;z;x;q;.;,;é;#
(f;0.000885;0.000885;0.069912;0.035398;0.000885;0.352212;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.147788;0.000885;0.165487;0.144248;0.000885;0.000885;0.000885;0.000885;0.000885;0.049558;0.000885;0.000885;0.000885;0.013274;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885;0.000885
(u;0.002457;0.002457;0.002457;0.051597;0.002457;0.002457;0.041769;0.002457;0.002457;0.154791;0.002457;0.154791;0.002457;0.002457;0.004914;0.002457;0.002457;0.031941;0.466830;0.002457;0.002457;0.002457;0.002457;0.017199;0.002457;0.004914;0.002457;0.002457;0.002457;0.014742;0.002457;0.002457;0.002457
(y;0.000973;0.000973;0.241245;0.000973;0.000973;0.721790;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.007782;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973;0.000973
(k;0.001692;0.001692;0.062606;0.005076;0.001692;0.050761;0.001692;0.001692;0.001692;0.001692;0.001692;0.001692;0.054146;0.001692;0.005076;0.170897;0.001692;0.005076;0.597293;0.001692;0.001692;0.008460;0.001692;0.001692;0.001692;0.001692;0.001692;0.001692;0.001692;0.001692;0.001692;0.001692;0.001692
(g;0.001199;0.001199;0.187050;0.017986;0.001199;0.447242;0.001199;0.002398;0.001199;0.001199;0.001199;0.001199;0.040767;0.001199;0.109113;0.058753;0.001199;0.002398;0.001199;0.001199;0.001199;0.105516;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199;0.001199
(b;0.000607;0.000607;0.437766;0.034001;0.000607;0.056466;0.000607;0.000607;0.000607;0.000607;0.000607;0.000607;0.125683;0.000607;0.077110;0.053430;0.000607;0.000607;0.000607;0.000607;0.000607;0.175471;0.024287;0.000607;0.000607;0.001214;0.000607;0.000607;0.000607;0.000607;0.000607;0.000607;0.000607
(z;0.025000;0.025000;0.100000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(x;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(q;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.025806;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.774194;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452;0.006452
(.;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(,;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.179487;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
(é;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
w(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ww;0.026316;0.105263;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316
we;0.000165;0.000165;0.083773;0.109993;0.000165;0.000165;0.000330;0.363951;0.000495;0.000330;0.020778;0.012203;0.028034;0.031003;0.254123;0.011708;0.000165;0.000165;0.022098;0.054749;0.000165;0.000165;0.000165;0.000165;0.000165;0.003463;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165
wl;0.012658;0.012658;0.417722;0.012658;0.012658;0.012658;0.012658;0.050633;0.012658;0.012658;0.012658;0.037975;0.025316;0.012658;0.012658;0.025316;0.012658;0.012658;0.012658;0.025316;0.012658;0.012658;0.088608;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658;0.012658
wc;0.025641;0.025641;0.025641;0.025641;0.025641;0.179487;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
wo;0.000430;0.005589;0.000430;0.008169;0.000430;0.014187;0.068788;0.080825;0.003439;0.000860;0.000860;0.001720;0.000430;0.000430;0.374033;0.000430;0.000430;0.000430;0.074807;0.021066;0.000860;0.334050;0.000860;0.001720;0.000430;0.001290;0.000430;0.000430;0.000430;0.000430;0.000430;0.000430;0.000430
wm;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.200000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
w ;0.000238;0.118640;0.011888;0.019020;0.019734;0.029482;0.030908;0.000951;0.197575;0.020685;0.036139;0.045411;0.085354;0.002615;0.012126;0.131479;0.006657;0.058488;0.011412;0.000951;0.026866;0.011650;0.068474;0.004755;0.010699;0.034950;0.000476;0.000238;0.000951;0.000476;0.000238;0.000238;0.000238
wt;0.023256;0.023256;0.023256;0.023256;0.023256;0.093023;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.139535;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
wp;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
wd;0.015152;0.015152;0.106061;0.015152;0.015152;0.015152;0.015152;0.227273;0.015152;0.015152;0.015152;0.045455;0.015152;0.015152;0.030303;0.015152;0.015152;0.015152;0.015152;0.060606;0.015152;0.015152;0.121212;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152;0.015152
ws;0.001689;0.003378;0.001689;0.045608;0.001689;0.008446;0.001689;0.706081;0.001689;0.020270;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.005068;0.001689;0.116554;0.003378;0.008446;0.001689;0.043919;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689;0.001689
wa;0.000201;0.000402;0.000201;0.026337;0.000201;0.000201;0.001206;0.002614;0.024930;0.001005;0.003820;0.522718;0.000201;0.002211;0.069763;0.014676;0.000201;0.000201;0.144954;0.000804;0.000201;0.000402;0.170285;0.003820;0.006031;0.001005;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201
wv;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wr;0.002976;0.002976;0.029762;0.002976;0.002976;0.476190;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.035714;0.002976;0.002976;0.372024;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976;0.002976
wi;0.000357;0.000357;0.001427;0.205064;0.003923;0.000357;0.000713;0.000357;0.618402;0.000713;0.002853;0.024964;0.000357;0.001427;0.006419;0.000357;0.000357;0.000357;0.114123;0.000357;0.008916;0.000357;0.000357;0.002853;0.001427;0.000357;0.000357;0.000357;0.000357;0.000357;0.000357;0.000357;0.000357
wj;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wh;0.000168;0.000168;0.227303;0.000168;0.000168;0.212172;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.336584;0.000168;0.000168;0.160894;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.058339;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168
wn;0.001916;0.003831;0.068966;0.009579;0.001916;0.001916;0.001916;0.697318;0.001916;0.001916;0.001916;0.026820;0.001916;0.001916;0.003831;0.019157;0.001916;0.001916;0.001916;0.116858;0.003831;0.003831;0.001916;0.001916;0.003831;0.001916;0.001916;0.001916;0.001916;0.001916;0.001916;0.001916;0.001916
w);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wf;0.014706;0.014706;0.014706;0.044118;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.029412;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.485294;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
wu;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.131579;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
wy;0.008264;0.008264;0.694215;0.008264;0.008264;0.008264;0.008264;0.033058;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.024793;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264;0.008264
wk;0.025641;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
wg;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wb;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.179487;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
wz;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
wx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wq;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
w.;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
w,;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
wé;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
w#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
e(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ew;0.000867;0.000867;0.048569;0.001735;0.005204;0.003469;0.000867;0.431917;0.004337;0.001735;0.000867;0.296618;0.017346;0.000867;0.001735;0.033825;0.000867;0.019948;0.008673;0.107546;0.000867;0.000867;0.000867;0.000867;0.000867;0.001735;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867;0.000867
ee;0.000282;0.000282;0.000282;0.057910;0.014407;0.000282;0.077684;0.148305;0.103955;0.068927;0.120056;0.010452;0.000565;0.000282;0.018927;0.012994;0.000565;0.000282;0.248588;0.024859;0.001130;0.000282;0.000565;0.081356;0.000282;0.000282;0.004237;0.000565;0.000282;0.000282;0.000282;0.000282;0.000282
el;0.000231;0.000231;0.117348;0.294987;0.011550;0.015015;0.002079;0.094941;0.012705;0.040194;0.015477;0.050589;0.035343;0.018018;0.001155;0.119427;0.000231;0.000231;0.000231;0.021252;0.047355;0.002541;0.094941;0.000231;0.001155;0.000924;0.000231;0.000231;0.000231;0.000231;0.000231;0.000231;0.000231
ec;0.000266;0.000266;0.068479;0.011191;0.000799;0.104183;0.000266;0.001332;0.235012;0.000266;0.001599;0.000533;0.323741;0.000266;0.024514;0.100187;0.000266;0.028511;0.000266;0.000799;0.000266;0.059153;0.000533;0.034905;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266;0.000266
eo;0.000575;0.000575;0.000575;0.014951;0.001725;0.000575;0.000575;0.024727;0.004600;0.767108;0.000575;0.004025;0.000575;0.001150;0.042553;0.000575;0.000575;0.000575;0.105808;0.003450;0.004025;0.011501;0.000575;0.000575;0.002875;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575
em;0.000344;0.000344;0.210127;0.000344;0.000344;0.196349;0.002411;0.239408;0.000344;0.029969;0.000344;0.077506;0.044781;0.000344;0.000344;0.046159;0.000344;0.000344;0.006545;0.036514;0.000344;0.001722;0.005167;0.000689;0.000344;0.096107;0.000344;0.000344;0.000344;0.000344;0.000344;0.000344;0.000344
e ;0.000023;0.087430;0.017252;0.025557;0.044965;0.056803;0.030833;0.002363;0.144417;0.043245;0.036018;0.067035;0.101998;0.006378;0.029067;0.083599;0.010140;0.047764;0.027713;0.000459;0.029296;0.011035;0.023951;0.009773;0.023423;0.036523;0.000115;0.000023;0.002432;0.000069;0.000252;0.000023;0.000023
et;0.000248;0.026531;0.051327;0.001736;0.006199;0.008182;0.000248;0.293330;0.168857;0.000992;0.000496;0.098438;0.053062;0.000248;0.004959;0.063476;0.000248;0.148773;0.001240;0.048599;0.000992;0.006943;0.010662;0.000248;0.000496;0.000992;0.000992;0.000248;0.000248;0.000248;0.000248;0.000248;0.000248
ep;0.000598;0.000598;0.053198;0.031680;0.000598;0.145846;0.000598;0.127914;0.080096;0.009564;0.000598;0.020921;0.083682;0.000598;0.032875;0.045427;0.000598;0.014943;0.000598;0.022116;0.000598;0.319187;0.001195;0.000598;0.000598;0.000598;0.000598;0.000598;0.000598;0.000598;0.000598;0.000598;0.000598
ed;0.000145;0.000145;0.020218;0.005236;0.000145;0.003927;0.000727;0.742400;0.000291;0.000145;0.002327;0.011927;0.004509;0.000145;0.001018;0.068800;0.000145;0.000145;0.002909;0.109964;0.000291;0.009455;0.005236;0.000145;0.008436;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145;0.000145
es;0.000094;0.000094;0.076538;0.000283;0.004819;0.004536;0.000472;0.439951;0.151469;0.025229;0.004819;0.124823;0.000567;0.001417;0.000094;0.060285;0.000094;0.001228;0.025891;0.072191;0.000094;0.003874;0.000189;0.000094;0.000094;0.000094;0.000094;0.000094;0.000094;0.000094;0.000094;0.000094;0.000094
ea;0.000131;0.000261;0.000131;0.162268;0.033316;0.000131;0.019336;0.036452;0.081265;0.015678;0.078390;0.082963;0.000131;0.014894;0.166841;0.000131;0.000131;0.129475;0.125033;0.006533;0.000784;0.008231;0.000131;0.032663;0.002744;0.000915;0.000261;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131
ev;0.000386;0.000386;0.882239;0.000386;0.000386;0.011583;0.000386;0.001158;0.000386;0.000386;0.000386;0.000386;0.022780;0.000386;0.000386;0.070656;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.001158;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386
er;0.000064;0.002357;0.292848;0.001911;0.006242;0.005796;0.013375;0.268199;0.019234;0.002165;0.003439;0.100822;0.038150;0.021336;0.011592;0.049169;0.001146;0.002102;0.027068;0.048086;0.006369;0.001465;0.072097;0.000828;0.002993;0.000637;0.000127;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064
ei;0.000674;0.000674;0.000674;0.010789;0.003372;0.000674;0.003372;0.003372;0.066757;0.002023;0.016183;0.004720;0.000674;0.017532;0.404585;0.001349;0.002697;0.000674;0.287930;0.001349;0.010789;0.001349;0.000674;0.000674;0.139582;0.003372;0.009440;0.000674;0.000674;0.000674;0.000674;0.000674;0.000674
