smoothed;3
(;w;e;l;c;o;m; ;t;p;d;s;a;v;r;i;j;h;n;);f;u;y;k;g;b;z;x;q;.;,;é;#
((;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(w;0.000367;0.000734;0.226422;0.000367;0.000367;0.111560;0.000367;0.000734;0.000367;0.000367;0.000367;0.000367;0.198165;0.000367;0.014679;0.129174;0.000367;0.309358;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367;0.000367
(e;0.001133;0.001133;0.001133;0.105323;0.028313;0.001133;0.031710;0.001133;0.011325;0.011325;0.021518;0.056625;0.047565;0.268403;0.004530;0.026048;0.001133;0.001133;0.133635;0.001133;0.027180;0.009060;0.003398;0.001133;0.003398;0.001133;0.001133;0.185730;0.007928;0.001133;0.001133;0.001133;0.001133
(l;0.000835;0.000835;0.187813;0.000835;0.000835;0.208681;0.000835;0.000835;0.000835;0.000835;0.000835;0.000835;0.145242;0.000835;0.000835;0.423205;0.000835;0.000835;0.000835;0.000835;0.000835;0.007513;0.005008;0.000835;0.000835;0.000835;0.000835;0.000835;0.000835;0.000835;0.000835;0.000835;0.000835
(c;0.000478;0.000478;0.024390;0.049737;0.000478;0.498804;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478;0.208034;0.000478;0.064562;0.019608;0.000478;0.097083;0.003348;0.000478;0.000478;0.020564;0.002869;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478;0.000478
(o;0.000653;0.009144;0.000653;0.006532;0.005879;0.001306;0.001306;0.001306;0.050294;0.037231;0.002613;0.003266;0.002613;0.041803;0.075114;0.001306;0.000653;0.015676;0.192685;0.000653;0.340300;0.127368;0.000653;0.028086;0.000653;0.047681;0.000653;0.000653;0.000653;0.000653;0.000653;0.000653;0.000653
(m;0.000717;0.000717;0.229555;0.000717;0.038737;0.198709;0.007174;0.000717;0.000717;0.000717;0.000717;0.002869;0.259684;0.000717;0.001435;0.149928;0.000717;0.000717;0.000717;0.000717;0.000717;0.068867;0.026542;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717;0.000717
( ;0.005495;0.054945;0.016484;0.010989;0.049451;0.076923;0.060440;0.021978;0.076923;0.076923;0.021978;0.054945;0.120879;0.010989;0.027473;0.060440;0.010989;0.032967;0.021978;0.005495;0.005495;0.010989;0.043956;0.005495;0.010989;0.054945;0.005495;0.005495;0.016484;0.005495;0.005495;0.005495;0.005495
(t;0.000163;0.012553;0.027714;0.000163;0.000163;0.124063;0.000163;0.000163;0.000163;0.000163;0.000163;0.000489;0.031301;0.000652;0.062765;0.013368;0.000163;0.717965;0.000163;0.000163;0.000163;0.004565;0.000978;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163
(p;0.000541;0.000541;0.193828;0.044396;0.000541;0.204115;0.000541;0.000541;0.000541;0.000541;0.000541;0.002166;0.122361;0.000541;0.313481;0.025988;0.000541;0.011911;0.000541;0.000541;0.002166;0.065512;0.001083;0.000541;0.000541;0.000541;0.000541;0.000541;0.000541;0.001624;0.000541;0.000541;0.000541
(d;0.000609;0.000609;0.281536;0.000609;0.002438;0.351005;0.000609;0.000609;0.000609;0.000609;0.001219;0.001219;0.071907;0.000609;0.031688;0.213894;0.000609;0.001219;0.002438;0.000609;0.000609;0.023766;0.004875;0.000609;0.000609;0.000609;0.000609;0.000609;0.000609;0.000609;0.000609;0.000609;0.000609
(s;0.000367;0.007704;0.144167;0.006236;0.023844;0.223404;0.006236;0.002201;0.162509;0.048789;0.000367;0.000734;0.124725;0.000367;0.000734;0.049890;0.000367;0.093544;0.001101;0.000367;0.000367;0.082172;0.009538;0.005503;0.000367;0.000367;0.000367;0.000367;0.001834;0.000367;0.000367;0.000367;0.000367
(a;0.000276;0.006624;0.000276;0.087221;0.043610;0.000276;0.033950;0.098537;0.038642;0.027049;0.031466;0.044162;0.000552;0.003864;0.079492;0.003036;0.000276;0.003036;0.324041;0.000276;0.026221;0.005520;0.001104;0.000276;0.032018;0.105713;0.000276;0.000828;0.000276;0.000276;0.000276;0.000276;0.000276
(v;0.003145;0.003145;0.286164;0.022013;0.003145;0.229560;0.003145;0.006289;0.003145;0.003145;0.003145;0.003145;0.075472;0.003145;0.003145;0.270440;0.003145;0.003145;0.003145;0.003145;0.003145;0.028302;0.003145;0.003145;0.003145;0.003145;0.003145;0.003145;0.003145;0.003145;0.003145;0.003145;0.003145
(r;0.000725;0.000725;0.612038;0.000725;0.000725;0.046410;0.000725;0.000725;0.000725;0.000725;0.000725;0.000725;0.073241;0.000725;0.000725;0.148658;0.000725;0.007252;0.000725;0.000725;0.000725;0.078318;0.015228;0.000725;0.000725;0.000725;0.000725;0.000725;0.000725;0.000725;0.000725;0.000725;0.000725
(i;0.000364;0.000364;0.000364;0.009094;0.002546;0.000364;0.082212;0.118952;0.206621;0.000364;0.015642;0.146963;0.000364;0.005457;0.013459;0.000364;0.000364;0.000364;0.347035;0.000728;0.041833;0.000364;0.000364;0.000364;0.002183;0.000364;0.000364;0.000364;0.000364;0.000364;0.000364;0.000364;0.000364
(j;0.002500;0.002500;0.055000;0.002500;0.002500;0.215000;0.002500;0.002500;0.002500;0.002500;0.002500;0.002500;0.102500;0.002500;0.005000;0.005000;0.002500;0.002500;0.002500;0.002500;0.002500;0.550000;0.002500;0.002500;0.002500;0.002500;0.002500;0.002500;0.002500;0.002500;0.002500;0.002500;0.002500
(h;0.000585;0.000585;0.319087;0.000585;0.000585;0.126464;0.000585;0.000585;0.000585;0.000585;0.000585;0.000585;0.350117;0.000585;0.000585;0.147541;0.000585;0.001171;0.000585;0.000585;0.000585;0.033372;0.006440;0.000585;0.000585;0.000585;0.000585;0.000585;0.001171;0.000585;0.000585;0.000585;0.000585
(n;0.001124;0.001124;0.246067;0.001124;0.001124;0.519101;0.001124;0.001124;0.001124;0.002247;0.002247;0.002247;0.097753;0.001124;0.010112;0.025843;0.001124;0.001124;0.001124;0.001124;0.001124;0.066292;0.001124;0.001124;0.001124;0.002247;0.001124;0.001124;0.001124;0.001124;0.001124;0.001124;0.001124
();0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
