smoothed;3
(;h;e;l;o; ;i;m;d;n;g;r;a;t;);y;u;k;c;p;s;f;b;v;w;z;q;j;x;,;.;?;#
((;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(h;0.000464;0.000464;0.254064;0.000464;0.168137;0.000929;0.092429;0.001858;0.000464;0.000464;0.000464;0.000464;0.392476;0.000464;0.000464;0.024152;0.054343;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464;0.000464
(e;0.000575;0.000575;0.000575;0.039701;0.000575;0.001151;0.020138;0.042002;0.014960;0.127158;0.005178;0.003452;0.054661;0.023015;0.000575;0.004028;0.015535;0.000575;0.041427;0.005178;0.050058;0.014384;0.000575;0.276180;0.000575;0.000575;0.016110;0.000575;0.237629;0.000575;0.000575;0.000575;0.000575
(l;0.000326;0.000326;0.115422;0.000326;0.122921;0.000652;0.696446;0.000326;0.000326;0.000326;0.000326;0.000326;0.047930;0.000326;0.000326;0.004239;0.003913;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326
(o;0.000329;0.053342;0.000329;0.010537;0.000659;0.000329;0.000329;0.000659;0.001317;0.166283;0.000659;0.114587;0.000329;0.043135;0.000329;0.000329;0.059598;0.156075;0.003622;0.034574;0.000988;0.268028;0.036220;0.030952;0.013829;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329;0.000329
( ;0.001570;0.039246;0.012559;0.045526;0.054945;0.036107;0.069074;0.031397;0.043956;0.009419;0.018838;0.020408;0.087912;0.097331;0.001570;0.058085;0.020408;0.012559;0.039246;0.054945;0.080063;0.026688;0.050235;0.006279;0.054945;0.001570;0.003140;0.010989;0.004710;0.001570;0.001570;0.001570;0.001570
(i;0.000177;0.000177;0.000177;0.013963;0.000177;0.219689;0.001060;0.123012;0.020855;0.225168;0.001944;0.007600;0.001414;0.188936;0.001237;0.000177;0.000177;0.000177;0.000707;0.000177;0.118770;0.055673;0.000177;0.015730;0.000177;0.000353;0.001060;0.000177;0.000177;0.000177;0.000177;0.000177;0.000177
(m;0.000382;0.000382;0.234034;0.000382;0.202677;0.000382;0.108222;0.007648;0.000382;0.000382;0.000765;0.001147;0.263862;0.000382;0.000382;0.077629;0.094073;0.000382;0.001147;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382;0.000382
(d;0.000350;0.000350;0.213086;0.000350;0.427572;0.001050;0.250875;0.000700;0.000700;0.000700;0.000350;0.025192;0.034290;0.000350;0.000350;0.004199;0.033240;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000700;0.000700;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350;0.000350
(n;0.000719;0.000719;0.235083;0.000719;0.584472;0.002157;0.030194;0.000719;0.000719;0.000719;0.000719;0.000719;0.081237;0.000719;0.000719;0.000719;0.046010;0.000719;0.000719;0.000719;0.000719;0.001438;0.001438;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719;0.000719
(g;0.000631;0.003788;0.217803;0.011995;0.402146;0.000631;0.071970;0.001263;0.002525;0.000631;0.000631;0.080808;0.058081;0.000631;0.000631;0.001263;0.134470;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631;0.000631
(r;0.000467;0.002804;0.584112;0.000467;0.030374;0.000467;0.247196;0.001402;0.000467;0.000467;0.000467;0.000467;0.096262;0.000467;0.000467;0.000467;0.025701;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467;0.000467
(a;0.000179;0.002870;0.000538;0.089865;0.000179;0.097040;0.002332;0.028161;0.015247;0.302063;0.038206;0.119462;0.000359;0.032466;0.000538;0.000359;0.010942;0.000717;0.072466;0.019910;0.051839;0.012018;0.089148;0.004126;0.005740;0.000179;0.000179;0.000179;0.001794;0.000179;0.000359;0.000179;0.000179
