smoothed;3
(;t;h;i;s; ;d;e;m;o;c;r;a;y;n;w;g;);j;u;z;l;v;f;k;p;b;.;q;x;,;á;ö;ã;!;?;í;ó;ñ;é;à;¡;ú;#
in;0.000010;0.056479;0.000747;0.024648;0.029793;0.238496;0.038359;0.037481;0.000262;0.002593;0.027190;0.000030;0.024728;0.000726;0.005610;0.000091;0.392546;0.032164;0.002028;0.010654;0.000272;0.003400;0.015578;0.007668;0.040467;0.000252;0.000464;0.002401;0.000242;0.000010;0.004076;0.000172;0.000010;0.000010;0.000020;0.000242;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010
iw;0.004405;0.004405;0.008811;0.004405;0.004405;0.004405;0.004405;0.356828;0.004405;0.017621;0.004405;0.004405;0.431718;0.004405;0.004405;0.008811;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.008811;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405;0.004405
ig;0.000087;0.000087;0.527458;0.023797;0.000436;0.032078;0.000785;0.036524;0.002441;0.005492;0.000087;0.062936;0.086210;0.000174;0.167364;0.000087;0.025105;0.005404;0.000087;0.020136;0.000087;0.000262;0.000087;0.000087;0.000087;0.000262;0.000087;0.000174;0.000087;0.000087;0.000785;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087;0.000087
i);0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
ij;0.007519;0.007519;0.007519;0.270677;0.007519;0.007519;0.007519;0.037594;0.007519;0.015038;0.007519;0.052632;0.112782;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.225564;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
iu;0.004065;0.004065;0.004065;0.004065;0.227642;0.073171;0.012195;0.004065;0.455285;0.004065;0.004065;0.004065;0.004065;0.004065;0.012195;0.004065;0.004065;0.008130;0.004065;0.004065;0.004065;0.036585;0.004065;0.004065;0.004065;0.004065;0.004065;0.008130;0.004065;0.004065;0.024390;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065;0.004065
iz;0.000361;0.000361;0.000361;0.100072;0.000723;0.018064;0.000361;0.583815;0.000361;0.019870;0.000361;0.009032;0.242413;0.000361;0.000361;0.000361;0.000361;0.001806;0.000361;0.005780;0.003613;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.001084;0.000361;0.000361;0.001806;0.000361;0.000361;0.000361;0.000361;0.000723;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361;0.000361
il;0.000057;0.014823;0.001034;0.159035;0.012985;0.081241;0.094685;0.094283;0.030279;0.004596;0.000115;0.000747;0.026372;0.055444;0.000057;0.000402;0.000115;0.012353;0.000115;0.003103;0.000057;0.396093;0.002011;0.000057;0.001494;0.000057;0.000517;0.003217;0.000057;0.000057;0.003505;0.000057;0.000057;0.000057;0.000115;0.000287;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057;0.000057
iv;0.000116;0.000116;0.000116;0.216125;0.000232;0.002436;0.000116;0.700580;0.000116;0.017749;0.000116;0.000232;0.056381;0.000696;0.000116;0.000116;0.000116;0.000232;0.000116;0.000348;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000928;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000348;0.000116;0.000116;0.000116;0.000116
if;0.000147;0.045134;0.000147;0.148780;0.000735;0.351955;0.000147;0.150838;0.000147;0.040135;0.000147;0.000735;0.012202;0.039841;0.000147;0.000147;0.000147;0.037342;0.000294;0.013672;0.000147;0.004557;0.000147;0.147604;0.000147;0.000147;0.000147;0.000294;0.000147;0.000147;0.001764;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147;0.000147
ik;0.000228;0.000457;0.040402;0.018261;0.001141;0.004565;0.000228;0.901621;0.000228;0.008217;0.000228;0.000228;0.004793;0.000228;0.000228;0.000228;0.000228;0.001141;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.011413;0.000228;0.000228;0.000228;0.000228;0.000228;0.000457;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228;0.000228
ip;0.000411;0.039046;0.009453;0.016030;0.074394;0.312372;0.000411;0.088779;0.014386;0.016852;0.002877;0.003288;0.088779;0.000822;0.000411;0.000411;0.000411;0.052199;0.000411;0.010686;0.000411;0.127415;0.000411;0.001233;0.000411;0.099055;0.000411;0.015208;0.000411;0.000411;0.016441;0.000411;0.000411;0.000411;0.000411;0.000822;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411;0.000411
ib;0.000386;0.000386;0.001157;0.153876;0.002700;0.006170;0.000386;0.200540;0.000386;0.007713;0.000386;0.028153;0.037023;0.022754;0.000386;0.000386;0.000386;0.002700;0.000386;0.099499;0.000386;0.404936;0.000386;0.000386;0.000386;0.000386;0.019668;0.000386;0.000386;0.000386;0.001543;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386
i.;0.007937;0.007937;0.007937;0.007937;0.007937;0.015873;0.007937;0.031746;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.626984;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937;0.007937
iq;0.005587;0.005587;0.005587;0.005587;0.005587;0.055866;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.016760;0.005587;0.698324;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587;0.005587
ix;0.002041;0.100000;0.002041;0.051020;0.002041;0.477551;0.006122;0.055102;0.006122;0.071429;0.002041;0.002041;0.018367;0.020408;0.004082;0.004082;0.002041;0.110204;0.002041;0.002041;0.002041;0.004082;0.002041;0.002041;0.002041;0.004082;0.002041;0.002041;0.002041;0.002041;0.008163;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041;0.002041
i,;0.004237;0.004237;0.004237;0.004237;0.004237;0.690678;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.131356;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237;0.004237
iá;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
iö;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
iã;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
i!;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
i?;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.203704;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
ií;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
ió;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.100000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.040000;0.020000;0.020000;0.040000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
iñ;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
ié;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.462500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
ià;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
i¡;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
iú;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
i#;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
s(;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
st;0.000024;0.000450;0.003218;0.129683;0.035994;0.291455;0.000047;0.094422;0.002106;0.071018;0.000663;0.092671;0.185744;0.002579;0.000095;0.000308;0.000142;0.045910;0.000095;0.024422;0.000024;0.004804;0.000024;0.000450;0.000118;0.000426;0.000142;0.004970;0.000024;0.000024;0.007431;0.000047;0.000024;0.000024;0.000024;0.000213;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024;0.000024
sh;0.000089;0.003579;0.000358;0.138690;0.001790;0.085451;0.000089;0.313350;0.012706;0.291160;0.001253;0.004295;0.092430;0.001342;0.006442;0.000984;0.000089;0.016195;0.000089;0.016374;0.000089;0.001611;0.000447;0.000268;0.000179;0.000447;0.000895;0.003400;0.000089;0.000089;0.004026;0.000089;0.000089;0.000089;0.000089;0.000626;0.000089;0.000089;0.000089;0.000089;0.000089;0.000089;0.000089;0.000089
si;0.000055;0.112864;0.000109;0.000055;0.059106;0.006986;0.205861;0.006658;0.019265;0.119031;0.066965;0.004639;0.047809;0.000055;0.161600;0.003111;0.046826;0.000982;0.000055;0.001201;0.004039;0.023031;0.042406;0.003929;0.000109;0.003547;0.042624;0.000327;0.000055;0.015227;0.000546;0.000055;0.000055;0.000055;0.000055;0.000164;0.000055;0.000164;0.000055;0.000055;0.000055;0.000055;0.000055;0.000055
ss;0.000076;0.001363;0.000682;0.283356;0.001212;0.243450;0.000151;0.110480;0.025216;0.037256;0.000227;0.007345;0.102453;0.010298;0.002196;0.001590;0.000151;0.041799;0.000076;0.089353;0.000076;0.003635;0.000076;0.005149;0.000379;0.002196;0.000454;0.013782;0.000076;0.000076;0.013857;0.000076;0.000076;0.000076;0.000151;0.000530;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076
s ;0.000009;0.146475;0.035588;0.096710;0.050781;0.002610;0.025675;0.015193;0.024642;0.073198;0.036612;0.024142;0.177623;0.014116;0.031875;0.071210;0.017960;0.000403;0.008888;0.009440;0.000245;0.021761;0.008967;0.029239;0.005333;0.027689;0.040894;0.000245;0.001970;0.000018;0.000359;0.000026;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009
sd;0.001656;0.001656;0.001656;0.056291;0.019868;0.008278;0.001656;0.036424;0.001656;0.021523;0.001656;0.014901;0.774834;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.003311;0.001656;0.003311;0.003311;0.001656;0.001656;0.001656;0.003311;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656;0.001656
se;0.000031;0.017226;0.001208;0.003005;0.040989;0.347554;0.089166;0.084828;0.005236;0.001053;0.052390;0.045574;0.021625;0.004245;0.090622;0.001890;0.003222;0.060105;0.000031;0.001859;0.000031;0.050655;0.014252;0.001394;0.000186;0.011866;0.000558;0.008954;0.003842;0.017877;0.016916;0.000031;0.000031;0.000031;0.000093;0.001177;0.000031;0.000031;0.000031;0.000031;0.000031;0.000031;0.000031;0.000031
sm;0.000582;0.000582;0.001165;0.070472;0.020967;0.281305;0.000582;0.159581;0.000582;0.030868;0.000582;0.001747;0.280140;0.002912;0.000582;0.000582;0.000582;0.059988;0.000582;0.015143;0.000582;0.000582;0.000582;0.000582;0.000582;0.000582;0.000582;0.019220;0.000582;0.000582;0.036692;0.000582;0.000582;0.000582;0.000582;0.002330;0.000582;0.000582;0.000582;0.000582;0.000582;0.000582;0.000582;0.000582
so;0.000046;0.003159;0.000183;0.001007;0.000320;0.353493;0.001511;0.000870;0.171916;0.006043;0.040564;0.059473;0.001236;0.000320;0.142661;0.001007;0.000733;0.043311;0.000092;0.045280;0.000046;0.053154;0.003434;0.002060;0.000092;0.002060;0.002381;0.001602;0.000046;0.000046;0.061212;0.000046;0.000046;0.000046;0.000046;0.000092;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046;0.000046
sc;0.000253;0.000253;0.260385;0.117528;0.000253;0.002026;0.000253;0.052178;0.001013;0.144630;0.000253;0.160334;0.142097;0.000253;0.000253;0.000253;0.000253;0.001013;0.000253;0.097011;0.000253;0.013425;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253;0.000253
sr;0.000986;0.000986;0.000986;0.013807;0.000986;0.007890;0.000986;0.031558;0.000986;0.094675;0.000986;0.000986;0.762327;0.001972;0.000986;0.000986;0.000986;0.000986;0.000986;0.048323;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986;0.002959;0.000986;0.000986;0.001972;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986;0.000986
sa;0.000077;0.049298;0.000690;0.181783;0.022004;0.022234;0.023001;0.000383;0.058805;0.000153;0.021314;0.030974;0.001303;0.245572;0.112934;0.031895;0.023538;0.003833;0.000077;0.059956;0.000077;0.048838;0.014261;0.022387;0.003067;0.008434;0.009814;0.000843;0.000077;0.000153;0.001150;0.000077;0.000077;0.000077;0.000077;0.000153;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077;0.000077
sy;0.000520;0.001041;0.000520;0.001041;0.277315;0.125911;0.001041;0.002601;0.065557;0.026015;0.082206;0.224246;0.001561;0.000520;0.017690;0.000520;0.000520;0.015088;0.000520;0.000520;0.000520;0.129553;0.000520;0.000520;0.000520;0.002601;0.001041;0.006764;0.000520;0.000520;0.004162;0.000520;0.000520;0.000520;0.000520;0.001561;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520;0.000520
sn;0.000730;0.774453;0.000730;0.035766;0.000730;0.000730;0.000730;0.063504;0.000730;0.054745;0.001460;0.000730;0.023358;0.005109;0.000730;0.000730;0.000730;0.000730;0.000730;0.001460;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.014599;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730;0.000730
sw;0.001653;0.001653;0.034711;0.115702;0.001653;0.001653;0.001653;0.566942;0.001653;0.092562;0.001653;0.001653;0.125620;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653;0.001653
sg;0.008130;0.008130;0.008130;0.048780;0.008130;0.008130;0.008130;0.195122;0.008130;0.024390;0.008130;0.186992;0.024390;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.211382;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130;0.008130
s);0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
sj;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
su;0.000131;0.000655;0.000262;0.041672;0.045866;0.001835;0.019788;0.134058;0.050190;0.000131;0.062377;0.207443;0.028044;0.000131;0.037610;0.000131;0.013235;0.000393;0.000262;0.000131;0.002490;0.057266;0.000262;0.029485;0.000655;0.213340;0.049797;0.000131;0.000262;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131;0.000131
sz;0.020833;0.104167;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
sl;0.000501;0.000501;0.000501;0.135840;0.000501;0.001003;0.000501;0.088221;0.000501;0.055639;0.000501;0.000501;0.457143;0.237093;0.000501;0.000501;0.000501;0.000501;0.000501;0.006516;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501
sv;0.005882;0.005882;0.005882;0.729412;0.005882;0.005882;0.005882;0.017647;0.005882;0.005882;0.005882;0.005882;0.011765;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882;0.005882
sf;0.003584;0.003584;0.003584;0.053763;0.003584;0.007168;0.003584;0.218638;0.003584;0.243728;0.003584;0.014337;0.032258;0.017921;0.003584;0.003584;0.003584;0.007168;0.003584;0.275986;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.007168;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584;0.003584
sk;0.000618;0.001236;0.001236;0.234858;0.032756;0.294808;0.000618;0.277503;0.000618;0.003090;0.000618;0.000618;0.024104;0.046354;0.000618;0.000618;0.000618;0.037083;0.000618;0.008653;0.000618;0.004944;0.000618;0.000618;0.000618;0.000618;0.000618;0.003090;0.000618;0.000618;0.011125;0.000618;0.000618;0.000618;0.000618;0.001236;0.000618;0.000618;0.000618;0.000618;0.000618;0.000618;0.000618;0.000618
sp;0.000160;0.000160;0.010718;0.121581;0.001120;0.001600;0.000160;0.457687;0.000160;0.247320;0.000160;0.029915;0.095665;0.004799;0.000160;0.000160;0.000160;0.000480;0.000160;0.007359;0.000160;0.016477;0.000160;0.000160;0.000160;0.000160;0.000160;0.000320;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160;0.000160
sb;0.002128;0.002128;0.004255;0.010638;0.002128;0.012766;0.002128;0.195745;0.002128;0.025532;0.002128;0.017021;0.312766;0.131915;0.002128;0.002128;0.004255;0.004255;0.002128;0.206383;0.002128;0.006383;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128;0.002128
s.;0.000205;0.000821;0.000205;0.000410;0.001436;0.170121;0.000205;0.000205;0.001436;0.000616;0.000821;0.000205;0.001026;0.000410;0.000205;0.000616;0.000205;0.805664;0.000205;0.000205;0.000205;0.000410;0.000205;0.000205;0.000205;0.000205;0.003899;0.000205;0.000205;0.000205;0.006156;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205;0.000205
sq;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.766304;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435;0.005435
sx;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
s,;0.000207;0.000207;0.000207;0.000207;0.000207;0.819710;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.171577;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207;0.000207
sá;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
