smoothed;2
(;s;t;a;i;c;);v;.;o; ;n;l;r;h;e;y;,;f;u;d;g;m;p;j;w;!;k;b;x;?;q;z;#
f;0.000386;0.001930;0.028946;0.058279;0.074103;0.000386;0.017368;0.000386;0.010807;0.131609;0.362022;0.000386;0.016210;0.061752;0.004245;0.108838;0.007333;0.005403;0.057507;0.045156;0.000386;0.000386;0.000386;0.000386;0.000386;0.000386;0.000772;0.000386;0.000386;0.000386;0.001544;0.000386;0.000386;0.000386
u;0.000221;0.147273;0.166041;0.035990;0.015898;0.042173;0.004416;0.003974;0.006403;0.003312;0.100464;0.074409;0.072864;0.135792;0.002429;0.040848;0.006624;0.004416;0.005962;0.000221;0.015898;0.027379;0.028704;0.034224;0.001546;0.000221;0.000662;0.000442;0.014352;0.002650;0.002429;0.000221;0.001325;0.000221
d;0.000214;0.029720;0.000855;0.038272;0.084456;0.001283;0.036348;0.009622;0.022664;0.095360;0.408168;0.006201;0.006201;0.025657;0.001283;0.159076;0.010477;0.020954;0.000428;0.015822;0.012829;0.002780;0.001710;0.001497;0.000641;0.000641;0.001283;0.000214;0.001924;0.000214;0.002566;0.000214;0.000214;0.000214
g;0.000337;0.024949;0.002697;0.050910;0.050910;0.000674;0.044504;0.000337;0.021915;0.104518;0.296022;0.015509;0.019892;0.050910;0.088672;0.131827;0.008766;0.019555;0.000674;0.039110;0.001011;0.010789;0.003709;0.000674;0.000337;0.001349;0.002023;0.000337;0.002360;0.000337;0.003372;0.000337;0.000337;0.000337
m;0.000260;0.017713;0.000521;0.174264;0.066945;0.001042;0.012764;0.000260;0.017713;0.113050;0.135973;0.005470;0.000781;0.000521;0.001042;0.259443;0.049492;0.015629;0.001302;0.030216;0.000260;0.000521;0.025788;0.046887;0.000260;0.000260;0.001823;0.000260;0.014327;0.000260;0.004168;0.000260;0.000260;0.000260
p;0.000355;0.025213;0.033026;0.071023;0.075639;0.001065;0.007812;0.000355;0.007457;0.134588;0.054332;0.000355;0.129616;0.116477;0.044034;0.196733;0.003196;0.006037;0.001065;0.028764;0.000710;0.000355;0.000710;0.054688;0.000355;0.000710;0.001776;0.000355;0.000710;0.000355;0.001065;0.000355;0.000355;0.000355
j;0.002597;0.002597;0.002597;0.109091;0.007792;0.002597;0.002597;0.002597;0.005195;0.145455;0.002597;0.002597;0.002597;0.002597;0.002597;0.096104;0.002597;0.002597;0.002597;0.545455;0.002597;0.002597;0.002597;0.010390;0.002597;0.012987;0.002597;0.002597;0.002597;0.002597;0.002597;0.002597;0.002597;0.002597
w;0.000344;0.008250;0.000344;0.120660;0.117910;0.000344;0.006531;0.000344;0.008250;0.152286;0.090409;0.020969;0.002063;0.013063;0.238570;0.192506;0.001031;0.014094;0.001375;0.000344;0.000688;0.000344;0.002750;0.000344;0.000344;0.001031;0.000344;0.002063;0.000344;0.000344;0.000688;0.000344;0.000344;0.000344
!;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.629870;0.006494;0.006494;0.006494;0.162338;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494;0.006494
k;0.000708;0.054494;0.001415;0.026185;0.162774;0.001415;0.009200;0.000708;0.024770;0.007785;0.232838;0.064402;0.007785;0.002123;0.003539;0.319887;0.005662;0.024062;0.002123;0.018401;0.001415;0.001415;0.001415;0.004246;0.000708;0.004246;0.002123;0.000708;0.005662;0.000708;0.004246;0.000708;0.000708;0.001415
b;0.000435;0.022599;0.004346;0.092134;0.055193;0.000869;0.000869;0.003477;0.002173;0.153846;0.008257;0.001304;0.121252;0.034767;0.000435;0.262495;0.056497;0.002173;0.000435;0.150369;0.001304;0.000435;0.000435;0.000435;0.005215;0.000435;0.000435;0.000435;0.014776;0.000435;0.000435;0.000435;0.000435;0.000435
x;0.003096;0.006192;0.102167;0.080495;0.244582;0.080495;0.009288;0.003096;0.021672;0.003096;0.083591;0.003096;0.009288;0.003096;0.012384;0.024768;0.006192;0.015480;0.003096;0.095975;0.003096;0.003096;0.003096;0.142415;0.003096;0.003096;0.003096;0.003096;0.003096;0.003096;0.006192;0.006192;0.003096;0.003096
?;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.801153;0.002882;0.002882;0.002882;0.103746;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.002882;0.005764;0.002882;0.002882;0.002882
q;0.006944;0.013889;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.013889;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.756944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944;0.006944
z;0.004444;0.004444;0.013333;0.266667;0.120000;0.004444;0.008889;0.004444;0.008889;0.026667;0.004444;0.004444;0.008889;0.004444;0.013333;0.257778;0.026667;0.008889;0.008889;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.004444;0.008889;0.004444;0.004444;0.004444;0.004444;0.133333;0.004444
#;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.051282;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
