smoothed;3
(;b;y; ;n;o;w;,;u;p;r;a;l;k;h;t;s;e;d;i;.;);c;m;g;f;v;x;z;j;q;?;#
eb;0.012821;0.025641;0.012821;0.038462;0.012821;0.102564;0.012821;0.012821;0.038462;0.012821;0.025641;0.128205;0.012821;0.012821;0.012821;0.012821;0.076923;0.076923;0.012821;0.012821;0.025641;0.012821;0.166667;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821;0.012821
ey;0.002646;0.005291;0.002646;0.629630;0.002646;0.018519;0.002646;0.044974;0.002646;0.002646;0.124339;0.002646;0.005291;0.002646;0.002646;0.005291;0.010582;0.010582;0.007937;0.002646;0.010582;0.034392;0.002646;0.002646;0.002646;0.005291;0.037037;0.002646;0.002646;0.002646;0.002646;0.002646;0.002646
e ;0.000174;0.042405;0.015989;0.003823;0.019465;0.075078;0.068995;0.000348;0.010428;0.036670;0.029718;0.088460;0.027807;0.008168;0.034585;0.134341;0.067953;0.030935;0.039798;0.071255;0.000348;0.000348;0.043969;0.042753;0.040841;0.047793;0.008690;0.000174;0.000174;0.004692;0.003476;0.000174;0.000174
en;0.000641;0.000641;0.001281;0.323511;0.010890;0.017937;0.000641;0.016656;0.007047;0.001281;0.003844;0.010890;0.004484;0.000641;0.001281;0.271621;0.045484;0.043562;0.087124;0.016656;0.012172;0.024343;0.067265;0.000641;0.017297;0.000641;0.003203;0.000641;0.000641;0.003844;0.000641;0.001281;0.001281
eo;0.003145;0.006289;0.003145;0.141509;0.106918;0.003145;0.003145;0.031447;0.009434;0.474843;0.037736;0.003145;0.009434;0.003145;0.003145;0.006289;0.047170;0.003145;0.003145;0.003145;0.015723;0.028302;0.003145;0.006289;0.003145;0.018868;0.003145;0.003145;0.003145;0.003145;0.003145;0.003145;0.003145
ew;0.006250;0.006250;0.006250;0.500000;0.006250;0.012500;0.006250;0.018750;0.006250;0.006250;0.012500;0.087500;0.006250;0.006250;0.081250;0.006250;0.037500;0.025000;0.012500;0.050000;0.006250;0.025000;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250;0.006250
e,;0.003333;0.003333;0.003333;0.536667;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.360000;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333;0.003333
eu;0.020833;0.020833;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.083333;0.020833;0.020833;0.020833;0.020833;0.020833;0.104167;0.020833;0.020833;0.020833;0.020833;0.020833;0.041667;0.062500;0.062500;0.020833;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
ep;0.005525;0.005525;0.005525;0.110497;0.005525;0.022099;0.005525;0.016575;0.011050;0.011050;0.066298;0.060773;0.077348;0.005525;0.033149;0.121547;0.044199;0.055249;0.005525;0.232044;0.016575;0.016575;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.011050
er;0.000428;0.003423;0.052204;0.272144;0.014121;0.022679;0.003851;0.028241;0.000856;0.002995;0.005991;0.046213;0.011125;0.000856;0.004279;0.011125;0.137783;0.222935;0.004707;0.044929;0.017116;0.036371;0.011981;0.020967;0.002567;0.005991;0.008130;0.000428;0.000428;0.000428;0.000428;0.003851;0.000428
ea;0.000820;0.001639;0.000820;0.018852;0.060656;0.000820;0.000820;0.004098;0.009016;0.014754;0.167213;0.000820;0.221311;0.023770;0.019672;0.159016;0.120492;0.000820;0.101639;0.000820;0.001639;0.004098;0.031967;0.013934;0.000820;0.001639;0.013115;0.000820;0.000820;0.000820;0.000820;0.000820;0.000820
el;0.001425;0.001425;0.155271;0.111111;0.001425;0.052707;0.001425;0.011396;0.001425;0.019943;0.001425;0.047009;0.215100;0.001425;0.001425;0.017094;0.066952;0.051282;0.018519;0.085470;0.005698;0.009972;0.008547;0.002849;0.001425;0.078348;0.021368;0.001425;0.001425;0.001425;0.001425;0.001425;0.001425
ek;0.015625;0.015625;0.015625;0.093750;0.031250;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.156250;0.062500;0.015625;0.031250;0.015625;0.171875;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.046875;0.015625
eh;0.016129;0.016129;0.016129;0.016129;0.016129;0.193548;0.016129;0.032258;0.016129;0.016129;0.016129;0.129032;0.016129;0.016129;0.016129;0.016129;0.016129;0.112903;0.016129;0.080645;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
et;0.001695;0.001695;0.020339;0.250847;0.001695;0.006780;0.028814;0.018644;0.010169;0.006780;0.022034;0.038983;0.006780;0.001695;0.174576;0.140678;0.069492;0.064407;0.001695;0.052542;0.018644;0.035593;0.008475;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695;0.001695
es;0.000634;0.000634;0.000634;0.419150;0.027901;0.008878;0.001268;0.045022;0.010146;0.017121;0.000634;0.001268;0.000634;0.000634;0.003171;0.188966;0.095751;0.050729;0.000634;0.013316;0.027901;0.062143;0.010780;0.002536;0.000634;0.000634;0.000634;0.000634;0.000634;0.000634;0.000634;0.002536;0.002536
ee;0.002110;0.002110;0.004219;0.132911;0.276371;0.002110;0.002110;0.012658;0.002110;0.094937;0.023207;0.002110;0.073840;0.008439;0.002110;0.018987;0.014768;0.002110;0.206751;0.014768;0.010549;0.010549;0.012658;0.044304;0.002110;0.002110;0.002110;0.002110;0.006329;0.002110;0.002110;0.002110;0.002110
ed;0.000907;0.000907;0.007260;0.672414;0.000907;0.004537;0.000907;0.031760;0.009982;0.000907;0.043557;0.004537;0.005445;0.000907;0.000907;0.000907;0.009074;0.012704;0.004537;0.051724;0.022686;0.074410;0.000907;0.001815;0.025408;0.000907;0.000907;0.000907;0.000907;0.000907;0.000907;0.003630;0.000907
ei;0.003817;0.003817;0.003817;0.003817;0.274809;0.003817;0.003817;0.003817;0.003817;0.003817;0.389313;0.003817;0.011450;0.003817;0.003817;0.076336;0.007634;0.007634;0.003817;0.003817;0.003817;0.003817;0.003817;0.007634;0.099237;0.003817;0.034351;0.003817;0.003817;0.003817;0.003817;0.003817;0.003817
e.;0.004049;0.004049;0.004049;0.089069;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.072874;0.716599;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049;0.004049
e);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ec;0.001560;0.001560;0.003120;0.003120;0.001560;0.118565;0.001560;0.001560;0.024961;0.001560;0.088924;0.196568;0.003120;0.034321;0.040562;0.255850;0.001560;0.054602;0.007800;0.127925;0.003120;0.003120;0.003120;0.001560;0.001560;0.001560;0.001560;0.001560;0.001560;0.001560;0.006240;0.001560;0.001560
em;0.002427;0.092233;0.002427;0.213592;0.004854;0.058252;0.002427;0.029126;0.002427;0.036408;0.002427;0.038835;0.004854;0.002427;0.002427;0.002427;0.109223;0.186893;0.002427;0.092233;0.041262;0.036408;0.004854;0.004854;0.002427;0.002427;0.002427;0.002427;0.002427;0.002427;0.002427;0.004854;0.002427
eg;0.006711;0.006711;0.046980;0.020134;0.020134;0.201342;0.006711;0.006711;0.093960;0.006711;0.040268;0.120805;0.013423;0.006711;0.006711;0.006711;0.006711;0.114094;0.006711;0.127517;0.006711;0.006711;0.006711;0.040268;0.020134;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711
ef;0.005102;0.010204;0.005102;0.020408;0.005102;0.209184;0.005102;0.005102;0.051020;0.005102;0.010204;0.020408;0.045918;0.005102;0.005102;0.066327;0.061224;0.061224;0.005102;0.112245;0.010204;0.005102;0.005102;0.005102;0.005102;0.219388;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102;0.005102
ev;0.001866;0.001866;0.001866;0.001866;0.001866;0.007463;0.001866;0.001866;0.001866;0.001866;0.001866;0.020522;0.001866;0.001866;0.001866;0.001866;0.001866;0.841418;0.001866;0.076493;0.001866;0.001866;0.001866;0.001866;0.001866;0.001866;0.001866;0.001866;0.001866;0.001866;0.001866;0.001866;0.001866
ex;0.003802;0.003802;0.003802;0.022814;0.003802;0.003802;0.003802;0.003802;0.038023;0.250951;0.003802;0.133080;0.003802;0.003802;0.034221;0.224335;0.003802;0.049430;0.003802;0.117871;0.003802;0.003802;0.038023;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802;0.003802
ez;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
ej;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
eq;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.448276;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241;0.017241
e?;0.015385;0.015385;0.015385;0.046154;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.461538;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.030769
e#;0.021739;0.021739;0.021739;0.065217;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.239130;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.043478
d(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
db;0.023256;0.023256;0.116279;0.023256;0.023256;0.139535;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
dy;0.007576;0.030303;0.007576;0.409091;0.022727;0.007576;0.007576;0.053030;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.053030;0.098485;0.007576;0.060606;0.053030;0.030303;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.015152;0.007576
d ;0.000379;0.051496;0.018175;0.003408;0.015146;0.074593;0.051117;0.000379;0.012874;0.026884;0.024991;0.105642;0.021583;0.004922;0.043544;0.196895;0.062476;0.024612;0.025748;0.103370;0.001515;0.000757;0.026884;0.032563;0.014767;0.033321;0.009087;0.000379;0.000757;0.008330;0.002651;0.000379;0.000379
dn;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.024000;0.008000;0.008000;0.008000;0.664000;0.008000;0.072000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000;0.008000
do;0.001852;0.003704;0.001852;0.198148;0.257407;0.020370;0.040741;0.001852;0.011111;0.007407;0.007407;0.001852;0.022222;0.001852;0.001852;0.011111;0.005556;0.122222;0.005556;0.055556;0.003704;0.020370;0.138889;0.022222;0.007407;0.003704;0.003704;0.003704;0.005556;0.001852;0.001852;0.005556;0.001852
dw;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
d,;0.006536;0.006536;0.006536;0.431373;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.366013;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536
du;0.010000;0.040000;0.010000;0.010000;0.060000;0.010000;0.010000;0.010000;0.010000;0.010000;0.050000;0.040000;0.040000;0.010000;0.010000;0.010000;0.080000;0.030000;0.010000;0.010000;0.010000;0.010000;0.390000;0.030000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000;0.010000
dp;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
dr;0.005495;0.005495;0.005495;0.016484;0.005495;0.082418;0.005495;0.005495;0.269231;0.005495;0.005495;0.258242;0.005495;0.005495;0.005495;0.005495;0.005495;0.131868;0.005495;0.065934;0.032967;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495;0.005495
da;0.004255;0.008511;0.191489;0.046809;0.102128;0.004255;0.004255;0.004255;0.008511;0.029787;0.110638;0.004255;0.119149;0.004255;0.004255;0.097872;0.012766;0.004255;0.008511;0.021277;0.012766;0.008511;0.004255;0.072340;0.021277;0.004255;0.059574;0.004255;0.004255;0.004255;0.004255;0.004255;0.004255
dl;0.015385;0.015385;0.292308;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.107692;0.015385;0.046154;0.015385;0.015385;0.092308;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
dk;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
dh;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
dt;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ds;0.005181;0.005181;0.005181;0.585492;0.005181;0.010363;0.005181;0.067358;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.015544;0.005181;0.005181;0.010363;0.005181;0.005181;0.046632;0.113990;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.015544;0.010363
de;0.001269;0.008883;0.001269;0.147208;0.059645;0.101523;0.001269;0.011421;0.002538;0.013959;0.152284;0.073604;0.029188;0.001269;0.001269;0.006345;0.101523;0.019036;0.083756;0.001269;0.007614;0.021574;0.062183;0.011421;0.006345;0.029188;0.034264;0.001269;0.001269;0.001269;0.001269;0.002538;0.001269
dd;0.016129;0.016129;0.048387;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.032258;0.048387;0.016129;0.016129;0.016129;0.032258;0.258065;0.016129;0.145161;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129
di;0.001709;0.025641;0.001709;0.010256;0.177778;0.020513;0.001709;0.001709;0.001709;0.001709;0.034188;0.035897;0.005128;0.001709;0.001709;0.042735;0.141880;0.128205;0.153846;0.001709;0.001709;0.001709;0.044444;0.005128;0.020513;0.102564;0.020513;0.001709;0.003419;0.001709;0.001709;0.001709;0.001709
d.;0.008929;0.008929;0.008929;0.098214;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.017857;0.008929;0.008929;0.008929;0.098214;0.526786;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929;0.008929
d);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dc;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dm;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.170732;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
dg;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.042254;0.014085;0.014085;0.014085;0.014085;0.014085;0.492958;0.014085;0.014085;0.014085;0.014085;0.014085;0.042254;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
df;0.026316;0.026316;0.026316;0.052632;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316
dv;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.125000;0.017857;0.017857;0.017857;0.017857;0.017857;0.232143;0.017857;0.107143;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857;0.017857
dx;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dz;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
dj;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
dq;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
d?;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.046512
d#;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.108108;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
i(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
ib;0.008772;0.017544;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.070175;0.008772;0.035088;0.026316;0.394737;0.008772;0.008772;0.008772;0.008772;0.149123;0.008772;0.078947;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772;0.008772
iy;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
i ;0.001631;0.021207;0.001631;0.001631;0.024470;0.006525;0.137031;0.001631;0.011419;0.017945;0.040783;0.044046;0.034258;0.022838;0.079935;0.114192;0.040783;0.014682;0.127243;0.014682;0.001631;0.001631;0.073409;0.047308;0.045677;0.035889;0.003263;0.001631;0.001631;0.022838;0.003263;0.001631;0.001631
in;0.000319;0.000958;0.000958;0.201214;0.007027;0.004791;0.000319;0.003833;0.010859;0.001278;0.000319;0.017886;0.000958;0.047269;0.002236;0.067391;0.026190;0.028745;0.049186;0.020441;0.003833;0.009901;0.022038;0.000958;0.449058;0.009262;0.007665;0.000319;0.000319;0.001597;0.000319;0.001597;0.000958
io;0.001764;0.001764;0.001764;0.015873;0.701940;0.001764;0.001764;0.001764;0.135802;0.001764;0.019400;0.001764;0.031746;0.001764;0.001764;0.022928;0.007055;0.003527;0.014109;0.001764;0.001764;0.001764;0.001764;0.001764;0.007055;0.001764;0.001764;0.001764;0.001764;0.001764;0.001764;0.001764;0.001764
iw;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
i,;0.020408;0.020408;0.020408;0.183673;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.183673;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
iu;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
ip;0.009804;0.009804;0.009804;0.166667;0.009804;0.009804;0.009804;0.019608;0.029412;0.058824;0.009804;0.009804;0.098039;0.009804;0.019608;0.127451;0.166667;0.029412;0.009804;0.009804;0.009804;0.058824;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804;0.009804
ir;0.002571;0.005141;0.007712;0.239075;0.002571;0.025707;0.002571;0.010283;0.002571;0.002571;0.051414;0.020566;0.056555;0.002571;0.005141;0.017995;0.123393;0.233933;0.087404;0.017995;0.005141;0.023136;0.017995;0.012853;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571;0.002571
ia;0.006173;0.018519;0.006173;0.049383;0.086420;0.006173;0.006173;0.024691;0.006173;0.006173;0.037037;0.006173;0.395062;0.012346;0.012346;0.135802;0.018519;0.006173;0.006173;0.006173;0.024691;0.012346;0.006173;0.018519;0.037037;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173;0.006173
il;0.001912;0.001912;0.047801;0.042065;0.003824;0.011472;0.003824;0.003824;0.005736;0.001912;0.001912;0.053537;0.346080;0.042065;0.001912;0.024857;0.005736;0.110899;0.049713;0.089866;0.001912;0.001912;0.003824;0.122371;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912;0.001912;0.003824;0.001912
ik;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.006309;0.003155;0.006309;0.003155;0.003155;0.003155;0.889590;0.003155;0.006309;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155;0.003155
ih;0.024390;0.024390;0.024390;0.024390;0.024390;0.146341;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
it;0.000572;0.000572;0.035489;0.283915;0.001145;0.002862;0.000572;0.017172;0.004579;0.000572;0.001717;0.018890;0.008586;0.000572;0.152261;0.038924;0.187178;0.100744;0.001145;0.062393;0.020607;0.028620;0.017172;0.001145;0.000572;0.000572;0.000572;0.000572;0.000572;0.000572;0.000572;0.006869;0.001717
is;0.000682;0.000682;0.000682;0.570259;0.025239;0.037517;0.000682;0.023192;0.002046;0.004775;0.002046;0.006821;0.002046;0.007503;0.033424;0.108458;0.016371;0.030696;0.000682;0.015689;0.016371;0.028649;0.030014;0.020464;0.002729;0.003411;0.000682;0.000682;0.001364;0.001364;0.000682;0.003411;0.000682
ie;0.002212;0.002212;0.002212;0.048673;0.185841;0.002212;0.046460;0.013274;0.004425;0.002212;0.057522;0.002212;0.048673;0.004425;0.002212;0.061947;0.287611;0.002212;0.084071;0.002212;0.004425;0.011062;0.024336;0.002212;0.004425;0.037611;0.037611;0.002212;0.002212;0.002212;0.002212;0.002212;0.004425
