smoothed;3
(;b;y; ;n;o;w;,;u;p;r;a;l;k;h;t;s;e;d;i;.;);c;m;g;f;v;x;z;j;q;?;#
(d;0.006536;0.006536;0.006536;0.006536;0.006536;0.300654;0.006536;0.006536;0.013072;0.006536;0.084967;0.091503;0.013072;0.013072;0.006536;0.006536;0.006536;0.143791;0.006536;0.176471;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536
(i;0.001603;0.001603;0.001603;0.241987;0.201923;0.001603;0.001603;0.003205;0.001603;0.001603;0.003205;0.001603;0.008013;0.001603;0.001603;0.280449;0.075321;0.001603;0.022436;0.006410;0.003205;0.001603;0.003205;0.068910;0.003205;0.028846;0.020833;0.001603;0.001603;0.001603;0.001603;0.001603;0.001603
(.;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.153846;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
();0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(c;0.006536;0.006536;0.006536;0.006536;0.006536;0.267974;0.006536;0.006536;0.006536;0.006536;0.045752;0.228758;0.058824;0.006536;0.163399;0.026144;0.006536;0.013072;0.006536;0.026144;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.006536;0.013072;0.006536;0.006536;0.006536
(m;0.006711;0.006711;0.087248;0.006711;0.006711;0.174497;0.006711;0.006711;0.114094;0.006711;0.006711;0.221477;0.006711;0.006711;0.006711;0.006711;0.006711;0.107383;0.006711;0.107383;0.006711;0.006711;0.013423;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711;0.006711
(g;0.009434;0.009434;0.009434;0.009434;0.018868;0.169811;0.009434;0.009434;0.047170;0.009434;0.169811;0.169811;0.028302;0.009434;0.018868;0.009434;0.009434;0.094340;0.009434;0.056604;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434;0.009434
(f;0.005076;0.005076;0.005076;0.005076;0.005076;0.426396;0.005076;0.005076;0.071066;0.005076;0.106599;0.106599;0.025381;0.005076;0.005076;0.005076;0.005076;0.035533;0.005076;0.096447;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076
(v;0.019608;0.019608;0.019608;0.019608;0.019608;0.137255;0.019608;0.019608;0.019608;0.019608;0.019608;0.078431;0.019608;0.019608;0.019608;0.019608;0.019608;0.098039;0.019608;0.117647;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
(x;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(z;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
