smoothed;3
(;a;n;d; ;w;e;r;b;c;k;g;l;s;o;m;p;u;t;j;);i;h;y;f;x;q;v;z;.;,;ö;#
((;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(a;0.000129;0.000646;0.352500;0.021450;0.084507;0.006848;0.000129;0.086833;0.078305;0.053495;0.000388;0.048068;0.101434;0.035276;0.000129;0.033984;0.024680;0.007624;0.036697;0.000258;0.000258;0.002714;0.002067;0.000517;0.017832;0.000517;0.000129;0.001809;0.000129;0.000258;0.000129;0.000129;0.000129
(n;0.000526;0.081579;0.000526;0.000526;0.000526;0.000526;0.228947;0.001053;0.003158;0.000526;0.000526;0.000526;0.000526;0.001053;0.593158;0.000526;0.000526;0.051579;0.000526;0.000526;0.000526;0.025789;0.000526;0.001053;0.000526;0.000526;0.000526;0.000526;0.000526;0.000526;0.000526;0.000526;0.000526
(d;0.000275;0.044041;0.003303;0.000275;0.001376;0.000275;0.285990;0.037435;0.000275;0.000826;0.000275;0.000275;0.000275;0.000826;0.393339;0.000551;0.000275;0.022846;0.000275;0.000275;0.000275;0.199835;0.000275;0.003854;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275;0.000275
( ;0.001059;0.098517;0.011653;0.030720;0.022246;0.052966;0.019068;0.024364;0.042373;0.042373;0.010593;0.022246;0.046610;0.060381;0.057203;0.041314;0.049788;0.023305;0.114407;0.011653;0.001059;0.094280;0.028602;0.052966;0.023305;0.001059;0.003178;0.007415;0.001059;0.001059;0.001059;0.001059;0.001059
(w;0.000165;0.199967;0.000165;0.000165;0.000661;0.000165;0.224901;0.014861;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.114597;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.107001;0.333719;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165
(e;0.000496;0.042638;0.102132;0.015369;0.000496;0.000496;0.000992;0.008924;0.000496;0.023798;0.000496;0.003471;0.087754;0.070897;0.000496;0.036688;0.005949;0.001487;0.004958;0.000496;0.000496;0.026277;0.000496;0.007933;0.017353;0.190382;0.011403;0.334655;0.000496;0.000496;0.000496;0.000496;0.000496
(r;0.000393;0.089552;0.001178;0.000393;0.000393;0.000393;0.588767;0.000393;0.000393;0.000393;0.000393;0.000393;0.000393;0.000393;0.042812;0.000393;0.000393;0.090731;0.000786;0.000393;0.000393;0.169285;0.005892;0.001571;0.000393;0.000393;0.000393;0.000393;0.000393;0.000393;0.000393;0.000393;0.000393
(b;0.000257;0.116166;0.000257;0.000514;0.000257;0.000257;0.407607;0.062195;0.000257;0.000257;0.000257;0.000257;0.027499;0.000514;0.061424;0.000257;0.000257;0.217939;0.000257;0.000257;0.000257;0.073760;0.000257;0.026471;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257;0.000257
(c;0.000257;0.202668;0.004874;0.000513;0.000770;0.000257;0.034633;0.069523;0.000513;0.000257;0.000513;0.000257;0.051821;0.000257;0.469728;0.000257;0.000257;0.038481;0.000257;0.000257;0.000257;0.021550;0.096716;0.002309;0.000257;0.000257;0.000257;0.000257;0.000257;0.000770;0.000257;0.000257;0.000257
(k;0.000928;0.036178;0.574212;0.000928;0.000928;0.000928;0.071429;0.003711;0.000928;0.000928;0.001855;0.000928;0.003711;0.001855;0.045455;0.000928;0.000928;0.016698;0.000928;0.001855;0.000928;0.193878;0.007421;0.023191;0.000928;0.000928;0.000928;0.000928;0.000928;0.000928;0.000928;0.000928;0.000928
(g;0.000430;0.039106;0.000430;0.000430;0.000430;0.000430;0.177052;0.085518;0.000430;0.000430;0.000430;0.000859;0.010743;0.000430;0.489042;0.000430;0.000430;0.097980;0.000430;0.000430;0.000430;0.087667;0.000859;0.001289;0.000430;0.000430;0.000430;0.000430;0.000430;0.000430;0.000430;0.000430;0.000430
(l;0.000308;0.051788;0.000308;0.000308;0.000308;0.000308;0.157830;0.000308;0.000308;0.000308;0.000308;0.000617;0.000617;0.000308;0.136868;0.000308;0.000308;0.006165;0.000308;0.000308;0.000308;0.632861;0.000308;0.005549;0.000308;0.000308;0.000308;0.000308;0.000308;0.000308;0.000308;0.000308;0.000308
(s;0.000163;0.137015;0.006354;0.000163;0.001792;0.004399;0.094167;0.000163;0.000163;0.024275;0.004562;0.000163;0.010427;0.000326;0.293255;0.009449;0.039264;0.069730;0.137667;0.000163;0.000163;0.047410;0.101662;0.014663;0.000163;0.000163;0.001140;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163
(o;0.000296;0.000593;0.208358;0.002964;0.000296;0.011855;0.000296;0.081802;0.042087;0.008002;0.052756;0.000296;0.012745;0.000889;0.000593;0.001186;0.042087;0.091879;0.044754;0.000296;0.000296;0.002371;0.058091;0.000296;0.276230;0.000296;0.000296;0.056609;0.000296;0.000296;0.000296;0.000296;0.000296
(m;0.000336;0.263176;0.000336;0.000336;0.000336;0.000336;0.216516;0.002350;0.000336;0.008056;0.000336;0.001007;0.000336;0.006378;0.210809;0.010742;0.000336;0.073179;0.000336;0.000671;0.000336;0.154079;0.000336;0.045989;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336;0.000336
(p;0.000260;0.113565;0.000260;0.000260;0.000260;0.000260;0.251819;0.251819;0.000520;0.000260;0.000260;0.000260;0.048077;0.002339;0.213877;0.000260;0.000260;0.062890;0.000260;0.000260;0.000520;0.024948;0.022609;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.001559;0.000260;0.000260;0.000260
(u;0.001092;0.001092;0.438865;0.001092;0.001092;0.001092;0.001092;0.004367;0.002183;0.001092;0.007642;0.004367;0.021834;0.181223;0.001092;0.070961;0.160480;0.001092;0.013100;0.001092;0.001092;0.002183;0.049127;0.001092;0.001092;0.001092;0.001092;0.001092;0.001092;0.021834;0.001092;0.001092;0.001092
(t;0.000077;0.035830;0.000077;0.000077;0.000154;0.015301;0.020298;0.049977;0.000077;0.000077;0.000077;0.000077;0.000077;0.000384;0.104106;0.000077;0.000384;0.005690;0.000154;0.000384;0.000077;0.016377;0.747424;0.001692;0.000077;0.000077;0.000077;0.000461;0.000077;0.000077;0.000077;0.000077;0.000077
(j;0.001164;0.051222;0.001164;0.001164;0.002328;0.001164;0.058207;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.192084;0.001164;0.001164;0.634459;0.001164;0.001164;0.001164;0.029104;0.001164;0.001164;0.002328;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164;0.001164
