smoothed;2
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
c;0.000020;0.010553;0.178711;0.025042;0.000099;0.059683;0.092853;0.131390;0.211881;0.000139;0.113880;0.001192;0.000099;0.000179;0.031779;0.007493;0.010673;0.030408;0.000139;0.000199;0.000060;0.036827;0.050461;0.005704;0.000020;0.000040;0.000040;0.000020;0.000338;0.000020;0.000020;0.000020;0.000020
l;0.000011;0.018118;0.059009;0.130499;0.005829;0.155866;0.015017;0.000034;0.058378;0.000440;0.163645;0.000688;0.000338;0.052267;0.012030;0.023405;0.001872;0.159744;0.003371;0.002773;0.009042;0.002695;0.018061;0.101953;0.004589;0.000011;0.000225;0.000011;0.000034;0.000011;0.000011;0.000011;0.000011
m;0.000020;0.020633;0.099186;0.147377;0.000020;0.075191;0.000099;0.003562;0.122923;0.014704;0.331702;0.001214;0.000020;0.000219;0.027816;0.024414;0.001353;0.000497;0.023677;0.048389;0.001074;0.000657;0.000020;0.054617;0.000060;0.000040;0.000060;0.000020;0.000020;0.000318;0.000020;0.000060;0.000020
p;0.000026;0.014900;0.115310;0.071933;0.000318;0.035411;0.017335;0.024163;0.076327;0.000715;0.240148;0.000715;0.000026;0.000450;0.043059;0.012227;0.001138;0.163425;0.000715;0.051634;0.000476;0.124679;0.000079;0.004393;0.000026;0.000026;0.000026;0.000026;0.000026;0.000185;0.000026;0.000026;0.000026
f;0.000025;0.001957;0.149101;0.354170;0.000248;0.080174;0.033026;0.000099;0.051757;0.000322;0.091101;0.000050;0.000322;0.000248;0.030078;0.060255;0.000372;0.011793;0.000124;0.000297;0.058818;0.072494;0.000520;0.002378;0.000025;0.000025;0.000025;0.000074;0.000025;0.000025;0.000025;0.000025;0.000025
r;0.000009;0.056184;0.074349;0.161436;0.001363;0.089209;0.050929;0.001237;0.057511;0.001129;0.305123;0.019420;0.008983;0.017488;0.016811;0.028864;0.007882;0.010599;0.010031;0.002772;0.002086;0.011358;0.011972;0.044131;0.007990;0.000027;0.000072;0.000415;0.000036;0.000542;0.000009;0.000009;0.000027
k;0.000035;0.030006;0.002990;0.270930;0.000668;0.127972;0.000422;0.000844;0.028423;0.000915;0.275503;0.203883;0.002251;0.000422;0.000915;0.040629;0.000387;0.005347;0.000598;0.000422;0.000915;0.000774;0.000563;0.003729;0.000035;0.000106;0.000035;0.000035;0.000035;0.000070;0.000035;0.000035;0.000070
y;0.000016;0.037671;0.290341;0.430612;0.002690;0.017176;0.012756;0.000157;0.001479;0.013370;0.088507;0.001699;0.000252;0.000849;0.000063;0.073533;0.001966;0.001872;0.003492;0.003335;0.000220;0.015241;0.000047;0.000016;0.002265;0.000031;0.000252;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016
v;0.000043;0.000255;0.032305;0.003107;0.000043;0.150160;0.000043;0.000043;0.051160;0.000043;0.759438;0.000043;0.000043;0.000043;0.000511;0.000851;0.000043;0.000128;0.000043;0.000213;0.000085;0.000043;0.000043;0.000851;0.000043;0.000043;0.000043;0.000043;0.000043;0.000043;0.000043;0.000085;0.000043
j;0.000178;0.001068;0.200997;0.002136;0.000356;0.008367;0.000178;0.000178;0.034004;0.000178;0.077800;0.000356;0.000178;0.000356;0.663699;0.000534;0.000178;0.000178;0.000178;0.000356;0.003739;0.001958;0.000178;0.001068;0.000178;0.000178;0.000178;0.000178;0.000178;0.000178;0.000178;0.000178;0.000178
z;0.000628;0.003141;0.028894;0.081658;0.004397;0.207286;0.000628;0.012563;0.112437;0.002513;0.368090;0.000628;0.000628;0.000628;0.005025;0.015075;0.000628;0.003769;0.000628;0.000628;0.005653;0.003769;0.000628;0.108668;0.001256;0.000628;0.025754;0.000628;0.000628;0.000628;0.000628;0.000628;0.000628
x;0.000349;0.000698;0.004186;0.142309;0.000349;0.110220;0.142658;0.006278;0.168120;0.001744;0.057203;0.000349;0.000349;0.000349;0.041158;0.028253;0.074991;0.000698;0.001744;0.193931;0.006627;0.000349;0.000349;0.012557;0.000349;0.000349;0.000349;0.001395;0.000349;0.000349;0.000349;0.000349;0.000349
q;0.000708;0.004246;0.000708;0.028309;0.000708;0.005662;0.000708;0.000708;0.021231;0.000708;0.000708;0.000708;0.000708;0.000708;0.910120;0.011323;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708;0.000708
.;0.005714;0.068571;0.005714;0.491429;0.005714;0.011429;0.005714;0.005714;0.011429;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.097143;0.074286;0.005714;0.091429;0.005714;0.005714;0.011429;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714
,;0.008403;0.008403;0.008403;0.605042;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.134454;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403;0.008403
é;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
#;0.026316;0.078947;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.052632;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
