smoothed;2
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
(;0.000013;0.070665;0.040091;0.002346;0.071531;0.074370;0.155764;0.037092;0.094269;0.046435;0.025283;0.018126;0.024630;0.035799;0.009716;0.000027;0.045955;0.030481;0.037372;0.045195;0.028908;0.030348;0.014381;0.041503;0.005891;0.010982;0.000200;0.000040;0.002292;0.000027;0.000240;0.000013;0.000013
s;0.000007;0.030812;0.104693;0.377018;0.001728;0.042006;0.129554;0.028154;0.038654;0.000487;0.105594;0.006483;0.000406;0.000281;0.020726;0.059217;0.013165;0.006306;0.007184;0.016606;0.000989;0.000613;0.004755;0.004098;0.000030;0.000015;0.000007;0.000007;0.000266;0.000118;0.000007;0.000007;0.000007
o;0.000005;0.020757;0.024284;0.137005;0.063544;0.015476;0.045313;0.003516;0.002326;0.010656;0.005733;0.128360;0.006249;0.016438;0.181117;0.020893;0.009694;0.027126;0.051910;0.030528;0.075814;0.094447;0.013134;0.001527;0.012721;0.000174;0.000217;0.000984;0.000016;0.000022;0.000005;0.000005;0.000005
 ;0.000002;0.061011;0.058058;0.002706;0.075655;0.104851;0.168581;0.035290;0.112526;0.042035;0.015888;0.018973;0.023062;0.029072;0.009121;0.000524;0.029912;0.027969;0.035154;0.028512;0.025416;0.020959;0.015127;0.043604;0.004924;0.009307;0.000130;0.000063;0.001391;0.000022;0.000151;0.000002;0.000002
w;0.000017;0.011580;0.078172;0.165334;0.000052;0.084171;0.000922;0.208262;0.187467;0.000139;0.202472;0.019352;0.000017;0.000835;0.000087;0.024846;0.000104;0.001965;0.000104;0.000209;0.000695;0.011110;0.000452;0.001478;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017;0.000017
i;0.000006;0.110660;0.040480;0.087777;0.000018;0.000212;0.137856;0.000169;0.017088;0.007973;0.027420;0.255455;0.036506;0.038411;0.000339;0.014094;0.047993;0.027214;0.036058;0.004476;0.025847;0.022133;0.027220;0.000018;0.028333;0.000109;0.004404;0.001065;0.000641;0.000006;0.000006;0.000006;0.000006
t;0.000004;0.046271;0.076999;0.277831;0.005438;0.058944;0.014835;0.319297;0.031604;0.000228;0.061429;0.000417;0.000090;0.000082;0.018037;0.043095;0.002278;0.008516;0.000791;0.000107;0.000374;0.019787;0.000013;0.013055;0.000275;0.000017;0.000120;0.000004;0.000009;0.000039;0.000004;0.000004;0.000004
h;0.000008;0.001407;0.073564;0.087707;0.000241;0.144369;0.039130;0.000054;0.246847;0.000536;0.362994;0.002270;0.000031;0.000272;0.006282;0.014002;0.000101;0.000560;0.002146;0.000132;0.000039;0.008824;0.000101;0.008296;0.000023;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008
a;0.000005;0.073105;0.000255;0.070799;0.005226;0.021056;0.178001;0.020779;0.000092;0.028583;0.000445;0.194558;0.013171;0.025718;0.020079;0.014164;0.035280;0.100777;0.022174;0.011331;0.003793;0.077870;0.012650;0.038769;0.027080;0.000684;0.002334;0.000977;0.000174;0.000054;0.000005;0.000005;0.000005
b;0.000028;0.014038;0.162267;0.009863;0.000280;0.054892;0.001681;0.000140;0.081820;0.004539;0.345074;0.000336;0.000028;0.000140;0.149602;0.001877;0.001121;0.094654;0.000448;0.000196;0.000084;0.038865;0.000028;0.027096;0.007678;0.002970;0.000028;0.000028;0.000028;0.000028;0.000028;0.000084;0.000028
e;0.000004;0.064733;0.017774;0.324196;0.007470;0.009166;0.030934;0.001081;0.064939;0.002475;0.026340;0.077859;0.004518;0.043667;0.001058;0.055468;0.027730;0.032122;0.017602;0.006439;0.009013;0.122813;0.001287;0.018946;0.022273;0.000237;0.000168;0.008310;0.001363;0.000004;0.000004;0.000004;0.000004
n;0.000007;0.037850;0.088050;0.198323;0.000278;0.025784;0.116696;0.000634;0.027370;0.000377;0.063238;0.013315;0.135442;0.169169;0.004619;0.032445;0.021753;0.005392;0.003892;0.000773;0.004051;0.000410;0.029973;0.014722;0.004447;0.000641;0.000079;0.000119;0.000106;0.000026;0.000007;0.000007;0.000007
g;0.000021;0.035696;0.131639;0.326035;0.000188;0.037369;0.001757;0.133793;0.034588;0.000125;0.116123;0.008407;0.006796;0.000272;0.047261;0.049164;0.000084;0.010205;0.001359;0.000314;0.000627;0.052342;0.000021;0.005625;0.000021;0.000021;0.000021;0.000021;0.000021;0.000021;0.000021;0.000021;0.000021
d;0.000013;0.019676;0.111427;0.495842;0.000830;0.088536;0.000277;0.000975;0.031722;0.000303;0.102321;0.012876;0.003585;0.006748;0.013522;0.070454;0.001964;0.005390;0.003163;0.000461;0.000554;0.010517;0.000040;0.016012;0.002438;0.000198;0.000013;0.000013;0.000026;0.000040;0.000013;0.000013;0.000040
u;0.000014;0.147837;0.001253;0.164022;0.000014;0.012329;0.166215;0.002248;0.031537;0.017587;0.026592;0.068783;0.030052;0.016865;0.000027;0.023772;0.022737;0.068960;0.023718;0.038880;0.008555;0.109025;0.000327;0.012574;0.003692;0.000014;0.001730;0.000395;0.000014;0.000163;0.000014;0.000041;0.000014
);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
