smoothed;2
(;m;u;s;i;c;);w;e;l;o; ;y;d;g;a;n;k;z;b;t;h;r;f;p;v;q;j;x;.;,;#
b;0.000076;0.000453;0.171021;0.013969;0.046285;0.000529;0.003020;0.000151;0.321731;0.082075;0.155542;0.018121;0.032090;0.000529;0.000151;0.095213;0.000755;0.000076;0.000227;0.004379;0.001661;0.000151;0.045681;0.000076;0.000151;0.004530;0.000076;0.000604;0.000076;0.000227;0.000302;0.000076
t;0.000012;0.000511;0.017058;0.062164;0.046030;0.006310;0.045009;0.005884;0.051222;0.009678;0.075112;0.310894;0.007976;0.000584;0.000085;0.028559;0.000413;0.000012;0.000122;0.001362;0.016705;0.293021;0.018103;0.000571;0.000158;0.000450;0.000024;0.000012;0.000012;0.000900;0.000657;0.000389
h;0.000021;0.003088;0.006670;0.001914;0.140087;0.000103;0.019948;0.000041;0.342384;0.000535;0.079441;0.113263;0.007164;0.000618;0.000062;0.225292;0.001935;0.000124;0.000021;0.000453;0.040307;0.000453;0.011755;0.000082;0.000206;0.000021;0.000103;0.000021;0.000021;0.000721;0.002964;0.000185
r;0.000027;0.007873;0.011266;0.050330;0.094959;0.007112;0.029345;0.001656;0.320710;0.008551;0.069875;0.177322;0.051036;0.023102;0.006895;0.053995;0.012080;0.010560;0.000136;0.001955;0.033662;0.001004;0.011619;0.003692;0.003611;0.005022;0.000109;0.000054;0.000027;0.001493;0.000706;0.000217
f;0.000078;0.000233;0.050601;0.001009;0.099728;0.000466;0.045246;0.000931;0.095149;0.017695;0.164455;0.303686;0.003958;0.000698;0.000155;0.057586;0.000155;0.000310;0.000078;0.001319;0.020644;0.000233;0.071013;0.063097;0.000310;0.000078;0.000078;0.000078;0.000078;0.000466;0.000155;0.000233
p;0.000077;0.000849;0.038803;0.017743;0.061483;0.000849;0.016971;0.000231;0.211371;0.135231;0.092880;0.102523;0.011109;0.001929;0.000540;0.092263;0.000463;0.000154;0.000077;0.000231;0.019131;0.022603;0.103525;0.000617;0.065417;0.000309;0.000077;0.000077;0.000077;0.001774;0.000463;0.000154
v;0.000123;0.000738;0.001477;0.001846;0.165026;0.000123;0.001354;0.000123;0.759168;0.001723;0.026335;0.005415;0.000738;0.000984;0.000123;0.030273;0.000123;0.000123;0.000123;0.000123;0.000369;0.000615;0.000738;0.000123;0.001108;0.000123;0.000123;0.000123;0.000123;0.000246;0.000123;0.000123
q;0.002525;0.002525;0.898990;0.002525;0.002525;0.002525;0.007576;0.002525;0.002525;0.002525;0.005051;0.007576;0.005051;0.002525;0.002525;0.005051;0.002525;0.002525;0.002525;0.002525;0.005051;0.002525;0.002525;0.005051;0.002525;0.002525;0.002525;0.002525;0.002525;0.002525;0.002525;0.002525
j;0.000358;0.000358;0.734862;0.000717;0.008241;0.000717;0.001075;0.000358;0.037979;0.000358;0.151559;0.005733;0.000358;0.000358;0.000358;0.048011;0.000358;0.000358;0.000358;0.000358;0.000717;0.000358;0.000717;0.001433;0.001075;0.000358;0.000717;0.000358;0.000358;0.000358;0.000358;0.000358
x;0.000797;0.002392;0.020734;0.003190;0.079745;0.090909;0.026316;0.003987;0.041467;0.000797;0.002392;0.181818;0.007177;0.001595;0.002392;0.098086;0.000797;0.000797;0.000797;0.002392;0.176236;0.011164;0.000797;0.000797;0.231260;0.000797;0.000797;0.000797;0.000797;0.002392;0.003190;0.002392
.;0.001318;0.019763;0.001318;0.006588;0.005270;0.011858;0.151515;0.002635;0.002635;0.001318;0.001318;0.720685;0.001318;0.001318;0.002635;0.005270;0.001318;0.001318;0.001318;0.001318;0.007905;0.001318;0.001318;0.001318;0.002635;0.002635;0.001318;0.001318;0.001318;0.034256;0.001318;0.001318
,;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.064417;0.001534;0.001534;0.001534;0.001534;0.886503;0.001534;0.001534;0.001534;0.003067;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.001534;0.003067;0.001534
#;0.005051;0.005051;0.005051;0.010101;0.005051;0.005051;0.505051;0.005051;0.005051;0.005051;0.005051;0.333333;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.010101;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051;0.005051
