smoothed;2
(;w;e; ;n;o;t;a;k;y;u;l;i;v;h;c;r;x;s;m;d;f;.;);z;g;p;b;,;q;j;?;!;é;ö;á;í;#
(;0.000003;0.087508;0.015575;0.004846;0.024464;0.040354;0.165349;0.137840;0.004728;0.042560;0.008329;0.022127;0.115092;0.004588;0.037496;0.027845;0.015756;0.000460;0.065317;0.022630;0.022055;0.025087;0.000469;0.000345;0.000360;0.019064;0.024291;0.055953;0.000454;0.001317;0.007718;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003
w;0.000002;0.001961;0.214545;0.127786;0.031929;0.071700;0.000614;0.197157;0.000131;0.001728;0.000044;0.001714;0.118477;0.000002;0.161087;0.000075;0.005633;0.000004;0.025612;0.000182;0.001413;0.000348;0.011152;0.007250;0.000009;0.000011;0.000060;0.000237;0.018637;0.000002;0.000002;0.000464;0.000020;0.000002;0.000002;0.000002;0.000002;0.000002
e;0.000000;0.009744;0.028171;0.325568;0.076051;0.011829;0.030143;0.052137;0.001479;0.031401;0.001386;0.033460;0.011150;0.021725;0.001021;0.023442;0.118669;0.013855;0.073126;0.020528;0.048929;0.007357;0.016003;0.014347;0.000427;0.004443;0.008704;0.003108;0.010370;0.000625;0.000096;0.000680;0.000024;0.000000;0.000000;0.000000;0.000000;0.000000
 ;0.000000;0.064960;0.017934;0.004859;0.023479;0.056297;0.170048;0.108227;0.009741;0.031428;0.013561;0.025097;0.081306;0.006218;0.039698;0.040388;0.021445;0.000357;0.062031;0.031933;0.030734;0.035412;0.000727;0.000269;0.000521;0.030817;0.033872;0.046508;0.000634;0.001584;0.009901;0.000009;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
n;0.000001;0.000947;0.080526;0.195914;0.012626;0.067910;0.115400;0.028798;0.013804;0.010299;0.006364;0.005157;0.029938;0.003372;0.000645;0.024870;0.000404;0.000039;0.038345;0.002531;0.162938;0.019872;0.011336;0.009409;0.000630;0.141924;0.000442;0.000754;0.013172;0.000174;0.000839;0.000592;0.000026;0.000002;0.000001;0.000001;0.000001;0.000001
o;0.000001;0.064408;0.005473;0.140395;0.126034;0.025434;0.051932;0.003818;0.010976;0.002911;0.155309;0.028736;0.020779;0.016082;0.004147;0.011952;0.108510;0.002621;0.019833;0.055303;0.029033;0.059034;0.002721;0.004018;0.000509;0.006826;0.026928;0.011565;0.004032;0.000034;0.000382;0.000246;0.000016;0.000001;0.000001;0.000001;0.000001;0.000001
t;0.000001;0.004563;0.068390;0.247668;0.000432;0.097261;0.013831;0.038821;0.000020;0.010560;0.014343;0.006328;0.063883;0.000637;0.305950;0.002117;0.034498;0.000010;0.054245;0.001255;0.000174;0.000691;0.012737;0.010615;0.000169;0.000149;0.000154;0.000370;0.008822;0.000009;0.000003;0.001278;0.000014;0.000002;0.000001;0.000001;0.000001;0.000001
a;0.000001;0.005626;0.001133;0.068289;0.206615;0.000282;0.151092;0.000229;0.018053;0.034682;0.018039;0.110469;0.030199;0.025363;0.004458;0.038900;0.093344;0.001988;0.059767;0.028910;0.030147;0.005202;0.002486;0.002549;0.003448;0.019269;0.012000;0.023918;0.002520;0.000108;0.000779;0.000120;0.000012;0.000001;0.000001;0.000001;0.000001;0.000001
k;0.000005;0.000593;0.297154;0.266740;0.134069;0.010621;0.000873;0.020816;0.001866;0.005526;0.002132;0.006010;0.127342;0.000016;0.001388;0.000172;0.003223;0.000010;0.063525;0.001154;0.000983;0.001612;0.019933;0.012909;0.000010;0.001367;0.000509;0.000645;0.017484;0.000005;0.000036;0.001170;0.000073;0.000005;0.000005;0.000005;0.000005;0.000005
y;0.000002;0.004761;0.043429;0.448274;0.002679;0.263109;0.009782;0.002127;0.000045;0.000004;0.000137;0.004103;0.030176;0.006332;0.000081;0.003019;0.036310;0.000049;0.034892;0.005837;0.002508;0.000187;0.029878;0.024076;0.000318;0.000589;0.004560;0.011275;0.029251;0.000002;0.000008;0.002119;0.000069;0.000002;0.000002;0.000002;0.000002;0.000002
