smoothed;3
(;i;m; ;a;l;b;o;u;t;h;e;s;c;);w;p;d;n;y;f;r;g;q;x;j;v;k;z;,;.;í;ö;á;é;ä;#
((;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(i;0.000115;0.001489;0.084870;0.157141;0.001145;0.009277;0.000115;0.000458;0.000115;0.199061;0.000115;0.000229;0.136983;0.002978;0.000344;0.000115;0.000687;0.026114;0.326423;0.000115;0.030810;0.007674;0.000916;0.000573;0.000115;0.000115;0.010766;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115
(m;0.000196;0.120063;0.001369;0.000196;0.256746;0.000196;0.000978;0.176379;0.163082;0.000391;0.000196;0.220180;0.001760;0.011732;0.000196;0.000196;0.000196;0.000196;0.000196;0.039108;0.000196;0.003129;0.000196;0.000196;0.000196;0.000196;0.000391;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196;0.000196
( ;0.002208;0.086093;0.059603;0.028698;0.108168;0.026490;0.044150;0.086093;0.019868;0.072848;0.035320;0.017660;0.050773;0.033113;0.004415;0.057395;0.046358;0.035320;0.013245;0.079470;0.015453;0.013245;0.013245;0.002208;0.002208;0.011038;0.011038;0.004415;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208;0.002208
(a;0.000088;0.002626;0.031160;0.093042;0.000175;0.092867;0.078512;0.000088;0.010066;0.039212;0.001838;0.000875;0.048403;0.063020;0.000263;0.009278;0.035098;0.026871;0.339344;0.000088;0.016630;0.073173;0.032210;0.000088;0.000175;0.000088;0.003151;0.000350;0.000350;0.000088;0.000263;0.000088;0.000088;0.000088;0.000088;0.000088;0.000088
(l;0.000260;0.496744;0.000260;0.000260;0.114092;0.001042;0.000260;0.165147;0.009117;0.000260;0.000260;0.200052;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.005470;0.000260;0.000260;0.000781;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260;0.000260
(b;0.000187;0.052779;0.000187;0.000749;0.125772;0.027325;0.000374;0.056710;0.211492;0.000374;0.000187;0.382182;0.000187;0.000187;0.000374;0.000187;0.000374;0.000187;0.000187;0.036309;0.000187;0.100692;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187;0.000187
(o;0.000193;0.000774;0.001548;0.000387;0.000774;0.012575;0.048559;0.000580;0.092474;0.046431;0.028826;0.000387;0.002515;0.012382;0.000193;0.013542;0.048365;0.001935;0.189398;0.000193;0.348617;0.084542;0.000193;0.000193;0.001935;0.000193;0.029600;0.030954;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193
(u;0.000701;0.000701;0.046283;0.000701;0.003506;0.020337;0.004208;0.000701;0.000701;0.008415;0.055400;0.000701;0.163394;0.001403;0.000701;0.000701;0.124825;0.000701;0.528050;0.000701;0.002104;0.009818;0.000701;0.000701;0.000701;0.000701;0.000701;0.004208;0.000701;0.000701;0.011921;0.000701;0.000701;0.000701;0.000701;0.000701;0.000701
(t;0.000054;0.014387;0.000215;0.000161;0.033874;0.000054;0.000054;0.113378;0.004885;0.000054;0.751879;0.025285;0.000215;0.000054;0.000054;0.009448;0.000107;0.000054;0.000054;0.003436;0.000054;0.041014;0.000054;0.000054;0.000054;0.000054;0.000483;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054;0.000054
