smoothed;3
(;p;r;e;s;i;d;n;t; ;u;m;a;y;h;g;w;o;);b;c;z;x;v;f;l;k;.;j;q;,;é;á;ä;í;#
((;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(p;0.000148;0.000148;0.361674;0.187195;0.002070;0.020553;0.000148;0.000148;0.000296;0.000296;0.062694;0.000148;0.120361;0.000444;0.022327;0.000148;0.000296;0.167086;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148;0.000296;0.049091;0.000148;0.002070;0.000296;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148;0.000148
(r;0.000217;0.000217;0.000217;0.577715;0.000217;0.196401;0.000217;0.000217;0.000217;0.000217;0.059181;0.000217;0.080642;0.005853;0.007370;0.000217;0.000217;0.066551;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217;0.000217
(e;0.000306;0.007351;0.007657;0.001225;0.037672;0.026340;0.017764;0.143951;0.004900;0.000306;0.009188;0.056662;0.053905;0.003675;0.000306;0.006126;0.000306;0.000306;0.000306;0.000613;0.027259;0.000613;0.225727;0.257887;0.016845;0.078714;0.000613;0.000306;0.000306;0.011026;0.000306;0.000306;0.000306;0.000306;0.000306;0.000306
(s;0.000092;0.050247;0.000092;0.122460;0.000092;0.049515;0.000092;0.001464;0.155592;0.001922;0.082464;0.007963;0.113674;0.008420;0.145707;0.000092;0.005034;0.190646;0.000092;0.000092;0.025627;0.000092;0.000092;0.000092;0.000092;0.028464;0.008512;0.000092;0.000092;0.000549;0.000092;0.000092;0.000092;0.000092;0.000092;0.000092
(i;0.000115;0.001151;0.012549;0.000115;0.179369;0.000345;0.019917;0.369906;0.184435;0.095326;0.000115;0.070573;0.000461;0.000115;0.000115;0.002993;0.000115;0.000230;0.000230;0.000230;0.000691;0.000230;0.000115;0.009901;0.036611;0.012088;0.000115;0.000115;0.000115;0.000921;0.000115;0.000115;0.000115;0.000115;0.000115;0.000115
(d;0.000201;0.000201;0.032440;0.293371;0.000806;0.219222;0.000201;0.002821;0.000201;0.000604;0.027201;0.000201;0.075156;0.003425;0.000403;0.000201;0.000604;0.336893;0.000201;0.000201;0.002216;0.000201;0.000201;0.000403;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201
(n;0.000327;0.000327;0.004581;0.232003;0.000327;0.045484;0.001309;0.000327;0.000327;0.000654;0.047775;0.000327;0.106348;0.000327;0.000327;0.000327;0.000982;0.545157;0.000327;0.003927;0.000654;0.000327;0.000327;0.000327;0.003272;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327;0.000327
(t;0.000048;0.000095;0.069038;0.026234;0.000095;0.016093;0.000190;0.000048;0.000048;0.000190;0.005047;0.000095;0.033567;0.002285;0.705566;0.000048;0.014522;0.125315;0.000048;0.000048;0.000048;0.000048;0.000048;0.000619;0.000048;0.000048;0.000048;0.000095;0.000048;0.000048;0.000048;0.000048;0.000048;0.000048;0.000048;0.000048
( ;0.001887;0.067925;0.007547;0.016981;0.045283;0.079245;0.032075;0.009434;0.094340;0.049057;0.003774;0.032075;0.067925;0.060377;0.028302;0.013208;0.056604;0.103774;0.003774;0.103774;0.039623;0.003774;0.001887;0.011321;0.020755;0.020755;0.003774;0.001887;0.001887;0.005660;0.001887;0.001887;0.001887;0.001887;0.001887;0.001887
