smoothed;2
(;i;m; ;a;l;b;o;u;t;h;e;s;c;);w;p;d;n;y;f;r;g;q;x;j;v;k;z;,;.;í;ö;á;é;ä;#
p;0.000015;0.039095;0.000917;0.079855;0.097614;0.135486;0.000611;0.139750;0.048387;0.019608;0.016567;0.196451;0.016827;0.000611;0.014015;0.000260;0.054363;0.000657;0.000245;0.003286;0.000642;0.133622;0.000229;0.000015;0.000015;0.000183;0.000076;0.000245;0.000015;0.000015;0.000229;0.000015;0.000015;0.000015;0.000015;0.000015;0.000015
d;0.000008;0.085408;0.004763;0.466138;0.038178;0.006659;0.000531;0.100025;0.014625;0.000632;0.000447;0.126250;0.020475;0.002504;0.071609;0.001054;0.000573;0.008607;0.011279;0.017938;0.000792;0.014145;0.004324;0.000118;0.000008;0.000295;0.002478;0.000051;0.000008;0.000008;0.000017;0.000008;0.000008;0.000008;0.000008;0.000008;0.000008
n;0.000004;0.030019;0.003092;0.205827;0.036701;0.005425;0.000513;0.088924;0.005585;0.116221;0.000583;0.065443;0.039883;0.024586;0.034064;0.000719;0.000324;0.153562;0.015392;0.014082;0.004484;0.000587;0.124180;0.000345;0.000160;0.000571;0.005232;0.023284;0.000094;0.000004;0.000070;0.000008;0.000004;0.000012;0.000004;0.000004;0.000004
y;0.000011;0.021009;0.004182;0.489872;0.002741;0.002795;0.017733;0.231587;0.000142;0.009467;0.000044;0.058331;0.032758;0.001583;0.088719;0.002653;0.007895;0.000874;0.004957;0.000022;0.000153;0.019229;0.000186;0.000011;0.000022;0.000022;0.002632;0.000120;0.000120;0.000011;0.000055;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011
f;0.000016;0.085451;0.000209;0.353710;0.054943;0.015544;0.002013;0.164041;0.030041;0.026691;0.000258;0.065913;0.001595;0.000403;0.063642;0.000177;0.000435;0.000773;0.000048;0.003785;0.055298;0.074096;0.000612;0.000016;0.000016;0.000032;0.000016;0.000081;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016;0.000016
r;0.000005;0.094492;0.013220;0.151711;0.071427;0.009228;0.002041;0.079017;0.023399;0.053963;0.001026;0.283381;0.048683;0.009341;0.028411;0.001483;0.003336;0.019773;0.015884;0.042012;0.002100;0.014224;0.011103;0.000021;0.000279;0.000134;0.005699;0.013622;0.000038;0.000005;0.000886;0.000011;0.000016;0.000005;0.000011;0.000005;0.000005
g;0.000013;0.041674;0.001376;0.310933;0.051824;0.011434;0.000225;0.131599;0.048913;0.002607;0.121819;0.124108;0.023623;0.000251;0.047947;0.000066;0.000159;0.000371;0.014319;0.005916;0.000291;0.051533;0.008721;0.000040;0.000013;0.000026;0.000026;0.000013;0.000013;0.000013;0.000013;0.000013;0.000040;0.000013;0.000013;0.000013;0.000026
q;0.000385;0.004615;0.000385;0.037692;0.010385;0.000385;0.000385;0.001538;0.923462;0.001154;0.000385;0.000385;0.001538;0.000385;0.006538;0.000385;0.000385;0.000385;0.000385;0.001154;0.000385;0.000385;0.000385;0.000769;0.000385;0.000385;0.000385;0.000385;0.000385;0.000385;0.001154;0.000385;0.000385;0.000385;0.000385;0.000385;0.000385
x;0.000184;0.113569;0.000922;0.146940;0.148783;0.000369;0.000369;0.018990;0.023414;0.181600;0.002397;0.062131;0.001475;0.070981;0.029683;0.000737;0.176991;0.000184;0.001659;0.008665;0.003503;0.000369;0.000553;0.000553;0.002212;0.000184;0.000184;0.000184;0.000184;0.000184;0.000737;0.000184;0.000184;0.000184;0.000184;0.000184;0.000184
j;0.000105;0.015927;0.000105;0.007383;0.063179;0.000105;0.000211;0.217910;0.601730;0.000105;0.000316;0.084590;0.000316;0.000211;0.001160;0.000422;0.001055;0.000105;0.000211;0.000105;0.000422;0.002426;0.000105;0.000105;0.000105;0.000105;0.000316;0.000105;0.000105;0.000105;0.000211;0.000105;0.000105;0.000105;0.000105;0.000105;0.000105
v;0.000029;0.145500;0.000259;0.003533;0.068484;0.000402;0.000029;0.053834;0.000919;0.000029;0.000172;0.722444;0.000575;0.000086;0.000689;0.000029;0.000402;0.000115;0.000057;0.001350;0.000029;0.000230;0.000057;0.000029;0.000029;0.000029;0.000373;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029;0.000029
k;0.000022;0.113311;0.000366;0.224728;0.032304;0.010459;0.000473;0.006693;0.002453;0.000495;0.001291;0.325729;0.041816;0.000689;0.032863;0.001399;0.001076;0.000603;0.193092;0.004713;0.000925;0.001786;0.001119;0.000022;0.000022;0.000065;0.000065;0.001076;0.000129;0.000022;0.000043;0.000043;0.000022;0.000022;0.000022;0.000022;0.000022
z;0.000305;0.223576;0.000914;0.089857;0.121231;0.003655;0.001523;0.054828;0.028023;0.000609;0.002741;0.378617;0.003046;0.000305;0.015230;0.001218;0.000609;0.000305;0.000609;0.042339;0.002132;0.005787;0.000305;0.000305;0.000305;0.000305;0.000609;0.001828;0.016448;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305;0.000305
,;0.005155;0.005155;0.005155;0.690722;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.128866;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155;0.005155
.;0.001894;0.005682;0.041667;0.524621;0.005682;0.001894;0.001894;0.005682;0.001894;0.001894;0.003788;0.001894;0.140152;0.094697;0.113636;0.001894;0.003788;0.001894;0.001894;0.005682;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.007576;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894;0.001894
í;0.023810;0.023810;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.095238;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.047619;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
ö;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.093023;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
á;0.025000;0.025000;0.025000;0.075000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
é;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ä;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
#;0.024390;0.024390;0.048780;0.048780;0.048780;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
