smoothed;3
(;t;h;e; ;r;a;m;i;n;s;b;u;g;w;o;v;);l;y;c;d;f;p;j;k;x;z;#
((;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
(t;0.009615;0.009615;0.509615;0.019231;0.009615;0.067308;0.019231;0.009615;0.028846;0.009615;0.019231;0.009615;0.028846;0.009615;0.009615;0.105769;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615
(h;0.020408;0.020408;0.020408;0.081633;0.020408;0.020408;0.183673;0.020408;0.061224;0.020408;0.020408;0.020408;0.102041;0.020408;0.020408;0.081633;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408;0.020408
(e;0.018519;0.037037;0.018519;0.018519;0.018519;0.037037;0.037037;0.018519;0.018519;0.148148;0.018519;0.018519;0.092593;0.037037;0.018519;0.018519;0.037037;0.018519;0.074074;0.018519;0.018519;0.018519;0.055556;0.018519;0.018519;0.018519;0.092593;0.018519;0.018519
( ;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
(r;0.018868;0.018868;0.018868;0.339623;0.018868;0.018868;0.075472;0.018868;0.037736;0.018868;0.018868;0.018868;0.056604;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
(a;0.014286;0.042857;0.014286;0.014286;0.042857;0.057143;0.014286;0.042857;0.014286;0.214286;0.042857;0.042857;0.028571;0.085714;0.014286;0.014286;0.014286;0.014286;0.028571;0.014286;0.028571;0.057143;0.042857;0.028571;0.014286;0.014286;0.014286;0.014286;0.014286
(m;0.019608;0.019608;0.019608;0.098039;0.019608;0.019608;0.156863;0.019608;0.137255;0.019608;0.019608;0.019608;0.039216;0.019608;0.019608;0.058824;0.019608;0.019608;0.019608;0.019608;0.058824;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
(i;0.018182;0.036364;0.018182;0.018182;0.054545;0.018182;0.018182;0.109091;0.018182;0.200000;0.072727;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182;0.036364;0.018182;0.018182;0.054545;0.054545;0.018182;0.018182;0.018182;0.018182;0.018182;0.018182
(n;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.230769;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
(s;0.015625;0.109375;0.093750;0.109375;0.015625;0.015625;0.062500;0.031250;0.062500;0.015625;0.015625;0.015625;0.078125;0.015625;0.015625;0.078125;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.062500;0.015625;0.015625;0.015625;0.015625;0.015625
(b;0.018519;0.018519;0.018519;0.222222;0.018519;0.018519;0.148148;0.018519;0.018519;0.018519;0.018519;0.018519;0.037037;0.018519;0.018519;0.037037;0.018519;0.018519;0.055556;0.074074;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
(u;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.078947;0.026316;0.184211;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316
(g;0.023256;0.023256;0.023256;0.093023;0.023256;0.046512;0.046512;0.023256;0.046512;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.209302;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
(w;0.015385;0.015385;0.169231;0.123077;0.015385;0.015385;0.153846;0.015385;0.107692;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.076923;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
(o;0.018868;0.056604;0.018868;0.018868;0.018868;0.056604;0.018868;0.018868;0.018868;0.094340;0.018868;0.037736;0.075472;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.037736;0.018868;0.188679;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868
(v;0.028571;0.028571;0.028571;0.085714;0.028571;0.028571;0.057143;0.028571;0.114286;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
();0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
(l;0.025641;0.025641;0.025641;0.153846;0.025641;0.025641;0.102564;0.025641;0.076923;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
(y;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.275000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(c;0.018868;0.018868;0.075472;0.018868;0.018868;0.075472;0.056604;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.264151;0.018868;0.018868;0.056604;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
(d;0.019608;0.019608;0.019608;0.235294;0.019608;0.019608;0.019608;0.019608;0.176471;0.019608;0.019608;0.019608;0.058824;0.019608;0.019608;0.039216;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
(f;0.027027;0.027027;0.027027;0.054054;0.027027;0.108108;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(p;0.020833;0.020833;0.020833;0.062500;0.020833;0.166667;0.041667;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.208333;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833;0.020833
(j;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.121212;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(k;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.054054;0.189189;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(x;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
(z;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
(#;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.096774;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
t(;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
tt;0.024390;0.024390;0.024390;0.121951;0.048780;0.048780;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.097561;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
th;0.001916;0.001916;0.001916;0.603448;0.038314;0.015326;0.160920;0.001916;0.091954;0.005747;0.005747;0.001916;0.001916;0.001916;0.001916;0.026820;0.001916;0.007663;0.001916;0.003831;0.001916;0.005747;0.001916;0.001916;0.001916;0.001916;0.001916;0.001916;0.001916
te;0.006993;0.006993;0.006993;0.013986;0.118881;0.258741;0.020979;0.020979;0.034965;0.069930;0.048951;0.006993;0.006993;0.013986;0.006993;0.006993;0.006993;0.048951;0.027972;0.006993;0.006993;0.188811;0.006993;0.020979;0.006993;0.006993;0.006993;0.006993;0.006993
t ;0.003021;0.199396;0.072508;0.018127;0.003021;0.021148;0.078550;0.039275;0.093656;0.015106;0.072508;0.045317;0.009063;0.012085;0.075529;0.039275;0.012085;0.003021;0.015106;0.039275;0.033233;0.027190;0.033233;0.021148;0.003021;0.003021;0.003021;0.003021;0.006042
tr;0.011765;0.011765;0.011765;0.058824;0.011765;0.011765;0.305882;0.011765;0.070588;0.011765;0.011765;0.011765;0.082353;0.011765;0.011765;0.129412;0.011765;0.011765;0.011765;0.082353;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765;0.011765
ta;0.010000;0.100000;0.010000;0.010000;0.010000;0.090000;0.010000;0.010000;0.080000;0.270000;0.010000;0.040000;0.010000;0.010000;0.010000;0.010000;0.010000;0.020000;0.070000;0.010000;0.030000;0.010000;0.010000;0.010000;0.010000;0.100000;0.010000;0.010000;0.010000
tm;0.032258;0.032258;0.032258;0.064516;0.032258;0.032258;0.064516;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258;0.032258
ti;0.006211;0.031056;0.006211;0.049689;0.006211;0.012422;0.024845;0.043478;0.006211;0.099379;0.018634;0.006211;0.006211;0.018634;0.006211;0.385093;0.062112;0.006211;0.018634;0.006211;0.130435;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211;0.006211
tn;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
ts;0.010638;0.010638;0.010638;0.031915;0.595745;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.095745;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
tb;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
tu;0.019608;0.058824;0.019608;0.019608;0.019608;0.274510;0.117647;0.019608;0.019608;0.058824;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608
tg;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
tw;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
to;0.005714;0.011429;0.005714;0.005714;0.588571;0.057143;0.005714;0.005714;0.005714;0.005714;0.005714;0.005714;0.011429;0.005714;0.005714;0.028571;0.005714;0.120000;0.011429;0.005714;0.011429;0.011429;0.011429;0.034286;0.005714;0.005714;0.005714;0.005714;0.005714
tv;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
t);0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
