smoothed;2
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
(;0.000477;0.033890;0.148926;0.056325;0.107876;0.075418;0.000477;0.032458;0.018138;0.098807;0.018616;0.031981;0.049642;0.023866;0.019093;0.025298;0.030072;0.034845;0.022434;0.078282;0.026253;0.028162;0.005728;0.007160;0.008592;0.017184
);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
t;0.000025;0.007059;0.015606;0.306752;0.075787;0.037717;0.281716;0.001588;0.076518;0.036935;0.000706;0.003076;0.082569;0.000202;0.027430;0.000580;0.000126;0.000151;0.005874;0.009379;0.000151;0.017774;0.011976;0.000025;0.000176;0.000101
h;0.000046;0.002556;0.024397;0.000046;0.152935;0.001905;0.078210;0.001208;0.410103;0.218551;0.000046;0.000651;0.079604;0.000046;0.008644;0.004740;0.000093;0.000093;0.001626;0.000418;0.000232;0.005158;0.008551;0.000046;0.000046;0.000046
i;0.000037;0.000183;0.123425;0.000146;0.000037;0.141261;0.039188;0.038676;0.023110;0.020070;0.038749;0.071308;0.055999;0.020730;0.025125;0.265089;0.005420;0.004212;0.033585;0.000037;0.049810;0.000037;0.001172;0.017616;0.017140;0.007838
s;0.000041;0.010522;0.120387;0.030627;0.060234;0.036744;0.438481;0.003344;0.110681;0.041189;0.000122;0.010114;0.071612;0.000571;0.000367;0.005709;0.016802;0.000449;0.006362;0.002569;0.001468;0.003507;0.023409;0.004364;0.000041;0.000285
 ;0.000012;0.000012;0.179915;0.050598;0.077668;0.060946;0.000012;0.033011;0.016780;0.114479;0.019820;0.041944;0.061835;0.032484;0.026603;0.021995;0.038366;0.042330;0.026474;0.069295;0.030228;0.019551;0.008922;0.008630;0.006700;0.011389
m;0.000111;0.003992;0.000222;0.000111;0.094135;0.019403;0.141036;0.026610;0.274421;0.131278;0.000111;0.011975;0.132498;0.000998;0.000554;0.003105;0.085597;0.030159;0.000554;0.000222;0.000222;0.018516;0.023839;0.000111;0.000111;0.000111
e;0.000022;0.007373;0.029956;0.001321;0.011357;0.081987;0.358652;0.022318;0.033587;0.052076;0.005348;0.025223;0.009618;0.006625;0.115816;0.091033;0.014637;0.003368;0.027909;0.007637;0.043646;0.019919;0.000308;0.004556;0.016023;0.009684
a;0.000031;0.001385;0.169018;0.005699;0.027361;0.079188;0.082557;0.025472;0.000882;0.000031;0.016436;0.033249;0.000346;0.005101;0.091530;0.194332;0.014011;0.029377;0.098520;0.005982;0.027928;0.036492;0.013350;0.012752;0.025252;0.003715
