smoothed;2
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
g;0.000123;0.008746;0.005174;0.093989;0.036709;0.027223;0.402069;0.001848;0.119118;0.051121;0.007268;0.000123;0.119364;0.000123;0.057896;0.021927;0.000123;0.000123;0.008746;0.000123;0.000123;0.004065;0.033506;0.000123;0.000123;0.000123
c;0.000099;0.001380;0.082184;0.099428;0.042471;0.015767;0.026902;0.000099;0.120221;0.219945;0.000296;0.018132;0.198069;0.000099;0.054986;0.000197;0.000099;0.000099;0.028971;0.000099;0.000197;0.009559;0.030745;0.049665;0.000099;0.000197
o;0.000033;0.003343;0.061374;0.004966;0.021385;0.022610;0.151152;0.055052;0.007250;0.003972;0.003443;0.016287;0.018902;0.077794;0.113844;0.152112;0.020955;0.009931;0.027013;0.039791;0.014566;0.001755;0.143340;0.011686;0.016022;0.001423
f;0.000145;0.003914;0.034068;0.000145;0.098724;0.004349;0.382430;0.000145;0.067121;0.055378;0.000145;0.000145;0.194549;0.051754;0.068136;0.000145;0.000145;0.000145;0.013337;0.000145;0.000145;0.003914;0.020441;0.000145;0.000145;0.000145
r;0.000048;0.005816;0.053961;0.001096;0.069454;0.045333;0.203261;0.016636;0.289684;0.068596;0.011965;0.009057;0.071313;0.001525;0.013061;0.017304;0.003194;0.002145;0.006912;0.001716;0.020831;0.040709;0.030746;0.009438;0.006054;0.000143
n;0.000037;0.005791;0.119608;0.000297;0.027359;0.042765;0.251355;0.001596;0.068788;0.029624;0.139246;0.023573;0.059359;0.004789;0.000334;0.011322;0.005420;0.000074;0.005308;0.000520;0.162336;0.010320;0.008278;0.014403;0.006979;0.000520
p;0.000129;0.004272;0.012040;0.010487;0.029907;0.018773;0.108752;0.001036;0.155748;0.096712;0.000259;0.000259;0.149922;0.001036;0.179570;0.000129;0.059296;0.000129;0.094899;0.000129;0.000388;0.003496;0.072242;0.000129;0.000129;0.000129
b;0.000164;0.001310;0.004420;0.000164;0.058775;0.011624;0.023903;0.000164;0.305501;0.100196;0.000164;0.000164;0.172069;0.000164;0.034054;0.000164;0.001146;0.004748;0.110347;0.000164;0.000164;0.038965;0.126392;0.000164;0.004093;0.000819
l;0.000070;0.004277;0.013250;0.000140;0.151991;0.026640;0.158441;0.003225;0.144139;0.066321;0.000140;0.000561;0.067443;0.006029;0.002874;0.000280;0.003646;0.000701;0.158020;0.003295;0.049495;0.097098;0.012058;0.024537;0.005258;0.000070
w;0.000119;0.006543;0.000119;0.219605;0.112420;0.016774;0.127647;0.000714;0.216869;0.172972;0.000119;0.000119;0.086486;0.000238;0.008922;0.024149;0.000238;0.000357;0.001903;0.000119;0.000595;0.001309;0.000476;0.000952;0.000119;0.000119
d;0.000076;0.009679;0.001677;0.001219;0.075833;0.018749;0.539136;0.003734;0.160887;0.039250;0.002058;0.001753;0.084902;0.000152;0.013718;0.008079;0.000152;0.000457;0.006631;0.000533;0.005945;0.012575;0.008231;0.000076;0.004344;0.000152
y;0.000123;0.019543;0.007743;0.000246;0.028638;0.031219;0.630285;0.004671;0.063668;0.006391;0.000123;0.001598;0.159784;0.000123;0.015610;0.001721;0.005408;0.012414;0.003319;0.001352;0.001844;0.000123;0.000123;0.000246;0.003441;0.000246
u;0.000091;0.000724;0.173051;0.000181;0.015304;0.167165;0.084941;0.055601;0.034864;0.028525;0.028344;0.023725;0.003532;0.003079;0.115367;0.091913;0.040025;0.037852;0.074346;0.000091;0.011500;0.005614;0.000272;0.000996;0.002083;0.000815
k;0.000264;0.015336;0.000264;0.000529;0.137493;0.040984;0.331306;0.000264;0.308038;0.029350;0.002380;0.000264;0.008461;0.000529;0.000793;0.098889;0.000264;0.000529;0.008461;0.001322;0.002644;0.004759;0.005288;0.001058;0.000264;0.000264
v;0.000277;0.000277;0.000277;0.000277;0.133333;0.001107;0.004149;0.000277;0.726971;0.047580;0.000277;0.000277;0.079668;0.000277;0.000277;0.000277;0.000553;0.000277;0.000553;0.000277;0.000277;0.001107;0.000553;0.000277;0.000277;0.000277
#;0.000529;0.004235;0.074643;0.000529;0.039174;0.000529;0.076231;0.000529;0.091053;0.092642;0.000529;0.019587;0.127581;0.000529;0.001588;0.000529;0.037586;0.000529;0.001059;0.000529;0.000529;0.008999;0.416093;0.000529;0.000529;0.003176
