smoothed;2
(;b;y; ;n;o;w;,;u;p;r;a;l;k;h;t;s;e;d;i;.;);c;m;g;f;v;x;z;j;q;?;#
(;0.000209;0.061558;0.020938;0.014028;0.016541;0.050251;0.077680;0.000838;0.012982;0.022194;0.020310;0.135260;0.025126;0.004397;0.038735;0.157245;0.052345;0.019472;0.025335;0.123953;0.001466;0.001675;0.025335;0.024497;0.015494;0.034548;0.003978;0.000209;0.000419;0.009631;0.002931;0.000209;0.000209
b;0.000380;0.008365;0.061217;0.013688;0.000380;0.153992;0.000380;0.001521;0.128897;0.000380;0.031559;0.097338;0.097719;0.000380;0.000760;0.001141;0.014829;0.305323;0.001521;0.053992;0.000760;0.001901;0.004943;0.001521;0.001141;0.000760;0.008745;0.000380;0.000380;0.004563;0.000380;0.000380;0.000380
y;0.000257;0.007955;0.000513;0.551193;0.002053;0.151399;0.006159;0.038748;0.000257;0.006672;0.015140;0.004362;0.004619;0.001796;0.000257;0.014883;0.034642;0.051322;0.001283;0.020015;0.020785;0.047986;0.003593;0.002823;0.000513;0.001283;0.003593;0.000513;0.000513;0.000257;0.000257;0.002309;0.002053
 ;0.000031;0.043546;0.017020;0.004569;0.017173;0.062774;0.061210;0.000460;0.011745;0.033089;0.027876;0.107455;0.030452;0.010151;0.041798;0.157472;0.063357;0.025913;0.034469;0.080499;0.000767;0.000828;0.041522;0.039345;0.028949;0.037689;0.007851;0.000123;0.000123;0.008403;0.003281;0.000031;0.000031
n;0.000093;0.000371;0.017045;0.203150;0.014822;0.058453;0.000556;0.010838;0.006392;0.000834;0.000648;0.028532;0.006392;0.017879;0.001204;0.115331;0.048448;0.077536;0.146086;0.032886;0.008059;0.017879;0.026401;0.001204;0.146642;0.004076;0.004076;0.000371;0.000093;0.001019;0.000463;0.001390;0.000834
o;0.000077;0.008463;0.006925;0.134108;0.135416;0.031623;0.043779;0.005232;0.129491;0.026083;0.120105;0.003308;0.020774;0.014234;0.004386;0.043395;0.028930;0.008387;0.020158;0.014080;0.002462;0.007925;0.011695;0.060629;0.009695;0.089559;0.016850;0.000462;0.000308;0.000462;0.000077;0.000462;0.000462
w;0.000297;0.000297;0.001187;0.108309;0.024036;0.099110;0.000297;0.017211;0.000297;0.000297;0.027596;0.209496;0.003561;0.001484;0.233828;0.000890;0.010979;0.129080;0.000890;0.107715;0.006231;0.010386;0.000593;0.000297;0.000297;0.001780;0.000297;0.000297;0.000297;0.000297;0.000297;0.001484;0.000593
,;0.000543;0.000543;0.000543;0.563043;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.420109;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543
u;0.000196;0.013736;0.009615;0.074176;0.108124;0.003336;0.000196;0.003728;0.000785;0.038854;0.095565;0.041601;0.094192;0.000785;0.012166;0.162480;0.146193;0.028846;0.017661;0.022567;0.003140;0.004906;0.039050;0.031201;0.033163;0.008242;0.002159;0.000392;0.001570;0.000196;0.000196;0.000392;0.000589
p;0.000331;0.001325;0.005633;0.063287;0.000331;0.078197;0.000331;0.005964;0.032803;0.053015;0.108681;0.090789;0.160040;0.000331;0.020543;0.022200;0.026508;0.243870;0.001657;0.059642;0.003976;0.008615;0.001657;0.001657;0.000663;0.001988;0.000663;0.000331;0.000331;0.002651;0.000331;0.000663;0.000994
r;0.000114;0.003310;0.035380;0.174161;0.014380;0.083771;0.001940;0.011755;0.032755;0.003424;0.015522;0.064141;0.017804;0.011869;0.001484;0.037434;0.061516;0.261584;0.024994;0.077265;0.007875;0.016777;0.011984;0.014152;0.007190;0.002168;0.002511;0.000571;0.000114;0.000228;0.000228;0.001255;0.000342
a;0.000075;0.026154;0.035322;0.081918;0.178491;0.000225;0.006012;0.002179;0.016910;0.017361;0.084699;0.002179;0.110702;0.016910;0.002781;0.137006;0.083196;0.000526;0.035698;0.022020;0.000752;0.005186;0.042913;0.037802;0.016759;0.007365;0.024651;0.000526;0.001578;0.001503;0.000225;0.000150;0.000225
l;0.000139;0.001249;0.133047;0.102525;0.000555;0.076304;0.002775;0.010128;0.014983;0.002636;0.002913;0.076998;0.158158;0.009850;0.001665;0.018452;0.028024;0.147198;0.047031;0.119589;0.004440;0.009156;0.003052;0.012625;0.000555;0.010544;0.003330;0.000139;0.000139;0.000139;0.000139;0.000971;0.000555
k;0.000544;0.000544;0.008705;0.217628;0.087595;0.010881;0.004353;0.014146;0.006529;0.001088;0.004897;0.016866;0.019042;0.001088;0.000544;0.000544;0.064744;0.322633;0.001088;0.168662;0.011425;0.027203;0.000544;0.001088;0.001088;0.000544;0.000544;0.000544;0.000544;0.000544;0.000544;0.002176;0.001088
h;0.000116;0.002888;0.014210;0.077865;0.002542;0.082024;0.000231;0.015596;0.014325;0.000231;0.010975;0.203905;0.002311;0.000231;0.000578;0.027149;0.003350;0.378581;0.000116;0.148336;0.004159;0.007971;0.000116;0.000231;0.000116;0.000347;0.000116;0.000116;0.000116;0.000116;0.000116;0.000462;0.000462
t;0.000063;0.000438;0.009132;0.238929;0.000375;0.098324;0.004879;0.010696;0.025457;0.000313;0.022579;0.032524;0.008757;0.000063;0.295784;0.013510;0.046723;0.086627;0.000500;0.065236;0.009695;0.019014;0.004879;0.001751;0.000125;0.000438;0.000063;0.000063;0.000188;0.000063;0.000063;0.002189;0.000563
s;0.000094;0.000187;0.004676;0.372334;0.010475;0.084456;0.003086;0.027310;0.019360;0.026936;0.000281;0.018331;0.006360;0.005799;0.026188;0.145810;0.027123;0.093154;0.000281;0.044426;0.015619;0.039656;0.016180;0.005892;0.000468;0.001029;0.000094;0.000094;0.000187;0.000374;0.000374;0.001590;0.001777
e;0.000052;0.002377;0.017876;0.295619;0.078994;0.014776;0.006613;0.013846;0.000827;0.007698;0.119085;0.061376;0.034615;0.001653;0.001550;0.028828;0.079820;0.022835;0.055280;0.011883;0.011108;0.025625;0.031463;0.019632;0.006045;0.008473;0.026038;0.011934;0.000207;0.000103;0.001343;0.001705;0.000723
d;0.000172;0.001894;0.017215;0.449131;0.016010;0.087451;0.000861;0.020830;0.011706;0.000344;0.025822;0.034946;0.005681;0.000861;0.000516;0.000344;0.027716;0.130143;0.005164;0.095197;0.013772;0.036667;0.000172;0.001549;0.006714;0.001033;0.004132;0.000172;0.000172;0.000344;0.000516;0.001894;0.000861
i;0.000084;0.006880;0.000168;0.048746;0.260005;0.044886;0.000084;0.001426;0.000419;0.005873;0.029952;0.010907;0.041195;0.023911;0.000755;0.143888;0.120312;0.035238;0.037084;0.000419;0.000419;0.002433;0.057220;0.045054;0.029700;0.020891;0.022821;0.001342;0.006544;0.000419;0.000671;0.000168;0.000084
.;0.000673;0.000673;0.000673;0.123822;0.000673;0.001346;0.000673;0.001346;0.000673;0.002019;0.000673;0.000673;0.000673;0.000673;0.000673;0.000673;0.003365;0.000673;0.001346;0.002019;0.179677;0.659489;0.004038;0.002692;0.000673;0.000673;0.000673;0.000673;0.000673;0.000673;0.000673;0.003365;0.002019
);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
c;0.000224;0.000224;0.004479;0.029115;0.000224;0.164390;0.000224;0.004255;0.033819;0.000224;0.050168;0.156551;0.033371;0.064502;0.136842;0.127436;0.007615;0.113326;0.001792;0.045913;0.002464;0.009183;0.009630;0.000224;0.000224;0.000224;0.000224;0.000224;0.000224;0.000448;0.001120;0.000224;0.000896
m;0.000235;0.021867;0.031977;0.110745;0.001176;0.093581;0.000235;0.011992;0.031742;0.050788;0.000705;0.159652;0.000941;0.000235;0.001411;0.000235;0.026099;0.306607;0.000705;0.095932;0.011992;0.009405;0.001646;0.025394;0.000235;0.001411;0.000235;0.000235;0.000235;0.000235;0.000235;0.001411;0.000470
g;0.000266;0.000797;0.009035;0.303216;0.013022;0.109221;0.000797;0.013819;0.028966;0.000797;0.040925;0.096997;0.017008;0.000266;0.097529;0.001594;0.024980;0.119320;0.001063;0.044379;0.015413;0.042254;0.000266;0.002392;0.009567;0.000531;0.000266;0.000266;0.000266;0.000266;0.000266;0.002126;0.002126
f;0.000281;0.001968;0.001687;0.324993;0.000281;0.158842;0.000843;0.003655;0.052010;0.000281;0.051167;0.069441;0.014619;0.000281;0.000562;0.032612;0.003936;0.073939;0.000281;0.108800;0.004498;0.023615;0.000562;0.000281;0.000281;0.066348;0.000281;0.000281;0.000562;0.000281;0.000281;0.001125;0.001125
v;0.000561;0.000561;0.001684;0.001123;0.000561;0.036496;0.000561;0.000561;0.001123;0.001123;0.001123;0.043796;0.000561;0.000561;0.000561;0.000561;0.001123;0.724874;0.000561;0.174621;0.000561;0.000561;0.000561;0.000561;0.000561;0.000561;0.000561;0.000561;0.000561;0.000561;0.000561;0.000561;0.000561
x;0.003322;0.003322;0.006645;0.059801;0.003322;0.006645;0.003322;0.013289;0.033223;0.225914;0.003322;0.116279;0.003322;0.003322;0.029900;0.199336;0.003322;0.076412;0.003322;0.126246;0.003322;0.003322;0.033223;0.003322;0.003322;0.006645;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322
z;0.006211;0.006211;0.031056;0.018634;0.006211;0.018634;0.012422;0.012422;0.006211;0.006211;0.006211;0.142857;0.012422;0.006211;0.006211;0.024845;0.006211;0.335404;0.006211;0.167702;0.006211;0.006211;0.006211;0.006211;0.006211;0.031056;0.006211;0.006211;0.062112;0.006211;0.006211;0.006211;0.006211
j;0.002415;0.002415;0.002415;0.009662;0.002415;0.193237;0.024155;0.002415;0.570048;0.002415;0.002415;0.067633;0.002415;0.002415;0.002415;0.002415;0.002415;0.062802;0.002415;0.007246;0.004831;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415
q;0.005000;0.005000;0.005000;0.030000;0.005000;0.005000;0.005000;0.005000;0.810000;0.005000;0.005000;0.010000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000
?;0.004950;0.004950;0.004950;0.103960;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.698020;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.004950;0.009901;0.044554
#;0.007246;0.007246;0.007246;0.173913;0.014493;0.007246;0.007246;0.014493;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.021739;0.007246;0.007246;0.550725;0.007246;0.014493;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.021739
