smoothed;3
(;);f;r;o;m; ;n;e;w;y;k;t;i;s;c;b;a;h;d;g;u;p;l;v;#
(l;0.005682;0.005682;0.005682;0.005682;0.193182;0.005682;0.005682;0.005682;0.187500;0.005682;0.005682;0.005682;0.005682;0.261364;0.005682;0.005682;0.005682;0.215909;0.005682;0.005682;0.005682;0.017045;0.005682;0.011364;0.005682;0.005682
(v;0.018868;0.018868;0.018868;0.018868;0.132075;0.018868;0.018868;0.018868;0.358491;0.018868;0.018868;0.018868;0.018868;0.037736;0.018868;0.018868;0.018868;0.056604;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
(#;0.008547;0.008547;0.017094;0.008547;0.119658;0.008547;0.025641;0.008547;0.059829;0.008547;0.008547;0.008547;0.008547;0.051282;0.008547;0.008547;0.008547;0.051282;0.008547;0.008547;0.008547;0.512821;0.008547;0.008547;0.008547;0.008547
)(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
));0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)f;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)r;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)o;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)m;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
) ;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)n;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)e;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)w;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)y;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)k;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)t;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)i;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)s;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)c;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)b;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)a;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)h;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)d;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)g;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)u;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)p;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
)l;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
