smoothed;3
(;);f;r;o;m; ;n;e;w;y;k;t;i;s;c;b;a;h;d;g;u;p;l;v;#
o(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
o);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
of;0.000197;0.006117;0.080900;0.000197;0.000987;0.000197;0.886938;0.000197;0.003552;0.000197;0.000395;0.000197;0.010655;0.006117;0.000395;0.000197;0.000197;0.000592;0.000197;0.000197;0.000197;0.000395;0.000197;0.000197;0.000197;0.000197
or;0.000128;0.012839;0.000385;0.019386;0.001155;0.036718;0.367184;0.032867;0.116575;0.008859;0.027475;0.061497;0.117859;0.045320;0.027988;0.016305;0.002311;0.014508;0.002568;0.048273;0.010143;0.000128;0.004750;0.024522;0.000128;0.000128
oo;0.000584;0.007013;0.008182;0.063705;0.000584;0.070134;0.039158;0.046756;0.000584;0.000584;0.000584;0.327294;0.063705;0.000584;0.021040;0.001169;0.001169;0.000584;0.001753;0.209819;0.009351;0.000584;0.042665;0.080655;0.000584;0.001169
om;0.000266;0.010893;0.006376;0.000266;0.010361;0.079437;0.255579;0.003188;0.417906;0.000266;0.009830;0.000266;0.000266;0.068278;0.005313;0.001328;0.009033;0.034006;0.000266;0.000266;0.000266;0.000266;0.085016;0.000531;0.000266;0.000266
o ;0.000093;0.000093;0.026123;0.026772;0.026401;0.046132;0.000093;0.014358;0.018342;0.061510;0.029458;0.014914;0.182770;0.062807;0.069755;0.047522;0.068921;0.070866;0.060398;0.049189;0.039185;0.011579;0.034738;0.025012;0.004817;0.008152
on;0.000100;0.031003;0.010501;0.000400;0.011301;0.004000;0.413641;0.013801;0.139514;0.000300;0.004700;0.000300;0.079208;0.008301;0.110111;0.015302;0.000700;0.038204;0.000100;0.030703;0.059806;0.002200;0.000100;0.017002;0.008001;0.000700
oe;0.002294;0.004587;0.002294;0.009174;0.002294;0.002294;0.034404;0.027523;0.002294;0.002294;0.002294;0.002294;0.004587;0.002294;0.830275;0.002294;0.002294;0.002294;0.004587;0.004587;0.002294;0.002294;0.002294;0.004587;0.038991;0.002294
ow;0.000341;0.051090;0.000341;0.000681;0.002725;0.000341;0.556880;0.190054;0.095368;0.000341;0.000681;0.000341;0.002384;0.023501;0.028610;0.000341;0.000341;0.018392;0.002044;0.009537;0.000341;0.000341;0.000341;0.013965;0.000341;0.000341
oy;0.004505;0.058559;0.013514;0.004505;0.018018;0.031532;0.324324;0.004505;0.256757;0.004505;0.004505;0.004505;0.004505;0.045045;0.099099;0.009009;0.009009;0.054054;0.004505;0.018018;0.004505;0.004505;0.004505;0.004505;0.004505;0.004505
ok;0.001182;0.020095;0.001182;0.001182;0.001182;0.001182;0.369976;0.001182;0.182033;0.001182;0.002364;0.001182;0.001182;0.132388;0.111111;0.001182;0.001182;0.133570;0.001182;0.001182;0.001182;0.001182;0.001182;0.027187;0.001182;0.001182
ot;0.000317;0.009500;0.000317;0.000633;0.010133;0.000317;0.449968;0.000317;0.152628;0.000317;0.000950;0.000317;0.036099;0.062381;0.013300;0.000633;0.003800;0.021849;0.233059;0.000317;0.000950;0.000317;0.000317;0.000633;0.000317;0.000317
oi;0.000867;0.000867;0.000867;0.004337;0.000867;0.000867;0.001735;0.862099;0.000867;0.000867;0.000867;0.000867;0.006938;0.000867;0.013877;0.049436;0.000867;0.000867;0.000867;0.021683;0.000867;0.000867;0.000867;0.024284;0.000867;0.000867
os;0.000631;0.004419;0.000631;0.000631;0.005682;0.001263;0.060606;0.000631;0.348485;0.000631;0.002525;0.000631;0.256313;0.090909;0.143308;0.008838;0.008838;0.006944;0.003157;0.000631;0.000631;0.014520;0.032197;0.001894;0.000631;0.004419
oc;0.001122;0.001122;0.001122;0.240180;0.014590;0.001122;0.008979;0.001122;0.103255;0.001122;0.001122;0.172840;0.078563;0.075196;0.001122;0.052750;0.001122;0.095398;0.005612;0.001122;0.001122;0.121212;0.001122;0.015713;0.001122;0.001122
ob;0.001389;0.025000;0.001389;0.016667;0.043056;0.001389;0.138889;0.001389;0.115278;0.001389;0.006944;0.001389;0.004167;0.041667;0.063889;0.001389;0.059722;0.254167;0.001389;0.001389;0.001389;0.004167;0.001389;0.133333;0.052778;0.025000
oa;0.003802;0.019011;0.003802;0.136882;0.003802;0.011407;0.034221;0.015209;0.003802;0.003802;0.003802;0.022814;0.087452;0.003802;0.026616;0.129278;0.007605;0.003802;0.003802;0.250951;0.007605;0.003802;0.003802;0.186312;0.003802;0.019011
oh;0.003067;0.122699;0.003067;0.003067;0.009202;0.003067;0.487730;0.153374;0.042945;0.003067;0.006135;0.003067;0.003067;0.119632;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067
od;0.000917;0.036664;0.000917;0.005500;0.003666;0.001833;0.336389;0.002750;0.081577;0.000917;0.188818;0.003666;0.000917;0.025665;0.019248;0.000917;0.001833;0.176902;0.000917;0.012832;0.003666;0.087076;0.000917;0.003666;0.000917;0.000917
og;0.002481;0.019851;0.002481;0.213400;0.004963;0.004963;0.079404;0.114144;0.181141;0.002481;0.081886;0.002481;0.002481;0.091811;0.017370;0.002481;0.002481;0.062035;0.004963;0.002481;0.019851;0.034739;0.002481;0.042184;0.002481;0.002481
ou;0.000102;0.011006;0.000102;0.180475;0.000102;0.000102;0.216753;0.113931;0.000102;0.000102;0.000102;0.000102;0.191685;0.000917;0.081117;0.003159;0.004993;0.000102;0.000102;0.004790;0.050138;0.000102;0.018954;0.115051;0.005707;0.000204
op;0.000623;0.006231;0.000623;0.006854;0.024922;0.004361;0.095327;0.000623;0.193769;0.000623;0.000623;0.000623;0.020561;0.023053;0.021807;0.001246;0.000623;0.004984;0.030530;0.000623;0.000623;0.024299;0.076636;0.458567;0.000623;0.000623
ol;0.000515;0.018547;0.003091;0.000515;0.047398;0.000515;0.092221;0.001546;0.110768;0.000515;0.025760;0.013395;0.006182;0.162803;0.013395;0.000515;0.000515;0.024214;0.000515;0.192684;0.000515;0.058733;0.000515;0.172076;0.052035;0.000515
ov;0.000889;0.001778;0.000889;0.000889;0.009778;0.000889;0.002667;0.000889;0.829333;0.000889;0.000889;0.000889;0.000889;0.116444;0.000889;0.000889;0.000889;0.022222;0.000889;0.000889;0.000889;0.000889;0.000889;0.000889;0.000889;0.000889
o#;0.008850;0.044248;0.008850;0.008850;0.008850;0.008850;0.212389;0.008850;0.398230;0.008850;0.061947;0.008850;0.008850;0.097345;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850;0.008850
m(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
m);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mf;0.019608;0.019608;0.019608;0.019608;0.470588;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.058824;0.019608;0.019608;0.019608;0.019608
mr;0.015625;0.078125;0.015625;0.015625;0.031250;0.015625;0.500000;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.046875;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625;0.015625
mo;0.000468;0.000935;0.000468;0.282375;0.015428;0.059374;0.007013;0.164095;0.000935;0.000935;0.000468;0.007013;0.064049;0.000935;0.143525;0.101449;0.007480;0.000935;0.000468;0.029921;0.004208;0.030856;0.000935;0.003740;0.071529;0.000468
mm;0.001686;0.003373;0.001686;0.001686;0.060708;0.001686;0.008432;0.001686;0.200675;0.001686;0.008432;0.001686;0.001686;0.499157;0.001686;0.001686;0.001686;0.032040;0.001686;0.001686;0.001686;0.156830;0.001686;0.001686;0.001686;0.001686
m ;0.000321;0.000321;0.029535;0.020546;0.067095;0.032103;0.000321;0.023756;0.016051;0.058748;0.009310;0.005457;0.197753;0.073836;0.060353;0.036276;0.039165;0.155377;0.046870;0.022151;0.027608;0.006100;0.020867;0.024398;0.004494;0.021188
mn;0.014085;0.042254;0.014085;0.014085;0.014085;0.014085;0.169014;0.014085;0.183099;0.014085;0.014085;0.014085;0.014085;0.084507;0.014085;0.014085;0.014085;0.211268;0.014085;0.014085;0.014085;0.014085;0.014085;0.028169;0.014085;0.014085
me;0.000163;0.028199;0.000163;0.092095;0.015811;0.033089;0.326487;0.223309;0.027221;0.003912;0.000326;0.000163;0.054605;0.000326;0.076773;0.000489;0.011573;0.053138;0.002608;0.042217;0.000163;0.000163;0.000163;0.005379;0.000163;0.001304
mw;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
my;0.001565;0.034429;0.001565;0.003130;0.001565;0.001565;0.868545;0.001565;0.003130;0.001565;0.001565;0.001565;0.003130;0.001565;0.056338;0.001565;0.001565;0.001565;0.001565;0.001565;0.001565;0.001565;0.001565;0.001565;0.001565;0.001565
mk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mt;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mi;0.000447;0.000447;0.000447;0.005809;0.000447;0.000447;0.004915;0.300268;0.004468;0.000447;0.000447;0.006256;0.092046;0.000447;0.093387;0.122431;0.000447;0.001340;0.000447;0.046470;0.138963;0.000894;0.000447;0.170688;0.000447;0.006702
ms;0.002392;0.035885;0.002392;0.002392;0.002392;0.002392;0.693780;0.002392;0.196172;0.002392;0.004785;0.002392;0.019139;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392;0.002392
mc;0.012048;0.012048;0.012048;0.012048;0.012048;0.012048;0.024096;0.024096;0.012048;0.012048;0.012048;0.024096;0.012048;0.012048;0.012048;0.554217;0.012048;0.072289;0.036145;0.024096;0.024096;0.012048;0.012048;0.012048;0.012048;0.012048
mb;0.001832;0.009158;0.001832;0.054945;0.029304;0.001832;0.080586;0.001832;0.586081;0.001832;0.001832;0.001832;0.001832;0.060440;0.018315;0.001832;0.001832;0.069597;0.001832;0.001832;0.001832;0.034799;0.001832;0.027473;0.001832;0.001832
ma;0.000365;0.005482;0.001096;0.091374;0.000365;0.002193;0.047149;0.234284;0.000365;0.000365;0.081871;0.139254;0.115863;0.042398;0.035088;0.010234;0.004386;0.002193;0.019371;0.060673;0.023757;0.000365;0.003655;0.044956;0.000365;0.032529
mh;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
md;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
mg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mu;0.001764;0.001764;0.003527;0.065256;0.001764;0.021164;0.001764;0.164021;0.001764;0.001764;0.001764;0.001764;0.010582;0.001764;0.142857;0.462081;0.001764;0.001764;0.001764;0.001764;0.010582;0.001764;0.001764;0.079365;0.001764;0.012346
mp;0.000691;0.007602;0.000691;0.028334;0.102281;0.000691;0.251555;0.000691;0.051140;0.000691;0.001382;0.000691;0.029717;0.045612;0.057360;0.000691;0.000691;0.205943;0.008984;0.000691;0.000691;0.015895;0.000691;0.185211;0.000691;0.000691
ml;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.088235;0.029412;0.176471;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
mv;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
m#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 (;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 );0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 f;0.000162;0.000323;0.000162;0.175319;0.376355;0.000162;0.009542;0.000162;0.081190;0.000162;0.000162;0.000162;0.000162;0.170791;0.000162;0.000162;0.000323;0.126961;0.000162;0.000162;0.000162;0.029921;0.000162;0.026686;0.000162;0.000162
 r;0.000213;0.000427;0.000213;0.000213;0.082782;0.000213;0.001493;0.000213;0.574355;0.000213;0.003200;0.000213;0.000213;0.139962;0.000213;0.000213;0.000213;0.077022;0.001493;0.000213;0.000213;0.115639;0.000213;0.000213;0.000213;0.000213
 o;0.000090;0.000180;0.442608;0.080654;0.000090;0.000269;0.000719;0.222651;0.000090;0.015089;0.000180;0.009520;0.027663;0.001257;0.000449;0.006467;0.015448;0.000359;0.007814;0.001078;0.000090;0.097629;0.024250;0.013382;0.031615;0.000359
 m;0.000155;0.000310;0.000155;0.004800;0.224028;0.000310;0.001548;0.000155;0.225112;0.000155;0.076792;0.000155;0.000155;0.139186;0.000155;0.007896;0.000155;0.252206;0.000155;0.000155;0.000155;0.065335;0.000310;0.000155;0.000155;0.000155
  ;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 n;0.000252;0.000252;0.000756;0.000252;0.518528;0.000252;0.002773;0.000252;0.260902;0.000252;0.000252;0.000252;0.000252;0.079657;0.000252;0.000252;0.000252;0.095790;0.000252;0.000252;0.000252;0.036552;0.000504;0.000252;0.000252;0.000252
 e;0.000297;0.000297;0.022889;0.010999;0.000297;0.050535;0.002081;0.145660;0.000892;0.000297;0.009215;0.000297;0.003864;0.056480;0.051130;0.024078;0.000595;0.074316;0.000297;0.026754;0.002081;0.010702;0.009512;0.104935;0.208086;0.183413
 w;0.000073;0.000073;0.000073;0.012914;0.117910;0.000073;0.000734;0.000073;0.196346;0.000073;0.000073;0.000073;0.000073;0.146673;0.000073;0.000073;0.000073;0.243598;0.280358;0.000073;0.000073;0.000147;0.000073;0.000073;0.000073;0.000073
 y;0.000270;0.000270;0.000270;0.000270;0.825876;0.000270;0.001348;0.000270;0.163342;0.000270;0.000270;0.000270;0.000270;0.001078;0.000270;0.000270;0.000270;0.002695;0.000270;0.000270;0.000270;0.000270;0.000270;0.000270;0.000270;0.000270
 k;0.000543;0.001628;0.000543;0.001085;0.087358;0.000543;0.003798;0.434617;0.142702;0.000543;0.001085;0.000543;0.000543;0.298969;0.000543;0.000543;0.000543;0.011394;0.000543;0.000543;0.000543;0.007596;0.000543;0.001628;0.000543;0.000543
 t;0.000029;0.000088;0.000029;0.037718;0.193577;0.000029;0.000583;0.000029;0.023074;0.018844;0.001429;0.000029;0.000029;0.019399;0.000058;0.000029;0.000029;0.025787;0.673522;0.000029;0.000029;0.004988;0.000029;0.000029;0.000554;0.000029
 i;0.000070;0.001252;0.036519;0.007304;0.000209;0.051336;0.128965;0.354410;0.000070;0.000070;0.000070;0.000070;0.186630;0.000070;0.206525;0.000835;0.000070;0.000070;0.000070;0.012173;0.000904;0.000070;0.000139;0.006886;0.005147;0.000070
 s;0.000084;0.000418;0.000084;0.000334;0.209770;0.007933;0.001336;0.002422;0.154154;0.004342;0.016451;0.003674;0.169770;0.068727;0.000084;0.028225;0.000084;0.119415;0.096534;0.000084;0.000084;0.069061;0.039081;0.006931;0.000084;0.000835
 c;0.000123;0.000247;0.000123;0.053541;0.442512;0.000123;0.004071;0.000247;0.025043;0.000123;0.001357;0.000123;0.000123;0.024056;0.000370;0.000123;0.000123;0.247841;0.104120;0.000123;0.000123;0.021589;0.000123;0.073032;0.000123;0.000493
 b;0.000124;0.000124;0.000124;0.058955;0.081468;0.000124;0.007090;0.000124;0.418532;0.000124;0.075124;0.000124;0.000124;0.051866;0.000124;0.000124;0.000124;0.134080;0.000249;0.000124;0.000124;0.142164;0.000124;0.028483;0.000124;0.000124
 a;0.000046;0.001300;0.018198;0.076273;0.000046;0.024233;0.207883;0.348359;0.000046;0.007335;0.000046;0.000186;0.047630;0.005107;0.057890;0.031382;0.054547;0.000464;0.001718;0.015737;0.021540;0.005153;0.011281;0.061046;0.002507;0.000046
 h;0.000107;0.000320;0.000107;0.000214;0.127296;0.000214;0.000854;0.000107;0.320696;0.000107;0.001282;0.000107;0.000107;0.167450;0.000107;0.000107;0.000107;0.351880;0.000107;0.000107;0.000107;0.028086;0.000107;0.000107;0.000107;0.000107
 d;0.000160;0.000160;0.000160;0.043123;0.362135;0.000160;0.001924;0.006092;0.247676;0.000321;0.002725;0.000160;0.000160;0.196377;0.000481;0.001282;0.000160;0.110612;0.003366;0.000160;0.000160;0.021802;0.000160;0.000160;0.000160;0.000160
 g;0.000238;0.000238;0.000238;0.128266;0.418052;0.000238;0.000950;0.000238;0.203088;0.000238;0.004276;0.000238;0.000238;0.075297;0.000238;0.000238;0.000238;0.053682;0.000713;0.000475;0.000238;0.092162;0.001188;0.018527;0.000238;0.000238
 u;0.000474;0.000474;0.000474;0.023245;0.000474;0.000949;0.008065;0.386622;0.000474;0.000474;0.000474;0.003321;0.006641;0.000474;0.280361;0.000474;0.000949;0.000474;0.000474;0.000474;0.001423;0.000474;0.264706;0.015180;0.000474;0.001898
 p;0.000148;0.000148;0.000148;0.356878;0.145422;0.000594;0.001632;0.000297;0.179700;0.000148;0.000297;0.000148;0.000148;0.023297;0.002819;0.000148;0.000148;0.140525;0.016175;0.000148;0.000148;0.071524;0.000148;0.058911;0.000148;0.000148
 l;0.000235;0.000235;0.000235;0.000235;0.251587;0.000235;0.001646;0.000235;0.203621;0.000235;0.005643;0.000235;0.000235;0.340230;0.000235;0.000235;0.000235;0.186457;0.000235;0.000235;0.000235;0.006348;0.000235;0.000235;0.000235;0.000235
 v;0.000783;0.002349;0.000783;0.000783;0.212999;0.000783;0.015662;0.000783;0.436962;0.000783;0.000783;0.000783;0.000783;0.243540;0.003915;0.000783;0.000783;0.058731;0.000783;0.000783;0.000783;0.008614;0.000783;0.003915;0.000783;0.000783
 #;0.000485;0.000970;0.000485;0.000485;0.153734;0.000485;0.005335;0.000485;0.057226;0.000485;0.000485;0.000485;0.000485;0.010184;0.000485;0.000485;0.000485;0.055286;0.000485;0.000485;0.000485;0.708050;0.000485;0.000485;0.000485;0.000485
n(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
n);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
nf;0.002710;0.002710;0.002710;0.073171;0.384824;0.002710;0.002710;0.002710;0.073171;0.002710;0.002710;0.002710;0.002710;0.197832;0.002710;0.002710;0.002710;0.062331;0.002710;0.002710;0.002710;0.043360;0.002710;0.113821;0.002710;0.002710
nr;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.244444;0.022222;0.088889;0.022222;0.022222;0.088889;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222
no;0.000286;0.008594;0.000286;0.068462;0.008880;0.038957;0.107992;0.015182;0.000286;0.341736;0.000859;0.000286;0.331424;0.003151;0.002005;0.006875;0.009453;0.000286;0.000286;0.001146;0.000286;0.034661;0.001719;0.007161;0.009166;0.000573
nm;0.004219;0.004219;0.004219;0.004219;0.008439;0.004219;0.004219;0.004219;0.864979;0.004219;0.004219;0.004219;0.004219;0.012658;0.004219;0.004219;0.004219;0.021097;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219;0.004219
n ;0.000068;0.000068;0.034600;0.021864;0.057622;0.034123;0.000068;0.014167;0.023907;0.063888;0.021114;0.005381;0.230895;0.083367;0.046724;0.035281;0.032489;0.139899;0.043591;0.023430;0.014576;0.009740;0.033647;0.015052;0.005176;0.009263
nn;0.001600;0.004800;0.001600;0.001600;0.166400;0.001600;0.035200;0.001600;0.361600;0.001600;0.040000;0.001600;0.001600;0.228800;0.008000;0.001600;0.001600;0.115200;0.001600;0.001600;0.001600;0.012800;0.001600;0.001600;0.001600;0.001600
ne;0.000221;0.023472;0.006864;0.076395;0.001107;0.005314;0.309566;0.008193;0.052037;0.099424;0.039194;0.000221;0.057573;0.008857;0.076174;0.015279;0.000664;0.013286;0.000221;0.111825;0.011072;0.007086;0.000443;0.014836;0.025244;0.035430
nw;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.128205;0.025641;0.025641;0.025641;0.128205;0.128205;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
ny;0.001255;0.028858;0.001255;0.001255;0.033877;0.020075;0.701380;0.001255;0.001255;0.022585;0.001255;0.001255;0.121706;0.005019;0.003764;0.001255;0.030113;0.011292;0.002509;0.001255;0.001255;0.001255;0.001255;0.001255;0.001255;0.001255
nk;0.000951;0.016175;0.001903;0.004757;0.000951;0.000951;0.754520;0.006660;0.024738;0.000951;0.001903;0.000951;0.000951;0.076118;0.071361;0.000951;0.000951;0.004757;0.000951;0.000951;0.000951;0.000951;0.000951;0.022835;0.000951;0.000951
nt;0.000128;0.026306;0.000642;0.065058;0.053638;0.000642;0.503914;0.000128;0.107917;0.000128;0.031182;0.000128;0.000128;0.071218;0.066855;0.000128;0.000128;0.033748;0.019376;0.000128;0.000128;0.005261;0.000128;0.012704;0.000128;0.000128
ni;0.000475;0.000475;0.026578;0.001424;0.032273;0.015187;0.007594;0.311343;0.044139;0.000475;0.000475;0.001424;0.181775;0.000475;0.116279;0.068818;0.001424;0.055055;0.000475;0.000475;0.052207;0.012340;0.005695;0.003322;0.013764;0.046037
ns;0.000397;0.035289;0.005155;0.000397;0.015464;0.000397;0.499603;0.000793;0.136400;0.024187;0.001983;0.000397;0.117764;0.084457;0.000397;0.004758;0.001586;0.006344;0.023791;0.000397;0.000397;0.020619;0.013085;0.005155;0.000397;0.000397
nc;0.000644;0.000644;0.000644;0.043142;0.036059;0.000644;0.000644;0.000644;0.593046;0.000644;0.066967;0.000644;0.019961;0.072118;0.000644;0.000644;0.000644;0.003863;0.073406;0.000644;0.000644;0.003220;0.000644;0.077914;0.000644;0.000644
nb;0.022222;0.022222;0.022222;0.044444;0.111111;0.022222;0.022222;0.022222;0.288889;0.022222;0.022222;0.022222;0.022222;0.066667;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
na;0.000549;0.012075;0.000549;0.038968;0.000549;0.066959;0.098793;0.052689;0.001098;0.001647;0.000549;0.001098;0.302415;0.004391;0.014819;0.006586;0.013172;0.000549;0.000549;0.027442;0.032382;0.006037;0.007135;0.302964;0.003293;0.002744
nh;0.017544;0.017544;0.017544;0.017544;0.087719;0.017544;0.017544;0.017544;0.192982;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.298246;0.017544;0.017544;0.017544;0.035088;0.017544;0.017544;0.017544;0.017544
nd;0.000097;0.018486;0.001645;0.011421;0.006388;0.006291;0.804588;0.000194;0.057685;0.000194;0.000871;0.000194;0.000097;0.031262;0.029714;0.000290;0.000097;0.019164;0.000194;0.000194;0.000194;0.007162;0.000484;0.002904;0.000097;0.000097
ng;0.000123;0.035666;0.001234;0.017895;0.001234;0.000123;0.826978;0.000494;0.044181;0.000123;0.000247;0.000494;0.006911;0.008269;0.035419;0.000123;0.000123;0.002962;0.000123;0.000617;0.000123;0.004073;0.000123;0.012094;0.000123;0.000123
nu;0.002646;0.002646;0.031746;0.021164;0.007937;0.251323;0.005291;0.005291;0.134921;0.002646;0.002646;0.015873;0.103175;0.042328;0.095238;0.158730;0.002646;0.082011;0.002646;0.002646;0.005291;0.002646;0.002646;0.010582;0.002646;0.002646
np;0.019608;0.019608;0.019608;0.215686;0.156863;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.058824;0.019608;0.019608;0.019608;0.039216;0.019608;0.117647;0.019608;0.019608
nl;0.002907;0.002907;0.002907;0.002907;0.011628;0.002907;0.002907;0.002907;0.031977;0.002907;0.776163;0.002907;0.002907;0.058140;0.002907;0.002907;0.002907;0.061047;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907;0.002907
nv;0.001972;0.001972;0.001972;0.001972;0.136095;0.001972;0.001972;0.001972;0.619329;0.001972;0.001972;0.001972;0.001972;0.163708;0.001972;0.001972;0.001972;0.037475;0.001972;0.001972;0.001972;0.001972;0.001972;0.001972;0.001972;0.001972
n#;0.010870;0.010870;0.010870;0.010870;0.173913;0.010870;0.010870;0.010870;0.065217;0.010870;0.010870;0.010870;0.010870;0.076087;0.010870;0.010870;0.010870;0.054348;0.010870;0.010870;0.010870;0.402174;0.010870;0.010870;0.010870;0.010870
