smoothed;2
(;);f;r;o;m; ;n;e;w;y;k;t;i;s;c;b;a;h;d;g;u;p;l;v;#
(;0.000107;0.064211;0.022549;0.020187;0.051004;0.025341;0.000107;0.021368;0.012348;0.079888;0.037797;0.005369;0.148717;0.112101;0.071620;0.020079;0.035864;0.131751;0.050145;0.019328;0.016751;0.006013;0.018254;0.016214;0.003007;0.009879
);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
f;0.000063;0.005807;0.058701;0.078394;0.183362;0.000126;0.352017;0.000063;0.074733;0.000126;0.002840;0.000126;0.035915;0.106419;0.002903;0.001073;0.000126;0.057375;0.000063;0.000063;0.002146;0.022470;0.000063;0.014896;0.000063;0.000063
r;0.000020;0.012363;0.001985;0.013468;0.079970;0.014328;0.192730;0.020202;0.263939;0.002067;0.043802;0.012793;0.050454;0.081812;0.050802;0.009538;0.003336;0.064393;0.001474;0.020653;0.010009;0.029863;0.002395;0.010296;0.007123;0.000184
o;0.000015;0.003842;0.074809;0.115172;0.025010;0.055465;0.159764;0.147956;0.006097;0.043182;0.002922;0.012179;0.046475;0.016733;0.023126;0.012846;0.010310;0.003531;0.004465;0.015813;0.005607;0.145197;0.023438;0.028422;0.016318;0.001305
m;0.000048;0.013482;0.001252;0.001878;0.101791;0.027350;0.148787;0.002215;0.294203;0.000048;0.029565;0.000048;0.000048;0.106558;0.018923;0.002793;0.025087;0.130537;0.000048;0.000144;0.000048;0.026098;0.068471;0.000433;0.000096;0.000048
 ;0.000005;0.000005;0.032586;0.024670;0.058786;0.034047;0.000005;0.020860;0.017669;0.071989;0.019500;0.009620;0.181274;0.075942;0.063236;0.042762;0.042413;0.113857;0.049419;0.032878;0.022146;0.011023;0.035529;0.022373;0.006625;0.010779
n;0.000016;0.011433;0.005579;0.000324;0.056208;0.003438;0.237691;0.009730;0.072830;0.000227;0.012519;0.016639;0.125973;0.033764;0.040494;0.024779;0.000324;0.029142;0.000519;0.167148;0.131000;0.005725;0.000422;0.005173;0.007817;0.001087
e;0.000010;0.012883;0.006589;0.122295;0.009236;0.022233;0.344032;0.092568;0.030707;0.007389;0.019833;0.001781;0.029107;0.011616;0.081990;0.026137;0.002552;0.049426;0.001028;0.055996;0.006722;0.000771;0.010816;0.029288;0.015663;0.009331
w;0.000051;0.008757;0.000810;0.009668;0.104424;0.001164;0.118293;0.029257;0.186273;0.000051;0.003746;0.000405;0.000354;0.111105;0.014072;0.000051;0.000202;0.192903;0.214112;0.001569;0.000051;0.000152;0.000051;0.002379;0.000051;0.000051
y;0.000051;0.040818;0.000152;0.012965;0.170060;0.006432;0.624177;0.002937;0.050593;0.001519;0.000051;0.000051;0.008913;0.023701;0.034640;0.001671;0.007900;0.003140;0.000101;0.001570;0.000203;0.000051;0.002836;0.003089;0.002178;0.000203
k;0.000119;0.022243;0.000595;0.001903;0.020816;0.000476;0.300940;0.099560;0.293565;0.000714;0.004639;0.000119;0.001308;0.158915;0.051743;0.000119;0.000714;0.023076;0.000357;0.000238;0.002022;0.002141;0.001665;0.011776;0.000119;0.000119
t;0.000011;0.012401;0.000292;0.030422;0.094111;0.001720;0.254688;0.000483;0.082981;0.008848;0.016245;0.000011;0.014840;0.075201;0.034661;0.002249;0.000225;0.039270;0.312947;0.000202;0.000067;0.011703;0.000045;0.006048;0.000225;0.000101
