smoothed;2
(;);f;r;o;m; ;n;e;w;y;k;t;i;s;c;b;a;h;d;g;u;p;l;v;#
i;0.000016;0.000482;0.022685;0.031528;0.055917;0.041673;0.037959;0.262094;0.027316;0.000048;0.000032;0.014100;0.120179;0.000064;0.130050;0.060741;0.006785;0.023762;0.000080;0.050660;0.038152;0.000804;0.004807;0.040242;0.022010;0.007814
s;0.000018;0.018631;0.000525;0.001736;0.067741;0.003563;0.417390;0.005354;0.108133;0.002153;0.005372;0.005824;0.124665;0.068989;0.040826;0.011360;0.000488;0.036828;0.032704;0.002605;0.000344;0.024275;0.015411;0.004703;0.000018;0.000344
c;0.000045;0.001428;0.000045;0.045528;0.197018;0.000045;0.025040;0.000134;0.125156;0.000045;0.010043;0.055972;0.092305;0.051107;0.005401;0.014194;0.000045;0.183003;0.117925;0.000089;0.000089;0.034637;0.000045;0.040037;0.000045;0.000580
b;0.000076;0.002447;0.000076;0.044812;0.152940;0.000841;0.019347;0.000076;0.315745;0.000229;0.054676;0.000076;0.002447;0.054141;0.013000;0.000076;0.005888;0.117382;0.000153;0.000382;0.000076;0.109199;0.000841;0.099029;0.002982;0.003059
a;0.000014;0.003932;0.007296;0.086745;0.000305;0.028643;0.082467;0.197785;0.003115;0.007531;0.037710;0.013387;0.169032;0.026289;0.078937;0.035689;0.023880;0.000208;0.006147;0.030373;0.015643;0.012916;0.014328;0.090233;0.023382;0.004015
h;0.000020;0.006456;0.000101;0.009532;0.075651;0.000708;0.077432;0.002267;0.425513;0.000263;0.006658;0.000040;0.026269;0.136225;0.001599;0.000162;0.000607;0.218190;0.000040;0.000243;0.000020;0.009553;0.000020;0.002348;0.000040;0.000040
d;0.000030;0.018977;0.000517;0.015784;0.076820;0.006204;0.532693;0.011252;0.148197;0.000304;0.013047;0.000152;0.000517;0.071255;0.020528;0.000487;0.000426;0.046135;0.000912;0.007633;0.005839;0.013503;0.000182;0.005809;0.002372;0.000426
g;0.000053;0.016464;0.000535;0.063770;0.106104;0.001336;0.372408;0.021916;0.134434;0.000053;0.006094;0.000214;0.002993;0.039074;0.018388;0.000053;0.000053;0.056767;0.098300;0.000374;0.009087;0.039235;0.000267;0.011920;0.000053;0.000053
u;0.000040;0.004403;0.003683;0.129378;0.001401;0.038389;0.086586;0.114367;0.036107;0.000040;0.007205;0.000480;0.147112;0.016613;0.161122;0.031064;0.021737;0.025219;0.000120;0.017213;0.029903;0.000080;0.042472;0.081782;0.002402;0.001081
p;0.000063;0.004952;0.000381;0.180560;0.125071;0.000889;0.093645;0.000127;0.183353;0.000063;0.003174;0.000127;0.018412;0.034474;0.018983;0.000444;0.000317;0.102787;0.014920;0.000254;0.000254;0.051933;0.055742;0.108945;0.000063;0.000063
l;0.000031;0.008681;0.005955;0.002445;0.061364;0.003918;0.157923;0.001066;0.158079;0.002507;0.099912;0.013069;0.014103;0.126050;0.026012;0.001567;0.000689;0.077880;0.000063;0.060706;0.000345;0.012912;0.003353;0.155008;0.006331;0.000031
v;0.000119;0.000717;0.000119;0.000119;0.058071;0.000119;0.004780;0.000119;0.731270;0.000119;0.003346;0.000119;0.000119;0.153543;0.000597;0.000119;0.000119;0.043733;0.000119;0.000119;0.000119;0.001314;0.000119;0.000717;0.000119;0.000119
#;0.000238;0.005000;0.000476;0.000476;0.108333;0.000238;0.059524;0.000238;0.124762;0.000238;0.004048;0.000238;0.079762;0.035476;0.000476;0.013810;0.000952;0.075000;0.001190;0.000238;0.000238;0.423095;0.060000;0.002381;0.000238;0.003333
