smoothed;2
(;h;i; ;e;v;r;y;o;n;w;l;c;m;t;b;);s;f;q;a;p;u;g;k;z;d;x;j;,;.;?;#
w;0.000046;0.218630;0.113564;0.118090;0.194800;0.000046;0.017780;0.002217;0.107145;0.020967;0.000231;0.002679;0.000231;0.000831;0.000369;0.000231;0.014825;0.008959;0.000369;0.000046;0.168568;0.001247;0.000139;0.000046;0.000323;0.000046;0.000831;0.000046;0.000046;0.004664;0.001247;0.000600;0.000139
l;0.000024;0.000073;0.144091;0.137280;0.153139;0.006859;0.002092;0.105417;0.056551;0.000632;0.002505;0.143750;0.001581;0.004548;0.020188;0.000730;0.021453;0.025077;0.015080;0.000024;0.062997;0.003940;0.017707;0.000341;0.010702;0.000462;0.057476;0.000024;0.000024;0.003600;0.001338;0.000268;0.000024
c;0.000038;0.129070;0.073161;0.029554;0.127052;0.000038;0.034086;0.005027;0.166318;0.000076;0.000038;0.027764;0.013673;0.000038;0.108695;0.000305;0.005751;0.005599;0.000038;0.000229;0.209087;0.000076;0.039418;0.000076;0.023308;0.000114;0.000152;0.000038;0.000038;0.000571;0.000495;0.000038;0.000038
m;0.000044;0.000835;0.082974;0.136503;0.296212;0.000088;0.000527;0.032082;0.099016;0.002373;0.000132;0.001626;0.000308;0.021579;0.000176;0.020172;0.021667;0.031423;0.000791;0.000044;0.153687;0.055946;0.035906;0.000044;0.000044;0.000044;0.000044;0.000044;0.000044;0.002637;0.002373;0.000571;0.000044
t;0.000009;0.326624;0.073762;0.239580;0.067605;0.000258;0.024369;0.018120;0.082103;0.000433;0.005318;0.006784;0.001982;0.001401;0.010950;0.000129;0.029355;0.053135;0.000608;0.000018;0.033826;0.000074;0.018102;0.000074;0.000009;0.000221;0.000111;0.000009;0.000009;0.001834;0.002083;0.001097;0.000009
b;0.000065;0.000130;0.065500;0.010277;0.369065;0.008846;0.030766;0.044361;0.147977;0.000260;0.000065;0.112463;0.002081;0.000650;0.002342;0.001821;0.001626;0.020554;0.000130;0.000065;0.057825;0.000065;0.116756;0.000065;0.000065;0.000065;0.000325;0.000065;0.005008;0.000260;0.000195;0.000195;0.000065
);0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
s;0.000015;0.022942;0.049675;0.365631;0.111089;0.000092;0.000414;0.007259;0.104229;0.007734;0.001780;0.007995;0.016543;0.007535;0.118562;0.000353;0.047342;0.039178;0.001535;0.000276;0.034943;0.020026;0.020717;0.000859;0.004036;0.000031;0.000598;0.000015;0.000061;0.004235;0.003637;0.000629;0.000031
f;0.000052;0.000312;0.085809;0.375182;0.084874;0.000052;0.060046;0.004727;0.144608;0.000052;0.000156;0.011895;0.000727;0.000364;0.026854;0.000104;0.050852;0.002234;0.042074;0.000052;0.058643;0.000156;0.046956;0.000208;0.000052;0.000052;0.000312;0.000052;0.000052;0.001039;0.000935;0.000467;0.000052
q;0.001049;0.001049;0.002099;0.010493;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.003148;0.001049;0.001049;0.001049;0.022036;0.001049;0.932844;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049;0.001049
a;0.000012;0.005389;0.020262;0.062325;0.000439;0.022818;0.080240;0.035054;0.001006;0.208082;0.004557;0.103393;0.033504;0.022622;0.194550;0.029595;0.009634;0.069160;0.003007;0.000069;0.000266;0.014769;0.021777;0.015231;0.013971;0.001145;0.025444;0.000567;0.000520;0.000359;0.000173;0.000046;0.000012
p;0.000053;0.027972;0.034766;0.057962;0.219904;0.000053;0.144427;0.005679;0.127282;0.000106;0.000318;0.134395;0.000159;0.001592;0.028344;0.000159;0.008652;0.027070;0.001008;0.000053;0.082431;0.053344;0.041614;0.000531;0.000053;0.000053;0.000318;0.000053;0.000106;0.000743;0.000637;0.000106;0.000053
u;0.000030;0.004440;0.017046;0.139349;0.032662;0.003874;0.136518;0.002831;0.001252;0.077512;0.000089;0.094052;0.031082;0.025778;0.150495;0.011235;0.015377;0.134700;0.005454;0.000030;0.034033;0.033317;0.000119;0.027745;0.000656;0.000507;0.017761;0.000298;0.000030;0.000387;0.000924;0.000387;0.000030
g;0.000049;0.124413;0.059859;0.317434;0.116307;0.000049;0.059068;0.012555;0.101181;0.012753;0.000049;0.010726;0.000346;0.003608;0.001779;0.000198;0.040631;0.041471;0.001779;0.000049;0.045771;0.000049;0.033513;0.008304;0.000049;0.000049;0.000099;0.000049;0.000049;0.003015;0.003905;0.000741;0.000099
k;0.000112;0.001684;0.123148;0.278177;0.293781;0.000225;0.000561;0.004378;0.001908;0.170633;0.000561;0.003592;0.000112;0.000112;0.000674;0.000337;0.029973;0.033229;0.000225;0.000112;0.042771;0.001123;0.001347;0.002582;0.000337;0.000112;0.000112;0.000112;0.000112;0.003929;0.002919;0.000898;0.000112
z;0.001277;0.024266;0.154534;0.033206;0.500639;0.001277;0.005109;0.033206;0.031928;0.001277;0.006386;0.002554;0.001277;0.001277;0.001277;0.001277;0.005109;0.014049;0.001277;0.001277;0.146871;0.001277;0.001277;0.001277;0.001277;0.014049;0.001277;0.001277;0.001277;0.002554;0.002554;0.001277;0.001277
d;0.000028;0.000473;0.087337;0.503829;0.132871;0.003314;0.014955;0.009413;0.080040;0.006378;0.001114;0.004512;0.001170;0.002813;0.000390;0.000613;0.064806;0.020999;0.000223;0.000028;0.029716;0.000139;0.019885;0.003342;0.000056;0.000028;0.004679;0.000028;0.000251;0.003036;0.003036;0.000473;0.000028
x;0.000567;0.002833;0.198867;0.073088;0.028895;0.000567;0.000567;0.005666;0.012465;0.000567;0.001133;0.000567;0.073654;0.002266;0.152975;0.000567;0.018130;0.000567;0.001700;0.000567;0.164873;0.213598;0.035694;0.000567;0.000567;0.000567;0.000567;0.000567;0.000567;0.002833;0.001700;0.001133;0.000567
j;0.000654;0.000654;0.009804;0.001961;0.113725;0.000654;0.000654;0.001307;0.229412;0.000654;0.002614;0.000654;0.000654;0.000654;0.000654;0.000654;0.001307;0.000654;0.000654;0.000654;0.062745;0.000654;0.561438;0.000654;0.000654;0.000654;0.000654;0.000654;0.000654;0.000654;0.000654;0.000654;0.000654
,;0.000461;0.000461;0.000461;0.870567;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.114233;0.000461;0.000461;0.000461;0.000921;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000461;0.000921;0.000461;0.000461
.;0.000575;0.000575;0.000575;0.504888;0.000575;0.000575;0.000575;0.001150;0.001725;0.000575;0.001150;0.001150;0.002875;0.001150;0.000575;0.000575;0.442783;0.004600;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.000575;0.001150;0.024727;0.000575;0.000575
?;0.001946;0.001946;0.001946;0.153696;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.772374;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.001946;0.003891;0.001946;0.013619;0.001946
#;0.023256;0.023256;0.023256;0.093023;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.046512;0.046512;0.023256;0.023256;0.139535;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256;0.023256
