smoothed;2
(;h;i; ;e;v;r;y;o;n;w;l;c;m;t;b;);s;f;q;a;p;u;g;k;z;d;x;j;,;.;?;#
(;0.000036;0.032513;0.089234;0.002139;0.028235;0.007094;0.032478;0.037647;0.039786;0.017790;0.070089;0.024100;0.046417;0.034831;0.157398;0.047094;0.000143;0.074474;0.026132;0.002602;0.106845;0.047094;0.013547;0.016684;0.006096;0.000285;0.032692;0.000071;0.005882;0.000285;0.000214;0.000036;0.000036
h;0.000018;0.000071;0.133072;0.076394;0.379678;0.000053;0.007795;0.010475;0.067594;0.002099;0.000600;0.000970;0.000053;0.000970;0.032995;0.000229;0.009734;0.001270;0.000494;0.000035;0.264064;0.000035;0.007371;0.000035;0.000035;0.000018;0.000282;0.000018;0.000018;0.002381;0.000899;0.000229;0.000018
i;0.000013;0.000514;0.000171;0.047697;0.035404;0.032400;0.023309;0.000013;0.060663;0.244627;0.000013;0.032426;0.060979;0.033968;0.145978;0.010396;0.005613;0.117873;0.030845;0.000632;0.020502;0.005995;0.000395;0.034021;0.016971;0.006245;0.030937;0.001120;0.000092;0.000066;0.000040;0.000053;0.000026
 ;0.000005;0.031863;0.095973;0.002156;0.019745;0.006414;0.022844;0.035726;0.062201;0.017416;0.068526;0.023613;0.034344;0.033461;0.184052;0.040477;0.000336;0.060884;0.028009;0.002077;0.126548;0.032726;0.010578;0.017165;0.008994;0.000242;0.027822;0.000025;0.005398;0.000202;0.000138;0.000030;0.000010
e;0.000008;0.001535;0.010949;0.312469;0.025399;0.018980;0.118806;0.015699;0.013632;0.089079;0.006082;0.039495;0.030014;0.024699;0.031600;0.001822;0.043308;0.074773;0.008182;0.002767;0.049145;0.008292;0.001375;0.006394;0.000742;0.000059;0.047222;0.011852;0.000219;0.002505;0.002379;0.000506;0.000008
v;0.000096;0.000096;0.166651;0.002582;0.722058;0.000191;0.000191;0.001625;0.034229;0.000096;0.000096;0.000096;0.000096;0.000096;0.000096;0.000096;0.000669;0.001052;0.000096;0.000096;0.066832;0.000096;0.001339;0.000096;0.000096;0.000096;0.000191;0.000096;0.000096;0.000287;0.000191;0.000096;0.000191
r;0.000019;0.001681;0.087840;0.157931;0.283459;0.006023;0.013048;0.041994;0.076473;0.016258;0.003153;0.013954;0.011197;0.013123;0.043240;0.001227;0.024358;0.058195;0.002889;0.000019;0.071866;0.004569;0.019109;0.008818;0.009535;0.000038;0.024396;0.001284;0.000019;0.001775;0.002171;0.000321;0.000019
y;0.000038;0.000076;0.015957;0.466715;0.038693;0.001485;0.019308;0.000038;0.290692;0.002932;0.004189;0.001942;0.007388;0.002475;0.011425;0.010473;0.068627;0.028715;0.000190;0.000038;0.001904;0.006322;0.000229;0.000152;0.000114;0.000533;0.000800;0.000038;0.000038;0.009902;0.005674;0.002780;0.000114
o;0.000012;0.001769;0.012349;0.143654;0.005198;0.010702;0.100467;0.001586;0.020513;0.136064;0.042418;0.027603;0.011886;0.050691;0.041588;0.010653;0.016974;0.024772;0.084140;0.000012;0.003234;0.029617;0.178005;0.012044;0.012386;0.000232;0.018732;0.000818;0.000390;0.000927;0.000403;0.000146;0.000012
n;0.000014;0.000948;0.032311;0.205747;0.063286;0.004583;0.000345;0.011034;0.065426;0.007744;0.000172;0.005761;0.030630;0.001753;0.117535;0.001020;0.026780;0.047224;0.004382;0.000374;0.026306;0.000402;0.004511;0.126686;0.020688;0.000244;0.188334;0.000718;0.000675;0.002155;0.001580;0.000603;0.000029
