smoothed;2
(;h;e;l;o; ;i;m;d;n;g;r;a;t;);y;u;k;c;p;s;f;b;v;w;z;q;j;x;,;.;?;#
c;0.000022;0.114089;0.118720;0.024343;0.181280;0.023783;0.059414;0.000022;0.000776;0.000345;0.000022;0.033262;0.226153;0.100625;0.006678;0.006290;0.035588;0.047178;0.011568;0.000259;0.008983;0.000022;0.000043;0.000043;0.000086;0.000022;0.000215;0.000022;0.000065;0.000022;0.000022;0.000022;0.000022
p;0.000029;0.030064;0.249821;0.172112;0.119055;0.064624;0.041231;0.000945;0.000487;0.000115;0.000200;0.124152;0.069349;0.020787;0.009621;0.003465;0.032384;0.000172;0.000515;0.045870;0.013686;0.000200;0.000172;0.000200;0.000172;0.000029;0.000029;0.000029;0.000029;0.000057;0.000286;0.000057;0.000057
s;0.000008;0.023843;0.103625;0.006859;0.104293;0.356906;0.043951;0.007009;0.000242;0.009958;0.000468;0.000501;0.049406;0.132455;0.055446;0.003910;0.030526;0.005071;0.011011;0.013960;0.035321;0.000852;0.000259;0.000058;0.002982;0.000017;0.000317;0.000276;0.000008;0.000042;0.000359;0.000050;0.000008
f;0.000030;0.000121;0.096220;0.010309;0.146802;0.366492;0.089950;0.000090;0.000452;0.000060;0.000392;0.055194;0.049436;0.018930;0.060077;0.006391;0.030235;0.000060;0.000181;0.000121;0.003105;0.063996;0.000723;0.000030;0.000271;0.000030;0.000030;0.000060;0.000030;0.000030;0.000090;0.000030;0.000030
b;0.000031;0.000217;0.330865;0.118314;0.143942;0.010319;0.043911;0.000279;0.000124;0.000341;0.000155;0.028819;0.099256;0.002665;0.001611;0.026774;0.159715;0.000031;0.000279;0.000093;0.016548;0.000031;0.002324;0.007282;0.000062;0.000031;0.000031;0.005764;0.000031;0.000031;0.000031;0.000031;0.000062
v;0.000049;0.000049;0.767929;0.000099;0.032418;0.001980;0.150260;0.000049;0.000049;0.000049;0.000049;0.000099;0.042861;0.000099;0.000495;0.001089;0.000544;0.000049;0.000049;0.000495;0.000445;0.000049;0.000049;0.000198;0.000049;0.000049;0.000049;0.000049;0.000049;0.000099;0.000049;0.000049;0.000049
w;0.000022;0.231134;0.186716;0.002657;0.116149;0.139445;0.093424;0.000154;0.000922;0.016643;0.000066;0.012339;0.166099;0.000417;0.023164;0.000198;0.000176;0.000263;0.000044;0.000329;0.008848;0.000132;0.000220;0.000022;0.000088;0.000022;0.000022;0.000022;0.000022;0.000044;0.000110;0.000066;0.000022
z;0.000714;0.001429;0.428571;0.002143;0.037143;0.177857;0.115714;0.002143;0.000714;0.002143;0.000714;0.000714;0.074286;0.001429;0.030000;0.097143;0.005714;0.000714;0.000714;0.000714;0.000714;0.000714;0.000714;0.000714;0.001429;0.009286;0.000714;0.000714;0.000714;0.000714;0.000714;0.000714;0.001429
q;0.000735;0.000735;0.001471;0.000735;0.000735;0.025000;0.002941;0.001471;0.000735;0.000735;0.000735;0.001471;0.004412;0.000735;0.001471;0.000735;0.938235;0.000735;0.002941;0.000735;0.002941;0.000735;0.000735;0.000735;0.001471;0.000735;0.000735;0.000735;0.000735;0.000735;0.000735;0.000735;0.000735
j;0.000201;0.000403;0.088455;0.000201;0.102156;0.001612;0.005440;0.000403;0.000201;0.000201;0.000201;0.000201;0.029216;0.000201;0.000403;0.000201;0.756800;0.000403;0.000201;0.001007;0.000604;0.002619;0.000403;0.000201;0.006448;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201;0.000201
x;0.000307;0.003684;0.035616;0.000307;0.005834;0.116979;0.186061;0.002149;0.000307;0.000921;0.000614;0.000307;0.138778;0.155051;0.027326;0.007369;0.054037;0.000614;0.048204;0.207246;0.000614;0.000614;0.000614;0.000307;0.000921;0.000307;0.001228;0.000307;0.002149;0.000307;0.000307;0.000307;0.000307
,;0.004484;0.004484;0.004484;0.004484;0.004484;0.784753;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.076233;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484
.;0.003425;0.003425;0.003425;0.003425;0.003425;0.678082;0.003425;0.044521;0.003425;0.003425;0.003425;0.003425;0.003425;0.010274;0.071918;0.003425;0.003425;0.003425;0.003425;0.003425;0.095890;0.006849;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425;0.003425
?;0.014493;0.014493;0.014493;0.014493;0.014493;0.188406;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.362319;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493;0.014493
#;0.024390;0.024390;0.024390;0.024390;0.024390;0.097561;0.024390;0.024390;0.024390;0.048780;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.048780;0.024390;0.048780;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
