smoothed;3
(;a;l;r;i;g;h;t; ;j;m;c;e;y;s;n;);o;k;v;b;f;w;u;d;p;#
(#;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.176471;0.029412;0.029412;0.029412
a(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
aa;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333
al;0.000206;0.009494;0.406811;0.014654;0.054283;0.000826;0.000206;0.033437;0.221465;0.000206;0.009494;0.001651;0.017957;0.002477;0.053664;0.000206;0.011558;0.010114;0.061094;0.000826;0.014654;0.005986;0.030753;0.005573;0.030753;0.001445;0.000206
ar;0.000214;0.028278;0.019494;0.028706;0.048629;0.023350;0.000428;0.147386;0.100686;0.000428;0.014996;0.012639;0.287275;0.037704;0.070480;0.047772;0.010711;0.022279;0.016067;0.003428;0.006641;0.001500;0.000428;0.000214;0.067266;0.002356;0.000643
ai;0.000645;0.000645;0.075484;0.085161;0.007742;0.034839;0.000645;0.045161;0.001290;0.000645;0.013548;0.000645;0.000645;0.000645;0.016129;0.314194;0.000645;0.000645;0.000645;0.001935;0.000645;0.000645;0.000645;0.000645;0.394194;0.000645;0.000645
ag;0.001032;0.211558;0.002064;0.105263;0.057792;0.021672;0.004128;0.001032;0.100103;0.001032;0.003096;0.001032;0.348813;0.001032;0.008256;0.008256;0.010320;0.095975;0.001032;0.001032;0.001032;0.001032;0.001032;0.009288;0.001032;0.001032;0.001032
ah;0.001942;0.019417;0.015534;0.001942;0.001942;0.001942;0.001942;0.001942;0.679612;0.001942;0.001942;0.001942;0.038835;0.001942;0.003883;0.001942;0.194175;0.003883;0.001942;0.001942;0.001942;0.001942;0.001942;0.007767;0.001942;0.001942;0.001942
at;0.000121;0.003502;0.001087;0.002173;0.103719;0.000121;0.023424;0.022217;0.541657;0.000121;0.001328;0.026081;0.138976;0.000121;0.096716;0.000362;0.022458;0.009418;0.000121;0.000121;0.000121;0.001087;0.000121;0.004468;0.000121;0.000121;0.000121
a ;0.000213;0.042413;0.094203;0.043478;0.021313;0.051790;0.034101;0.085465;0.000213;0.010230;0.041986;0.069054;0.003410;0.011296;0.067988;0.029838;0.000213;0.013640;0.006820;0.033674;0.072251;0.044544;0.060955;0.003410;0.061168;0.093350;0.002984
aj;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.046154;0.015385;0.015385;0.015385;0.015385;0.553846;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
am;0.000680;0.189116;0.000680;0.000680;0.113605;0.000680;0.000680;0.000680;0.111565;0.000680;0.008844;0.000680;0.394558;0.001361;0.020408;0.006122;0.012245;0.034694;0.000680;0.000680;0.006122;0.000680;0.002721;0.002721;0.000680;0.087075;0.000680
ac;0.000500;0.007000;0.002000;0.017500;0.030500;0.000500;0.077000;0.285500;0.002500;0.000500;0.000500;0.055000;0.144500;0.026500;0.000500;0.000500;0.001000;0.004000;0.336500;0.000500;0.000500;0.000500;0.000500;0.003000;0.000500;0.000500;0.001500
ae;0.011364;0.011364;0.522727;0.022727;0.011364;0.022727;0.011364;0.011364;0.034091;0.011364;0.011364;0.011364;0.011364;0.011364;0.056818;0.011364;0.011364;0.022727;0.022727;0.011364;0.011364;0.011364;0.011364;0.011364;0.068182;0.022727;0.011364
ay;0.000411;0.000411;0.002056;0.000822;0.083470;0.000411;0.000822;0.000411;0.543997;0.000411;0.001645;0.000822;0.047286;0.000411;0.148438;0.001234;0.099918;0.002467;0.000411;0.000411;0.059211;0.000411;0.000411;0.000411;0.000411;0.002467;0.000411
as;0.000237;0.000474;0.000474;0.000237;0.027955;0.000237;0.054963;0.085051;0.565506;0.000237;0.001185;0.002843;0.053542;0.006633;0.089789;0.011846;0.030561;0.034589;0.024876;0.000237;0.000474;0.000237;0.000237;0.005686;0.000237;0.001421;0.000237
an;0.000094;0.007394;0.000187;0.000094;0.024427;0.020590;0.000187;0.081048;0.200749;0.000094;0.000094;0.020402;0.006645;0.044923;0.043332;0.010014;0.011044;0.008610;0.013851;0.000094;0.000094;0.000562;0.000374;0.000749;0.502948;0.000094;0.001310
a);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ao;0.029412;0.029412;0.029412;0.147059;0.029412;0.029412;0.029412;0.058824;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
ak;0.001477;0.007386;0.001477;0.001477;0.155096;0.001477;0.001477;0.002954;0.064993;0.001477;0.001477;0.001477;0.692762;0.002954;0.025111;0.004431;0.004431;0.002954;0.001477;0.001477;0.002954;0.008863;0.001477;0.002954;0.002954;0.001477;0.001477
av;0.000637;0.021642;0.000637;0.000637;0.080204;0.000637;0.000637;0.000637;0.000637;0.000637;0.000637;0.000637;0.813495;0.005092;0.000637;0.000637;0.000637;0.064927;0.000637;0.001273;0.000637;0.000637;0.000637;0.000637;0.000637;0.000637;0.000637
ab;0.000708;0.017693;0.178344;0.007785;0.045294;0.000708;0.001415;0.000708;0.013447;0.000708;0.000708;0.000708;0.011323;0.017693;0.041047;0.000708;0.000708;0.634112;0.000708;0.000708;0.014154;0.000708;0.000708;0.007077;0.000708;0.000708;0.000708
af;0.003690;0.007380;0.007380;0.114391;0.022140;0.025830;0.003690;0.476015;0.011070;0.003690;0.003690;0.003690;0.055351;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.003690;0.214022;0.003690;0.003690;0.003690;0.003690;0.003690
aw;0.002688;0.422043;0.013441;0.002688;0.010753;0.002688;0.010753;0.002688;0.295699;0.002688;0.002688;0.002688;0.024194;0.064516;0.048387;0.016129;0.021505;0.002688;0.016129;0.002688;0.005376;0.013441;0.002688;0.002688;0.002688;0.002688;0.002688
au;0.001130;0.001130;0.044068;0.024859;0.001130;0.057627;0.001130;0.068927;0.007910;0.001130;0.004520;0.005650;0.004520;0.001130;0.707345;0.012429;0.001130;0.001130;0.003390;0.001130;0.004520;0.001130;0.001130;0.001130;0.037288;0.001130;0.002260
ad;0.000636;0.019708;0.015893;0.001907;0.047044;0.001271;0.000636;0.000636;0.412587;0.003814;0.090273;0.000636;0.149396;0.060394;0.013350;0.006993;0.031151;0.008900;0.000636;0.035601;0.000636;0.000636;0.002543;0.013350;0.080102;0.000636;0.000636
ap;0.001389;0.066667;0.002778;0.006944;0.029167;0.001389;0.030556;0.020833;0.050000;0.001389;0.002778;0.001389;0.133333;0.005556;0.016667;0.001389;0.002778;0.063889;0.001389;0.001389;0.001389;0.001389;0.001389;0.001389;0.001389;0.550000;0.001389
a#;0.002101;0.008403;0.002101;0.002101;0.121849;0.002101;0.002101;0.002101;0.170168;0.002101;0.002101;0.002101;0.052521;0.149160;0.004202;0.002101;0.021008;0.287815;0.002101;0.002101;0.002101;0.002101;0.002101;0.004202;0.002101;0.144958;0.002101
l(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
la;0.000542;0.000542;0.000542;0.168472;0.038462;0.010834;0.003250;0.095883;0.009751;0.000542;0.029794;0.116468;0.000542;0.046046;0.242687;0.086674;0.002167;0.000542;0.003792;0.008667;0.020585;0.001083;0.049296;0.023835;0.022210;0.004875;0.011918
ll;0.000252;0.086420;0.000252;0.000252;0.072562;0.000252;0.000252;0.000252;0.472411;0.000252;0.000252;0.000252;0.072058;0.214160;0.022424;0.001008;0.022928;0.023180;0.000252;0.000252;0.000756;0.000252;0.000252;0.007307;0.000504;0.000756;0.000252
lr;0.010101;0.010101;0.010101;0.010101;0.070707;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.646465;0.010101;0.010101;0.010101;0.010101;0.030303;0.010101;0.010101;0.010101;0.010101;0.010101;0.020202;0.010101;0.010101;0.010101
li;0.000273;0.016626;0.000545;0.000273;0.000273;0.023712;0.000545;0.132189;0.000818;0.000273;0.020442;0.122104;0.066776;0.000273;0.062142;0.109294;0.000273;0.027800;0.235487;0.058872;0.025620;0.068956;0.000273;0.000545;0.003543;0.005179;0.016898
lg;0.026316;0.315789;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
lh;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
lt;0.002564;0.017949;0.002564;0.017949;0.061538;0.002564;0.197436;0.002564;0.233333;0.002564;0.002564;0.002564;0.215385;0.041026;0.028205;0.002564;0.025641;0.012821;0.002564;0.002564;0.002564;0.002564;0.002564;0.107692;0.002564;0.002564;0.002564
l ;0.000285;0.087279;0.027667;0.031945;0.096691;0.023388;0.056760;0.166857;0.000285;0.006560;0.043639;0.047062;0.017684;0.028523;0.058471;0.018540;0.000285;0.056475;0.007986;0.006560;0.046207;0.028808;0.059612;0.008272;0.028237;0.041643;0.004278
lj;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
lm;0.011364;0.090909;0.022727;0.011364;0.079545;0.011364;0.011364;0.011364;0.159091;0.011364;0.022727;0.011364;0.045455;0.011364;0.011364;0.011364;0.011364;0.352273;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
lc;0.008197;0.049180;0.008197;0.008197;0.008197;0.008197;0.024590;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.008197;0.704918;0.008197;0.008197;0.008197;0.008197;0.008197;0.032787;0.008197;0.008197;0.008197
le;0.000266;0.123868;0.000799;0.024774;0.001598;0.030900;0.000266;0.063932;0.446723;0.000266;0.038359;0.046617;0.005860;0.005860;0.053010;0.031167;0.026105;0.000799;0.000266;0.022110;0.006127;0.013852;0.001598;0.000266;0.047682;0.002397;0.004529
ly;0.000541;0.000541;0.000541;0.002162;0.014595;0.000541;0.000541;0.000541;0.903243;0.000541;0.004324;0.000541;0.000541;0.000541;0.006486;0.005405;0.041622;0.000541;0.000541;0.000541;0.000541;0.000541;0.009730;0.000541;0.001081;0.001081;0.001622
ls;0.001835;0.001835;0.001835;0.001835;0.007339;0.001835;0.036697;0.001835;0.462385;0.001835;0.001835;0.001835;0.124771;0.001835;0.001835;0.001835;0.040367;0.286239;0.001835;0.001835;0.001835;0.001835;0.001835;0.001835;0.005505;0.001835;0.001835
ln;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.240000;0.020000;0.020000;0.020000;0.200000;0.020000;0.020000;0.020000;0.080000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000;0.020000
l);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
lo;0.000566;0.005096;0.001133;0.027180;0.002265;0.053794;0.001133;0.143262;0.005663;0.000566;0.005096;0.101359;0.000566;0.013590;0.147792;0.090034;0.002265;0.154020;0.000566;0.097395;0.018686;0.000566;0.092865;0.019253;0.002265;0.011891;0.001133
lk;0.002890;0.002890;0.002890;0.002890;0.387283;0.002890;0.002890;0.002890;0.355491;0.002890;0.002890;0.002890;0.092486;0.002890;0.086705;0.002890;0.014451;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890;0.002890
lv;0.003937;0.562992;0.003937;0.003937;0.023622;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.318898;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937;0.003937
lb;0.009434;0.009434;0.009434;0.009434;0.018868;0.009434;0.009434;0.009434;0.018868;0.009434;0.009434;0.009434;0.018868;0.018868;0.009434;0.009434;0.018868;0.037736;0.009434;0.009434;0.009434;0.009434;0.009434;0.679245;0.009434;0.009434;0.009434
lf;0.006579;0.013158;0.006579;0.039474;0.013158;0.006579;0.006579;0.013158;0.671053;0.006579;0.006579;0.006579;0.013158;0.006579;0.006579;0.006579;0.085526;0.006579;0.006579;0.006579;0.006579;0.006579;0.019737;0.013158;0.006579;0.006579;0.006579
lw;0.005650;0.853107;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650;0.005650
lu;0.003367;0.013468;0.003367;0.063973;0.010101;0.016835;0.003367;0.249158;0.010101;0.003367;0.067340;0.074074;0.144781;0.003367;0.097643;0.043771;0.006734;0.003367;0.003367;0.003367;0.060606;0.003367;0.003367;0.003367;0.090909;0.003367;0.010101
ld;0.000702;0.000702;0.000702;0.021053;0.032982;0.000702;0.002105;0.000702;0.795789;0.000702;0.000702;0.000702;0.025965;0.000702;0.018246;0.069474;0.016842;0.002105;0.000702;0.000702;0.001404;0.001404;0.002105;0.000702;0.000702;0.000702;0.000702
lp;0.010638;0.010638;0.021277;0.031915;0.127660;0.010638;0.053191;0.021277;0.329787;0.010638;0.010638;0.010638;0.106383;0.010638;0.063830;0.010638;0.031915;0.021277;0.010638;0.010638;0.010638;0.021277;0.010638;0.010638;0.010638;0.010638;0.010638
l#;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
r(;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ra;0.000449;0.000449;0.111461;0.008539;0.052584;0.067865;0.011236;0.262022;0.019326;0.000899;0.024270;0.092135;0.008090;0.015730;0.028764;0.113258;0.003596;0.002247;0.000449;0.016629;0.027416;0.005393;0.007640;0.006742;0.044045;0.028764;0.040000
rl;0.003460;0.024221;0.003460;0.003460;0.110727;0.003460;0.003460;0.006920;0.062284;0.003460;0.003460;0.003460;0.038062;0.217993;0.072664;0.003460;0.010381;0.020761;0.003460;0.003460;0.003460;0.020761;0.003460;0.003460;0.359862;0.003460;0.003460
rr;0.001919;0.040307;0.001919;0.001919;0.287908;0.001919;0.001919;0.001919;0.005758;0.001919;0.001919;0.001919;0.220729;0.214971;0.001919;0.001919;0.001919;0.166987;0.001919;0.001919;0.001919;0.001919;0.001919;0.024952;0.001919;0.001919;0.001919
ri;0.000287;0.022929;0.008598;0.000287;0.000287;0.176842;0.000287;0.090857;0.001146;0.002006;0.082832;0.116939;0.174262;0.000287;0.047291;0.125824;0.000287;0.026655;0.003153;0.026082;0.025222;0.009458;0.000287;0.000287;0.038406;0.012898;0.006306
rg;0.002591;0.098446;0.002591;0.007772;0.295337;0.002591;0.002591;0.002591;0.031088;0.002591;0.002591;0.002591;0.344560;0.031088;0.002591;0.002591;0.005181;0.038860;0.002591;0.002591;0.002591;0.002591;0.002591;0.101036;0.002591;0.002591;0.002591
rh;0.018519;0.148148;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.314815;0.074074;0.018519;0.018519;0.018519;0.037037;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519;0.018519
rt;0.000660;0.095050;0.003300;0.002640;0.118152;0.001320;0.070627;0.000660;0.240264;0.000660;0.016502;0.000660;0.085149;0.184158;0.049505;0.048845;0.025743;0.009901;0.000660;0.000660;0.001980;0.001320;0.000660;0.038944;0.000660;0.000660;0.000660
r ;0.000139;0.113677;0.019758;0.021149;0.060804;0.027411;0.053986;0.148045;0.000139;0.007514;0.032698;0.032281;0.018645;0.048282;0.061083;0.019340;0.000139;0.048977;0.006261;0.006400;0.041185;0.039377;0.077223;0.006679;0.056630;0.050230;0.001948
rj;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.222222;0.027778;0.027778;0.027778
rm;0.002639;0.213720;0.007916;0.002639;0.108179;0.002639;0.002639;0.002639;0.226913;0.002639;0.002639;0.002639;0.102902;0.102902;0.147757;0.002639;0.010554;0.023747;0.002639;0.002639;0.002639;0.005277;0.002639;0.007916;0.002639;0.002639;0.002639
rc;0.003322;0.016611;0.019934;0.003322;0.076412;0.003322;0.182724;0.006645;0.006645;0.003322;0.003322;0.003322;0.558140;0.009967;0.003322;0.003322;0.003322;0.019934;0.006645;0.003322;0.003322;0.003322;0.003322;0.043189;0.003322;0.003322;0.003322
re;0.000106;0.141604;0.012258;0.000317;0.002748;0.006975;0.000740;0.014689;0.427771;0.000845;0.024305;0.020818;0.037198;0.001374;0.138223;0.038149;0.020924;0.001057;0.000211;0.013949;0.001162;0.008031;0.004121;0.000211;0.037726;0.042481;0.002008
ry;0.000567;0.015864;0.001700;0.000567;0.087819;0.000567;0.000567;0.043626;0.669688;0.000567;0.002833;0.000567;0.001700;0.000567;0.005666;0.000567;0.075921;0.020963;0.000567;0.000567;0.056657;0.000567;0.005099;0.000567;0.003966;0.001133;0.000567
rs;0.000493;0.016774;0.000493;0.000493;0.019734;0.000493;0.015787;0.130735;0.510607;0.000493;0.000493;0.001480;0.092748;0.001973;0.000493;0.000493;0.104095;0.088308;0.000493;0.000493;0.000987;0.000493;0.000493;0.004440;0.001973;0.003947;0.000493
rn;0.001376;0.060523;0.001376;0.001376;0.207703;0.001376;0.001376;0.001376;0.359010;0.001376;0.093535;0.002751;0.188446;0.004127;0.026135;0.001376;0.005502;0.028886;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376;0.001376
r);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
ro;0.000403;0.019331;0.028192;0.018526;0.004430;0.024970;0.000403;0.062424;0.014499;0.004430;0.291180;0.015304;0.003625;0.016110;0.041482;0.070077;0.001611;0.031011;0.009263;0.020137;0.074909;0.010471;0.052356;0.123641;0.016915;0.043496;0.000805
rk;0.002525;0.005051;0.005051;0.002525;0.133838;0.002525;0.002525;0.002525;0.436869;0.002525;0.002525;0.002525;0.224747;0.002525;0.070707;0.002525;0.065657;0.002525;0.002525;0.002525;0.002525;0.007576;0.002525;0.002525;0.002525;0.005051;0.002525
