smoothed;3
(;m;u;s;i;c;);w;e;l;o; ;y;d;g;a;n;k;z;b;t;h;r;f;p;v;q;j;x;.;,;#
((;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
(m;0.000891;0.035651;0.103387;0.000891;0.103387;0.003565;0.000891;0.000891;0.226381;0.000891;0.172014;0.000891;0.095365;0.000891;0.000891;0.236185;0.000891;0.000891;0.000891;0.000891;0.000891;0.000891;0.003565;0.000891;0.000891;0.000891;0.000891;0.000891;0.000891;0.000891;0.000891;0.000891
(u;0.003067;0.171779;0.003067;0.147239;0.003067;0.006135;0.003067;0.003067;0.003067;0.012270;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.294479;0.003067;0.003067;0.003067;0.009202;0.113497;0.006135;0.003067;0.168712;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067
(s;0.000493;0.015771;0.068014;0.000493;0.039428;0.031050;0.000493;0.009857;0.096106;0.011828;0.299655;0.004436;0.002957;0.000493;0.000493;0.083292;0.003450;0.003943;0.000493;0.000493;0.147856;0.128142;0.000493;0.000493;0.043864;0.000493;0.002957;0.000493;0.000493;0.000493;0.000493;0.000493
(i;0.000392;0.103408;0.000392;0.082648;0.000783;0.001175;0.002742;0.000392;0.000392;0.014101;0.000392;0.285938;0.000392;0.007834;0.000392;0.001958;0.138269;0.000392;0.000392;0.000392;0.302781;0.000392;0.001958;0.027027;0.000783;0.021543;0.000392;0.000392;0.000392;0.000392;0.000783;0.000392
(c;0.000966;0.001932;0.040580;0.000966;0.008696;0.000966;0.001932;0.000966;0.024155;0.060870;0.417391;0.000966;0.004831;0.002899;0.000966;0.210628;0.000966;0.001932;0.000966;0.000966;0.000966;0.116908;0.087923;0.000966;0.001932;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966
();0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
(w;0.000462;0.000462;0.000462;0.000462;0.086836;0.000462;0.000462;0.000462;0.266975;0.000462;0.090993;0.000462;0.000462;0.000462;0.000462;0.259122;0.000462;0.000462;0.000462;0.000462;0.000462;0.269746;0.014319;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462;0.000462
(e;0.001441;0.014409;0.005764;0.028818;0.024496;0.002882;0.001441;0.001441;0.004323;0.066282;0.001441;0.028818;0.011527;0.021614;0.001441;0.034582;0.105187;0.001441;0.001441;0.001441;0.015850;0.001441;0.007205;0.018732;0.024496;0.332853;0.010086;0.001441;0.223343;0.001441;0.001441;0.001441
(l;0.000711;0.000711;0.010661;0.000711;0.633973;0.000711;0.000711;0.000711;0.103767;0.000711;0.159915;0.000711;0.001421;0.000711;0.000711;0.071073;0.000711;0.000711;0.000711;0.000711;0.000711;0.000711;0.000711;0.000711;0.001421;0.000711;0.000711;0.000711;0.000711;0.000711;0.000711;0.000711
