smoothed;3
(;m;u;s;i;c;);w;e;l;o; ;y;d;g;a;n;k;z;b;t;h;r;f;p;v;q;j;x;.;,;#
(o;0.001006;0.002012;0.102616;0.002012;0.001006;0.004024;0.001006;0.008048;0.001006;0.022133;0.001006;0.001006;0.001006;0.002012;0.001006;0.001006;0.228370;0.089537;0.001006;0.021127;0.031187;0.107646;0.076459;0.208249;0.040241;0.038229;0.001006;0.001006;0.001006;0.001006;0.001006;0.001006
( ;0.004202;0.050420;0.033613;0.075630;0.096639;0.042017;0.004202;0.037815;0.021008;0.033613;0.050420;0.042017;0.063025;0.037815;0.021008;0.088235;0.016807;0.008403;0.004202;0.037815;0.084034;0.050420;0.025210;0.008403;0.029412;0.004202;0.004202;0.008403;0.004202;0.004202;0.004202;0.004202
(y;0.000635;0.000635;0.000635;0.000635;0.001271;0.000635;0.000635;0.000635;0.348158;0.000635;0.627065;0.000635;0.000635;0.000635;0.000635;0.005718;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635;0.000635
(d;0.000926;0.001852;0.036111;0.000926;0.214815;0.000926;0.000926;0.000926;0.151852;0.000926;0.411111;0.001852;0.006481;0.000926;0.000926;0.100000;0.000926;0.000926;0.000926;0.000926;0.000926;0.000926;0.053704;0.000926;0.000926;0.001852;0.000926;0.000926;0.000926;0.000926;0.000926;0.000926
(g;0.001182;0.001182;0.143026;0.001182;0.043735;0.001182;0.001182;0.001182;0.184397;0.007092;0.397163;0.003546;0.001182;0.001182;0.001182;0.068558;0.001182;0.001182;0.001182;0.001182;0.001182;0.004728;0.118203;0.001182;0.003546;0.001182;0.001182;0.001182;0.001182;0.001182;0.001182;0.001182
(a;0.000445;0.018238;0.009342;0.032028;0.003559;0.052936;0.000890;0.009786;0.000890;0.109875;0.000445;0.110320;0.000445;0.011121;0.016459;0.000445;0.400356;0.000445;0.000445;0.077847;0.036477;0.004448;0.058719;0.014235;0.022242;0.004448;0.000445;0.000445;0.000890;0.000445;0.000445;0.000445
(n;0.001724;0.001724;0.032759;0.001724;0.053448;0.001724;0.001724;0.001724;0.224138;0.001724;0.577586;0.001724;0.003448;0.001724;0.001724;0.060345;0.001724;0.001724;0.001724;0.001724;0.001724;0.001724;0.001724;0.005172;0.001724;0.001724;0.001724;0.001724;0.001724;0.001724;0.001724;0.001724
(k;0.002410;0.002410;0.002410;0.002410;0.236145;0.002410;0.002410;0.002410;0.060241;0.009639;0.012048;0.002410;0.009639;0.002410;0.002410;0.016867;0.587952;0.002410;0.002410;0.002410;0.002410;0.007229;0.004819;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410;0.002410
(z;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390;0.121951;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.073171;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390
(b;0.000779;0.001559;0.269680;0.000779;0.045986;0.000779;0.000779;0.000779;0.390491;0.031177;0.060016;0.001559;0.019486;0.000779;0.000779;0.106781;0.000779;0.000779;0.000779;0.000779;0.000779;0.000779;0.056118;0.000779;0.000779;0.000779;0.000779;0.000779;0.000779;0.000779;0.000779;0.000779
(t;0.000248;0.000248;0.005700;0.000496;0.024287;0.000248;0.000248;0.013135;0.021314;0.000991;0.112268;0.000248;0.001487;0.000248;0.000248;0.034944;0.000248;0.000248;0.000248;0.005452;0.000248;0.738786;0.035440;0.000248;0.000248;0.000991;0.000248;0.000248;0.000248;0.000248;0.000248;0.000248
(h;0.000768;0.006912;0.038402;0.001536;0.104455;0.000768;0.000768;0.000768;0.372504;0.000768;0.153610;0.005376;0.005376;0.000768;0.000768;0.291859;0.000768;0.000768;0.000768;0.000768;0.000768;0.003072;0.000768;0.000768;0.000768;0.000768;0.000768;0.000768;0.000768;0.000768;0.000768;0.000768
(r;0.001437;0.001437;0.020115;0.001437;0.260057;0.001437;0.001437;0.001437;0.577586;0.001437;0.054598;0.002874;0.004310;0.001437;0.001437;0.040230;0.001437;0.001437;0.001437;0.001437;0.001437;0.005747;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437;0.001437
(f;0.001272;0.001272;0.061069;0.001272;0.189567;0.001272;0.001272;0.001272;0.109415;0.036896;0.272265;0.002545;0.001272;0.001272;0.001272;0.124682;0.001272;0.001272;0.001272;0.002545;0.002545;0.001272;0.170483;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272;0.001272
(p;0.001028;0.001028;0.059609;0.017472;0.029805;0.002055;0.001028;0.001028;0.236382;0.103803;0.128469;0.002055;0.001028;0.001028;0.001028;0.125385;0.001028;0.001028;0.001028;0.001028;0.001028;0.029805;0.242549;0.001028;0.001028;0.001028;0.001028;0.001028;0.001028;0.002055;0.001028;0.001028
(v;0.004484;0.008969;0.017937;0.017937;0.461883;0.004484;0.004484;0.004484;0.282511;0.008969;0.035874;0.004484;0.004484;0.004484;0.004484;0.058296;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484;0.004484
(q;0.011905;0.011905;0.630952;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905;0.011905
(j;0.002632;0.002632;0.676316;0.002632;0.010526;0.002632;0.002632;0.002632;0.039474;0.002632;0.150000;0.002632;0.002632;0.002632;0.002632;0.052632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632;0.002632
(x;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
(.;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.162162;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
(,;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.184211;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
m(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
mm;0.001675;0.075377;0.063652;0.001675;0.050251;0.001675;0.058626;0.001675;0.209380;0.001675;0.048576;0.221106;0.033501;0.001675;0.001675;0.025126;0.001675;0.001675;0.001675;0.001675;0.001675;0.164154;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.010050;0.005025;0.003350
mu;0.001618;0.004854;0.001618;0.283172;0.001618;0.491909;0.001618;0.001618;0.012945;0.033981;0.001618;0.001618;0.001618;0.009709;0.006472;0.001618;0.063107;0.003236;0.001618;0.001618;0.022654;0.001618;0.032362;0.001618;0.003236;0.001618;0.001618;0.001618;0.001618;0.001618;0.001618;0.001618
ms;0.003322;0.003322;0.013289;0.003322;0.003322;0.003322;0.079734;0.003322;0.166113;0.003322;0.003322;0.624585;0.003322;0.003322;0.003322;0.006645;0.003322;0.003322;0.003322;0.003322;0.016611;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.003322;0.009967;0.003322
mi;0.000845;0.003381;0.003381;0.109045;0.000845;0.059172;0.002536;0.000845;0.011834;0.192730;0.000845;0.003381;0.000845;0.039730;0.068470;0.005072;0.424345;0.009298;0.005072;0.000845;0.029586;0.000845;0.010144;0.000845;0.000845;0.000845;0.000845;0.000845;0.010144;0.000845;0.000845;0.000845
mc;0.026316;0.026316;0.026316;0.026316;0.026316;0.105263;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.052632;0.026316;0.026316;0.052632;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
m);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
mw;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
me;0.000165;0.031064;0.000330;0.056675;0.000330;0.000661;0.067085;0.004957;0.008427;0.017184;0.023298;0.389293;0.000165;0.041970;0.001487;0.130040;0.075347;0.000330;0.000165;0.015367;0.083774;0.003635;0.037839;0.000165;0.000661;0.000165;0.000165;0.000165;0.002313;0.002974;0.002148;0.001652
ml;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.086957;0.021739;0.021739;0.021739;0.086957;0.021739;0.043478;0.043478;0.021739;0.152174;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739;0.021739
mo;0.000552;0.070679;0.054114;0.131971;0.000552;0.007731;0.002209;0.000552;0.001104;0.006074;0.007178;0.009939;0.000552;0.058531;0.002209;0.001104;0.162893;0.018222;0.001104;0.004417;0.043622;0.000552;0.308669;0.000552;0.000552;0.099393;0.000552;0.001657;0.000552;0.001104;0.000552;0.000552
m ;0.000297;0.021100;0.010996;0.088856;0.097177;0.018722;0.002377;0.047548;0.008618;0.063893;0.049331;0.008618;0.034473;0.021397;0.056166;0.114116;0.060030;0.010104;0.000892;0.035364;0.115007;0.037147;0.020505;0.025557;0.013670;0.007727;0.000297;0.028232;0.000297;0.000594;0.000594;0.000297
my;0.000787;0.000787;0.000787;0.056693;0.000787;0.000787;0.125984;0.000787;0.001575;0.000787;0.000787;0.783465;0.000787;0.000787;0.000787;0.000787;0.000787;0.000787;0.000787;0.000787;0.011024;0.000787;0.000787;0.000787;0.000787;0.000787;0.000787;0.000787;0.000787;0.000787;0.000787;0.000787
md;0.028571;0.085714;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.057143;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
mg;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ma;0.000423;0.002117;0.002540;0.021169;0.026672;0.019052;0.002964;0.000423;0.000847;0.050804;0.000423;0.017358;0.112616;0.096528;0.037680;0.002964;0.217189;0.207875;0.022439;0.001693;0.066469;0.002540;0.070703;0.000423;0.002540;0.004657;0.000423;0.003387;0.003387;0.000847;0.000423;0.000423
mn;0.008475;0.008475;0.008475;0.050847;0.025424;0.008475;0.127119;0.008475;0.033898;0.008475;0.008475;0.516949;0.008475;0.008475;0.008475;0.016949;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.008475;0.016949;0.008475
mk;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
mz;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.135135;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
mb;0.002415;0.004831;0.014493;0.026570;0.070048;0.002415;0.031401;0.002415;0.560386;0.043478;0.026570;0.079710;0.002415;0.002415;0.002415;0.057971;0.014493;0.002415;0.002415;0.002415;0.002415;0.002415;0.021739;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415;0.002415
mt;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.153846;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
mh;0.007519;0.759398;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.015038;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
mr;0.016949;0.016949;0.016949;0.033898;0.033898;0.016949;0.033898;0.016949;0.016949;0.016949;0.016949;0.084746;0.016949;0.016949;0.016949;0.033898;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.016949;0.338983;0.016949;0.016949
mf;0.014706;0.014706;0.029412;0.014706;0.029412;0.014706;0.014706;0.014706;0.014706;0.014706;0.500000;0.029412;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
mp;0.001675;0.001675;0.061977;0.023451;0.046901;0.001675;0.010050;0.001675;0.125628;0.249581;0.115578;0.046901;0.006700;0.001675;0.001675;0.167504;0.001675;0.003350;0.001675;0.001675;0.033501;0.013400;0.065327;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675
mv;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
mq;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
mj;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
mx;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
m.;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.112903;0.016129;0.016129;0.016129;0.016129;0.370968;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.016129;0.048387;0.016129;0.016129
m,;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.225000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
m#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
u(;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
um;0.001789;0.012522;0.001789;0.016100;0.021467;0.001789;0.112701;0.001789;0.123435;0.001789;0.023256;0.300537;0.001789;0.001789;0.001789;0.046512;0.010733;0.001789;0.001789;0.209302;0.001789;0.001789;0.001789;0.001789;0.084079;0.001789;0.001789;0.001789;0.001789;0.001789;0.003578;0.001789
uu;0.030303;0.060606;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
us;0.000220;0.000220;0.009687;0.003963;0.052400;0.001761;0.021356;0.000220;0.264201;0.023778;0.000220;0.116028;0.003082;0.000220;0.000220;0.018934;0.000661;0.001101;0.000220;0.001321;0.460150;0.013210;0.000220;0.000220;0.003082;0.000220;0.000220;0.000220;0.000220;0.001321;0.000881;0.000220
ui;0.002519;0.002519;0.002519;0.027708;0.002519;0.231738;0.002519;0.002519;0.032746;0.148615;0.002519;0.002519;0.002519;0.037783;0.002519;0.002519;0.143577;0.002519;0.002519;0.002519;0.221662;0.002519;0.025189;0.002519;0.073048;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519;0.002519
uc;0.001149;0.001149;0.001149;0.001149;0.017241;0.033333;0.002299;0.001149;0.102299;0.003448;0.001149;0.002299;0.006897;0.001149;0.001149;0.010345;0.001149;0.214943;0.001149;0.001149;0.093103;0.489655;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149
u);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
uw;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
ue;0.001610;0.001610;0.001610;0.486312;0.001610;0.001610;0.056361;0.001610;0.011272;0.030596;0.001610;0.273752;0.001610;0.030596;0.001610;0.004831;0.041868;0.001610;0.004831;0.001610;0.009662;0.001610;0.011272;0.001610;0.001610;0.001610;0.001610;0.001610;0.001610;0.003221;0.004831;0.001610
ul;0.000541;0.001082;0.002165;0.012446;0.003788;0.000541;0.027597;0.000541;0.020022;0.122835;0.007035;0.125541;0.007576;0.527056;0.001623;0.054113;0.003247;0.002706;0.000541;0.001623;0.067100;0.000541;0.000541;0.001082;0.001623;0.000541;0.000541;0.000541;0.000541;0.001623;0.002165;0.000541
uo;0.022727;0.022727;0.090909;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.204545;0.022727;0.045455;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
u ;0.000194;0.021503;0.004262;0.066447;0.027315;0.072840;0.000194;0.072453;0.018210;0.024022;0.013367;0.001356;0.017241;0.054049;0.105386;0.046687;0.013754;0.219682;0.000387;0.021116;0.064704;0.060635;0.012979;0.025184;0.013561;0.001550;0.000775;0.019179;0.000194;0.000194;0.000387;0.000194
uy;0.001096;0.001096;0.001096;0.557018;0.018640;0.001096;0.071272;0.001096;0.001096;0.001096;0.001096;0.315789;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.001096;0.007675;0.001096;0.001096
ud;0.002028;0.002028;0.004057;0.012170;0.158215;0.002028;0.028398;0.002028;0.417850;0.002028;0.004057;0.101420;0.044625;0.139959;0.044625;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028
ug;0.001032;0.001032;0.006192;0.023736;0.005160;0.002064;0.006192;0.001032;0.073271;0.003096;0.002064;0.041280;0.001032;0.001032;0.024768;0.015480;0.001032;0.001032;0.001032;0.001032;0.001032;0.776058;0.001032;0.001032;0.001032;0.001032;0.001032;0.001032;0.001032;0.001032;0.001032;0.001032
ua;0.001678;0.001678;0.001678;0.010067;0.001678;0.001678;0.001678;0.001678;0.001678;0.773490;0.001678;0.001678;0.001678;0.003356;0.018456;0.001678;0.008389;0.001678;0.001678;0.006711;0.065436;0.001678;0.073826;0.001678;0.001678;0.001678;0.001678;0.001678;0.001678;0.001678;0.001678;0.001678
un;0.000557;0.001115;0.004459;0.020624;0.042921;0.067447;0.016165;0.001115;0.020067;0.012821;0.002787;0.084169;0.000557;0.416945;0.035117;0.015050;0.079153;0.028428;0.000557;0.016165;0.105351;0.006689;0.002230;0.008361;0.005574;0.001115;0.001115;0.000557;0.000557;0.000557;0.001115;0.000557
uk;0.022222;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.155556;0.022222;0.022222;0.111111;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.044444;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222;0.022222
uz;0.005525;0.005525;0.005525;0.005525;0.016575;0.005525;0.110497;0.005525;0.005525;0.005525;0.005525;0.674033;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.044199;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525
ub;0.001890;0.007561;0.001890;0.086957;0.005671;0.005671;0.015123;0.003781;0.502836;0.126654;0.001890;0.092628;0.001890;0.007561;0.003781;0.005671;0.001890;0.001890;0.001890;0.020794;0.034026;0.003781;0.039698;0.001890;0.003781;0.001890;0.001890;0.007561;0.001890;0.001890;0.001890;0.001890
ut;0.000214;0.000855;0.057692;0.012607;0.018803;0.001068;0.101068;0.000214;0.044658;0.000855;0.004915;0.708547;0.001709;0.000641;0.000427;0.003632;0.000427;0.000214;0.000427;0.000214;0.019872;0.013675;0.002350;0.001496;0.000641;0.000214;0.000214;0.000214;0.000214;0.000641;0.000641;0.000641
