smoothed;3
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
hd;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.166667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
hy;0.007353;0.029412;0.007353;0.007353;0.007353;0.066176;0.698529;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.044118;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353;0.007353
hu;0.004785;0.004785;0.043062;0.004785;0.004785;0.143541;0.004785;0.090909;0.004785;0.004785;0.124402;0.023923;0.004785;0.004785;0.114833;0.368421;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785
hk;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
hv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
h#;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
i(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
i);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
it;0.000295;0.009426;0.056554;0.155228;0.129602;0.131075;0.301325;0.001473;0.091311;0.015317;0.000295;0.012371;0.006186;0.000295;0.001473;0.002062;0.000295;0.000295;0.002651;0.000295;0.000589;0.067452;0.012960;0.000295;0.000295;0.000589
ih;0.034483;0.034483;0.034483;0.034483;0.068966;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.103448;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483;0.034483
ii;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
is;0.000258;0.011077;0.083205;0.019578;0.022154;0.030397;0.730036;0.005410;0.023957;0.014941;0.000515;0.011592;0.014168;0.001288;0.001288;0.008243;0.004637;0.000258;0.010819;0.000258;0.001546;0.000515;0.001030;0.002318;0.000258;0.000258
i ;0.000913;0.000913;0.197260;0.073059;0.015525;0.052055;0.000913;0.105936;0.005479;0.073059;0.033790;0.065753;0.012785;0.021918;0.017352;0.013699;0.010959;0.014612;0.022831;0.115068;0.087671;0.002740;0.010046;0.021918;0.003653;0.020091
im;0.000925;0.007401;0.000925;0.000925;0.034228;0.037928;0.342276;0.074931;0.233117;0.098982;0.000925;0.000925;0.009251;0.000925;0.000925;0.000925;0.130435;0.012026;0.000925;0.000925;0.000925;0.000925;0.005550;0.000925;0.000925;0.000925
ie;0.001524;0.009146;0.036585;0.001524;0.001524;0.349085;0.064024;0.001524;0.001524;0.001524;0.004573;0.024390;0.001524;0.030488;0.073171;0.094512;0.001524;0.004573;0.053354;0.079268;0.099085;0.001524;0.003049;0.001524;0.057927;0.001524
ia;0.001745;0.013962;0.090750;0.001745;0.001745;0.045375;0.226876;0.005236;0.003490;0.001745;0.029668;0.001745;0.001745;0.001745;0.029668;0.148342;0.001745;0.015707;0.364747;0.001745;0.001745;0.001745;0.001745;0.001745;0.001745;0.001745
ig;0.000923;0.002770;0.000923;0.476454;0.012927;0.001847;0.115420;0.002770;0.024007;0.087719;0.025854;0.000923;0.001847;0.000923;0.072946;0.144968;0.000923;0.000923;0.000923;0.000923;0.000923;0.000923;0.018467;0.000923;0.000923;0.000923
ic;0.000507;0.004564;0.050203;0.096856;0.043611;0.080122;0.122718;0.000507;0.096856;0.365112;0.000507;0.000507;0.014199;0.000507;0.003550;0.000507;0.000507;0.000507;0.007099;0.000507;0.000507;0.024341;0.024341;0.060345;0.000507;0.000507
io;0.000644;0.004505;0.006435;0.000644;0.000644;0.000644;0.042471;0.000644;0.000644;0.000644;0.001931;0.000644;0.000644;0.000644;0.025740;0.839768;0.000644;0.000644;0.005792;0.005792;0.002574;0.000644;0.054698;0.000644;0.000644;0.000644
if;0.001692;0.003384;0.147208;0.001692;0.116751;0.001692;0.389171;0.001692;0.054146;0.001692;0.001692;0.001692;0.016920;0.194585;0.001692;0.001692;0.001692;0.001692;0.003384;0.001692;0.001692;0.037225;0.010152;0.001692;0.001692;0.001692
ir;0.001406;0.007032;0.080169;0.001406;0.043601;0.170183;0.295359;0.046414;0.167370;0.028129;0.035162;0.022504;0.009845;0.002813;0.008439;0.001406;0.005626;0.001406;0.028129;0.001406;0.033755;0.001406;0.001406;0.002813;0.001406;0.001406
in;0.000138;0.002065;0.064161;0.000688;0.016935;0.019138;0.247556;0.000138;0.036073;0.019000;0.441415;0.016660;0.001928;0.008812;0.000138;0.005094;0.000138;0.000138;0.004819;0.000138;0.049291;0.000275;0.007435;0.039928;0.017486;0.000413
ip;0.005780;0.028902;0.040462;0.005780;0.005780;0.069364;0.497110;0.005780;0.011561;0.121387;0.005780;0.005780;0.005780;0.005780;0.011561;0.005780;0.075145;0.005780;0.040462;0.005780;0.005780;0.005780;0.011561;0.005780;0.005780;0.005780
ib;0.007143;0.007143;0.007143;0.007143;0.171429;0.014286;0.007143;0.007143;0.128571;0.028571;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.007143;0.385714;0.007143;0.007143;0.007143;0.128571;0.007143;0.007143;0.007143
il;0.001062;0.004246;0.021231;0.001062;0.094480;0.019108;0.076433;0.007431;0.080679;0.018047;0.001062;0.001062;0.003185;0.001062;0.002123;0.001062;0.001062;0.004246;0.549894;0.001062;0.043524;0.059448;0.003185;0.001062;0.002123;0.001062
iw;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
id;0.000722;0.010830;0.015884;0.000722;0.013718;0.012274;0.274368;0.000722;0.531408;0.055596;0.006498;0.000722;0.000722;0.000722;0.000722;0.048375;0.000722;0.000722;0.003610;0.002166;0.010108;0.000722;0.005776;0.000722;0.000722;0.000722
iy;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
iu;0.017544;0.017544;0.017544;0.017544;0.017544;0.105263;0.017544;0.105263;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.385965;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
ik;0.001976;0.001976;0.001976;0.001976;0.003953;0.001976;0.001976;0.001976;0.944664;0.003953;0.001976;0.001976;0.003953;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976;0.001976
iv;0.002028;0.002028;0.002028;0.002028;0.125761;0.002028;0.002028;0.002028;0.776876;0.044625;0.002028;0.002028;0.008114;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028;0.002028
i#;0.004184;0.008368;0.205021;0.004184;0.050209;0.004184;0.175732;0.004184;0.301255;0.096234;0.004184;0.004184;0.062762;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.004184;0.025105;0.004184;0.004184;0.004184
s(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
s);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
st;0.000336;0.010413;0.000336;0.002351;0.170642;0.014108;0.392677;0.001344;0.107155;0.162916;0.000336;0.000336;0.048707;0.000336;0.060799;0.000336;0.000336;0.000672;0.004031;0.000672;0.000336;0.003023;0.016795;0.000336;0.000336;0.000336
sh;0.001289;0.005155;0.001289;0.001289;0.171392;0.001289;0.161082;0.016753;0.221649;0.072165;0.001289;0.002577;0.288660;0.001289;0.001289;0.014175;0.002577;0.001289;0.002577;0.006443;0.001289;0.006443;0.012887;0.001289;0.001289;0.001289
si;0.000666;0.000666;0.061252;0.000666;0.000666;0.030626;0.003995;0.024634;0.013981;0.051265;0.036618;0.043276;0.114514;0.007324;0.000666;0.121838;0.001332;0.030626;0.007989;0.000666;0.362184;0.000666;0.000666;0.000666;0.026631;0.055925
ss;0.001080;0.023758;0.002160;0.001080;0.273218;0.001080;0.399568;0.015119;0.083153;0.059395;0.001080;0.001080;0.017279;0.006479;0.001080;0.001080;0.001080;0.001080;0.004320;0.002160;0.001080;0.007559;0.091793;0.001080;0.001080;0.001080
s ;0.000093;0.000093;0.158671;0.037209;0.095110;0.049921;0.000093;0.026538;0.015310;0.166744;0.023940;0.035724;0.067180;0.025796;0.026631;0.031641;0.030342;0.044910;0.023754;0.075346;0.022919;0.012619;0.006124;0.006959;0.004825;0.011506
sm;0.009346;0.028037;0.009346;0.009346;0.065421;0.018692;0.233645;0.009346;0.121495;0.299065;0.009346;0.009346;0.046729;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.009346;0.018692;0.009346;0.009346;0.009346
se;0.000365;0.013509;0.018985;0.004381;0.001460;0.027382;0.453450;0.005476;0.106973;0.035414;0.002191;0.042716;0.000365;0.000730;0.041256;0.100767;0.004381;0.001095;0.036145;0.001460;0.054765;0.009127;0.001095;0.000365;0.025192;0.010953
sa;0.000966;0.000966;0.052174;0.000966;0.204831;0.010628;0.009662;0.053140;0.000966;0.000966;0.038647;0.010628;0.000966;0.014493;0.024155;0.169082;0.005797;0.002899;0.012560;0.032850;0.007729;0.334300;0.001932;0.001932;0.005797;0.000966
sg;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.071429;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
sc;0.003663;0.003663;0.003663;0.091575;0.065934;0.003663;0.003663;0.003663;0.051282;0.135531;0.003663;0.003663;0.369963;0.003663;0.146520;0.003663;0.003663;0.003663;0.010989;0.003663;0.003663;0.003663;0.062271;0.003663;0.003663;0.003663
so;0.000561;0.012914;0.002807;0.000561;0.000561;0.000561;0.423919;0.252106;0.001123;0.001123;0.000561;0.013476;0.011230;0.001123;0.080292;0.096013;0.002807;0.000561;0.039865;0.000561;0.005615;0.007861;0.040988;0.000561;0.001684;0.000561
sf;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.051282;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.102564;0.153846;0.025641;0.025641;0.025641
sr;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.147059;0.029412;0.029412;0.029412;0.117647;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412
sn;0.006061;0.006061;0.721212;0.006061;0.006061;0.006061;0.006061;0.006061;0.036364;0.036364;0.006061;0.006061;0.066667;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.006061;0.012121;0.006061;0.006061;0.006061
sp;0.002288;0.002288;0.002288;0.009153;0.082380;0.002288;0.004577;0.002288;0.526316;0.057208;0.002288;0.002288;0.231121;0.002288;0.032037;0.002288;0.002288;0.002288;0.006865;0.002288;0.002288;0.004577;0.009153;0.002288;0.002288;0.002288
sb;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.250000;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.055556;0.027778;0.027778;0.027778
sl;0.005525;0.005525;0.005525;0.005525;0.033149;0.005525;0.005525;0.005525;0.138122;0.408840;0.005525;0.005525;0.049724;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.005525;0.254144;0.005525;0.005525;0.005525;0.005525
sw;0.011364;0.011364;0.011364;0.011364;0.113636;0.011364;0.011364;0.011364;0.488636;0.090909;0.011364;0.011364;0.056818;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364;0.011364
sd;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.032787;0.524590;0.016393;0.016393;0.065574;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
sy;0.009009;0.027027;0.009009;0.009009;0.009009;0.180180;0.270270;0.027027;0.009009;0.009009;0.009009;0.054054;0.009009;0.009009;0.135135;0.036036;0.009009;0.009009;0.099099;0.009009;0.009009;0.009009;0.009009;0.018018;0.009009;0.009009
su;0.001669;0.001669;0.001669;0.001669;0.028381;0.106845;0.001669;0.051753;0.121870;0.033389;0.018364;0.048414;0.001669;0.005008;0.237062;0.008347;0.188648;0.063439;0.055092;0.001669;0.013356;0.001669;0.001669;0.001669;0.001669;0.001669
sk;0.007576;0.022727;0.007576;0.007576;0.128788;0.022727;0.272727;0.007576;0.310606;0.037879;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.060606;0.007576;0.007576;0.007576;0.007576
sv;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
s#;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.218750;0.031250;0.031250;0.031250
 (;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 );0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 t;0.000065;0.000065;0.000065;0.677503;0.016482;0.000130;0.000454;0.000065;0.022841;0.035040;0.000065;0.000065;0.172799;0.000065;0.044189;0.000065;0.000065;0.000065;0.000065;0.021024;0.000065;0.002596;0.005580;0.000065;0.000454;0.000065
 h;0.000230;0.000230;0.000230;0.000230;0.144531;0.000230;0.000919;0.000230;0.344439;0.337086;0.000230;0.000230;0.139246;0.000230;0.000230;0.000230;0.000230;0.000230;0.000230;0.000230;0.000230;0.001379;0.028033;0.000230;0.000230;0.000230
 i;0.000150;0.000450;0.190490;0.000150;0.000150;0.224389;0.140093;0.059097;0.000150;0.000150;0.000300;0.001650;0.001350;0.032998;0.002850;0.319934;0.000150;0.000150;0.007500;0.000150;0.011849;0.000150;0.000150;0.000150;0.005250;0.000150
 s;0.000191;0.000191;0.145885;0.081726;0.056330;0.000191;0.002100;0.005919;0.166889;0.135383;0.000191;0.027879;0.239259;0.000191;0.000191;0.003246;0.045828;0.000191;0.009357;0.005728;0.000191;0.007447;0.060913;0.003055;0.000191;0.001337
  ;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
 m;0.000351;0.000351;0.000351;0.000351;0.127107;0.000351;0.004213;0.000702;0.228933;0.260885;0.000351;0.036868;0.231742;0.000351;0.001756;0.000351;0.000351;0.000351;0.000351;0.000351;0.000351;0.042837;0.059340;0.000351;0.000351;0.000351
 e;0.000685;0.000685;0.006849;0.000685;0.066438;0.041781;0.004110;0.029452;0.000685;0.080822;0.002740;0.030137;0.000685;0.021918;0.009589;0.140411;0.008219;0.000685;0.125342;0.000685;0.017808;0.010274;0.004110;0.000685;0.226027;0.168493
 a;0.000102;0.001325;0.039429;0.001528;0.003872;0.056240;0.207641;0.017524;0.000204;0.000102;0.023026;0.028222;0.000102;0.011819;0.078757;0.342944;0.015487;0.074274;0.070708;0.005807;0.014162;0.000102;0.004483;0.000306;0.001630;0.000204
 g;0.000581;0.000581;0.000581;0.001744;0.062791;0.000581;0.002326;0.000581;0.208721;0.037209;0.000581;0.000581;0.494767;0.000581;0.085465;0.000581;0.000581;0.000581;0.009884;0.000581;0.000581;0.001744;0.086047;0.000581;0.000581;0.000581
 c;0.000277;0.001107;0.000277;0.088594;0.021041;0.000277;0.001938;0.000277;0.035714;0.279070;0.000277;0.000554;0.450166;0.000277;0.041528;0.000554;0.000277;0.000277;0.051495;0.000277;0.000277;0.001384;0.023256;0.000277;0.000277;0.000277
 o;0.000188;0.000188;0.035385;0.009411;0.001129;0.000941;0.002447;0.001694;0.000188;0.000376;0.000188;0.003576;0.000188;0.433277;0.082063;0.245248;0.016187;0.018257;0.004329;0.009787;0.001506;0.000188;0.096556;0.008846;0.027480;0.000376
 f;0.000357;0.000357;0.000357;0.000357;0.161256;0.000357;0.019265;0.000357;0.073136;0.124153;0.000357;0.000357;0.397431;0.000357;0.158758;0.000357;0.000357;0.000357;0.025330;0.000357;0.000357;0.000357;0.034249;0.000357;0.000357;0.000357
 r;0.000435;0.000435;0.000435;0.002609;0.100870;0.000435;0.005652;0.000435;0.596522;0.099130;0.000435;0.000435;0.092174;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.000435;0.014348;0.080870;0.000435;0.000435;0.000435
 n;0.000525;0.000525;0.000525;0.000525;0.053515;0.000525;0.005247;0.000525;0.222455;0.076600;0.000525;0.000525;0.499475;0.000525;0.000525;0.000525;0.069780;0.000525;0.000525;0.000525;0.000525;0.000525;0.062959;0.000525;0.000525;0.000525
 p;0.000302;0.000302;0.000302;0.007562;0.024501;0.001512;0.004537;0.002420;0.162734;0.139141;0.000302;0.000302;0.212341;0.001210;0.323049;0.000302;0.000302;0.000302;0.049304;0.000302;0.000302;0.000302;0.067453;0.000302;0.000302;0.000302
 b;0.000274;0.000274;0.000274;0.000274;0.072428;0.000274;0.015912;0.000274;0.411797;0.117421;0.000274;0.000274;0.067215;0.000274;0.047737;0.000274;0.000274;0.000274;0.017558;0.000274;0.000274;0.058162;0.187106;0.000274;0.000274;0.000274
 l;0.000437;0.000437;0.000437;0.000437;0.355177;0.000437;0.004369;0.000437;0.196592;0.131062;0.000437;0.000437;0.296636;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.000437;0.001311;0.006553;0.000437;0.000437;0.000437
 w;0.000168;0.000336;0.000168;0.295917;0.139808;0.000168;0.002689;0.000168;0.245841;0.212065;0.000168;0.000168;0.087548;0.000168;0.012267;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000168;0.000672;0.000168;0.000168;0.000168
 d;0.000383;0.000383;0.000383;0.004981;0.183525;0.000383;0.002682;0.000383;0.270498;0.083908;0.000383;0.004215;0.394636;0.000383;0.031418;0.000383;0.000383;0.000383;0.000383;0.000383;0.000383;0.003065;0.014943;0.000383;0.000383;0.000383
 y;0.000589;0.001179;0.000589;0.000589;0.001179;0.000589;0.000589;0.000589;0.255745;0.004125;0.000589;0.000589;0.725398;0.000589;0.000589;0.000589;0.000589;0.000589;0.000589;0.000589;0.000589;0.000589;0.000589;0.000589;0.000589;0.000589
 u;0.001269;0.001269;0.013959;0.001269;0.001269;0.284264;0.007614;0.001269;0.001269;0.001269;0.005076;0.001269;0.001269;0.001269;0.007614;0.321066;0.323604;0.001269;0.012690;0.001269;0.001269;0.001269;0.001269;0.002538;0.001269;0.001269
 k;0.001311;0.002621;0.001311;0.001311;0.239843;0.001311;0.002621;0.001311;0.173001;0.019659;0.001311;0.001311;0.030144;0.001311;0.002621;0.478375;0.001311;0.001311;0.006553;0.001311;0.001311;0.001311;0.023591;0.001311;0.001311;0.001311
 v;0.001672;0.001672;0.001672;0.001672;0.188963;0.006689;0.015050;0.001672;0.356187;0.063545;0.001672;0.001672;0.334448;0.001672;0.001672;0.001672;0.001672;0.001672;0.003344;0.001672;0.001672;0.001672;0.001672;0.001672;0.001672;0.001672
 #;0.001001;0.003003;0.001001;0.001001;0.013013;0.001001;0.009009;0.001001;0.045045;0.038038;0.001001;0.001001;0.168168;0.001001;0.003003;0.001001;0.001001;0.001001;0.001001;0.001001;0.001001;0.001001;0.702703;0.001001;0.001001;0.001001
m(;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
m);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mt;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
mh;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mi;0.001144;0.001144;0.137300;0.001144;0.001144;0.083524;0.004577;0.003432;0.002288;0.001144;0.157895;0.066362;0.001144;0.002288;0.008009;0.330664;0.001144;0.001144;0.109840;0.001144;0.064073;0.001144;0.004577;0.004577;0.001144;0.008009
ms;0.005000;0.015000;0.025000;0.005000;0.005000;0.005000;0.625000;0.005000;0.225000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000;0.005000
m ;0.000771;0.000771;0.181187;0.038551;0.063223;0.087124;0.000771;0.029298;0.026214;0.121049;0.030840;0.044719;0.058597;0.033153;0.032382;0.024672;0.031611;0.030069;0.024672;0.057055;0.020817;0.016191;0.009252;0.006168;0.010023;0.020817
mm;0.003774;0.003774;0.003774;0.003774;0.505660;0.003774;0.007547;0.003774;0.196226;0.015094;0.003774;0.003774;0.056604;0.003774;0.003774;0.003774;0.003774;0.003774;0.003774;0.003774;0.003774;0.011321;0.135849;0.003774;0.003774;0.003774
me;0.000400;0.013600;0.071200;0.001200;0.000400;0.071600;0.335200;0.059600;0.010000;0.075200;0.002000;0.000400;0.017200;0.000400;0.081200;0.188800;0.000400;0.012400;0.006800;0.005200;0.036000;0.002400;0.000400;0.000400;0.000400;0.007200
ma;0.000827;0.004136;0.116625;0.011580;0.026468;0.017370;0.065343;0.002481;0.000827;0.000827;0.027295;0.007444;0.000827;0.000827;0.156328;0.188586;0.007444;0.000827;0.032258;0.000827;0.056245;0.110008;0.000827;0.116625;0.002481;0.044665
mg;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
mc;0.007519;0.007519;0.007519;0.015038;0.007519;0.007519;0.007519;0.007519;0.007519;0.015038;0.022556;0.774436;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.015038;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519;0.007519
mo;0.000820;0.008197;0.017213;0.000820;0.004918;0.095902;0.045902;0.042623;0.000820;0.001639;0.004098;0.216393;0.007377;0.000820;0.295082;0.146721;0.000820;0.003279;0.000820;0.001639;0.013934;0.000820;0.028689;0.003279;0.055738;0.001639
mf;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.264706;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
mr;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.133333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333
mn;0.018868;0.018868;0.018868;0.018868;0.132075;0.018868;0.132075;0.018868;0.301887;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868;0.018868
mp;0.001255;0.015056;0.025094;0.003764;0.021330;0.067754;0.360100;0.001255;0.053952;0.169385;0.001255;0.001255;0.100376;0.001255;0.025094;0.001255;0.001255;0.001255;0.134253;0.001255;0.001255;0.001255;0.006274;0.001255;0.001255;0.001255
mb;0.003367;0.003367;0.003367;0.003367;0.033670;0.023569;0.053872;0.003367;0.696970;0.016835;0.003367;0.003367;0.016835;0.003367;0.030303;0.003367;0.003367;0.003367;0.043771;0.003367;0.003367;0.003367;0.026936;0.003367;0.003367;0.003367
ml;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.066667;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.033333;0.133333;0.033333;0.033333;0.033333;0.033333
mw;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.074074;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
