The Ben Shapiro Show,The Ben Shapiro Show,16.573
The Ben Shapiro Show,Secular Talk,15.475
The Ben Shapiro Show,Real Time with Bill Maher,16.302
The Ben Shapiro Show,The David Pakman Show,26.439
The Ben Shapiro Show,H3 Podcast,16.329
The Ben Shapiro Show,Destiny,17.696
Pod Save America,Pod Save America,33.978
Pod Save America,The Majority Report with Sam Seder,39.808
Pod Save America,Chapo Trap House,41.791
Pod Save America,Last Week Tonight with John Oliver,14.529
Pod Save America,hbomberguy,21.642
Pod Save America,The Joe Rogan Experience,17.926
Louder with Crowder,Louder with Crowder,17.666
Louder with Crowder,Political Gabfest,20.302
Louder with Crowder,The Rubin Report,14.706
Louder with Crowder,Democracy Now!,13.81
Louder with Crowder,The Joe Rogan Experience,17.081
Louder with Crowder,Real Time with Bill Maher,13.334
Real Time with Bill Maher,Real Time with Bill Maher,12.412
Real Time with Bill Maher,The Rubin Report,13.437
Real Time with Bill Maher,Human Rights Watch,13.034
Real Time with Bill Maher,The Daily,18.232
Real Time with Bill Maher,Last Week Tonight with John Oliver,13.946
Real Time with Bill Maher,Contrapoints,18.148
The Majority Report with Sam Seder,The Majority Report with Sam Seder,55.646
The Majority Report with Sam Seder,Contrapoints,29.337
The Majority Report with Sam Seder,The Rubin Report,17.801
The Majority Report with Sam Seder,Destiny,17.286
The Majority Report with Sam Seder,The Alex Jones Show,15.745
The Majority Report with Sam Seder,The Joe Rogan Experience,19.579
The Rubin Report,The Rubin Report,16.408
The Rubin Report,The Majority Report with Sam Seder,45.844
The Rubin Report,Secular Talk,15.174
The Rubin Report,The NPR Politics Podcast,27.244
The Rubin Report,Chapo Trap House,52.901
The Rubin Report,The Daily,20.428
Chapo Trap House,Chapo Trap House,46.17
Chapo Trap House,Secular Talk,13.806
Chapo Trap House,Contrapoints,19.698
Chapo Trap House,Democracy Now!,12.368
Chapo Trap House,The Joe Rogan Experience,17.466
Chapo Trap House,Destiny,15.609
Jordan B Peterson,Jordan B Peterson,13.594
