The Ben Shapiro Show,The Ben Shapiro Show,47.569
The Ben Shapiro Show,Political Gabfest,25.418
The Ben Shapiro Show,The Rubin Report,23.521
The Ben Shapiro Show,Destiny,27.077
The Ben Shapiro Show,The NPR Politics Podcast,23.587
The Ben Shapiro Show,H3 Podcast,23.99
Pod Save America,Pod Save America,18.975
Pod Save America,The Jimmy Dore Show,24.925
Pod Save America,Secular Talk,24.07
Pod Save America,The Joe Rogan Experience,25.066
Pod Save America,The Rubin Report,23.795
Pod Save America,hbomberguy,28.9
Louder with Crowder,Louder with Crowder,22.87
Louder with Crowder,H3 Podcast,23.793
Louder with Crowder,Pod Save America,18.861
Louder with Crowder,The Jimmy Dore Show,25.114
Louder with Crowder,Political Gabfest,25.597
Louder with Crowder,The Rubin Report,23.939
Real Time with Bill Maher,Real Time with Bill Maher,23.035
Real Time with Bill Maher,Last Week Tonight with John Oliver,24.847
Real Time with Bill Maher,The Jimmy Dore Show,24.227
Real Time with Bill Maher,Contrapoints,22.983
Real Time with Bill Maher,The Ben Shapiro Show,36.74
Real Time with Bill Maher,Human Rights Watch,22.012
The Majority Report with Sam Seder,The Majority Report with Sam Seder,27.497
The Majority Report with Sam Seder,Democracy Now!,23.352
The Majority Report with Sam Seder,The David Pakman Show,29.056
The Majority Report with Sam Seder,The Rubin Report,24.069
The Majority Report with Sam Seder,Chapo Trap House,24.581
The Majority Report with Sam Seder,Pod Save America,19.063
The Rubin Report,The Rubin Report,24.63
The Rubin Report,The NPR Politics Podcast,24.45
The Rubin Report,The David Pakman Show,33.291
The Rubin Report,The Alex Jones Show,26.533
The Rubin Report,Democracy Now!,23.699
The Rubin Report,Contrapoints,25.086
Chapo Trap House,Chapo Trap House,24.181
Chapo Trap House,The Daily,23.346
Chapo Trap House,The Ben Shapiro Show,41.735
Chapo Trap House,Last Week Tonight with John Oliver,26.424
Chapo Trap House,The Alex Jones Show,26.649
Chapo Trap House,The Joe Rogan Experience,23.799
Jordan B Peterson,Jordan B Peterson,21.961
Jordan B Peterson,Real Time with Bill Maher,22.037
Jordan B Peterson,The Joe Rogan Experience,22.934
Jordan B Peterson,Last Week Tonight with John Oliver,23.894
Jordan B Peterson,Political Gabfest,25.386
Jordan B Peterson,The Alex Jones Show,24.4
Destiny,Destiny,24.756
Destiny,The NPR Politics Podcast,23.82
Destiny,hbomberguy,28.766
Destiny,Political Gabfest,25.596
Destiny,Louder with Crowder,22.79
Destiny,The Alex Jones Show,25.814
Secular Talk,Secular Talk,24.026
Secular Talk,Louder with Crowder,22.777
Secular Talk,The Jimmy Dore Show,24.816
Secular Talk,Contrapoints,24.314
Secular Talk,Chapo Trap House,24.332
Secular Talk,Last Week Tonight with John Oliver,25.464
Contrapoints,Contrapoints,21.759
Contrapoints,Secular Talk,21.745
Contrapoints,The Joe Rogan Experience,21.821
Contrapoints,The Majority Report with Sam Seder,21.542
Contrapoints,Jordan B Peterson,21.194
Contrapoints,Democracy Now!,21.062
The David Pakman Show,The David Pakman Show,26.697
The David Pakman Show,The Alex Jones Show,25.172
The David Pakman Show,The Rubin Report,23.419
The David Pakman Show,hbomberguy,28.036
The David Pakman Show,The Ben Shapiro Show,28.226
The David Pakman Show,The Majority Report with Sam Seder,24.233
H3 Podcast,H3 Podcast,22.518
H3 Podcast,The Jimmy Dore Show,23.504
H3 Podcast,Human Rights Watch,22.618
H3 Podcast,Jordan B Peterson,22.282
H3 Podcast,Louder with Crowder,21.787
H3 Podcast,The Majority Report with Sam Seder,22.75
The Joe Rogan Experience,The Joe Rogan Experience,22.76
The Joe Rogan Experience,Human Rights Watch,21.956
The Joe Rogan Experience,Secular Talk,22.427
The Joe Rogan Experience,The Daily,23.224
The Joe Rogan Experience,Destiny,22.158
The Joe Rogan Experience,The Ben Shapiro Show,25.04
Democracy Now!,Democracy Now!,21.28
Democracy Now!,The Daily,22.321
Democracy Now!,Political Gabfest,23.928
Democracy Now!,Pod Save America,18.111
Democracy Now!,Real Time with Bill Maher,21.479
Democracy Now!,The Joe Rogan Experience,22.22
The Jimmy Dore Show,The Jimmy Dore Show,24.856
The Jimmy Dore Show,Chapo Trap House,24.444
The Jimmy Dore Show,The NPR Politics Podcast,23.944
The Jimmy Dore Show,The Daily,24.782
The Jimmy Dore Show,The Joe Rogan Experience,25.201
The Jimmy Dore Show,Jordan B Peterson,23.458
Last Week Tonight with John Oliver,Last Week Tonight with John Oliver,23.179
Last Week Tonight with John Oliver,Democracy Now!,21.509
Last Week Tonight with John Oliver,Pod Save America,17.711
Last Week Tonight with John Oliver,The Majority Report with Sam Seder,21.535
Last Week Tonight with John Oliver,The Rubin Report,21.593
Last Week Tonight with John Oliver,Real Time with Bill Maher,21.501
Human Rights Watch,Human Rights Watch,22.17
Human Rights Watch,H3 Podcast,22.094
Human Rights Watch,Political Gabfest,24.345
Human Rights Watch,Louder with Crowder,21.388
Human Rights Watch,Last Week Tonight with John Oliver,23.592
Human Rights Watch,The Rubin Report,22.037
hbomberguy,hbomberguy,26.079
hbomberguy,Human Rights Watch,21.325
hbomberguy,Jordan B Peterson,21.344
hbomberguy,H3 Podcast,21.621
hbomberguy,Contrapoints,21.945
hbomberguy,Democracy Now!,21.148
Political Gabfest,Political Gabfest,43.724
Political Gabfest,Last Week Tonight with John Oliver,27.486
Political Gabfest,Jordan B Peterson,24.509
Political Gabfest,hbomberguy,30.248
Political Gabfest,Human Rights Watch,22.631
Political Gabfest,The Alex Jones Show,27.121
The Alex Jones Show,The Alex Jones Show,24.901
The Alex Jones Show,Pod Save America,21.444
The Alex Jones Show,The Ben Shapiro Show,32.647
The Alex Jones Show,The Joe Rogan Experience,22.219
The Alex Jones Show,The David Pakman Show,22.824
The Alex Jones Show,Contrapoints,22.563
The Daily,The Daily,22.15
The Daily,The NPR Politics Podcast,22.715
The Daily,Secular Talk,22.478
The Daily,The Joe Rogan Experience,22.455
The Daily,Real Time with Bill Maher,23.42
The Daily,Pod Save America,25.115
The NPR Politics Podcast,The NPR Politics Podcast,24.599
The NPR Politics Podcast,Pod Save America,35.835
The NPR Politics Podcast,The Alex Jones Show,28.731
The NPR Politics Podcast,The Joe Rogan Experience,23.606
The NPR Politics Podcast,Last Week Tonight with John Oliver,29.477
The NPR Politics Podcast,The Rubin Report,22.634
