,RESIDENTIAL_CITY,AGE_RANGE,PARTY_AFFILIATION
197,MCARTHUR,45-64,R
198,MCARTHUR,45-64,None
199,MCARTHUR,45-64,None
200,MCARTHUR,45-64,None
201,MCARTHUR,45-64,None
202,MCARTHUR,45-64,None
203,MCARTHUR,45-64,None
204,MCARTHUR,45-64,None
205,MCARTHUR,45-64,None
206,MCARTHUR,45-64,None
207,MCARTHUR,45-64,None
208,MCARTHUR,45-64,None
209,MCARTHUR,45-64,None
210,MCARTHUR,45-64,None
211,MCARTHUR,45-64,None
212,MCARTHUR,45-64,R
213,MCARTHUR,45-64,D
214,MCARTHUR,45-64,None
215,MCARTHUR,45-64,None
216,MCARTHUR,45-64,None
217,MCARTHUR,45-64,None
218,MCARTHUR,45-64,None
219,MCARTHUR,45-64,None
220,MCARTHUR,45-64,None
221,MCARTHUR,45-64,None
222,MCARTHUR,45-64,None
223,MCARTHUR,45-64,None
224,MCARTHUR,45-64,None
225,MCARTHUR,45-64,None
226,MCARTHUR,45-64,None
227,MCARTHUR,45-64,None
228,MCARTHUR,45-64,None
229,MCARTHUR,45-64,R
230,MCARTHUR,45-64,None
231,MCARTHUR,45-64,None
232,MCARTHUR,45-64,None
233,MCARTHUR,45-64,None
234,MCARTHUR,45-64,None
235,MCARTHUR,45-64,None
236,MCARTHUR,45-64,R
237,MCARTHUR,45-64,D
238,MCARTHUR,45-64,None
239,MCARTHUR,45-64,None
240,MCARTHUR,45-64,None
241,MCARTHUR,45-64,None
242,MCARTHUR,45-64,None
243,MCARTHUR,45-64,R
244,MCARTHUR,45-64,R
245,MCARTHUR,45-64,R
246,MCARTHUR,45-64,D
247,MCARTHUR,45-64,D
248,MCARTHUR,45-64,None
249,MCARTHUR,45-64,R
250,MCARTHUR,45-64,R
251,MCARTHUR,45-64,None
252,MCARTHUR,45-64,None
253,MCARTHUR,45-64,R
254,MCARTHUR,45-64,R
255,MCARTHUR,45-64,None
256,MCARTHUR,45-64,R
257,MCARTHUR,45-64,D
258,MCARTHUR,45-64,R
259,MCARTHUR,45-64,R
260,MCARTHUR,45-64,R
261,MCARTHUR,45-64,D
262,MCARTHUR,45-64,R
263,MCARTHUR,45-64,R
264,MCARTHUR,45-64,R
265,MCARTHUR,45-64,R
266,MCARTHUR,45-64,D
267,MCARTHUR,45-64,R
268,MCARTHUR,45-64,R
269,MCARTHUR,45-64,R
270,MCARTHUR,45-64,D
271,MCARTHUR,45-64,None
272,MCARTHUR,45-64,R
273,MCARTHUR,45-64,None
274,MCARTHUR,45-64,R
275,MCARTHUR,45-64,R
276,MCARTHUR,45-64,D
277,MCARTHUR,45-64,None
278,MCARTHUR,45-64,None
279,MCARTHUR,45-64,None
280,MCARTHUR,45-64,R
281,MCARTHUR,45-64,R
282,MCARTHUR,45-64,R
283,MCARTHUR,45-64,R
284,MCARTHUR,45-64,R
285,MCARTHUR,45-64,R
286,MCARTHUR,45-64,None
287,MCARTHUR,45-64,None
288,MCARTHUR,45-64,R
289,MCARTHUR,45-64,None
290,MCARTHUR,45-64,None
291,MCARTHUR,45-64,None
292,MCARTHUR,45-64,None
293,MCARTHUR,45-64,D
294,MCARTHUR,45-64,None
295,MCARTHUR,45-64,R
296,MCARTHUR,45-64,None
297,MCARTHUR,45-64,None
298,MCARTHUR,45-64,None
299,MCARTHUR,45-64,None
300,MCARTHUR,45-64,R
301,MCARTHUR,45-64,None
302,MCARTHUR,45-64,R
303,MCARTHUR,45-64,R
304,MCARTHUR,45-64,R
305,MCARTHUR,45-64,None
306,MCARTHUR,45-64,R
307,MCARTHUR,45-64,None
308,MCARTHUR,45-64,None
309,MCARTHUR,45-64,None
310,MCARTHUR,45-64,None
311,MCARTHUR,45-64,None
312,MCARTHUR,45-64,R
313,MCARTHUR,45-64,R
314,MCARTHUR,45-64,None
315,MCARTHUR,45-64,None
316,MCARTHUR,45-64,R
317,MCARTHUR,45-64,None
318,MCARTHUR,45-64,None
319,MCARTHUR,45-64,None
320,MCARTHUR,45-64,None
321,MCARTHUR,45-64,None
322,MCARTHUR,45-64,None
323,MCARTHUR,45-64,None
324,MCARTHUR,45-64,None
325,MCARTHUR,45-64,None
326,MCARTHUR,45-64,None
