,STREET,PARTY,COUNT
121,"CARRIAGE HILL DR, ATHENS",R,6
122,"HOCKING ST, ATHENS",None,34
123,"HOCKING ST, ATHENS",D,5
124,"1/2 S CONGRESS ST, ATHENS",None,16
125,"E OXBOW TRL, ATHENS",None,284
126,"E OXBOW TRL, ATHENS",D,15
127,"E OXBOW TRL, ATHENS",R,11
128,"SR 56, NEW MARSHFIELD",None,41
129,"SR 56, NEW MARSHFIELD",R,28
130,"SR 56, NEW MARSHFIELD",D,20
131,"1/2 N COURT ST, ATHENS",None,39
132,"1/2 N COURT ST, ATHENS",D,4
133,"1/2 W STATE ST, ATHENS",None,23
134,"1/2 W STATE ST, ATHENS",D,2
135,"1/2 W WASHINGTON ST, ATHENS",None,11
136,"1/2 W WASHINGTON ST, ATHENS",D,6
137,"1/2 MAIN ST, GLOUSTER",None,3
138,"1/2 MAIN ST, GLOUSTER",R,1
139,"1/2 N LANCASTER ST, ATHENS",None,24
140,"1/2 N LANCASTER ST, ATHENS",D,1
141,"1/2 W STIMSON AVE, ATHENS",None,3
142,"1/2 W STIMSON AVE, ATHENS",D,2
143,"1/2 CENTRAL AVE, ATHENS",None,3
144,"1/2 CENTRAL AVE, ATHENS",D,1
145,"1/2 SPRING ST, ATHENS",None,5
146,"1/2 MORRIS AVE, ATHENS",None,10
147,"1/2 MORRIS AVE, ATHENS",D,4
148,"1/2 S SHAFER ST, ATHENS",None,5
149,"1/2 S SHAFER ST, ATHENS",D,2
150,"1/2 MAPLE ST, ATHENS",None,2
151,"1/2 CLINTON ST, NELSONVILLE",D,1
152,"1/2 CLINTON ST, NELSONVILLE",None,3
153,"1/2 FRANKLIN AVE, ATHENS",None,5
154,"1/2 FRANKLIN AVE, ATHENS",D,2
155,"PLEASANT HILL RD, ATHENS",None,76
156,"PLEASANT HILL RD, ATHENS",R,28
157,"PLEASANT HILL RD, ATHENS",D,42
158,"ELLIOTT ST, ATHENS",None,49
159,"ELLIOTT ST, ATHENS",D,3
160,"ELLIOTT ST, ATHENS",R,1
161,"FERN ST, ATHENS",None,40
162,"FERN ST, ATHENS",D,3
163,"MCLEAN LN, ATHENS",None,7
164,"MCLEAN LN, ATHENS",D,2
165,"FOSTER PL, ATHENS",None,17
166,"FOSTER PL, ATHENS",D,3
167,"ANDOVER RD, ATHENS",None,101
168,"ANDOVER RD, ATHENS",R,6
169,"ANDOVER RD, ATHENS",D,17
170,"RIVERFRONT RD, HOCKINGPORT",None,15
171,"RIVERFRONT RD, HOCKINGPORT",R,1
172,"RIVERFRONT RD, HOCKINGPORT",D,1
173,"ADAMS ST, NELSONVILLE",None,51
174,"ADAMS ST, NELSONVILLE",D,7
175,"ADAMS ST, NELSONVILLE",R,7
176,"RIVERFRONT RD, COOLVILLE",None,32
177,"RIVERFRONT RD, COOLVILLE",R,3
178,"RIVERFRONT RD, COOLVILLE",D,3
179,"HOME ST, ATHENS",None,69
180,"HOME ST, ATHENS",D,19
181,"HOME ST, ATHENS",R,4
182,"ROBBINS RD, NELSONVILLE",None,18
183,"ROBBINS RD, NELSONVILLE",D,4
184,"ROBBINS RD, NELSONVILLE",R,7
185,"SR 690, ATHENS",None,17
186,"SR 690, ATHENS",D,13
187,"SR 690, ATHENS",R,14
188,"RUFUS ST, ATHENS",None,81
189,"RUFUS ST, ATHENS",D,3
190,"RUFUS ST, ATHENS",R,1
191,"S COLLEGE ST, ATHENS",None,83
192,"S COLLEGE ST, ATHENS",D,3
193,"S COLLEGE ST, ATHENS",R,1
194,"1/2 ELMWOOD PL, ATHENS",None,4
195,"1/2 ELMWOOD PL, ATHENS",D,1
196,"1/2 E STATE ST, ATHENS",D,8
197,"1/2 E STATE ST, ATHENS",None,8
198,"1/2 E STATE ST, ATHENS",R,4
199,"1/2 HAMLEY SHORT CUT RD, NELSONVILLE",None,2
200,"1/2 S HIGH ST, ATHENS",None,4
201,"1/2 W FRANKLIN ST, NELSONVILLE",None,3
202,"1/2 HANLIN AVE, ATHENS",None,2
203,"1/2 SMITH ST, ATHENS",None,5
204,"1/2 RICHLAND AVE, ATHENS",None,3
205,"1/2 RICHLAND AVE, ATHENS",D,1
206,"1/2 WALNUT ST, NELSONVILLE",None,1
207,"1/2 FAIRFAX ST, STEWART",None,4
208,"FRUM RD, ATHENS",None,22
209,"FRUM RD, ATHENS",D,10
210,"FRUM RD, ATHENS",R,10
211,"CONVERSE ST, CHAUNCEY",None,29
212,"CONVERSE ST, CHAUNCEY",D,9
213,"CONVERSE ST, CHAUNCEY",R,6
214,"N HIGH ST, ATHENS",R,2
215,"N HIGH ST, ATHENS",None,53
216,"N HIGH ST, ATHENS",D,4
217,"JOHNSON RD, THE PLAINS",None,44
218,"JOHNSON RD, THE PLAINS",D,30
219,"JOHNSON RD, THE PLAINS",R,10
220,"HUDSON AVE, ATHENS",None,47
221,"HUDSON AVE, ATHENS",D,21
222,"HUDSON AVE, ATHENS",R,5
223,"N PLAINS RD, THE PLAINS",None,147
224,"N PLAINS RD, THE PLAINS",D,20
225,"N PLAINS RD, THE PLAINS",R,14
226,"RHORIC RD, ATHENS",None,28
227,"RHORIC RD, ATHENS",D,15
228,"RHORIC RD, ATHENS",R,5
229,"BEECH RD, THE PLAINS",None,12
230,"BEECH RD, THE PLAINS",R,3
231,"BEECH RD, THE PLAINS",D,2
232,"W UNION ST, ATHENS",None,187
233,"W UNION ST, ATHENS",D,34
234,"W UNION ST, ATHENS",R,13
235,"LAMAR DR, ATHENS",None,33
236,"LAMAR DR, ATHENS",D,25
237,"LAMAR DR, ATHENS",R,8
238,"SWEAT RD, AMESVILLE",None,10
239,"SWEAT RD, AMESVILLE",D,2
240,"WALNUT ST, NELSONVILLE",None,73
241,"WALNUT ST, NELSONVILLE",D,18
242,"WALNUT ST, NELSONVILLE",R,16
243,"MAIN ST, MILLFIELD",R,14
244,"MAIN ST, MILLFIELD",None,41
245,"MAIN ST, MILLFIELD",D,2
246,"N CONGRESS ST, ATHENS",None,186
247,"N CONGRESS ST, ATHENS",D,38
248,"N CONGRESS ST, ATHENS",R,3
249,"GROSVENOR ST, ATHENS",None,100
250,"GROSVENOR ST, ATHENS",D,43
251,"GROSVENOR ST, ATHENS",R,6
252,"JEFFERSON ST, NELSONVILLE",None,13
253,"JEFFERSON ST, NELSONVILLE",R,3
254,"JEFFERSON ST, NELSONVILLE",D,1
255,"UNIVERSITY ESTATES BLVD, ATHENS",None,164
256,"UNIVERSITY ESTATES BLVD, ATHENS",R,8
257,"UNIVERSITY ESTATES BLVD, ATHENS",D,32
258,"MORRIS AVE, ATHENS",None,103
259,"MORRIS AVE, ATHENS",D,68
260,"MORRIS AVE, ATHENS",R,7
261,"1/2 BROWN AVE, ATHENS",None,1
262,"1/2 BROWN AVE, ATHENS",D,1
263,"1/2 GROSVENOR ST, ATHENS",None,4
264,"W WASHINGTON ST, NELSONVILLE",None,94
265,"W WASHINGTON ST, NELSONVILLE",D,27
266,"W WASHINGTON ST, NELSONVILLE",R,11
267,"N LANCASTER ST, ATHENS",None,134
268,"N LANCASTER ST, ATHENS",D,36
269,"N LANCASTER ST, ATHENS",R,2
270,"ERVIN RD, ATHENS",None,66
271,"ERVIN RD, ATHENS",D,9
272,"ERVIN RD, ATHENS",R,10
273,"BRIMSTONE RD, COOLVILLE",None,75
274,"BRIMSTONE RD, COOLVILLE",R,23
275,"BRIMSTONE RD, COOLVILLE",D,9
276,"FRANKLIN AVE, ATHENS",None,124
277,"FRANKLIN AVE, ATHENS",D,29
278,"FRANKLIN AVE, ATHENS",R,3
279,"CAMPBELL ST, THE PLAINS",None,13
280,"CAMPBELL ST, THE PLAINS",D,1
281,"CAMPBELL ST, THE PLAINS",R,1
282,"CABLE LN, ATHENS",None,19
283,"CABLE LN, ATHENS",D,13
284,"CABLE LN, ATHENS",R,3
285,"SR 550, AMESVILLE",None,45
286,"SR 550, AMESVILLE",R,17
287,"SR 550, AMESVILLE",D,13
288,"VANDERHOOF RD, COOLVILLE",None,44
289,"VANDERHOOF RD, COOLVILLE",D,7
290,"VANDERHOOF RD, COOLVILLE",R,13
291,"SAWYERS RUN RD, LITTLE HOCKING",None,6
292,"SAWYERS RUN RD, LITTLE HOCKING",D,2
293,"SAWYERS RUN RD, LITTLE HOCKING",R,1
294,"MAY AVE, CHAUNCEY",None,74
295,"MAY AVE, CHAUNCEY",R,7
296,"MAY AVE, CHAUNCEY",D,11
297,"ELM ROCK RD, NELSONVILLE",None,38
298,"ELM ROCK RD, NELSONVILLE",R,9
299,"ELM ROCK RD, NELSONVILLE",D,6
300,"1/2 MONTROSE AVE, ATHENS",D,1
301,"1/2 MONTROSE AVE, ATHENS",None,1
302,"1/2 CHURCH ST, ATHENS",None,1
303,"1/2 NORTH ST, NELSONVILLE",None,2
304,"1/2 MILL ST, ATHENS",R,1
305,"1/2 MILL ST, ATHENS",None,2
306,"1/2 N COLLEGE ST, ATHENS",None,1
307,"1/2 WOODWARD AVE, ATHENS",None,1
308,"PUBLIC SQ, NELSONVILLE",None,6
309,"PUBLIC SQ, NELSONVILLE",D,1
310,"HIGHLAND AVE, GLOUSTER",None,17
311,"HIGHLAND AVE, GLOUSTER",D,3
312,"HIGHLAND AVE, GLOUSTER",R,3
313,"CHESTNUT ST, NELSONVILLE",None,105
314,"CHESTNUT ST, NELSONVILLE",R,16
315,"CHESTNUT ST, NELSONVILLE",D,25
316,"CHARLES ST, ATHENS",None,24
317,"CHARLES ST, ATHENS",D,27
318,"CHARLES ST, ATHENS",R,9
319,"POPLAR ST, NELSONVILLE",None,128
320,"POPLAR ST, NELSONVILLE",D,38
321,"POPLAR ST, NELSONVILLE",R,24
322,"S SHAFER ST, ATHENS",None,162
323,"S SHAFER ST, ATHENS",D,15
324,"S SHAFER ST, ATHENS",R,3
325,"S HARPER ST, NELSONVILLE",None,52
326,"S HARPER ST, NELSONVILLE",D,6
327,"S HARPER ST, NELSONVILLE",R,4
328,"SMITH ST, ATHENS",None,31
329,"SMITH ST, ATHENS",D,2
330,"MCAFEE RD, ATHENS",None,4
331,"MCAFEE RD, ATHENS",D,3
332,"E FOURTH ST, THE PLAINS",None,80
333,"E FOURTH ST, THE PLAINS",D,30
334,"E FOURTH ST, THE PLAINS",R,16
335,"POMEROY RD, ATHENS",None,54
336,"POMEROY RD, ATHENS",D,28
337,"POMEROY RD, ATHENS",R,10
338,"SR 329, GUYSVILLE",None,24
339,"SR 329, GUYSVILLE",D,17
340,"SR 329, GUYSVILLE",R,5
341,"W GREEN DR, ATHENS",None,188
342,"W GREEN DR, ATHENS",D,7
343,"W GREEN DR, ATHENS",R,4
344,"1/2 FIRST ST, ATHENS",None,3
345,"1/2 FIRST ST, ATHENS",D,2
346,"1/2 N PLAINS RD, THE PLAINS",None,2
347,"1/2 N PLAINS RD, THE PLAINS",R,1
348,"1/2 MAY AVE, CHAUNCEY",None,1
349,"1/2 E COLUMBUS ST, NELSONVILLE",None,2
350,"RAINBOW LAKE RD, ATHENS",None,57
351,"RAINBOW LAKE RD, ATHENS",R,18
352,"RAINBOW LAKE RD, ATHENS",D,20
353,"1/2 W COLUMBUS ST, NELSONVILLE",None,4
354,"MAIN ST, GLOUSTER",None,29
355,"MAIN ST, GLOUSTER",R,4
356,"MAIN ST, GLOUSTER",D,4
357,"GARFIELD AVE, ATHENS",D,5
358,"GARFIELD AVE, ATHENS",None,4
359,"PRATT ST, ATHENS",None,15
360,"PRATT ST, ATHENS",D,2
361,"PRATT ST, ATHENS",R,2
362,"STEWART ST, ATHENS",None,47
363,"STEWART ST, ATHENS",D,1
364,"E CANAL ST, NELSONVILLE",None,80
365,"E CANAL ST, NELSONVILLE",R,12
366,"E CANAL ST, NELSONVILLE",D,4
367,"COOLVILLE RIDGE RD, ATHENS",None,41
368,"COOLVILLE RIDGE RD, ATHENS",R,8
369,"COOLVILLE RIDGE RD, ATHENS",D,8
370,"MILL ST, CHAUNCEY",None,35
371,"MILL ST, CHAUNCEY",R,11
372,"MILL ST, CHAUNCEY",D,5
373,"MYERS ST, NELSONVILLE",R,2
374,"MYERS ST, NELSONVILLE",None,24
375,"MYERS ST, NELSONVILLE",D,9
376,"CENTRAL AVE, ATHENS",D,32
377,"CENTRAL AVE, ATHENS",None,59
378,"CENTRAL AVE, ATHENS",R,1
379,"MOUND ST, ATHENS",D,12
380,"MOUND ST, ATHENS",None,43
381,"MOUND ST, ATHENS",R,5
382,"S SHANNON AVE, ATHENS",None,25
383,"S SHANNON AVE, ATHENS",D,19
384,"S SHANNON AVE, ATHENS",R,5
385,"MILLIRON ST, ATHENS",None,59
386,"MILLIRON ST, ATHENS",D,3
387,"MILLIRON ST, ATHENS",R,2
388,"DORR RUN RD, NELSONVILLE",None,11
389,"DORR RUN RD, NELSONVILLE",R,2
390,"DORR RUN RD, NELSONVILLE",D,2
391,"CHANNINGWAY BLVD, THE PLAINS",None,27
392,"CHANNINGWAY BLVD, THE PLAINS",D,32
393,"CHANNINGWAY BLVD, THE PLAINS",R,6
394,"MAIN ST, COOLVILLE",None,65
395,"MAIN ST, COOLVILLE",R,21
396,"MAIN ST, COOLVILLE",D,8
397,"MOUNTAIN BELLE RD, COOLVILLE",None,23
398,"MOUNTAIN BELLE RD, COOLVILLE",R,23
399,"SR 56, ATHENS",None,42
400,"SR 56, ATHENS",D,36
401,"SR 56, ATHENS",R,32
402,"BECKLER RD, NEW MARSHFIELD",None,9
403,"BECKLER RD, NEW MARSHFIELD",R,7
404,"BECKLER RD, NEW MARSHFIELD",D,1
405,"N MCDONALD ST, THE PLAINS",None,30
406,"N MCDONALD ST, THE PLAINS",R,7
407,"N MCDONALD ST, THE PLAINS",D,3
408,"SAND RIDGE RD, MILLFIELD",None,45
409,"SAND RIDGE RD, MILLFIELD",D,22
410,"SAND RIDGE RD, MILLFIELD",R,8
411,"WALNUT CT, ATHENS",None,32
412,"WALNUT CT, ATHENS",D,9
413,"WALNUT CT, ATHENS",R,3
414,"LEXINGTON AVE, CHAUNCEY",None,42
415,"LEXINGTON AVE, CHAUNCEY",D,8
416,"LEXINGTON AVE, CHAUNCEY",R,5
417,"TRUETOWN RD, MILLFIELD",None,23
418,"TRUETOWN RD, MILLFIELD",D,14
419,"TRUETOWN RD, MILLFIELD",R,1
420,"SCATTER RIDGE RD, ATHENS",None,28
421,"SCATTER RIDGE RD, ATHENS",D,8
422,"SCATTER RIDGE RD, ATHENS",R,1
423,"CAMERON RD, ATHENS",None,23
424,"CAMERON RD, ATHENS",D,10
425,"CAMERON RD, ATHENS",R,11
426,"HOOPER ST, ATHENS",None,36
427,"HOOPER ST, ATHENS",D,19
428,"HOOPER ST, ATHENS",R,4
429,"W CLINTON ST, ALBANY",None,42
430,"W CLINTON ST, ALBANY",R,13
431,"W CLINTON ST, ALBANY",D,12
432,"W CLINTON ST, ALBANY",L,1
433,"W STATE ST, ATHENS",None,212
434,"W STATE ST, ATHENS",D,28
435,"W STATE ST, ATHENS",R,5
436,"ENLOW RD, ATHENS",None,31
437,"ENLOW RD, ATHENS",D,12
438,"ENLOW RD, ATHENS",R,17
439,"MAIN ST, STEWART",D,3
440,"MAIN ST, STEWART",None,2
441,"MAIN ST, STEWART",R,1
442,"MILL ST, COOLVILLE",None,5
443,"MILL ST, COOLVILLE",R,1
444,"STARR DR, NELSONVILLE",None,15
445,"RALLEN DR, THE PLAINS",None,17
446,"RALLEN DR, THE PLAINS",D,1
447,"W FRANKLIN ST, NELSONVILLE",None,79
448,"W FRANKLIN ST, NELSONVILLE",D,25
449,"W FRANKLIN ST, NELSONVILLE",R,3
450,"WALKER ST, ATHENS",None,42
451,"WALKER ST, ATHENS",D,14
452,"WALKER ST, ATHENS",R,1
453,"OLD COACH RD, ATHENS",None,33
454,"OLD COACH RD, ATHENS",D,21
455,"OLD COACH RD, ATHENS",R,6
456,"MARSHFIELD RD, ATHENS",None,26
457,"MARSHFIELD RD, ATHENS",D,6
458,"MARSHFIELD RD, ATHENS",R,17
459,"HIGH ST, GLOUSTER",None,25
460,"HIGH ST, GLOUSTER",D,1
461,"HIGH ST, GLOUSTER",R,1
462,"N COOLVILLE RIDGE RD, ATHENS",None,59
463,"N COOLVILLE RIDGE RD, ATHENS",D,33
464,"N COOLVILLE RIDGE RD, ATHENS",R,6
465,"ROCK ST, COOLVILLE",None,41
466,"ROCK ST, COOLVILLE",R,9
467,"ROCK ST, COOLVILLE",D,6
468,"BITTERSWEET CT, ATHENS",None,5
469,"BITTERSWEET CT, ATHENS",R,1
470,"TANAGER POINTE, ALBANY",None,5
471,"TANAGER POINTE, ALBANY",R,3
472,"TANAGER POINTE, ALBANY",D,9
473,"FIRST ST, ATHENS",None,40
474,"FIRST ST, ATHENS",D,15
475,"FIRST ST, ATHENS",R,2
476,"KURTZ ST, ATHENS",None,102
477,"KURTZ ST, ATHENS",D,10
478,"KURTZ ST, ATHENS",R,7
479,"DELLA DR, ATHENS",None,26
480,"DELLA DR, ATHENS",D,9
481,"DELLA DR, ATHENS",R,8
482,"E FIRST ST, THE PLAINS",None,107
483,"E FIRST ST, THE PLAINS",D,35
484,"E FIRST ST, THE PLAINS",R,7
485,"ST CHARLES ST, NELSONVILLE",D,11
486,"ST CHARLES ST, NELSONVILLE",None,28
487,"ST CHARLES ST, NELSONVILLE",R,2
488,"GRAND PARK BLVD, ATHENS",D,21
489,"GRAND PARK BLVD, ATHENS",None,12
490,"GRAND PARK BLVD, ATHENS",R,5
491,"NOTTINGHAM DR, ATHENS",None,4
492,"NOTTINGHAM DR, ATHENS",D,6
493,"MINERAL RD, NEW MARSHFIELD",D,10
494,"MINERAL RD, NEW MARSHFIELD",None,22
